Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,0.81,0.81,0.8,0.9,0.78,0.81,0.81,0.931,1.688,2.094
R01D,1.247,1.15,1.15,1.33,1.15,1.168,1.171,0.899,0.868,1.535
R01D,1.42,1.36,1.36,1.36,1.36,0,1.36,1.208,1.262,1.262
R01D,1.06,1.13,1.11,1.13,1.09,1.041,1.107,1.24,1.272,1.272
R01D,1.14,1.14,1.14,1.2,1.13,1.141,1.151,1.198,1.095,1.102
R01D,1.27,1.31,1.3,1.31,1.29,1.303,1.3,1.325,1.267,1.142
R01D,1.53,1.54,1.53,1.56,1.45,1.534,1.53,1.656,1.761,1.524
R01D,1.78,1.73,1.77,1.77,1.73,1.807,1.756,1.719,1.719,1.525
R01D,1.52,1.55,1.57,1.57,1.55,0,1.565,1.397,1.318,1.32
R01D,1.19,1.155,1.18,1.18,1.15,1.188,1.178,1.282,1.289,1.289
R01D,0.82,0.825,0.81,0.84,0.8,0.823,0.818,0.819,1.049,1.848
R01D,1.17,1.155,1.19,1.29,1.15,1.161,1.196,0.902,0.865,1.513
R01D,1.098,1.15,1.15,1.15,1.15,0,1.15,1.03,0.932,1.323
R01D,0.96,0.97,0.96,1.3,0.96,0.965,0.967,0.831,0.837,1.599
R01D,1.05,1.03,1.05,1.05,1.03,1.037,1.043,1.214,1.262,1.262
R01D,1.32,1.295,1.3,1.32,1.29,0,1.299,1.388,1.273,1.182
R01D,0.82,0.82,0.82,0.9,0.81,0.826,0.828,0.827,0.959,1.802
R01D,1.15,0.96,0.965,1.31,0.96,0.992,0.987,0.836,0.844,1.627
R01D,1.87,1.84,1.87,2.4,1.3,1.843,1.886,1.554,1.435,1.315
R01D,1.43,1.44,1.457,1.5,1.44,1.442,1.464,1.262,1.234,1.097
R01D,1.59,1.53,1.5,1.59,1.5,1.588,1.531,1.644,1.75,1.512
R01D,1.55,1.258,1.25,1.3,1.19,1.204,1.259,1.222,1.16,1.026
R01D,2.15,1.42,1.9,2.02,1.2,0,1.881,1.732,1.768,1.593
R01D,2.27,2.36,2.37,2.8,2.2,0,2.405,1.456,1.372,1.271
R01D,1.27,1.277,1.276,1.28,1.276,1.265,1.277,1.262,1.262,1.262
R01D,1.5,1.48,1.5,1.5,1.48,1.496,1.495,1.864,1.64,1.464
R01D,1.09,1.1,1.09,1.11,1.08,1.104,1.098,1.121,0.977,1.306
R01D,1.66,1.45,1.46,1.5,1.45,0,1.457,1.745,1.682,1.482
R01D,1.2,1.19,1.25,1.28,1.19,0,1.208,1.218,1.162,1.054
R01D,1.55,1.54,1.55,1.56,1.53,1.549,1.543,1.681,1.778,1.549
R01D,2,2.17,2.2,2.27,1.8,0,2.184,1.613,1.473,1.342
