date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,3.67,3.68,3.66,3.64,49652.82,-0.01,-0.27,3.682,3.715,3.764,68797.76,72644.24,80509.4
2018-12-27,3.71,3.73,3.67,3.64,76587.51,-0.01,-0.27,3.694,3.725,3.771,69952.89,82979.33,84561.78
2018-12-26,3.65,3.68,3.68,3.64,63171.39,0.01,0.27,3.71,3.74,3.776,67859.03,84454.55,88988.39
2018-12-25,3.7,3.72,3.67,3.59,97411.01,-0.06,-1.61,3.724,3.75,3.783,69625.31,83486.19,94120.54
2018-12-24,3.7,3.74,3.73,3.68,57166.08,0.01,0.27,3.742,3.761,3.789,69820.13,79079.0,95313.29
2018-12-21,3.73,3.74,3.72,3.71,55428.45,-0.03,-0.8,3.748,3.765,3.791,76490.72,80546.32,102759.7
2018-12-20,3.75,3.76,3.75,3.72,66118.23,0.0,0.0,3.756,3.771,3.796,96005.76,82836.26,110427.26
2018-12-19,3.76,3.77,3.75,3.72,72002.8,-0.01,-0.27,3.77,3.776,3.808,101050.07,83608.47,114841.81
2018-12-18,3.74,3.76,3.76,3.7,98385.11,0.0,0.0,3.776,3.788,3.82,97347.06,85095.24,117892.94
2018-12-17,3.72,3.76,3.76,3.69,90519.01,0.0,0.0,3.78,3.8,3.832,88337.86,82945.4,125919.39
2018-12-14,3.81,3.82,3.76,3.68,153003.66,-0.06,-1.57,3.782,3.812,3.852,84601.92,88374.55,133363.24
2018-12-13,3.78,3.84,3.82,3.76,91339.77,0.04,1.06,3.786,3.816,3.873,69666.75,86144.24,140598.11
2018-12-12,3.79,3.81,3.78,3.76,53487.74,0.0,0.0,3.782,3.812,3.888,66166.88,93522.23,144566.72
2018-12-11,3.79,3.8,3.78,3.76,53339.13,0.01,0.27,3.8,3.816,3.903,72843.42,104754.89,150568.3
2018-12-10,3.76,3.79,3.77,3.74,71839.29,-0.01,-0.27,3.82,3.816,3.92,77552.95,111547.57,161168.89
2018-12-07,3.81,3.82,3.78,3.77,78327.81,-0.02,-0.53,3.842,3.817,3.936,92147.18,124973.09,168943.42
2018-12-06,3.86,3.86,3.8,3.79,73840.42,-0.07,-1.81,3.846,3.82,3.944,102621.74,138018.26,168643.06
2018-12-05,3.85,3.88,3.87,3.83,86870.45,-0.01,-0.26,3.842,3.839,3.953,120877.58,146075.14,169117.36
2018-12-04,3.87,3.9,3.88,3.86,76886.76,0.0,0.0,3.832,3.852,3.96,136666.35,150690.63,170572.09
