Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,0.82,0.85,0.82,0.9,0.81,0.82,0.821,0.817,0.887,1.737
R01D,1.161,1.1,1.1,1.1,1.1,0,1.1,0.954,0.905,1.374
R01D,1.1,1.1,1.1,1.1,1.1,0,1.1,0.858,0.845,1.499
R01D,1.29,1.29,1.31,1.32,1.28,1.293,1.294,1.355,1.269,1.164
R01D,1.11,1.15,1.69,1.69,1.1,1.108,1.584,1.27,1.27,1.27
R01D,1.44,1.52,1.53,1.57,1.5,0,1.511,1.41,1.306,1.218
R01D,1.75,1.83,1.84,1.9,1.801,1.713,1.838,1.535,1.413,1.294
R01D,1.1,1.07,1.08,1.11,1,0,1.065,1.209,1.231,1.047
R01D,1.7,1.3,1.3,1.42,1.27,0,1.291,1.256,1.07,1.185
R01D,0.822,0.82,0.82,0.82,0.82,0.822,0.82,0.819,1.016,1.87
R01D,1.71,1.4,1.59,1.59,1.28,0,1.565,1.323,1.323,1.323
R01D,1.77,1.8,1.88,2.32,1.68,1.787,1.914,1.404,1.34,1.251
R01D,1.67,1.1,1.54,1.54,1.07,1.187,1.169,1.134,0.982,1.291
R01D,,1.33,1.33,1.33,1.33,0,1.33,1.33,1.33,1.33
R01D,1.36,1.4,1.42,1.65,1.39,1.395,1.433,1.21,1.211,1.076
R01D,1.34,1.36,1.37,1.4,1.36,1.327,1.366,1.172,1.196,1.048
R01D,1.47,1.45,1.45,1.47,1.44,1.47,1.448,1.852,1.629,1.41
R01D,2.03,2,2.02,2.2,2,2.021,2.019,1.762,1.771,1.612
R01D,1.2,1.18,1.6,1.6,1.17,1.187,1.196,1.255,1.213,1.032
R01D,1.036,1.2,1.3,1.3,1.2,0,1.205,1.182,1.183,1.03
R01D,2.75,1.7,1.76,2,1.35,0,1.732,1.539,1.422,1.307
R01D,1.32,1.141,1.3,1.3,1.141,1.201,1.182,1.289,1.289,1.289
R01D,2.22,2.224,2.25,2.35,2,2.224,2.234,1.638,1.478,1.34
R01D,1.33,1.32,1.32,1.32,1.32,0,1.32,0.928,0.88,1.407
R01D,1.34,1.34,1.34,1.35,1.34,1.348,1.341,1.3,1.27,1.126
R01D,1.1,1.09,1.1,1.2,1.09,1.102,1.101,0.852,0.844,1.568
R01D,1.2,1.18,1.19,1.21,1.16,1.172,1.171,1.238,1.197,1.02
R01D,1.4,1.4,1.42,1.47,1.4,1.4,1.412,1.407,1.299,1.207
R01D,3.27,4.5,4.52,4.55,4.44,0,4.517,1.908,1.815,1.672
R01D,0.8,0.84,0.83,0.84,0.82,0.807,0.83,1.379,2.003,2.208
R01D,2.12,2.037,2.04,2.07,2,2.112,2.029,1.744,1.776,1.604
R01D,0.87,0.8,0.94,0.94,0.8,0.938,0.825,1.398,2.024,2.223
R01D,2.31,2.27,2.31,2.32,2.26,2.286,2.281,1.713,1.523,1.366
R01D,1.2,1.195,1.195,1.195,1.195,1.196,1.195,1.187,1.079,1.05
R01D,0.83,0.82,0.94,0.94,0.8,0.83,0.819,1.35,1.991,2.202
R01D,1.45,1.457,1.46,1.46,1.42,1.443,1.442,1.277,1.302,1.298
R01D,1.16,1.166,1.155,1.2,1.15,1.169,1.157,1.234,1.203,1.022
R01D,1.53,1.44,1.44,1.44,1.44,1.47,1.44,1.269,1.298,1.295
R01D,1.53,1.6,1.6,1.65,1.57,0,1.595,1.667,1.765,1.533
R01D,1.5,1.49,1.5,1.5,1.44,1.5,1.481,1.865,1.643,1.462
R01D,1.26,1.25,1.25,1.25,1.24,1.258,1.25,1.327,1.309,1.309
R01D,1.45,1.43,1.43,1.51,1.41,1.447,1.432,1.295,1.271,1.121
R01D,0.83,0.83,0.85,0.9,0.83,0.834,0.843,0.829,0.844,1.65
R01D,1.624,1.6,1.6,1.6,1.6,0,1.6,1.631,1.69,1.425
R01D,1.15,1.1,1.67,1.67,1.09,1.121,1.199,1.143,0.991,1.31
R01D,2.76,2.75,2.76,2.85,2.746,2.737,2.763,1.496,1.387,1.275
