Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,0.83,0.84,0.834,0.94,0.83,0,0.842,1.282,1.944,2.197
R01D,1.33,1.31,1.32,1.32,1.31,1.327,1.32,1.34,1.31,1.308
R01D,0.8,0.81,0.82,0.83,0.79,0,0.818,0.89,1.633,2.074
R01D,1.46,1.449,1.47,1.5,1.449,1.465,1.47,1.873,1.652,1.459
R01D,1.14,1.13,1.14,1.15,1.07,1.124,1.127,1.208,1.213,1.032
R01D,1.21,1.2,1.64,1.64,1.19,1.203,1.222,1.18,1.211,1.058
R01D,1.44,1.43,1.45,1.53,1.43,1.446,1.447,1.291,1.267,1.118
R01D,1.89,1.93,1.97,1.97,1.93,1.861,1.942,1.571,1.443,1.387
R01D,1.36,1.37,1.37,1.37,1.37,1.361,1.37,1.193,1.192,1.041
R01D,1.55,1.54,1.55,1.59,1.53,1.552,1.548,1.676,1.78,1.543
R01D,1.26,1.26,1.27,1.6,1.26,1.275,1.297,1.192,1.02,1.267
R01D,0.81,0.81,0.805,0.81,0.805,0,0.809,0.843,1.464,2.057
R01D,0.822,0.82,0.82,0.9,0.81,0.831,0.829,0.827,0.895,1.748
R01D,1.5,1.5,1.52,1.54,1.5,1.5,1.522,1.842,1.622,1.427
R01D,1.1,1.1,1.11,1.11,1.1,1.099,1.108,1.253,1.253,1.253
R01D,4.48,4.5,4.575,6,4.48,4.622,4.626,1.953,1.826,1.668
R01D,1.22,1.2,1.25,1.26,1.19,0,1.218,1.198,1.115,1.082
R01D,1.89,1.92,1.93,2.2,1.91,0,1.951,1.722,1.771,1.56
R01D,0.96,0.82,0.82,0.92,0.81,0.835,0.828,0.829,1.058,1.858
R01D,1.54,1.6,1.62,1.623,1.55,0,1.59,1.654,1.761,1.519
R01D,1.57,1.23,1.46,1.46,1.2,0,1.228,1.212,1.147,1.075
R01D,2.04,2.12,2.02,2.2,1.8,2.033,2.013,1.776,1.776,1.62
R01D,1.48,1.24,1.47,1.47,1.2,1.227,1.279,1.161,0.996,1.269
R01D,1.22,1.248,1.248,1.248,1.24,1.244,1.245,1.181,1.052,1.095
R01D,1.23,1.26,1.23,1.32,1.2,1.264,1.234,1.248,1.076,1.149
R01D,1.32,1.16,1.5,1.5,1.16,1.352,1.456,1.388,1.388,1.388
R01D,2.19,2.17,2.18,2.21,1.85,2.179,2.163,1.791,1.581,1.405
R01D,1.1,1.1,1.1,1.29,1.09,1.104,1.108,0.874,0.857,1.563
R01D,1.28,1.24,1.28,1.28,1.24,1.279,1.28,1.326,1.327,1.327
R01D,1.5,1.5,1.5,1.65,1.5,1.518,1.512,0.952,0.894,1.508
R01D,1.19,1.2,1.2,1.33,1.17,0,1.197,1.253,1.206,1.03
R01D,1.69,1.64,1.66,1.698,1.64,1.695,1.662,1.65,1.745,1.527
R01D,1.22,1.26,1.22,1.26,1.22,0,1.244,1.178,1.048,1.093
R01D,0.92,0.9,0.91,1,0.85,0.826,0.92,1.558,2.108,2.236
R01D,0.818,0.82,0.81,0.83,0.79,0.819,0.816,0.995,1.754,2.112
R01D,0.82,0.81,0.81,0.91,0.8,0.82,0.821,0.834,1.259,1.942
R01D,0.82,0.825,0.825,0.825,0.825,0,0.825,0.819,0.85,1.624
R01D,0.81,0.81,0.81,0.83,0.8,0,0.81,0.83,1.35,1.971
R01D,1.9,2,2.02,2.1,1.9,1.881,2.012,1.733,1.77,1.595
R01D,2.63,2.67,3.8,4,2,2.583,3.275,1.837,1.779,1.634
R01D,0.84,0.85,0.85,0.85,0.85,0.84,0.85,1.31,1.82,2.192
R01D,1.3,1.3,1.32,1.32,1.28,1.301,1.302,1.386,1.272,1.178
R01D,1.55,1.53,1.55,1.585,1.53,1.552,1.554,1.666,1.774,1.538
R01D,0.89,0.92,0.919,0.95,0.919,0,0.92,1.903,2.263,2.291
R01D,1.76,1.82,1.87,2,1.25,1.732,1.843,1.544,1.428,1.31
R01D,0.94,0.81,0.81,1,0.8,0.84,0.821,0.843,1.389,1.997
R01D,1.22,1.19,1.19,1.19,1.19,1.223,1.19,1.318,1.304,1.304
R01D,2.9,1.44,1.44,1.54,1.39,1.459,1.442,1.267,1.243,1.104
R01D,1.48,1.45,1.45,1.45,1.44,0,1.45,1.861,1.591,1.33
R01D,1.9,1.85,2.4,2.4,1.85,1.843,1.949,1.555,1.427,1.304
R01D,1.05,1.036,1.036,1.04,1.03,1.043,1.033,1.207,1.26,1.26
R01D,1.31,1.3,1.31,1.55,1.29,1.3,1.3,1.374,1.285,1.181
R01D,1.64,1.88,1.9,1.956,1.86,0,1.899,1.707,1.694,1.488
R01D,1.32,1.318,1.318,1.318,1.318,0,1.318,0.942,0.889,1.379
R01D,1.058,1.031,1.031,1.031,1.031,0,1.031,1.194,1.185,1.029
R01D,1.87,1.84,1.89,1.89,1.84,1.87,1.861,1.56,1.436,1.384
R01D,0.82,0.82,0.82,0.82,0.82,0,0.82,0.818,0.886,1.709
R01D,1.46,1.44,1.43,1.44,1.43,0,1.434,1.285,1.308,1.299
R01D,1.47,1.476,1.5,1.53,1.47,0,1.495,1.877,1.654,1.459
R01D,2.63,3.062,3.27,4.2,2.57,2.329,3.287,1.847,1.793,1.647
R01D,1.36,1.14,1.44,1.46,1.14,1.164,1.25,1.219,1.12,1.105
R01D,0.82,0.825,0.82,0.9,0.81,0.822,0.824,0.828,0.861,1.702
R01D,1.51,1.5,1.51,1.51,1.5,1.506,1.508,1.42,1.31,1.316
R01D,1.64,1.5,1.5,1.55,1.5,0,1.523,1.782,1.689,1.506
R01D,1.48,1.005,1.35,1.35,1.005,1.467,1.294,1.235,1.235,1.235
R01D,1.67,1.53,1.55,1.58,1.52,1.657,1.546,1.849,1.622,1.458
R01D,1.14,1.12,1.14,1.17,1.12,1.133,1.129,1.271,1.283,1.283
R01D,2.73,1.7,1.7,1.7,1.7,0,1.7,1.578,1.353,1.221
R01D,1.34,1.31,1.34,1.4,1.31,1.328,1.324,1.336,1.29,1.156
R01D,1.35,1.09,1.56,1.56,1.09,1.294,1.448,1.254,1.254,1.254
R01D,1.197,1.2,1.191,1.23,1.175,0,1.196,1.203,1.147,1.042
R01D,1.59,1.58,1.58,1.58,1.58,1.59,1.58,1.652,1.719,1.455
R01D,1.32,1.34,1.35,1.35,1.34,1.319,1.343,1.393,1.302,1.309
R01D,1.24,1.24,1.24,1.35,1.2,1.26,1.247,1.246,1.184,1.036
R01D,1.292,1.3,1.3,1.3,1.3,0,1.3,1.295,1.227,1.119
R01D,1.19,1.17,1.18,1.21,1.16,0,1.183,1.227,1.09,1.127
R01D,1.65,1.76,1.78,2,1.76,1.726,1.807,1.728,1.718,1.524
R01D,1.49,1.47,1.49,2,1.4,1.488,1.489,1.866,1.651,1.43
R01D,0.81,0.82,0.82,0.83,0.8,0.818,0.816,0.855,1.552,2.046
R01D,0.82,0.8,0.83,0.92,0.8,0,0.828,0.819,1.093,1.869
R01D,1.32,1.3,1.29,1.32,1.28,0,1.293,1.35,1.269,1.163
R01D,1,1,1.48,1.48,1,0,1.467,1.23,1.23,1.23
R01D,1.25,1.15,1.25,1.25,1.15,1.19,1.19,1.188,1.028,1.146
R01D,1.2,1.17,1.18,1.28,1.15,1.187,1.176,1.251,1.22,1.035
R01D,0.94,0.83,0.94,0.94,0.81,0.825,0.833,1.387,2.013,2.217
R01D,1.55,1.604,1.62,1.7,1.59,0,1.618,1.685,1.784,1.549
R01D,1.38,1.44,1.44,1.44,1.44,0,1.44,1.212,1.2,1.072
R01D,1.32,1.3,1.31,1.36,1.29,0,1.301,1.365,1.285,1.178
R01D,1.63,2.03,2.03,2.35,2.03,0,2.076,1.842,1.646,1.482
R01D,0.81,0.82,0.816,0.9,0.81,0.816,0.818,0.849,1.514,2.033
R01D,1.38,1.36,1.37,1.37,1.35,1.368,1.36,1.214,1.265,1.266
R01D,1.36,1.44,1.44,1.44,1.44,1.328,1.44,1.326,1.326,1.326
R01D,1.18,1.12,1.14,1.15,1.1,0,1.123,1.211,1.215,1.03
R01D,1.15,1.13,1.17,1.2,1.12,1.15,1.161,0.895,0.861,1.519
R01D,1.4,1.382,1.39,1.47,1.37,1.388,1.381,1.304,1.279,1.13
R01D,0.81,0.822,0.83,0.84,0.8,0,0.821,0.818,1.035,1.837
R01D,1.61,1.59,1.61,1.65,1.59,1.611,1.612,1.672,1.778,1.543
R01D,1.55,1.16,1.5,1.5,1.15,1.318,1.187,1.069,0.954,1.432
R01D,2.02,1.6,1.71,1.78,1.54,0,1.696,1.827,1.606,1.419
