date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,5.21,5.24,5.15,4.91,165133,-0.01,-0.19,5.364,5.511,5.874,157592.14,167035.29,344378.79
2018/12/27,5.53,5.53,5.16,5.15,157673.94,-0.26,-4.8,5.458,5.576,5.932,154635.37,175815.94,360922.51
2018/12/26,5.44,5.52,5.42,5.42,124255,-0.05,-0.91,5.556,5.666,5.979,167503.9,181472.13,373932.56
2018/12/25,5.41,5.48,5.47,5.26,212323.58,-0.15,-2.67,5.594,5.729,6.016,172713.03,193400.99,385328.78
2018/12/24,5.65,5.66,5.62,5.57,128575.16,0,0,5.632,5.799,6.045,161975.27,202320.43,384786.7
2018/12/21,5.6,5.7,5.62,5.55,150349.16,-0.03,-0.53,5.658,5.839,6.07,176478.44,216923.51,393376.02
2018/12/20,5.51,5.76,5.65,5.43,222016.58,0.04,0.71,5.694,5.892,6.083,196996.51,245519.47,400416.64
2018/12/19,5.69,5.71,5.61,5.6,150300.69,-0.05,-0.88,5.776,5.956,6.111,195440.36,318841.18,399764.52
2018/12/18,5.68,5.77,5.66,5.58,158634.75,-0.09,-1.56,5.864,6.094,6.138,214088.94,441705.85,406310.16
2018/12/17,5.71,5.77,5.75,5.59,201091,-0.05,-0.86,5.966,6.174,6.172,242665.59,467030.21,414294.82
2018/12/14,6.05,6.11,5.8,5.79,252939.52,-0.26,-4.29,6.02,6.236,6.211,257368.59,521722.29,419651.86
2018/12/13,6.07,6.14,6.06,5.96,214235.86,0.01,0.17,6.09,6.288,6.25,294042.43,546029.09,431020.61
2018/12/12,6.16,6.21,6.05,6.04,243543.55,-0.12,-1.95,6.136,6.291,6.28,442241.99,566392.99,449948.33
2018/12/11,6.04,6.22,6.17,6.02,301518,0.15,2.49,6.324,6.302,6.29,669322.76,577256.58,453257.11
2018/12/10,6.06,6.09,6.02,5.93,274606.03,-0.13,-2.11,6.382,6.291,6.297,691394.83,567252.97,460466.09
2018/12/7,6.15,6.3,6.15,6.04,436308.69,-0.14,-2.23,6.452,6.3,6.304,786075.98,569828.53,460769.33
2018/12/6,6.75,6.75,6.29,6.29,955233.69,-0.7,-10.01,6.486,6.273,6.303,798015.75,555313.8,455365.2
2018/12/5,6.58,7.11,6.99,6.5,1378947.38,0.53,8.2,6.446,6.265,6.295,690543.98,480687.87,425017.45
2018/12/4,6.26,6.46,6.46,6.15,411878.38,0.09,1.41,6.28,6.181,6.246,485190.4,370914.47,373861.45
2018/12/3,6.73,6.82,6.37,6.33,748011.75,0.05,0.79,6.2,6.169,6.228,443111.1,361559.43,376059.24
2018/11/30,5.98,6.45,6.32,5.83,496007.53,0.23,3.78,6.148,6.186,6.204,353581.09,317581.44,361948.65
2018/11/29,6.12,6.39,6.09,6.06,417874.88,-0.07,-1.14,6.06,6.212,6.179,312611.86,316012.13,353374.94
2018/11/28,5.91,6.25,6.16,5.75,352179.47,0.1,1.65,6.084,6.269,6.138,270831.75,333503.67,342869.7
2018/11/27,6.06,6.14,6.06,5.97,201481.88,-0.05,-0.82,6.082,6.278,6.093,256638.54,329257.64,331499.86
2018/11/26,5.93,6.23,6.11,5.86,300361.69,0.23,3.91,6.138,6.302,6.048,280007.76,353679.22,326852.1
2018/11/23,6.16,6.24,5.88,5.6,291161.38,-0.33,-5.31,6.224,6.308,5.999,281581.79,351710.13,316838.52
2018/11/22,6.17,6.29,6.21,6.15,208974.31,0.06,0.98,6.364,6.333,5.968,319412.4,355416.6,308378
2018/11/21,6.18,6.29,6.15,6.05,281213.44,-0.19,-3,6.454,6.325,5.918,396175.59,369347.03,304694.92
2018/11/20,6.47,6.52,6.34,6.22,318328,-0.2,-3.06,6.474,6.311,5.875,401876.74,376808.42,296816.55
2018/11/19,6.58,6.74,6.54,6.42,308231.84,-0.04,-0.61,6.466,6.287,5.823,427350.68,390559.05,289260.36
2018/11/16,6.62,6.76,6.58,6.49,480314.41,-0.08,-1.2,6.392,6.222,5.773,421838.46,406315.85,287597.91
2018/11/15,6.18,6.88,6.66,6.18,592790.25,0.41,6.56,6.302,6.145,5.706,391420.8,390737.74,274071.42
2018/11/14,6.22,6.38,6.25,6.15,309719.19,-0.05,-0.79,6.196,6.007,5.633,342518.46,352235.74,258861.73
2018/11/13,6.06,6.55,6.3,6.03,445697.69,0.13,2.11,6.148,5.908,5.57,351740.11,333742.09,250582.86
2018/11/12,6.04,6.18,6.17,5.98,280670.75,0.04,0.65,6.108,5.794,5.498,353767.43,300024.98,233912.63
2018/11/9,6.02,6.38,6.13,5.99,328226.12,0,0,6.052,5.69,5.44,390793.25,281966.9,225316.62
2018/11/8,6.08,6.31,6.13,5.97,348278.56,0.12,2,5.988,5.602,5.384,390054.68,261339.41,219304.49
2018/11/7,5.99,6.25,6.01,5.92,355827.41,-0.09,-1.48,5.818,5.51,5.342,361953.01,240042.81,209558.34
2018/11/6,5.79,6.28,6.1,5.66,455834.31,0.21,3.56,5.668,5.439,5.335,315744.07,216824.67,196510.48
2018/11/5,5.72,5.96,5.89,5.66,465799.84,0.08,1.38,5.48,5.359,5.319,246282.53,187961.68,176943.02
2018/11/2,5.45,5.81,5.81,5.36,324533.28,0.53,10.04,5.328,5.324,5.311,173140.56,168879.97,160347.01
2018/11/1,5.29,5.45,5.28,5.25,207770.23,0.02,0.38,5.216,5.267,5.324,132624.14,157405.11,148439.07
2018/10/31,5.16,5.3,5.26,5.16,124782.7,0.1,1.94,5.202,5.259,5.362,118132.6,165487.72,144959.39
