date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,3,3.04,3.03,2.97,26598.56,0.03,1,3.02,3.001,3.072,38804.55,34181.97,45377.29
2018/12/27,3.05,3.07,3,2.99,42993.96,-0.03,-0.99,3.004,3.003,3.073,39144.21,36316.98,46999.89
2018/12/26,3.01,3.05,3.03,2.98,38486,0,0,2.994,3.018,3.076,35044.19,36394.02,47807.57
2018/12/25,2.99,3.03,3.03,2.95,42548.71,0.02,0.66,2.98,3.027,3.083,33727.59,35114.82,48273.05
2018/12/24,2.95,3.02,3.01,2.93,43395.52,0.06,2.03,2.978,3.037,3.089,32707.87,34421.79,48940.69
2018/12/21,2.94,2.98,2.95,2.92,28296.84,0,0,2.982,3.05,3.094,29559.39,33216.34,49738.84
2018/12/20,2.95,2.97,2.95,2.93,22493.89,-0.01,-0.34,3.002,3.069,3.103,33489.76,34743.76,52304.94
2018/12/19,3.04,3.04,2.96,2.95,31903,-0.06,-1.99,3.042,3.091,3.118,37743.86,38015.27,53607.6
2018/12/18,3.02,3.03,3.02,2.98,37450.11,-0.01,-0.33,3.074,3.116,3.132,36502.04,45168.41,55989.31
2018/12/17,3.05,3.05,3.03,2.99,27653.12,-0.02,-0.66,3.096,3.133,3.141,36135.71,51707.13,59891.95
2018/12/14,3.15,3.15,3.05,3.04,47948.66,-0.1,-3.17,3.118,3.143,3.153,36873.29,56572.62,64965.07
2018/12/13,3.13,3.17,3.15,3.09,43764.39,0.03,0.96,3.136,3.142,3.167,35997.77,57682.8,72517.07
2018/12/12,3.14,3.16,3.12,3.12,25693.91,-0.01,-0.32,3.14,3.133,3.169,38286.69,59221.11,74693.52
2018/12/11,3.13,3.17,3.13,3.11,35618.47,-0.01,-0.32,3.158,3.139,3.171,53834.78,61431.29,79602.56
2018/12/10,3.14,3.2,3.14,3.12,31341,0,0,3.17,3.14,3.172,67278.54,63459.6,82871.68
2018/12/7,3.16,3.19,3.14,3.14,43571.09,-0.03,-0.95,3.168,3.138,3.169,76271.95,66261.34,85163.17
2018/12/6,3.21,3.26,3.17,3.16,55208.96,-0.04,-1.25,3.148,3.137,3.162,79367.83,69866.11,84397.93
2018/12/5,3.15,3.28,3.21,3.14,103434.39,0.02,0.63,3.126,3.145,3.153,80155.53,69199.92,84594.33
2018/12/4,3.12,3.21,3.19,3.11,102837.26,0.06,1.92,3.12,3.147,3.143,69027.79,66810.21,83023.42
2018/12/3,3.09,3.18,3.13,3.08,76308.05,0.09,2.96,3.11,3.148,3.137,59640.65,68076.78,83367.79
2018/11/30,3.08,3.08,3.04,2.98,59050.48,-0.02,-0.65,3.108,3.163,3.128,56250.73,73357.52,82418.52
2018/11/29,3.18,3.2,3.06,3.06,59147.47,-0.12,-3.77,3.126,3.191,3.125,60364.39,87351.34,84665.28
2018/11/28,3.14,3.18,3.18,3.12,47795.71,0.04,1.27,3.164,3.204,3.117,58244.31,90165.94,84658.83
2018/11/27,3.14,3.18,3.14,3.13,55901.55,0.02,0.64,3.174,3.203,3.101,64592.63,97773.83,84826.59
2018/11/26,3.12,3.21,3.12,3.1,59358.46,-0.01,-0.32,3.186,3.204,3.086,76512.9,102283.77,83801.18
2018/11/23,3.26,3.26,3.13,3.12,79618.74,-0.12,-3.69,3.218,3.199,3.071,90464.31,104065,83391.79
2018/11/22,3.25,3.28,3.25,3.2,48547.11,0.02,0.62,3.256,3.186,3.057,114338.29,98929.74,81642.44
2018/11/21,3.11,3.26,3.23,3.11,79537.31,0.03,0.94,3.244,3.161,3.034,122087.56,99988.73,80798.97
2018/11/20,3.24,3.27,3.2,3.18,115502.88,-0.08,-2.44,3.232,3.138,3.013,130955.02,99236.63,78197.18
2018/11/19,3.31,3.38,3.28,3.25,129115.5,-0.04,-1.21,3.222,3.125,2.993,128054.63,98658.81,74899.09
2018/11/16,3.22,3.35,3.32,3.21,198988.66,0.13,4.08,3.18,3.093,2.972,117665.7,91479.53,72007.69
2018/11/15,3.17,3.23,3.19,3.15,87293.44,0.02,0.63,3.116,3.059,2.943,83521.2,81979.22,64380.49
2018/11/14,3.1,3.22,3.17,3.1,123874.61,0.02,0.64,3.078,3.029,2.92,77889.91,79151.73,61740.47
2018/11/13,3.05,3.17,3.15,3.04,101000.94,0.08,2.61,3.044,2.999,2.901,67518.24,71879.36,57323.44
2018/11/12,3,3.11,3.07,3,77170.84,0.07,2.33,3.028,2.968,2.88,69263,65318.6,54926.84
2018/11/9,3,3.02,3,2.98,28266.15,0,0,3.006,2.942,2.868,65293.35,62718.59,53010.72
2018/11/8,3.02,3.05,3,2.98,59137,0,0,3.002,2.927,2.86,80437.25,64355.13,55993.68
2018/11/7,3.08,3.08,3,3,72016.29,-0.07,-2.28,2.98,2.906,2.855,80413.54,61609.21,56378.1
2018/11/6,2.97,3.15,3.07,2.95,109724.7,0.11,3.72,2.954,2.888,2.86,76240.47,57157.72,54252.29
2018/11/5,2.98,2.99,2.96,2.94,57322.63,-0.02,-0.67,2.908,2.861,2.859,61374.2,51139.37,49876.23
2018/11/2,2.92,3,2.98,2.88,103985.62,0.09,3.11,2.878,2.85,2.864,60143.82,52535.86,49058.22
2018/11/1,2.87,2.92,2.89,2.86,59018.47,0.02,0.7,2.852,2.827,2.872,48273.01,46781.76,46651.83
2018/10/31,2.86,2.88,2.87,2.83,51150.92,0.03,1.06,2.832,2.81,2.885,42804.87,44329.22,45347.31
2018/10/30,2.81,2.86,2.84,2.77,35393.38,0.03,1.07,2.822,2.802,2.9,38074.97,42767.53,45949.9
2018/10/29,2.83,2.88,2.81,2.8,51170.7,-0.04,-1.4,2.814,2.791,2.915,40904.54,44535.09,45628.08
2018/10/26,2.8,2.87,2.85,2.8,44631.58,0.06,2.15,2.822,2.793,2.93,44927.89,43302.85,45969.32
2018/10/25,2.78,2.81,2.79,2.72,31677.79,-0.03,-1.06,2.802,2.792,2.942,45290.52,47632.23,44972.59
2018/10/24,2.79,2.83,2.82,2.77,27501.41,0.02,0.71,2.788,2.804,2.956,45853.56,51146.98,45554.1
2018/10/23,2.84,2.87,2.8,2.78,49541.2,-0.05,-1.75,2.782,2.831,2.968,47460.08,51346.86,45427.42
2018/10/22,2.77,2.9,2.85,2.76,71287.49,0.1,3.64,2.768,2.857,2.978,48165.64,48613.1,43840.96
