date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,3.85,3.98,3.98,3.78,119203.92,0.15,3.92,3.932,3.941,3.969,81755.95,77827.74,81404.56
2018/12/27,3.96,3.98,3.83,3.79,99765.77,-0.06,-1.54,3.914,3.938,3.966,73410.22,76173.04,80146.99
2018/12/26,3.94,3.95,3.89,3.88,39549.38,-0.05,-1.27,3.934,3.965,3.974,69537.34,80271.36,79748.24
2018/12/25,3.98,3.99,3.94,3.87,67671.6,-0.08,-1.99,3.942,3.978,3.983,74701.52,83273.95,81444.64
2018/12/24,3.89,4.03,4.02,3.89,82589.08,0.13,3.34,3.948,3.98,3.985,73799.39,84127.89,81238.82
2018/12/21,3.9,3.95,3.89,3.88,77475.26,-0.04,-1.02,3.95,3.963,3.985,73899.52,82933.1,80393.7
2018/12/20,3.94,4.01,3.93,3.91,80401.4,0,0,3.962,3.968,3.99,78935.87,79177.41,83180.98
2018/12/19,4,4.05,3.93,3.91,65370.28,-0.04,-1.01,3.996,3.972,4.005,91005.38,78432.27,82970.92
2018/12/18,4.01,4.03,3.97,3.93,63160.94,-0.06,-1.49,4.014,3.982,4.019,91846.38,79337.78,85740.89
2018/12/17,3.97,4.05,4.03,3.96,83089.72,0.08,2.02,4.012,3.993,4.03,94456.39,80369.27,89432.72
2018/12/14,4.1,4.14,3.95,3.95,102657.01,-0.15,-3.66,3.976,3.996,4.048,91966.68,84981.39,95946.55
2018/12/13,4.03,4.14,4.1,4.01,140748.95,0.08,1.99,3.974,3.994,4.063,79418.96,84120.93,97754.03
2018/12/12,4,4.07,4.02,3.98,69575.29,0.06,1.51,3.948,3.982,4.072,65859.17,79225.13,97905.64
2018/12/11,3.89,3.99,3.96,3.86,76210.98,0.11,2.86,3.95,3.987,4.084,66829.17,79615.32,106868.47
2018/12/10,3.95,3.96,3.85,3.83,70641.16,-0.09,-2.28,3.974,3.99,4.096,66282.15,78349.74,112422.89
2018/12/7,3.97,4,3.94,3.93,39918.41,-0.03,-0.76,4.016,4.006,4.114,77996.1,77854.31,120293.76
2018/12/6,4.03,4.05,3.97,3.95,72950,-0.06,-1.49,4.014,4.011,4.125,88822.91,87184.55,134141.46
2018/12/5,4.02,4.11,4.03,4.02,74425.29,-0.05,-1.23,4.016,4.037,4.122,92591.08,87509.57,135947.06
2018/12/4,4.06,4.11,4.08,4.02,73475.87,0.02,0.49,4.024,4.055,4.12,92401.47,92144,136162.3
2018/12/3,4,4.08,4.06,3.99,129210.92,0.13,3.31,4.006,4.067,4.119,90417.34,98496.16,138298.03
2018/11/30,3.96,3.98,3.93,3.84,94052.46,-0.05,-1.26,3.996,4.099,4.117,77712.51,106911.71,137153.34
2018/11/29,4.09,4.09,3.98,3.96,91790.87,-0.09,-2.21,4.008,4.131,4.121,85546.18,111387.12,139479.17
2018/11/28,4,4.08,4.07,3.98,73477.21,0.08,2,4.058,4.162,4.12,82428.05,116586.15,142315.02
