date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,8.33,8.58,8.44,8.3,13538.0,0.12,1.44,8.328,8.336,8.081,15376.4,17684.99,20303.95
2018-12-27,8.43,8.6,8.32,8.26,15715.89,0.0,0.0,8.298,8.314,8.013,20374.8,19627.4,20912.49
2018-12-26,8.2,8.46,8.32,8.18,15613.0,0.07,0.85,8.38,8.295,7.967,20642.14,20215.27,21268.8
2018-12-25,8.26,8.26,8.25,7.89,20533.11,-0.06,-0.72,8.378,8.237,7.941,20687.0,21055.06,21310.05
2018-12-24,8.13,8.49,8.31,8.13,11482.0,0.02,0.24,8.366,8.206,7.926,18816.98,22100.75,22640.56
2018-12-21,8.86,9.08,8.29,8.29,38530.02,-0.44,-5.04,8.344,8.131,7.926,19993.58,23833.95,22114.86
2018-12-20,8.37,8.73,8.73,8.36,17052.55,0.42,5.05,8.33,8.057,7.948,18880.0,20292.35,20529.71
2018-12-19,8.15,8.47,8.31,8.15,15837.33,0.12,1.47,8.21,7.979,7.972,19788.39,20218.35,19786.68
2018-12-18,8.2,8.36,8.19,8.08,11183.0,-0.01,-0.12,8.096,7.944,7.994,21423.11,21083.37,19044.02
2018-12-17,8.16,8.38,8.2,7.98,17365.0,-0.02,-0.24,8.046,7.904,8.002,25384.52,22596.65,18978.98
2018-12-14,8.23,8.48,8.22,8.09,32962.13,0.09,1.11,7.918,7.826,7.989,27674.32,22922.91,18662.93
2018-12-13,7.72,8.13,8.13,7.7,21594.51,0.39,5.04,7.784,7.711,7.956,21704.69,22197.58,17960.88
2018-12-12,7.95,8.14,7.74,7.74,24010.91,-0.2,-2.52,7.748,7.639,7.909,20648.3,22322.34,17611.53
2018-12-11,7.53,7.94,7.94,7.39,30990.03,0.38,5.03,7.792,7.645,7.892,20743.64,21565.05,17124.93
2018-12-10,7.17,7.59,7.56,7.17,28814.01,0.01,0.13,7.762,7.646,7.869,19808.78,23180.37,16333.55
2018-12-07,7.55,7.55,7.55,7.55,3114.0,-0.4,-5.03,7.734,7.72,7.853,18171.5,20395.77,15579.21
2018-12-06,7.92,8.18,7.95,7.73,16312.57,-0.01,-0.13,7.638,7.839,7.835,22690.46,20767.07,15990.38
2018-12-05,7.6,8.18,7.96,7.6,24487.57,0.17,2.18,7.53,7.964,7.807,23996.37,19355.01,15697.95
2018-12-04,7.45,7.79,7.79,7.4,26315.77,0.37,4.99,7.498,8.044,7.771,22386.46,17004.66,14862.32
2018-12-03,7.17,7.42,7.42,7.13,20627.57,0.35,4.95,7.53,8.099,7.746,26551.96,15361.31,14658.0
2018-11-30,7.39,7.39,7.07,7.04,25708.84,-0.34,-4.59,7.706,8.151,7.735,22620.05,14402.96,14607.7
2018-11-29,7.79,7.86,7.41,7.41,22842.12,-0.39,-5.0,8.04,8.2,7.726,18843.68,13724.18,13706.3
2018-11-28,7.93,8.01,7.8,7.77,16438.0,-0.15,-1.89,8.398,8.179,7.683,14713.65,12900.72,13054.62
2018-11-27,7.89,8.47,7.95,7.89,47143.27,-0.35,-4.22,8.59,8.139,7.621,11622.85,12684.82,12656.7
2018-11-26,8.3,8.3,8.3,8.3,968.0,-0.44,-5.03,8.668,8.092,7.549,4170.67,9486.74,10813.44
2018-11-23,9.15,9.15,8.74,8.74,6827.0,-0.46,-5.0,8.596,7.986,7.464,6185.88,10762.64,11277.34
2018-11-22,9.2,9.2,9.2,9.2,2192.0,0.44,5.02,8.36,7.831,7.363,8604.68,11213.68,11529.77
2018-11-21,8.76,8.76,8.76,8.76,984.0,0.42,5.04,7.96,7.649,7.229,11087.78,12040.88,12235.65
2018-11-20,8.3,8.34,8.34,8.18,9882.34,0.4,5.04,7.688,7.497,7.104,13746.78,12719.98,12766.47
2018-11-19,7.6,7.94,7.94,7.59,11044.04,0.38,5.03,7.516,7.392,6.985,14802.81,13954.69,13141.96
2018-11-16,7.26,7.56,7.56,7.16,18921.01,0.36,5.0,7.376,7.319,6.877,15339.4,14812.44,13109.43
2018-11-15,7.3,7.44,7.2,7.13,14607.53,-0.2,-2.7,7.302,7.251,6.775,13822.69,13688.41,12972.35
2018-11-14,7.47,7.58,7.4,7.33,14279.0,-0.08,-1.07,7.338,7.186,6.703,12993.98,13208.53,12622.32
2018-11-13,7.2,7.58,7.48,7.13,15162.45,0.24,3.31,7.306,7.102,6.637,11693.18,12628.58,12316.61
2018-11-12,7.19,7.36,7.24,7.06,13727.02,0.05,0.69,7.268,7.005,6.57,13106.58,12140.14,12078.49
2018-11-09,7.31,7.37,7.19,7.15,11337.43,-0.19,-2.58,7.262,6.941,6.512,14285.48,11792.04,11712.74
2018-11-08,7.24,7.4,7.38,7.24,10464.0,0.14,1.93,7.2,6.894,6.461,13554.14,11845.86,11937.22
2018-11-07,7.22,7.46,7.24,7.19,7775.0,-0.05,-0.69,7.034,6.808,6.415,13423.07,12430.41,11760.79
2018-11-06,7.17,7.38,7.29,6.85,22229.43,0.08,1.11,6.898,6.71,6.393,13563.98,12812.97,11660.9
2018-11-05,6.89,7.22,7.21,6.88,19621.55,0.33,4.8,6.742,6.577,6.372,11173.71,12329.22,10778.63
