date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,5.18,5.28,5.22,5.01,108424.48,0.11,2.15,5.048,5.106,5.256,83271.5,66544.65,71594.5
2018/12/27,5.08,5.3,5.11,5,114973.95,0.14,2.82,5.014,5.109,5.258,73138.59,61816.36,70325.84
2018/12/26,4.89,5.14,4.97,4.82,64506.8,0.07,1.43,5.008,5.144,5.256,58608.19,56521.37,67688.68
2018/12/25,4.96,4.97,4.9,4.7,90891.85,-0.14,-2.78,5.034,5.188,5.269,54956.17,54778.19,67988.52
2018/12/24,5.05,5.09,5.04,5,37560.41,-0.01,-0.2,5.106,5.246,5.289,48585.62,53388.02,67261.25
2018/12/21,5.08,5.13,5.05,4.97,57759.93,-0.03,-0.59,5.164,5.269,5.294,49817.79,53393.18,68474.87
2018/12/20,5.07,5.18,5.08,5.05,42321.95,-0.02,-0.39,5.204,5.304,5.298,50494.13,51688.33,71099.93
2018/12/19,5.26,5.26,5.1,5.08,46246.7,-0.16,-3.04,5.28,5.334,5.314,54434.56,53240.57,72110.76
2018/12/18,5.33,5.35,5.26,5.12,59039.1,-0.07,-1.31,5.342,5.371,5.334,54600.21,58258.16,74781.47
2018/12/17,5.23,5.37,5.33,5.2,43721.29,0.08,1.52,5.386,5.399,5.346,58190.41,65997.21,84304.49
2018/12/14,5.47,5.49,5.25,5.24,61141.6,-0.21,-3.85,5.374,5.405,5.383,56968.56,76644.36,95546.57
2018/12/13,5.46,5.54,5.46,5.38,62024.11,0.05,0.92,5.404,5.406,5.415,52882.52,78835.33,104124.05
2018/12/12,5.45,5.51,5.41,5.39,47074.94,-0.07,-1.28,5.388,5.368,5.429,52046.58,78855.98,116062.79
2018/12/11,5.37,5.52,5.48,5.31,76990.13,0.21,3.98,5.4,5.35,5.446,61916.11,81198.85,124416.1
2018/12/10,5.32,5.4,5.27,5.22,37612.04,-0.13,-2.41,5.412,5.332,5.433,73804,81134.48,126076.86
2018/12/7,5.36,5.44,5.4,5.35,40711.4,0.02,0.37,5.436,5.319,5.427,96320.15,83556.55,132358.13
2018/12/6,5.56,5.65,5.38,5.32,57844.4,-0.09,-1.65,5.408,5.291,5.398,104788.14,90511.54,134132.99
2018/12/5,5.35,5.52,5.47,5.33,96422.6,-0.07,-1.26,5.348,5.294,5.376,105665.38,90980.95,135198.98
