date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,7.85,7.97,7.8,7.75,174435.05,-0.1,-1.27,8.03,7.788,7.634,274705.84,242791.53,178788.87
2018/12/27,8.2,8.21,7.9,7.9,223472.19,-0.22,-2.71,8.022,7.724,7.621,291727.65,234905.4,179129.33
2018/12/26,8.3,8.3,8.12,8,273317.84,-0.14,-1.7,8.014,7.674,7.596,323805.84,222190.43,177930.05
2018/12/25,7.94,8.4,8.26,7.78,388773.19,0.19,2.35,7.848,7.602,7.573,296775.98,200959.95,177833.17
2018/12/24,7.79,8.16,8.07,7.78,313530.91,0.31,4,7.706,7.524,7.519,260315.93,169751.34,163109.29
2018/12/21,7.8,7.92,7.76,7.68,259544.12,-0.1,-1.27,7.546,7.455,7.47,210877.22,145359.92,153087.2
2018/12/20,7.23,7.96,7.86,7.23,383863.12,0.57,7.82,7.426,7.424,7.432,178083.16,126384.18,149127.74
2018/12/19,7.6,7.64,7.29,7.25,138168.56,-0.26,-3.44,7.334,7.377,7.403,120575.03,99397.13,136344.07
2018/12/18,7.29,7.66,7.55,7.28,206472.92,0.28,3.85,7.356,7.409,7.411,105143.92,100375.78,139383.24
2018/12/17,7.14,7.32,7.27,7.12,66337.4,0.11,1.54,7.342,7.435,7.396,79186.76,95034.78,139039.69
2018/12/14,7.42,7.47,7.16,7.15,95573.78,-0.24,-3.24,7.364,7.48,7.415,79842.62,114786.21,146519.97
2018/12/13,7.4,7.53,7.4,7.29,96322.5,0,0,7.422,7.517,7.43,74685.2,123353.26,151631.17
2018/12/12,7.52,7.55,7.4,7.38,61013,-0.08,-1.07,7.42,7.517,7.431,78219.22,133669.66,154312.22
2018/12/11,7.48,7.48,7.48,7.38,76687.11,0.1,1.35,7.462,7.544,7.431,95607.63,154706.4,158390.32
2018/12/10,7.37,7.49,7.38,7.35,69616.72,-0.07,-0.94,7.528,7.513,7.432,110882.8,156467.24,165326.32
2018/12/7,7.39,7.53,7.45,7.39,69786.65,0.06,0.81,7.596,7.485,7.436,149729.8,160814.47,171484.28
2018/12/6,7.53,7.63,7.39,7.37,113992.64,-0.22,-2.89,7.612,7.44,7.425,172021.33,171871.31,177454.22
2018/12/5,7.61,7.69,7.61,7.51,147955.05,-0.2,-2.56,7.614,7.429,7.41,189120.1,173291,178194.67
