date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,7.86,7.95,7.92,7.85,32141.33,0.03,0.38,7.928,7.967,8.045,45501.67,49094.34,57789.29
2018-12-27,8.02,8.1,7.89,7.86,47074.86,-0.05,-0.63,7.934,7.98,8.06,46624.66,50833.06,58168.57
2018-12-26,7.9,7.99,7.94,7.81,70626.0,0.05,0.63,7.952,8.014,8.073,44331.42,53686.39,59203.56
2018-12-25,7.93,8.0,7.89,7.77,38273.86,-0.11,-1.38,7.956,8.027,8.092,39459.09,50863.41,59806.02
2018-12-24,7.92,8.05,8.0,7.82,39392.31,0.05,0.63,7.996,8.04,8.115,48791.73,51115.08,60081.23
2018-12-21,7.97,8.02,7.95,7.82,37756.25,-0.03,-0.38,8.006,8.046,8.131,52687.0,54395.53,62155.21
2018-12-20,8.02,8.05,7.98,7.93,35608.7,0.02,0.25,8.026,8.057,8.143,55041.47,54797.07,65114.22
2018-12-19,8.06,8.11,7.96,7.96,46264.33,-0.13,-1.61,8.076,8.058,8.171,63041.36,58175.21,67710.92
2018-12-18,8.01,8.1,8.09,7.77,84937.08,0.04,0.5,8.098,8.077,8.199,62267.73,60961.69,72082.65
2018-12-17,8.0,8.12,8.05,7.99,58868.64,0.0,0.0,8.084,8.094,8.215,53438.43,63081.06,77657.86
2018-12-14,8.23,8.24,8.05,8.05,49528.58,-0.18,-2.19,8.086,8.122,8.264,56104.06,66484.25,87140.41
2018-12-13,8.07,8.26,8.23,8.03,75608.19,0.16,1.98,8.088,8.139,8.3,54552.68,65504.08,95468.11
2018-12-12,8.02,8.1,8.07,8.0,42396.18,0.05,0.62,8.04,8.131,8.313,53309.05,64720.73,98273.26
2018-12-11,8.06,8.06,8.02,7.97,40790.54,-0.04,-0.5,8.056,8.156,8.33,59655.65,68748.62,101171.35
2018-12-10,7.95,8.07,8.06,7.89,72196.79,0.0,0.0,8.104,8.189,8.347,72723.69,69047.38,103873.58
