date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,6.47,6.74,6.58,6.39,110131.86,0.09,1.39,6.824,7.134,7.548,120290.06,104245.02,113592.01
2018/12/27,6.91,6.96,6.49,6.41,103689.16,-0.3,-4.42,6.968,7.219,7.622,115891.15,104996.7,115976.17
2018/12/26,6.99,7.03,6.79,6.76,112614.47,-0.2,-2.86,7.15,7.353,7.694,111745.29,105558.13,119229.08
2018/12/25,7.11,7.11,6.99,6.62,165975.12,-0.28,-3.85,7.274,7.459,7.774,103723.06,104368.45,120123.71
2018/12/24,7.28,7.43,7.27,7.17,109039.71,-0.03,-0.41,7.384,7.556,7.839,91440.42,100162.76,118720.35
2018/12/21,7.42,7.43,7.3,7.13,88137.3,-0.1,-1.35,7.444,7.604,7.903,88199.98,98872.51,118098.26
2018/12/20,7.41,7.53,7.4,7.31,82959.84,-0.01,-0.14,7.47,7.653,7.963,94102.25,102513.95,123314.28
2018/12/19,7.52,7.58,7.41,7.36,72503.35,-0.13,-1.72,7.556,7.704,8.059,99370.97,108930.81,129866.21
2018/12/18,7.54,7.69,7.54,7.38,104561.9,-0.03,-0.4,7.644,7.792,8.167,105013.84,114037.72,139115.19
2018/12/17,7.41,7.6,7.57,7.41,92837.5,0.14,1.88,7.728,7.878,8.24,108885.1,116054.72,141971.44
2018/12/14,7.83,7.88,7.43,7.2,117648.64,-0.4,-5.11,7.764,7.961,8.334,109545.05,122939.01,147522.56
2018/12/13,7.9,7.99,7.83,7.79,109303.46,-0.02,-0.26,7.836,8.025,8.452,110925.65,126955.64,157400.78
2018/12/12,7.97,7.98,7.85,7.76,100717.72,-0.11,-1.38,7.852,8.034,8.526,118490.65,132900.04,161605.26
2018/12/11,7.72,7.98,7.96,7.72,123918.19,0.21,2.71,7.94,8.089,8.604,123061.6,135878.97,166306.51
2018/12/10,7.78,7.92,7.75,7.67,96137.24,-0.04,-0.51,8.028,8.122,8.684,123224.34,137277.94,174388.44
2018/12/7,8.03,8.06,7.79,7.75,124551.64,-0.12,-1.52,8.158,8.202,8.761,136332.96,137324,182159.6
2018/12/6,8.28,8.33,7.91,7.82,147128.48,-0.38,-4.58,8.214,8.273,8.835,142985.64,144114.62,195359.43
2018/12/5,8.08,8.45,8.29,8.08,123572.47,-0.11,-1.31,8.216,8.414,8.878,147309.42,150801.61,204319.06
2018/12/4,8.44,8.48,8.4,8.27,124731.87,0,0,8.238,8.541,8.879,148696.34,164192.65,207863.94
2018/12/3,8.53,8.6,8.4,8.27,161680.34,0.33,4.09,8.216,8.602,8.891,151331.55,167888.16,215121.03
2018/11/30,7.94,8.09,8.07,7.61,157815.03,0.15,1.89,8.246,8.706,8.884,138315.04,172106.12,216513.97
2018/11/29,8.36,8.57,7.92,7.81,168747.41,-0.48,-5.71,8.332,8.879,8.886,145243.6,187845.91,218104.63
2018/11/28,8.44,8.59,8.4,8.24,130507.03,0.11,1.33,8.612,9.017,8.887,154293.79,190310.49,224598.71
2018/11/27,8.65,8.7,8.29,8.16,137907.92,-0.26,-3.04,8.844,9.119,8.869,179688.97,196734.06,223967.66
2018/11/26,8.47,8.76,8.55,8.43,96597.79,0.05,0.59,8.988,9.246,8.82,184444.78,211498.94,225527.06
2018/11/23,9.34,9.42,8.5,8.5,192457.83,-0.82,-8.8,9.166,9.32,8.772,205897.21,226995.2,225787.75
2018/11/22,9.79,9.79,9.32,9.23,213998.36,-0.24,-2.51,9.426,9.396,8.733,230448.23,246604.24,223088.46
2018/11/21,8.88,9.68,9.56,8.82,257482.94,0.55,6.1,9.422,9.341,8.662,226327.19,257836.51,218773.69
2018/11/20,9.33,9.6,9.01,8.95,161686.98,-0.43,-4.55,9.394,9.216,8.584,213779.15,251535.23,215162.68
2018/11/19,9.6,9.77,9.44,9.29,203859.94,-0.36,-3.67,9.504,9.18,8.527,238553.1,262353.9,219098.85
2018/11/16,9.38,9.93,9.8,9.09,315212.91,0.5,5.38,9.474,9.062,8.44,248093.18,260921.82,217066.7
2018/11/15,9.27,9.39,9.3,9.06,193393.19,-0.12,-1.27,9.366,8.892,8.315,262760.25,248363.36,207804.84
2018/11/14,9.48,9.67,9.42,9.27,194742.73,-0.14,-1.46,9.26,8.757,8.209,289345.82,258886.93,206436.5
2018/11/13,9.07,9.77,9.56,9.01,285556.75,0.27,2.91,9.038,8.619,8.136,289291.32,251201.27,204682.7
2018/11/12,8.84,9.37,9.29,8.84,251560.34,0.03,0.32,8.856,8.394,8.044,286154.69,239555.18,198661.37
2018/11/9,8.94,9.65,9.26,8.77,388548.22,0.49,5.59,8.65,8.223,7.97,273750.46,224580.31,197169.22
2018/11/8,8.33,9.08,8.77,8.29,326321.06,0.46,5.54,8.418,8.069,7.882,233966.47,199572.69,186057.5
2018/11/7,8.52,8.56,8.31,8.27,194470.22,-0.34,-3.93,8.254,7.982,7.847,228428.04,179710.87,178180.01
2018/11/6,8.32,8.66,8.65,8.22,269873.62,0.39,4.72,8.2,7.951,7.88,213111.21,178790.12,174583.94
2018/11/5,8.1,8.37,8.26,8.09,189539.16,0.16,1.98,7.932,7.873,7.908,192955.67,175843.79,166100.13
2018/11/2,8.09,8.39,8.1,8,189628.27,0.15,1.89,7.796,7.817,7.956,175410.15,173211.58,162880.71
2018/11/1,8.35,8.5,7.95,7.9,298628.94,-0.09,-1.12,7.72,7.738,8.048,165178.91,167246.32,160329.05
2018/10/31,7.46,8.04,8.04,7.39,117886.08,0.73,9.99,7.71,7.66,8.148,130993.7,153986.08,155821.66
2018/10/30,6.9,7.47,7.31,6.9,169095.92,-0.27,-3.56,7.702,7.653,8.267,144469.03,158164.14,162912.93
2018/10/29,7.61,7.87,7.58,7.56,101811.56,-0.14,-1.81,7.814,7.694,8.409,158731.91,157767.56,163498.51
2018/10/26,7.98,8.02,7.72,7.64,138472.05,-0.18,-2.28,7.838,7.716,8.543,171013,169758.13,174387.18
2018/10/25,7.67,8,7.9,7.61,127702.87,-0.1,-1.25,7.756,7.694,8.675,169313.74,172542.3,180748.24
2018/10/24,7.86,8.13,8,7.7,185262.73,0.13,1.65,7.61,7.711,8.788,176978.46,176649.15,188110.22
2018/10/23,7.8,8.25,7.87,7.74,240410.34,0.17,2.21,7.604,7.808,8.888,171859.25,170377.76,192487.91
2018/10/22,7.47,7.85,7.7,7.44,163217.02,0.39,5.33,7.574,7.943,8.966,156803.2,156356.46,190113.57
2018/10/19,6.82,7.34,7.31,6.74,129975.72,0.14,1.95,7.594,8.095,9.058,168503.26,152549.85,198174.3
2018/10/18,7.89,7.92,7.17,7.17,166026.47,-0.8,-10.04,7.632,8.358,9.221,175770.87,153411.78,209871.79
2018/10/17,7.92,8.02,7.97,7.65,159666.72,0.25,3.24,7.812,8.635,9.402,176319.84,157657.23,225350.92
2018/10/16,7.84,8.08,7.72,7.61,165130.09,-0.08,-1.03,8.012,8.88,9.52,168896.26,167661.72,236072.48
2018/10/15,7.58,8.25,7.8,7.55,221717.31,0.3,4,8.312,9.123,9.661,155909.72,169229.47,255861.6
2018/10/12,7.85,7.99,7.5,7.27,166313.77,-0.57,-7.06,8.596,9.369,9.75,136596.43,179016.23,268138.6
2018/10/11,8.54,8.54,8.07,8.07,168771.3,-0.9,-10.03,9.084,9.656,9.811,131052.69,188954.18,270911.42
2018/10/10,9.28,9.37,8.97,8.85,122548.85,-0.25,-2.71,9.458,9.864,9.855,138994.63,199571.3,274343.34
2018/10/9,9.36,9.51,9.22,9.14,100197.37,0,0,9.748,9.967,9.851,166427.17,214598.06,282312.64
2018/10/8,9.58,9.83,9.22,9.11,125150.88,-0.72,-7.24,9.934,9.988,9.834,182549.21,223870.68,289798.11
2018/9/28,9.9,10.1,9.94,9.81,138595.03,0,0,10.142,10.021,9.798,221436.03,243798.74,293463.82
2018/9/27,10.3,10.48,9.94,9.9,208481.02,-0.48,-4.61,10.228,10.084,9.747,246855.67,266331.8,295261.69
2018/9/26,10.16,10.57,10.42,10.06,259711.56,0.27,2.66,10.27,10.168,9.707,260147.97,293044.6,299861.86
2018/9/25,10.07,10.34,10.15,9.9,180807.56,-0.11,-1.07,10.186,10.16,9.64,262768.96,304483.24,313992.99
2018/9/21,10.36,10.62,10.26,10.11,319585,-0.11,-1.06,10.042,10.199,9.636,265192.15,342493.73,343549.01
2018/9/20,10.2,10.37,10.37,9.86,265693.19,0.22,2.17,9.9,10.131,9.602,266161.45,357260.97,327730.71
2018/9/19,10.04,10.33,10.15,9.73,274942.53,0.15,1.5,9.94,9.965,9.615,285807.93,352868.66,314570.55
2018/9/18,10.09,10.29,10,9.56,272816.5,0.57,6.04,10.066,9.846,9.698,325941.23,349115.38,301000.02
2018/9/17,9.25,9.85,9.43,9.24,192923.52,-0.12,-1.26,10.134,9.735,9.854,346197.52,350027.21,287684.45
2018/9/14,10.3,10.37,9.55,9.55,324431.53,-1.02,-9.65,10.356,9.68,10.111,419795.31,355725.54,278253.27
2018/9/13,10.67,11.14,10.57,10.11,363925.59,-0.21,-1.95,10.362,9.574,10.444,448360.48,343128.9,262253.64
2018/9/12,10.34,11.28,10.78,10.03,475609,0.44,4.25,9.99,9.41,10.815,419929.39,324191.58,244084.46
2018/9/11,10.28,10.38,10.34,9.76,374097.94,-0.2,-1.9,9.626,9.246,11.276,372289.53,306679.13,220338.56
2018/9/10,9.8,10.54,10.54,9.8,560912.5,0.96,10.02,9.336,9.119,11.87,353856.91,323502.74,203667.32
2018/9/7,8.9,9.58,9.58,8.84,467257.38,0.87,9.99,9.004,9.073,12.573,291655.77,344604.28,178945.65
2018/9/6,8.9,9.01,8.71,8.6,221770.14,-0.25,-2.79,8.786,9.072,13.337,237897.33,298200.45,157273.24
2018/9/5,8.93,9.18,8.96,8.81,237409.67,0.07,0.79,8.83,9.264,14.136,228453.78,276272.43,147023.13
2018/9/4,8.78,9.23,8.89,8.78,281934.84,0.01,0.11,8.866,9.549,14.92,241068.73,252884.67,136838.15
2018/9/3,8.48,8.98,8.88,8.12,249906.84,0.39,4.59,8.902,9.972,15.708,293148.57,225341.68,123838.66
2018/8/31,8.86,8.98,8.49,8.36,198465.14,-0.44,-4.93,9.142,10.542,16.503,397552.79,200781,112904.56
2018/8/30,9.12,9.26,8.93,8.85,174552.39,-0.21,-2.3,9.358,11.313,17.308,358503.57,181378.38,106410.2
2018/8/29,8.8,9.23,9.14,8.8,300484.44,0.07,0.77,9.698,12.22,18.159,324091.09,163977.34,106427.08
2018/8/28,9.07,9.55,9.07,9.07,542334.06,-1.01,-10.02,10.232,13.306,19.047,264700.6,133998,93634.04
