date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,4.67,4.73,4.61,4.55,270230.72,-0.05,-1.07,4.754,4.794,4.965,405643.69,463513.16,448717.07
2018/12/27,4.77,4.88,4.66,4.65,389128.75,-0.2,-4.12,4.792,4.807,4.999,442663.97,470463.02,469964.1
2018/12/26,4.68,4.95,4.86,4.64,477426.09,0.03,0.62,4.82,4.834,5.047,448612.71,460947.56,494701.25
2018/12/25,4.88,5.03,4.83,4.8,559480.06,0.02,0.42,4.842,4.847,5.076,500457.88,439059.43,498489.94
2018/12/24,4.71,4.87,4.81,4.6,331952.84,0.01,0.21,4.882,4.872,5.116,529447.06,416486.43,499948.01
2018/12/21,4.89,5.05,4.8,4.8,455332.09,0,0,4.834,4.888,5.161,521382.63,420395.2,521827.02
2018/12/20,4.95,4.98,4.8,4.76,418872.47,-0.17,-3.42,4.822,4.921,5.213,498262.07,415398.03,552860.56
2018/12/19,5.04,5.14,4.97,4.85,736651.94,-0.06,-1.19,4.848,4.97,5.258,473282.41,424000.88,576235.21
2018/12/18,4.6,5.03,5.03,4.59,704425.94,0.46,10.07,4.852,5.017,5.306,377660.97,417051.06,625912.64
2018/12/17,4.68,4.7,4.57,4.51,291630.72,-0.17,-3.59,4.862,5.051,5.333,303525.81,400016.62,648685.97
2018/12/14,4.94,4.97,4.74,4.7,339729.28,-0.19,-3.85,4.942,5.136,5.358,319407.77,433920.97,659555.57
2018/12/13,4.99,5,4.93,4.85,293974.16,-0.06,-1.2,5.02,5.19,5.371,332534,469465.19,674605.63
2018/12/12,5.04,5.07,4.99,4.96,258544.77,-0.09,-1.77,5.092,5.26,5.378,374719.35,528454.94,698119.69
2018/12/11,4.97,5.09,5.08,4.92,333750.12,0.11,2.21,5.182,5.305,5.383,456441.14,557920.45,750223.83
2018/12/10,5.17,5.21,4.97,4.97,371040.5,-0.16,-3.12,5.24,5.36,5.394,496507.42,583409.58,843826.29
2018/12/7,5.28,5.31,5.13,5.11,405360.44,-0.16,-3.02,5.33,5.433,5.386,548434.17,623258.85,830982.91
2018/12/6,5.28,5.48,5.29,5.24,504900.91,-0.15,-2.76,5.36,5.505,5.397,606396.38,690323.09,811367.24
2018/12/5,5.36,5.65,5.44,5.31,667153.75,0.07,1.3,5.428,5.546,5.43,682190.52,728469.55,786492.84
2018/12/4,5.39,5.43,5.37,5.25,534081.5,-0.05,-0.92,5.428,5.595,5.488,659399.76,834774.22,753326.91
2018/12/3,5.31,5.45,5.42,5.1,630674.25,0.14,2.65,5.48,5.615,5.586,670311.74,897355.33,726718.53
2018/11/30,5.5,5.55,5.28,5.08,695171.5,-0.35,-6.22,5.536,5.579,5.722,698083.53,885190.17,695335.17
2018/11/29,5.4,5.86,5.63,5.38,883871.62,0.19,3.49,5.65,5.551,5.91,774249.8,879746.07,660784.74
2018/11/28,5.5,5.61,5.44,5.3,553199.94,-0.19,-3.38,5.664,5.496,6.13,774748.57,867784.44,621875.46
2018/11/27,5.56,5.86,5.63,5.52,588641.38,-0.07,-1.23,5.762,5.46,6.416,1010148.68,942527.2,597454.91
2018/11/26,5.62,5.98,5.7,5.27,769533.19,-0.15,-2.56,5.75,5.427,6.682,1124398.93,1104242.99,571149.99
2018/11/23,5.74,6.06,5.85,5.68,1076002.88,0.15,2.63,5.622,5.339,6.944,1072296.82,1038706.97,536361.45
2018/11/22,5.72,5.87,5.7,5.52,886365.44,-0.23,-3.88,5.452,5.289,7.188,985242.33,932411.38,486283.61
2018/11/21,5.6,6.13,5.93,5.5,1730200.5,0.36,6.46,5.328,5.313,7.461,960820.31,844516.14,444764.58
2018/11/20,5.02,5.57,5.57,4.98,1159892.62,0.51,10.08,5.158,5.38,7.725,874905.73,671879.59,366837.64
2018/11/19,5,5.08,5.06,4.95,509022.66,0.06,1.2,5.104,5.556,8.001,1084087.06,556081.73,313114.29
2018/11/16,5.06,5.08,5,4.95,640730.44,-0.08,-1.57,5.056,5.864,8.311,1005117.12,505480.16,299877.99
2018/11/15,4.99,5.14,5.08,4.97,764255.31,0,0,5.126,6.268,8.625,879580.44,441823.42,280675.17
2018/11/14,5.15,5.3,5.08,5.04,1300627.62,-0.22,-4.15,5.298,6.764,8.915,728211.97,375966.49,244591.85
2018/11/13,4.7,5.3,5.3,4.68,2205799.25,0.48,9.96,5.602,7.371,9.202,468853.45,252382.62,182998.57
2018/11/12,4.82,4.82,4.82,4.82,114173,-0.53,-9.91,6.008,7.936,9.487,28076.4,38057,79012.43
2018/11/9,5.35,5.35,5.35,5.35,13047,-0.59,-9.93,6.672,8.548,9.778,5843.2,34015.93,78163.92
2018/11/8,5.94,5.94,5.94,5.94,7413,-0.66,-10,7.41,9.087,10.037,4066.4,40155.84,80650.31
2018/11/7,6.6,6.6,6.6,6.6,3835,-0.73,-9.96,8.23,9.608,10.267,23721,45013.03,82539.72
2018/11/6,7.33,7.33,7.33,7.33,1914,-0.81,-9.95,9.14,10.069,10.466,35911.79,61795.68,88057.97
2018/11/5,8.14,8.14,8.14,8.14,3007,-0.9,-9.96,9.864,10.446,10.621,48037.59,70146.85,93071.75
2018/11/2,9.04,9.04,9.04,9.04,4163,-1,-9.96,10.424,10.758,10.73,62188.67,94275.83,97204.51
2018/1/18,11.19,11.2,10.04,10.04,105686,-1.12,-10.04,10.764,10.982,10.793,76245.27,119526.92,100183.2
2018/1/17,10.91,11.18,11.15,10.78,64788.96,0.18,1.64,10.986,11.066,10.797,66305.06,113217.21,95911.02
2018/1/16,10.89,11.2,10.95,10.86,62543,0,0,10.998,11.033,10.749,87679.57,113614.52,94805.77
2018/1/15,10.79,11.09,10.94,10.78,73762.38,0.14,1.3,11.028,11.037,10.716,92256.1,119967.86,93104.12
2018/1/12,11.15,11.3,10.74,10.74,74446.03,-0.42,-3.76,11.092,11.007,10.679,126362.99,122311.9,90327.46
2018/1/11,11.15,11.26,11.15,11.02,55984.91,-0.05,-0.45,11.2,10.986,10.655,162808.56,121144.79,87686.06
2018/1/10,11.04,11.38,11.21,10.97,171661.55,0.1,0.9,11.146,10.925,10.611,160129.36,120066.41,85667.06
2018/1/9,11.24,11.3,11.1,11.06,85425.64,-0.16,-1.42,11.068,10.862,10.563,139549.47,114320.26,78449.07
