date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,2.1,2.15,2.12,2.1,172089.3,0.02,0.95,2.17,2.245,2.28,231246.85,296883.18,296396.19
2018-12-27,2.21,2.24,2.1,2.1,224865.02,-0.07,-3.23,2.208,2.259,2.286,273975.8,309788.35,300915.18
2018-12-26,2.19,2.22,2.17,2.17,177034.73,-0.02,-0.91,2.26,2.283,2.293,328287.15,322409.83,308124.78
2018-12-25,2.25,2.26,2.19,2.11,357665.19,-0.08,-3.52,2.296,2.299,2.302,390577.16,347041.33,325892.55
2018-12-24,2.29,2.3,2.27,2.26,224580.0,-0.04,-1.73,2.314,2.308,2.31,361918.8,330607.71,321525.1
2018-12-21,2.32,2.41,2.31,2.24,385734.06,-0.05,-2.12,2.32,2.306,2.316,362519.51,326848.75,327803.68
2018-12-20,2.36,2.45,2.36,2.33,496421.75,0.01,0.43,2.31,2.306,2.323,345600.9,304828.36,347160.89
2018-12-19,2.3,2.42,2.35,2.28,488484.81,0.07,3.07,2.306,2.299,2.341,316532.51,282740.33,344943.77
2018-12-18,2.29,2.34,2.28,2.25,214373.36,-0.02,-0.87,2.302,2.298,2.363,303505.5,265641.45,358118.96
2018-12-17,2.25,2.32,2.3,2.24,227583.56,0.04,1.77,2.302,2.31,2.386,299296.63,283879.61,379181.45
2018-12-14,2.33,2.38,2.26,2.26,301141.0,-0.08,-3.42,2.292,2.314,2.408,291177.99,295909.21,410788.71
2018-12-13,2.33,2.41,2.34,2.31,351079.81,0.01,0.43,2.302,2.313,2.433,264055.83,292042.02,444478.3
2018-12-12,2.31,2.38,2.33,2.29,423349.78,0.05,2.19,2.292,2.303,2.454,248948.14,293839.74,484390.68
2018-12-11,2.26,2.29,2.28,2.25,193329.0,0.03,1.33,2.294,2.304,2.478,227777.39,304743.76,569199.66
2018-12-10,2.28,2.3,2.25,2.23,186990.36,-0.06,-2.6,2.318,2.312,2.509,268462.59,312442.49,591278.03
2018-12-07,2.31,2.32,2.31,2.29,165530.2,0.02,0.87,2.336,2.325,2.528,300640.43,328758.6,617269.29
2018-12-06,2.32,2.34,2.29,2.28,275541.38,-0.05,-2.14,2.324,2.339,2.532,320028.21,389493.41,667950.52
2018-12-05,2.34,2.38,2.34,2.31,317496.0,-0.06,-2.5,2.314,2.382,2.532,338731.34,407147.21,691802.37
2018-12-04,2.31,2.44,2.4,2.3,396755.03,0.06,2.56,2.314,2.427,2.524,381710.14,450596.48,703625.4
2018-12-03,2.31,2.37,2.34,2.29,347879.53,0.09,4.0,2.306,2.461,2.515,356422.39,474483.28,712885.34
2018-11-30,2.22,2.28,2.25,2.18,262469.09,0.01,0.45,2.314,2.502,2.507,356876.78,525668.21,727659.59
