date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,7.22,7.29,7.28,7.2,91860.49,-0.01,-0.14,7.374,7.478,7.628,115250.45,99357.7,103564.06
2018/12/27,7.36,7.38,7.29,7.15,151937.06,-0.06,-0.82,7.432,7.516,7.653,117774.81,101673.44,101550.42
2018/12/26,7.35,7.43,7.35,7.21,116297.15,-0.1,-1.34,7.488,7.553,7.675,102479.24,96574.1,99253.77
2018/12/25,7.41,7.45,7.45,7.13,123157.73,-0.05,-0.67,7.534,7.588,7.696,98652.52,95254.3,96245.78
2018/12/24,7.53,7.57,7.5,7.5,92999.82,-0.07,-0.93,7.562,7.612,7.711,90915.78,99697.62,93067.5
2018/12/21,7.53,7.57,7.57,7.49,104482.27,0,0,7.582,7.633,7.729,83464.94,102050.97,93868.74
2018/12/20,7.51,7.57,7.57,7.49,75459.25,-0.01,-0.13,7.6,7.647,7.742,85572.07,98872.65,96626.36
2018/12/19,7.53,7.58,7.58,7.49,97163.55,-0.01,-0.13,7.618,7.665,7.762,90668.96,103777.7,100464.97
2018/12/18,7.55,7.62,7.59,7.45,84474.03,-0.01,-0.13,7.642,7.702,7.789,91856.08,101041.97,102585.61
2018/12/17,7.53,7.63,7.6,7.51,55745.6,-0.06,-0.78,7.662,7.744,7.815,108479.46,100594.54,103789.39
2018/12/14,7.61,7.66,7.66,7.5,115017.9,0,0,7.684,7.777,7.847,120637,107770.42,107854.87
2018/12/13,7.7,7.72,7.66,7.53,100943.74,-0.04,-0.52,7.694,7.79,7.869,112173.24,101427.41,107637.19
2018/12/12,7.59,7.7,7.7,7.53,103099.11,0.01,0.13,7.712,7.797,7.893,116886.43,101933.44,108990.46
2018/12/11,7.61,7.71,7.69,7.44,167590.95,-0.02,-0.26,7.762,7.803,7.912,110227.87,97237.26,108717.12
2018/12/10,7.65,7.72,7.71,7.41,116533.29,0,0,7.826,7.809,7.933,92709.63,86437.38,106769.25
2018/12/7,7.78,7.85,7.71,7.61,72699.11,-0.04,-0.52,7.87,7.825,7.947,94903.84,85686.51,105075.65
2018/12/6,7.95,7.99,7.75,7.67,124509.7,-0.2,-2.52,7.886,7.836,7.957,90681.57,94380.07,106402.1
2018/12/5,7.87,8.04,7.95,7.85,69806.3,-0.06,-0.75,7.882,7.858,7.971,86980.45,97152.24,105452.87
2018/12/4,7.94,8.03,8.01,7.89,79999.74,0.08,1.01,7.844,7.876,7.978,84246.65,104129.24,107432.1
2018/12/3,7.89,8.05,7.93,7.89,127504.37,0.14,1.8,7.792,7.886,7.984,80165.14,106984.24,110183.16
2018/11/30,7.66,7.79,7.79,7.6,51587.76,0.06,0.78,7.78,7.916,7.996,76469.18,107939.32,110942.16
2018/11/29,7.95,7.95,7.73,7.55,106004.07,-0.03,-0.39,7.786,7.948,8.012,98078.57,113846.98,119309.13
2018/11/28,7.76,7.8,7.76,7.61,56137.29,0.01,0.13,7.834,7.988,8.021,107324.02,116047.47,122680.88
2018/11/27,7.87,7.89,7.75,7.7,59592.2,-0.12,-1.52,7.908,8.021,8.026,124011.84,120196.98,128446.52
2018/11/26,7.65,7.9,7.87,7.65,109024.6,0.05,0.64,7.98,8.056,8.028,133803.33,127101.13,131918.05
2018/11/23,7.97,7.97,7.82,7.61,159634.69,-0.15,-1.88,8.052,8.069,8.024,139409.45,124464.79,131367.85
2018/11/22,8.21,8.22,7.97,7.97,152231.33,-0.16,-1.97,8.11,8.078,8.034,129615.39,118424.13,129693.16
2018/11/21,8.05,8.25,8.13,7.97,139576.38,0.02,0.25,8.142,8.084,8.033,124770.92,113753.51,128337.42
