date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,8.49,8.56,8.5,8.34,38848.99,-0.01,-0.12,8.4,8.19,8.334,37234.81,36840.1,37681.78
2018-12-27,8.6,8.63,8.51,8.44,33221.29,0.05,0.59,8.29,8.16,8.337,37524.79,36381.63,39394.86
2018-12-26,8.35,8.55,8.46,8.29,31911.75,0.12,1.44,8.146,8.156,8.34,41144.97,35560.49,44661.77
2018-12-25,8.15,8.45,8.34,8.08,44486.0,0.15,1.83,8.046,8.158,8.374,38879.64,34536.12,48178.67
2018-12-24,7.9,8.24,8.19,7.86,37706.0,0.24,3.02,8.008,8.179,8.373,37974.73,33279.22,49832.25
2018-12-21,7.8,7.97,7.95,7.74,40298.91,0.16,2.05,7.98,8.211,8.39,36445.39,33728.27,52404.42
2018-12-20,7.91,7.93,7.79,7.67,51322.19,-0.17,-2.14,8.03,8.263,8.407,35238.48,32826.87,53034.38
2018-12-19,8.11,8.2,7.96,7.95,20585.1,-0.19,-2.33,8.166,8.321,8.469,29976.01,30677.86,52266.51
2018-12-18,8.12,8.35,8.15,8.03,39961.43,0.1,1.24,8.27,8.37,8.512,30192.59,32352.94,53169.05
2018-12-17,8.1,8.22,8.05,8.0,30059.32,-0.15,-1.83,8.35,8.413,8.542,28583.71,34019.22,52540.44
2018-12-14,8.43,8.49,8.2,8.13,34264.34,-0.27,-3.19,8.442,8.477,8.587,31011.14,38523.46,52621.4
2018-12-13,8.44,8.52,8.47,8.35,25009.87,-0.01,-0.12,8.496,8.514,8.62,30415.27,42408.08,52206.36
2018-12-12,8.52,8.61,8.48,8.46,21668.0,-0.07,-0.82,8.476,8.524,8.642,31379.7,53763.06,52261.98
2018-12-11,8.51,8.62,8.55,8.44,31917.0,0.04,0.47,8.47,8.59,8.66,34513.29,61821.21,53314.04
2018-12-10,8.48,8.66,8.51,8.42,42196.49,0.04,0.47,8.476,8.566,8.669,39454.74,66385.28,54647.51
2018-12-07,8.4,8.53,8.47,8.34,31285.0,0.1,1.2,8.512,8.569,8.679,46035.79,71080.57,55791.04
2018-12-06,8.41,8.49,8.37,8.34,29832.0,-0.08,-0.95,8.532,8.55,8.663,54400.88,73241.89,55480.33
2018-12-05,8.38,8.56,8.45,8.32,37335.97,-0.13,-1.51,8.572,8.617,8.659,76146.42,73855.16,55032.0
2018-12-04,8.64,8.66,8.58,8.43,56624.24,-0.11,-1.27,8.71,8.654,8.649,89129.14,73985.16,54470.01
2018-12-03,8.6,8.71,8.69,8.52,75101.73,0.12,1.4,8.656,8.67,8.631,93315.81,71061.66,52631.91
2018-11-30,8.41,8.58,8.57,8.23,73110.48,0.0,0.0,8.626,8.696,8.611,96125.35,66719.33,50302.23
2018-11-29,9.27,9.33,8.57,8.47,138559.66,-0.57,-6.24,8.568,8.726,8.596,92082.89,62004.64,49195.59
2018-11-28,8.31,9.14,9.14,8.31,102249.57,0.83,9.99,8.662,8.76,8.573,71563.9,50760.9,43365.71
2018-11-27,8.81,9.08,8.31,8.25,77557.63,-0.23,-2.69,8.598,8.729,8.521,58841.18,44806.86,39432.41
2018-11-26,8.28,8.95,8.54,8.28,89149.43,0.26,3.14,8.684,8.772,8.507,48807.51,42909.74,36978.31
2018-11-23,9.0,9.03,8.28,8.27,52898.15,-0.76,-8.41,8.766,8.788,8.477,37313.31,40501.5,34216.82
2018-11-22,8.9,9.18,9.04,8.89,35964.74,0.22,2.49,8.884,8.775,8.448,31926.38,37718.77,33467.77
2018-11-21,8.7,8.85,8.82,8.55,38635.96,0.08,0.92,8.858,8.701,8.388,29957.9,36208.85,32226.64
2018-11-20,8.93,8.97,8.74,8.71,27389.25,-0.21,-2.35,8.86,8.643,8.341,30772.53,34954.86,31054.87
2018-11-19,8.95,8.95,8.95,8.76,31678.43,0.08,0.9,8.86,8.592,8.292,37011.97,34202.15,30869.32
2018-11-16,8.9,8.98,8.87,8.81,25963.54,-0.04,-0.45,8.81,8.526,8.238,43689.7,33885.14,30672.69
2018-11-15,8.83,8.99,8.91,8.74,26122.33,0.08,0.91,8.666,8.466,8.179,43511.15,36386.55,30977.46
2018-11-14,8.73,9.0,8.83,8.66,42709.1,0.09,1.03,8.544,8.385,8.101,42459.79,35970.53,30704.92
2018-11-13,8.65,8.88,8.74,8.6,58586.43,0.04,0.46,8.426,8.312,8.032,39137.2,34057.96,29372.96
2018-11-12,8.15,8.75,8.7,8.15,65067.1,0.55,6.75,8.324,8.242,7.962,31392.34,31046.88,28107.92
2018-11-09,8.31,8.35,8.15,8.09,25070.81,-0.15,-1.81,8.242,8.165,7.905,24080.58,27932.14,26608.16
2018-11-08,8.28,8.45,8.3,8.26,20865.53,0.06,0.73,8.266,8.12,7.881,29261.94,29216.76,28889.59
2018-11-07,8.28,8.4,8.24,8.18,26096.12,0.01,0.12,8.226,8.074,7.874,29481.26,28244.43,31611.91
2018-11-06,8.29,8.33,8.23,8.18,19862.12,-0.06,-0.72,8.198,8.038,7.879,28978.72,27154.87,32986.29
2018-11-05,8.27,8.34,8.29,8.12,28508.31,0.02,0.24,8.16,7.992,7.898,30701.42,27536.48,35547.65
2018-11-02,8.1,8.34,8.27,8.02,50977.62,0.17,2.1,8.088,7.95,7.887,31783.71,27460.24,35958.17
2018-11-01,8.1,8.13,8.1,8.02,21962.11,0.0,0.0,7.974,7.891,7.89,29171.58,25568.36,35288.58
2018-10-31,8.03,8.13,8.1,7.92,23583.46,0.06,0.75,7.922,7.817,7.905,27007.6,25439.31,36560.5
2018-10-30,7.9,8.08,8.04,7.79,28475.62,0.11,1.39,7.878,7.752,7.932,25331.02,24687.96,38333.49
2018-10-29,7.74,7.97,7.93,7.67,33919.72,0.23,2.99,7.824,7.682,7.952,24371.54,25168.97,39714.94
2018-10-26,7.8,8.05,7.7,7.62,37917.0,-0.14,-1.79,7.812,7.645,7.977,23136.78,25284.17,40560.63
2018-10-25,7.8,7.87,7.84,7.66,11142.19,-0.04,-0.51,7.808,7.641,8.015,21965.14,28562.43,41597.37
2018-10-24,7.74,7.91,7.88,7.74,15200.57,0.11,1.42,7.712,7.673,8.05,23871.01,34979.39,44243.11
2018-10-23,7.92,7.93,7.77,7.73,23678.23,-0.1,-1.27,7.626,7.72,8.083,24044.9,38817.71,49009.73
