date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,22.42,22.87,22.78,22.37,59651.51,0.34,1.51,22.744,22.524,22.241,75213.28,72135.09,70014.48
2018-12-27,23.4,23.47,22.44,22.26,107982.06,-0.77,-3.32,22.66,22.455,22.193,77975.41,73597.19,70634.93
2018-12-26,22.56,23.25,23.21,22.55,82574.44,0.54,2.38,22.628,22.419,22.141,67234.73,70672.02,68283.13
2018-12-25,22.37,22.75,22.67,22.36,63155.35,0.05,0.22,22.45,22.253,22.056,66909.75,67046.27,67120.65
2018-12-24,22.2,22.66,22.62,22.2,62703.05,0.26,1.16,22.39,22.13,22.003,71024.62,65920.39,65816.51
2018-12-21,22.24,22.47,22.36,21.92,73462.15,0.08,0.36,22.304,22.016,21.959,69056.91,65513.72,64977.95
2018-12-20,22.28,22.5,22.28,22.2,54278.67,-0.04,-0.18,22.25,21.976,21.932,69218.97,61932.04,64163.93
2018-12-19,22.44,22.59,22.32,22.1,80949.55,-0.05,-0.22,22.21,21.944,21.933,74109.3,62868.39,64459.72
2018-12-18,22.09,22.43,22.37,21.97,83729.68,0.18,0.81,22.056,21.942,21.924,67182.78,60439.55,63689.42
2018-12-17,22.05,22.31,22.19,21.81,52864.48,0.1,0.45,21.87,21.937,21.922,60816.16,58841.43,64262.07
2018-12-14,22.09,22.29,22.09,21.9,74272.46,0.01,0.04,21.728,21.957,21.951,61970.54,67893.87,66565.52
2018-12-13,21.6,22.14,22.08,21.6,78730.35,0.53,2.46,21.702,21.93,21.982,54645.1,67672.66,66655.25
2018-12-12,21.51,21.66,21.55,21.48,46316.91,0.11,0.51,21.678,21.862,22.011,51627.48,65894.25,67192.53
2018-12-11,21.6,21.68,21.44,21.33,51896.59,-0.04,-0.19,21.828,21.859,22.074,53696.33,67195.03,68020.33
2018-12-10,21.84,21.84,21.48,21.45,58636.37,-0.48,-2.19,22.004,21.876,22.147,56866.7,65712.63,70269.92
2018-12-07,21.95,22.09,21.96,21.9,37645.29,0.0,0.0,22.186,21.902,22.201,73817.21,64442.18,70804.58
2018-12-06,22.1,22.32,21.96,21.9,63642.22,-0.34,-1.52,22.158,21.888,22.217,80700.22,66395.83,72838.09
2018-12-05,22.0,22.44,22.3,21.9,56661.18,-0.02,-0.09,22.046,21.921,22.248,80161.02,66051.05,74225.02
2018-12-04,22.4,22.5,22.32,22.18,67748.43,-0.07,-0.31,21.89,21.906,22.273,80693.74,66939.29,74734.43
