date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,9.44,9.58,9.52,9.4,39600.39,-0.03,-0.31,9.354,9.253,9.138,39245.82,35347.16,29712.59
2018-12-27,9.14,9.78,9.55,9.13,70389.73,0.49,5.41,9.324,9.19,9.121,41738.9,33277.17,29786.06
2018-12-26,9.23,9.29,9.06,9.01,24312.99,-0.17,-1.84,9.218,9.144,9.087,32356.42,28130.22,27653.96
2018-12-25,9.24,9.33,9.23,9.06,34924.6,-0.18,-1.91,9.232,9.138,9.089,31375.08,27662.7,27749.41
2018-12-24,9.35,9.47,9.41,9.21,27001.41,0.04,0.43,9.196,9.104,9.077,31448.01,25476.81,27251.83
2018-12-21,8.97,9.48,9.37,8.92,52065.79,0.35,3.88,9.152,9.037,9.051,31448.5,24393.55,26610.53
2018-12-20,9.2,9.25,9.02,8.92,23477.31,-0.11,-1.21,9.056,8.992,9.022,24815.43,20861.91,25383.86
2018-12-19,9.02,9.18,9.13,9.02,19406.31,0.08,0.88,9.07,8.988,9.024,23904.01,20312.36,25393.68
2018-12-18,9.17,9.18,9.05,8.8,35289.21,-0.14,-1.52,9.044,8.985,9.027,23950.31,20797.51,26834.05
2018-12-17,8.93,9.2,9.19,8.89,27003.88,0.3,3.38,9.012,9.004,9.032,19505.62,21612.8,29284.71
2018-12-14,9.06,9.13,8.89,8.89,18900.45,-0.2,-2.2,8.922,9.022,9.023,17338.6,24078.02,30285.49
2018-12-13,9.0,9.18,9.09,8.94,18920.2,0.09,1.0,8.928,9.051,9.034,16908.39,26294.96,32044.18
2018-12-12,8.92,9.06,9.0,8.89,19637.8,0.11,1.24,8.906,9.03,9.038,16720.7,27177.71,35481.85
2018-12-11,8.73,8.9,8.89,8.73,13065.76,0.15,1.72,8.926,9.04,9.019,17644.71,27836.12,36303.03
2018-12-10,8.82,8.9,8.74,8.7,16168.8,-0.18,-2.02,8.996,9.049,9.007,23719.99,29026.85,38160.99
2018-12-07,8.94,8.99,8.92,8.81,16749.4,-0.06,-0.67,9.122,9.064,8.995,30817.44,28827.51,38947.18
2018-12-06,9.09,9.16,8.98,8.93,17981.76,-0.12,-1.32,9.174,9.051,8.968,35681.52,29905.81,38989.29
2018-12-05,9.05,9.14,9.1,8.96,24257.81,-0.14,-1.51,9.154,9.06,8.937,37634.71,30474.99,39578.56
2018-12-04,9.3,9.35,9.24,9.1,43442.17,-0.13,-1.39,9.154,9.069,8.898,38027.54,32870.59,40107.55
2018-12-03,9.3,9.5,9.37,9.15,51656.06,0.19,2.07,9.102,9.059,8.86,34333.71,36956.62,39157.84
2018-11-30,8.88,9.27,9.18,8.85,41069.79,0.3,3.38,9.006,9.024,8.819,26837.59,36492.96,38581.7
2018-11-29,9.2,9.23,8.88,8.79,27747.72,-0.22,-2.42,8.928,9.017,8.783,24130.1,37793.4,39654.62
2018-11-28,8.97,9.13,9.1,8.77,26221.97,0.12,1.34,8.966,9.046,8.751,23315.28,43785.99,40702.64
2018-11-27,8.9,9.1,8.98,8.74,24973.0,0.09,1.01,8.984,8.998,8.706,27713.64,44769.93,41353.77
2018-11-26,8.71,8.95,8.89,8.71,14175.45,0.1,1.14,9.016,8.965,8.662,39579.52,47295.13,41654.14
2018-11-23,9.08,9.11,8.79,8.71,27532.38,-0.28,-3.09,9.042,8.926,8.616,46148.32,49066.85,42117.39
2018-11-22,9.23,9.25,9.07,9.01,23673.58,-0.12,-1.31,9.106,8.884,8.58,51456.69,48072.77,42280.2
2018-11-21,9.13,9.33,9.19,8.93,48213.79,0.05,0.55,9.126,8.813,8.534,64256.71,48682.12,42392.94
2018-11-20,8.95,9.6,9.14,8.88,84302.41,0.12,1.33,9.012,8.727,8.482,61826.22,47344.52,41253.86
2018-11-19,9.05,9.1,9.02,8.84,47019.46,-0.09,-0.99,8.914,8.661,8.435,55010.75,41359.06,39248.25
2018-11-16,9.1,9.23,9.11,9.01,54074.21,-0.06,-0.65,8.81,8.613,8.407,51985.37,40670.44,39942.55
2018-11-15,8.79,9.39,9.17,8.79,87673.68,0.55,6.38,8.662,8.548,8.355,44688.85,41515.84,39345.39
2018-11-14,8.62,8.75,8.62,8.59,36061.36,-0.03,-0.35,8.5,8.456,8.297,33107.53,37619.29,36682.84
2018-11-13,8.4,8.86,8.65,8.36,50225.02,0.15,1.76,8.442,8.414,8.283,32862.81,37937.61,36896.08
2018-11-12,8.38,8.52,8.5,8.29,31892.58,0.13,1.55,8.408,8.358,8.263,27707.36,36013.15,36666.71
2018-11-09,8.29,8.42,8.37,8.26,17591.63,0.01,0.12,8.416,8.305,8.259,29355.52,35167.94,37725.07
2018-11-08,8.38,8.53,8.36,8.31,29767.08,0.03,0.36,8.434,8.275,8.281,38342.82,36487.63,41409.95
2018-11-07,8.52,8.57,8.33,8.3,34837.73,-0.15,-1.77,8.412,8.254,8.323,42131.04,36103.76,45120.81
2018-11-06,8.47,8.57,8.48,8.4,24447.8,-0.06,-0.7,8.386,8.237,8.374,43012.42,35163.21,46567.72
2018-11-05,8.45,8.65,8.54,8.33,40133.34,0.08,0.95,8.308,8.208,8.399,44318.94,37137.45,47114.71
2018-11-02,8.27,8.46,8.46,8.27,62528.15,0.21,2.54,8.194,8.201,8.418,40980.35,39214.66,47232.6
2018-11-01,8.27,8.43,8.25,8.19,48708.17,0.05,0.61,8.116,8.161,8.455,34632.44,37174.95,46318.44
2018-10-31,8.04,8.25,8.2,8.03,39244.63,0.11,1.36,8.096,8.137,8.502,30076.49,35746.4,47963.33
2018-10-30,7.91,8.2,8.09,7.8,30980.42,0.12,1.51,8.088,8.151,8.566,27314.01,35854.55,49416.59
2018-10-29,8.02,8.07,7.97,7.8,23440.4,-0.1,-1.24,8.108,8.167,8.635,29955.95,37320.28,51669.4
2018-10-26,8.14,8.29,8.07,8.03,30788.6,-0.08,-0.98,8.208,8.213,8.718,37448.96,40282.2,55212.54
2018-10-25,7.97,8.18,8.15,7.85,25928.38,-0.01,-0.12,8.206,8.287,8.792,39717.45,46332.26,62446.66
2018-10-24,8.17,8.4,8.16,8.09,25432.24,-0.03,-0.37,8.178,8.392,8.89,41416.3,54137.85,75028.59
2018-10-23,8.5,8.5,8.19,8.11,44190.13,-0.28,-3.31,8.214,8.51,8.953,44395.09,57972.22,82026.43
2018-10-22,8.06,8.62,8.47,8.06,60905.47,0.41,5.09,8.226,8.589,9.013,44684.6,57091.97,87701.94
2018-10-19,7.76,8.12,8.06,7.6,42131.02,0.05,0.62,8.218,8.634,9.065,43115.43,55250.55,98085.7
2018-10-18,8.21,8.22,8.01,7.96,34422.66,-0.33,-3.96,8.368,8.748,9.152,52947.07,55461.94,107629.55
2018-10-17,8.39,8.48,8.34,8.05,40326.18,0.09,1.09,8.606,8.866,9.197,66859.4,60180.27,111056.74
2018-10-16,8.44,8.65,8.25,8.12,45637.67,-0.18,-2.13,8.806,8.98,9.185,71549.34,62978.64,109645.41
2018-10-15,8.7,8.84,8.43,8.38,53059.6,-0.38,-4.31,8.952,9.102,9.179,69499.33,66018.53,107934.55
2018-10-12,9.1,9.1,8.81,8.28,91289.26,-0.39,-4.24,9.05,9.222,9.165,67385.67,70142.89,105881.45
2018-10-11,9.0,9.65,9.2,8.82,103984.28,-0.14,-1.5,9.128,9.297,9.137,57976.8,78561.06,102050.8
2018-10-10,9.0,9.35,9.34,8.92,63775.9,0.36,4.01,9.126,9.388,9.086,53501.14,95919.32,97248.5
2018-10-09,8.94,9.14,8.98,8.86,35387.62,0.06,0.67,9.154,9.395,9.033,54407.93,106080.65,94662.22
2018-10-08,9.06,9.29,8.92,8.9,42491.31,-0.28,-3.04,9.252,9.437,8.987,62537.72,118311.91,93462.33
2018-09-28,9.29,9.31,9.2,9.17,44244.9,0.01,0.11,9.394,9.495,8.95,72900.11,140920.84,91617.11
2018-09-27,9.4,9.42,9.19,9.02,81605.96,-0.29,-3.06,9.466,9.555,8.9,99145.31,159797.16,89774.38
2018-09-26,9.45,9.48,9.48,9.28,68309.85,0.01,0.11,9.65,9.527,8.861,138337.5,161933.22,86227.83
2018-09-25,9.51,9.66,9.47,9.4,76036.6,-0.16,-1.66,9.636,9.389,8.807,157753.37,156312.19,83642.5
2018-09-21,9.6,9.67,9.63,9.38,94303.22,0.07,0.73,9.622,9.255,8.749,174086.09,149850.57,80412.33
2018-09-20,9.84,9.84,9.56,9.43,175470.94,-0.55,-5.44,9.596,9.107,8.678,208941.57,141620.0,76443.51
2018-09-19,9.41,10.35,10.11,9.35,277566.91,0.7,7.44,9.644,8.976,8.617,220449.0,125540.54,68327.9
2018-09-18,9.36,9.65,9.41,9.15,165389.2,0.01,0.11,9.404,8.783,8.534,185528.93,98577.68,54745.28
2018-09-17,9.49,9.75,9.4,9.26,157700.2,-0.1,-1.05,9.142,8.67,8.487,154871.01,83243.8,46909.03
2018-09-14,10.17,10.41,9.5,9.43,268580.62,-0.3,-3.06,8.888,8.537,8.438,125615.05,68612.76,39718.47
2018-09-13,9.0,9.8,9.8,8.91,233008.09,0.89,9.99,8.618,8.404,8.393,74298.43,42313.38,26674.66
