date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,3.35,3.35,3.29,3.17,28111.3,-0.01,-0.3,3.38,3.514,3.655,24850.26,21401.4,25077.19
2018-12-27,3.43,3.44,3.3,3.29,26384.0,-0.09,-2.65,3.434,3.551,3.673,25811.55,20285.67,24439.96
2018-12-26,3.37,3.41,3.39,3.35,10928.01,0.0,0.0,3.51,3.591,3.691,23221.75,19512.28,24362.61
2018-12-25,3.45,3.48,3.39,3.35,41290.01,-0.14,-3.97,3.566,3.621,3.711,24587.55,21290.37,24961.21
2018-12-24,3.53,3.58,3.53,3.5,17538.0,-0.03,-0.84,3.624,3.662,3.726,19780.34,19723.07,23908.45
2018-12-21,3.66,3.66,3.56,3.5,32917.71,-0.12,-3.26,3.648,3.691,3.733,17952.54,20650.71,24917.16
2018-12-20,3.68,3.68,3.68,3.63,13435.01,0.01,0.27,3.668,3.717,3.747,14759.8,19456.14,25498.17
2018-12-19,3.72,3.72,3.67,3.66,17757.0,-0.01,-0.27,3.672,3.733,3.765,15802.8,21181.86,26741.11
2018-12-18,3.65,3.74,3.68,3.63,17254.0,0.03,0.82,3.676,3.759,3.78,17993.2,24330.08,28051.98
2018-12-17,3.66,3.69,3.65,3.62,8399.0,-0.01,-0.27,3.7,3.785,3.791,19665.8,26841.67,30123.29
2018-12-14,3.66,3.74,3.66,3.65,16954.0,-0.04,-1.08,3.734,3.795,3.801,23348.87,28752.98,32851.44
2018-12-13,3.7,3.72,3.7,3.64,18650.01,0.01,0.27,3.766,3.794,3.816,24152.47,28594.24,35236.16
2018-12-12,3.82,3.83,3.69,3.67,28709.0,-0.11,-2.9,3.794,3.791,3.819,26560.92,29212.94,39036.61
2018-12-11,3.91,3.91,3.8,3.76,25617.0,-0.02,-0.52,3.842,3.8,3.831,30666.96,28632.04,45120.78
2018-12-10,3.8,3.84,3.82,3.74,26814.36,0.0,0.0,3.87,3.79,3.848,34017.53,28093.84,45169.29
2018-12-07,3.84,3.88,3.82,3.78,20972.0,-0.02,-0.52,3.856,3.774,3.854,34157.09,29183.61,46758.25
2018-12-06,3.92,3.92,3.84,3.82,30692.22,-0.09,-2.29,3.822,3.776,3.85,33036.0,31540.21,49805.88
2018-12-05,3.86,4.0,3.93,3.84,49239.22,-0.01,-0.25,3.788,3.796,3.837,31864.96,32300.36,51925.71
2018-12-04,3.76,3.94,3.94,3.72,42369.84,0.19,5.07,3.758,3.8,3.814,26597.11,31773.87,51341.75
2018-12-03,3.69,3.79,3.75,3.69,27512.16,0.1,2.74,3.71,3.797,3.789,22170.14,33404.91,50936.9
2018-11-30,3.65,3.7,3.65,3.6,15366.56,-0.02,-0.55,3.692,3.807,3.774,24210.13,36949.9,52759.29
2018-11-29,3.79,3.85,3.67,3.66,24837.0,-0.11,-2.91,3.73,3.837,3.759,30044.41,41878.07,53338.81
2018-11-28,3.7,3.8,3.78,3.65,22900.0,0.08,2.16,3.804,3.846,3.741,32735.76,48860.29,53724.31
2018-11-27,3.68,3.76,3.7,3.67,20235.0,0.04,1.09,3.842,3.861,3.719,36950.64,61609.53,55121.24
2018-11-26,3.8,3.83,3.66,3.65,37712.07,-0.18,-4.69,3.884,3.905,3.694,44639.68,62244.73,55463.94
2018-11-23,4.04,4.05,3.84,3.84,44538.0,-0.2,-4.95,3.922,3.933,3.671,49689.67,64332.9,54452.07
2018-11-22,3.98,4.07,4.04,3.95,38293.75,0.07,1.76,3.944,3.924,3.637,53711.73,68071.55,53300.95
2018-11-21,3.91,3.98,3.97,3.81,43974.36,0.06,1.53,3.888,3.878,3.591,64984.81,71551.06,53028.79
2018-11-20,3.82,4.04,3.91,3.8,58680.24,0.06,1.56,3.88,3.827,3.546,86268.42,70909.63,52004.47
2018-11-19,3.85,3.9,3.85,3.75,62962.0,-0.1,-2.53,3.926,3.781,3.5,79849.78,68468.89,51747.48
2018-11-16,3.75,3.95,3.95,3.73,64648.32,0.19,5.05,3.944,3.74,3.455,78976.12,68568.69,49149.32
2018-11-15,3.8,3.85,3.76,3.73,94659.15,-0.17,-4.33,3.904,3.681,3.398,82431.37,64799.55,46810.99
2018-11-14,4.34,4.35,3.93,3.93,150392.41,-0.21,-5.07,3.868,3.635,3.349,78117.31,58588.34,43617.29
2018-11-13,3.98,4.14,4.14,3.91,26587.04,0.2,5.08,3.774,3.576,3.299,55550.83,48632.96,37063.02
2018-11-12,3.77,3.94,3.94,3.69,58593.68,0.19,5.07,3.636,3.483,3.24,57087.99,48683.16,36316.67
2018-11-09,3.56,3.76,3.75,3.54,81924.59,0.17,4.75,3.536,3.408,3.194,58161.25,44571.24,34013.33
2018-11-08,3.45,3.63,3.58,3.44,73088.83,0.12,3.47,3.458,3.35,3.158,47167.73,38530.35,31330.45
2018-11-07,3.42,3.54,3.46,3.42,37560.0,0.01,0.29,3.402,3.304,3.137,39059.37,34506.53,29135.61
2018-11-06,3.42,3.46,3.45,3.39,34272.83,0.01,0.29,3.378,3.264,3.131,41715.09,33099.31,27848.16
2018-11-05,3.37,3.52,3.44,3.36,63960.0,0.08,2.38,3.33,3.219,3.126,40278.32,35026.07,26680.16
2018-11-02,3.3,3.36,3.36,3.3,26957.0,0.06,1.82,3.28,3.17,3.12,30981.23,29729.96,24208.36
2018-11-01,3.33,3.34,3.3,3.27,32547.0,-0.04,-1.2,3.242,3.115,3.122,29892.98,28822.44,23809.16
2018-10-31,3.23,3.37,3.34,3.22,50838.6,0.13,4.05,3.206,3.063,3.123,29953.69,28646.24,22919.56
2018-10-30,3.18,3.22,3.21,3.08,27089.02,0.02,0.63,3.15,3.022,3.123,24483.53,25493.08,21126.95
2018-10-29,3.16,3.26,3.19,3.16,17474.54,0.02,0.63,3.108,2.997,3.131,29773.82,23950.18,20422.45
2018-10-26,3.13,3.23,3.17,3.1,21515.72,0.05,1.6,3.06,2.979,3.139,28478.68,23455.42,20297.86
2018-10-25,2.96,3.14,3.12,2.93,32850.56,0.06,1.96,2.988,2.966,3.146,27751.9,24130.55,19784.7
2018-10-24,3.0,3.1,3.06,2.97,23487.82,0.06,2.0,2.92,2.97,3.156,27338.78,23764.69,18875.18
2018-10-23,3.05,3.1,3.0,2.98,53540.48,0.05,1.7,2.894,2.997,3.168,26502.62,22597.01,18518.51
2018-10-22,2.95,2.95,2.95,2.93,10998.82,0.14,4.98,2.886,3.032,3.179,18126.53,18334.24,16314.64
2018-10-19,2.77,2.83,2.81,2.67,17881.8,0.03,1.08,2.898,3.07,3.195,18432.16,18686.76,16319.39
2018-10-18,2.92,2.92,2.78,2.78,30785.0,-0.15,-5.12,2.944,3.129,3.219,20509.2,18795.88,15927.75
2018-10-17,3.0,3.02,2.93,2.81,19307.01,-0.03,-1.01,3.02,3.183,3.243,20190.6,17192.88,15034.42
2018-10-16,3.01,3.06,2.96,2.93,11660.01,-0.05,-1.66,3.1,3.224,3.259,18691.4,16760.82,15063.91
2018-10-15,3.04,3.14,3.01,3.01,12527.0,-0.03,-0.99,3.178,3.264,3.272,18541.95,16894.72,15527.55
2018-10-12,3.12,3.15,3.04,3.0,28267.0,-0.12,-3.8,3.242,3.298,3.289,18941.35,17140.3,15917.32
2018-10-11,3.21,3.28,3.16,3.16,29192.0,-0.17,-5.11,3.314,3.325,3.306,17082.55,15438.85,15029.12
2018-10-10,3.35,3.4,3.33,3.31,11811.0,-0.02,-0.6,3.346,3.341,3.319,14195.15,13985.66,14547.35
2018-10-09,3.33,3.41,3.35,3.31,10912.76,0.02,0.6,3.348,3.338,3.324,14830.24,14440.01,14754.2
2018-10-08,3.39,3.39,3.33,3.3,14524.0,-0.07,-2.06,3.35,3.325,3.327,15247.49,14295.03,14790.13
2018-09-28,3.37,3.44,3.4,3.33,18973.0,0.08,2.41,3.354,3.32,3.331,15339.25,13952.03,15032.12
2018-09-27,3.34,3.39,3.32,3.31,14755.0,-0.02,-0.6,3.336,3.308,3.331,13795.15,13059.63,15358.8
2018-09-26,3.34,3.37,3.34,3.33,14986.46,-0.02,-0.59,3.336,3.303,3.34,13776.16,12875.97,15788.65
2018-09-25,3.35,3.37,3.36,3.31,12999.0,0.01,0.3,3.328,3.294,3.349,14049.77,13367.0,17527.13
2018-09-21,3.32,3.36,3.35,3.3,14982.81,0.04,1.21,3.3,3.279,3.361,13342.57,14160.38,19245.33
2018-09-20,3.32,3.35,3.31,3.29,11252.46,-0.01,-0.3,3.286,3.279,3.365,12564.81,14694.34,20136.69
2018-09-19,3.29,3.34,3.32,3.28,14660.07,0.02,0.61,3.28,3.286,3.372,12324.12,14619.4,21818.91
2018-09-18,3.23,3.32,3.3,3.2,16354.51,0.08,2.48,3.27,3.296,3.379,11975.78,15109.04,24817.35
2018-09-17,3.28,3.28,3.22,3.22,9463.0,-0.06,-1.83,3.26,3.31,3.385,12684.22,15068.39,25476.55
2018-09-14,3.29,3.33,3.28,3.25,11094.0,0.0,0.0,3.258,3.329,3.387,14978.19,15285.23,25525.95
2018-09-13,3.29,3.29,3.28,3.24,10049.0,0.01,0.31,3.272,3.342,3.384,16823.88,16112.2,25702.0
2018-09-12,3.24,3.29,3.27,3.22,12918.4,0.02,0.61,3.292,3.353,3.383,16914.68,17657.97,26133.4
2018-09-11,3.21,3.27,3.25,3.16,19896.72,0.04,1.25,3.322,3.377,3.386,18242.29,18701.33,26469.91
2018-09-10,3.37,3.37,3.21,3.21,20932.81,-0.14,-4.18,3.36,3.403,3.391,17452.55,21687.27,26715.13
2018-09-07,3.39,3.41,3.35,3.21,20322.47,-0.03,-0.89,3.4,3.442,3.393,15592.27,24330.29,26743.94
2018-09-06,3.42,3.45,3.38,3.37,10503.0,-0.04,-1.17,3.412,3.451,3.386,15400.53,25579.04,26471.23
2018-09-05,3.46,3.48,3.42,3.42,19556.47,-0.02,-0.58,3.414,3.458,3.377,18401.26,29018.42,26879.99
2018-09-04,3.43,3.45,3.44,3.39,15948.0,0.03,0.88,3.432,3.461,3.364,19160.37,34525.67,26938.33
2018-09-03,3.41,3.43,3.41,3.35,11631.41,0.0,0.0,3.446,3.459,3.351,25921.99,35884.71,26931.7
2018-08-31,3.39,3.49,3.41,3.37,19363.75,0.02,0.59,3.484,3.444,3.335,33068.31,35766.67,27451.58
2018-08-30,3.51,3.54,3.39,3.38,25506.68,-0.12,-3.42,3.49,3.426,3.323,35757.56,35291.8,28106.35
2018-08-29,3.49,3.55,3.51,3.47,23352.0,0.0,0.0,3.502,3.413,3.316,39635.57,34608.83,28335.51
2018-08-28,3.59,3.59,3.51,3.45,49756.12,-0.09,-2.5,3.49,3.395,3.309,49890.97,34238.49,28360.56
2018-08-27,3.47,3.6,3.6,3.43,47363.01,0.16,4.65,3.472,3.378,3.303,45847.43,31742.98,26405.34
2018-08-24,3.42,3.5,3.44,3.38,32810.0,-0.01,-0.29,3.404,3.343,3.292,38465.03,29157.58,25517.87
2018-08-23,3.42,3.48,3.45,3.34,44896.74,0.0,0.0,3.362,3.32,3.296,34826.03,27363.42,24796.39
2018-08-22,3.46,3.59,3.45,3.41,74629.0,0.03,0.88,3.324,3.295,3.301,29582.08,24741.56,23666.1
2018-08-21,3.32,3.42,3.42,3.28,29538.4,0.16,4.91,3.3,3.267,3.303,18586.01,19350.99,20484.03
2018-08-20,3.23,3.26,3.26,3.18,10451.0,0.03,0.93,3.284,3.242,3.306,17638.53,17978.7,19923.5
2018-08-17,3.29,3.32,3.23,3.2,14615.0,-0.03,-0.92,3.282,3.226,3.314,19850.13,19136.5,20382.57
2018-08-16,3.32,3.32,3.26,3.18,18677.0,-0.07,-2.1,3.278,3.22,3.324,19900.82,20920.9,20337.07
2018-08-15,3.33,3.42,3.33,3.26,19648.65,-0.01,-0.3,3.266,3.218,3.329,19901.04,22062.2,20500.76
2018-08-14,3.24,3.41,3.34,3.23,24801.0,0.08,2.45,3.234,3.222,3.335,20115.96,22482.63,20369.12
2018-08-13,3.18,3.26,3.25,3.16,21509.01,0.04,1.25,3.2,3.228,3.342,18318.86,21067.7,21054.02
2018-08-10,3.19,3.25,3.21,3.19,14868.43,0.01,0.31,3.17,3.241,3.357,18422.86,21878.17,23311.79
2018-08-09,3.17,3.26,3.2,3.15,18678.1,0.03,0.95,3.162,3.272,3.366,21940.98,22229.36,25113.55
2018-08-08,3.17,3.24,3.17,3.15,20723.26,0.0,0.0,3.17,3.307,3.368,24223.36,22590.65,25674.46
2018-08-07,3.08,3.18,3.17,3.08,15815.5,0.07,2.26,3.21,3.339,3.365,24849.3,21617.08,25889.95
2018-08-06,3.18,3.22,3.1,3.08,22029.02,-0.07,-2.21,3.256,3.369,3.367,23816.54,21868.3,26584.63
2018-08-03,3.24,3.26,3.17,3.12,32459.0,-0.07,-2.16,3.312,3.401,3.368,25333.47,21628.63,26324.85
2018-08-02,3.4,3.41,3.24,3.2,30090.0,-0.13,-3.86,3.382,3.427,3.362,22517.73,19753.23,26394.12
2018-08-01,3.4,3.5,3.37,3.34,23853.0,-0.02,-0.59,3.444,3.439,3.352,20957.93,18939.31,26300.77
2018-07-31,3.36,3.41,3.4,3.32,10651.68,0.02,0.59,3.468,3.448,3.341,18384.86,18255.61,26332.93
2018-07-30,3.55,3.55,3.38,3.33,29613.68,-0.13,-3.7,3.482,3.455,3.33,19920.05,21040.35,27020.17
2018-07-27,3.55,3.57,3.52,3.47,18380.31,-0.03,-0.84,3.49,3.473,3.316,17923.79,24745.42,27471.89
2018-07-26,3.5,3.57,3.55,3.47,22291.0,0.06,1.72,3.472,3.46,3.301,16988.73,27997.75,28664.72
2018-07-25,3.52,3.52,3.49,3.45,10987.61,0.02,0.58,3.434,3.428,3.281,16920.69,28758.28,29147.49
2018-07-24,3.41,3.47,3.47,3.4,18327.65,0.06,1.76,3.428,3.39,3.271,18126.37,30162.82,30825.54
2018-07-23,3.39,3.45,3.42,3.37,19632.4,-0.01,-0.29,3.428,3.364,3.256,22160.64,31300.96,31249.61
2018-07-20,3.38,3.44,3.43,3.3,13705.0,0.07,2.08,3.456,3.334,3.24,31567.04,31021.07,31178.37
2018-07-19,3.43,3.49,3.36,3.33,21950.8,-0.1,-2.89,3.448,3.296,3.224,39006.76,33035.02,32132.18
2018-07-18,3.45,3.57,3.46,3.44,17016.0,-0.02,-0.57,3.422,3.264,3.205,40595.88,33662.24,34169.12
2018-07-17,3.56,3.56,3.47,3.4,38499.0,-0.09,-2.53,3.352,3.233,3.182,42199.28,34410.24,37681.7
2018-07-16,3.36,3.56,3.56,3.36,66664.4,0.17,5.01,3.3,3.204,3.167,40441.28,32999.99,38006.35
2018-07-13,3.21,3.39,3.39,3.2,50903.59,0.16,4.95,3.212,3.159,3.155,30475.09,30198.35,37884.2
2018-07-12,3.12,3.28,3.23,3.1,29896.39,0.11,3.53,3.144,3.141,3.16,27063.27,29331.7,38434.72
2018-07-11,3.19,3.2,3.11,3.09,25033.0,-0.1,-3.12,3.106,3.134,3.179,26728.6,29536.7,41676.57
2018-07-10,3.14,3.23,3.21,3.12,29709.0,0.09,2.88,3.114,3.152,3.213,26621.21,31488.26,41474.03
2018-07-09,3.04,3.12,3.12,3.04,16833.49,0.07,2.29,3.108,3.148,3.242,25558.71,31198.26,41140.94
2018-07-06,3.03,3.08,3.05,2.97,33844.49,0.02,0.66,3.106,3.146,3.277,29921.61,31335.67,42573.21
2018-07-05,3.1,3.15,3.04,3.01,28223.0,-0.11,-3.49,3.138,3.151,3.318,31600.12,31229.35,42148.14
2018-07-04,3.17,3.18,3.15,3.12,24496.08,-0.03,-0.94,3.162,3.146,3.362,32344.8,34676.01,42600.85
2018-07-03,3.11,3.18,3.18,3.11,24396.49,0.07,2.25,3.19,3.131,3.402,36355.3,40953.15,42512.2
2018-07-02,3.23,3.23,3.11,3.1,38648.0,-0.11,-3.42,3.188,3.129,3.438,36837.82,43012.71,42369.77
2018-06-29,3.18,3.24,3.21,3.17,42237.01,0.04,1.26,3.186,3.151,3.477,32749.74,45570.06,42163.21
2018-06-28,3.25,3.33,3.16,3.16,31946.41,-0.13,-3.95,3.164,3.179,3.512,30858.58,47537.75,43889.62
2018-06-27,3.18,3.34,3.29,3.16,44548.59,0.11,3.46,3.13,3.223,3.552,37007.22,53816.44,45123.7
2018-06-26,3.07,3.22,3.17,3.0,26809.08,0.06,1.93,3.072,3.274,3.595,45551.0,51459.81,46586.33
2018-06-25,3.11,3.16,3.1,3.08,18207.59,-0.02,-0.64,3.07,3.335,3.652,49187.6,51083.61,47722.52
2018-06-22,2.97,3.15,3.1,2.91,32781.25,0.1,3.33,3.116,3.407,3.723,58390.38,53810.76,48698.55
2018-06-21,3.0,3.12,2.99,2.96,62689.59,-0.01,-0.33,3.194,3.484,3.802,64216.91,53066.93,48065.43
2018-06-20,3.03,3.09,3.0,3.0,87267.5,-0.16,-5.06,3.316,3.577,3.89,70625.66,50525.69,46220.65
2018-06-19,3.3,3.3,3.16,3.16,44992.08,-0.17,-5.11,3.476,3.672,3.983,57368.62,44071.24,43396.86
2018-06-15,3.47,3.52,3.33,3.32,64221.46,-0.16,-4.58,3.6,3.746,4.062,52979.62,41726.84,42848.01
2018-06-14,3.51,3.57,3.49,3.45,61913.94,-0.11,-3.06,3.698,3.803,4.131,49231.13,38756.37,41331.53
2018-06-13,3.79,3.79,3.6,3.6,94733.31,-0.19,-5.01,3.774,3.844,4.184,41916.95,40241.49,39849.61
2018-06-12,3.81,3.83,3.8,3.74,20982.33,0.02,0.53,3.838,3.88,4.228,30425.73,36430.96,39401.52
2018-06-11,3.8,3.81,3.78,3.75,23047.08,-0.03,-0.79,3.868,3.916,4.274,30773.86,41712.84,40270.51
2018-06-08,3.87,3.89,3.82,3.72,45479.01,-0.05,-1.29,3.892,3.969,4.325,30474.05,44361.43,40237.96
2018-06-07,3.9,3.93,3.87,3.85,25343.01,-0.04,-1.02,3.908,4.039,4.377,28281.6,43586.34,38918.26
