date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,3.6,3.66,3.63,3.55,253533.8,0.06,1.68,3.818,3.995,4.156,421645.43,329194.7,325667.12
2018-12-27,3.8,3.82,3.57,3.56,357563.53,-0.18,-4.8,3.946,4.04,4.189,424062.16,332855.78,327899.72
2018-12-26,3.85,3.88,3.75,3.73,426513.41,-0.15,-3.85,4.08,4.101,4.23,419796.69,325149.62,323929.58
2018-12-25,4.24,4.29,3.9,3.82,769091.12,-0.34,-8.02,4.158,4.151,4.274,372349.95,329286.31,317479.45
2018-12-24,4.25,4.32,4.24,4.21,301525.31,-0.03,-0.7,4.2,4.192,4.31,257954.01,287927.79,289146.03
2018-12-21,4.24,4.27,4.27,4.2,265617.41,0.03,0.71,4.172,4.187,4.329,236743.97,279286.18,286590.65
2018-12-20,4.09,4.24,4.24,4.08,336236.22,0.1,2.42,4.134,4.19,4.349,241649.41,270806.8,302038.21
2018-12-19,4.07,4.16,4.14,4.07,189279.69,0.03,0.73,4.122,4.201,4.39,230502.54,262689.74,320019.1
2018-12-18,4.06,4.18,4.11,4.05,197111.41,0.01,0.24,4.144,4.234,4.431,286222.67,289351.76,329162.71
2018-12-17,4.03,4.12,4.1,4.03,195475.14,0.02,0.49,4.184,4.279,4.473,317901.57,304342.08,341055.18
2018-12-14,4.23,4.28,4.08,4.07,290144.59,-0.1,-2.39,4.202,4.316,4.514,321828.39,322139.54,359249.19
2018-12-13,4.21,4.27,4.18,4.15,280501.88,-0.07,-1.65,4.246,4.337,4.561,299964.2,322943.66,373649.94
2018-12-12,4.31,4.37,4.25,4.21,467880.31,-0.06,-1.39,4.28,4.359,4.6,294876.93,322709.55,395548.91
2018-12-11,4.18,4.31,4.31,4.12,355505.94,0.12,2.86,4.324,4.397,4.638,292480.85,305672.6,411240.03
2018-12-10,4.21,4.24,4.19,4.14,215109.22,-0.11,-2.56,4.374,4.427,4.665,290782.6,290364.28,435772.27
2018-12-07,4.38,4.4,4.3,4.29,180823.64,-0.05,-1.15,4.43,4.47,4.695,322450.7,293895.12,469285.78
2018-12-06,4.42,4.45,4.35,4.34,255065.55,-0.12,-2.69,4.428,4.507,4.707,345923.13,333269.62,490599.19
2018-12-05,4.57,4.65,4.47,4.47,455899.88,-0.09,-1.97,4.438,4.578,4.723,350542.16,377348.46,548866.81
2018-12-04,4.45,4.56,4.56,4.44,347014.69,0.09,2.01,4.47,4.627,4.742,318864.34,368973.66,550381.69
2018-12-03,4.38,4.55,4.47,4.34,373449.72,0.18,4.2,4.48,4.666,4.783,289945.96,377768.29,533644.55
2018-11-30,4.38,4.43,4.29,4.2,298185.81,-0.11,-2.5,4.51,4.712,4.859,265339.54,396358.83,515321.22
2018-11-29,4.63,4.66,4.4,4.4,278160.72,-0.23,-4.97,4.586,4.784,4.978,320616.12,424356.21,501243.13
2018-11-28,4.6,4.66,4.63,4.42,297510.78,0.02,0.43,4.718,4.841,5.13,404154.76,468388.27,494619.29
2018-11-27,4.62,4.67,4.61,4.55,202422.78,-0.01,-0.22,4.784,4.879,5.291,419082.98,516807.47,483258.85
2018-11-26,4.63,4.68,4.62,4.52,250417.62,-0.05,-1.07,4.852,4.903,5.456,465590.61,581180.27,479182.75
2018-11-23,5.05,5.05,4.67,4.6,574568.69,-0.39,-7.71,4.914,4.92,5.62,527378.12,644676.44,471501.92
2018-11-22,4.92,5.12,5.06,4.92,695853.94,0.1,2.02,4.982,4.906,5.783,528096.3,647928.75,445667.56
2018-11-21,4.91,4.98,4.96,4.82,372151.88,0.01,0.2,4.964,4.867,5.93,532621.77,720385.15,418692.51
2018-11-20,4.89,5.01,4.95,4.87,434960.91,0.02,0.41,4.974,4.856,6.085,614531.96,731789.71,404534.62
2018-11-19,4.97,5.03,4.93,4.81,559355.19,-0.08,-1.6,4.954,4.9,6.24,696769.92,689520.82,391772.49
2018-11-16,4.95,5.06,5.01,4.91,578159.56,0.04,0.81,4.926,5.006,6.396,761974.76,634283.6,374708.69
2018-11-15,4.95,5.14,4.97,4.86,718481.31,-0.04,-0.8,4.83,5.171,6.541,767761.2,578130.04,355656.41
2018-11-14,4.82,5.04,5.01,4.82,781702.81,0.16,3.3,4.77,5.418,6.693,908148.54,520850.31,323240.82
2018-11-13,4.7,4.93,4.85,4.66,846150.75,0.06,1.25,4.738,5.703,6.85,849047.46,449710.23,287230.18
2018-11-12,4.56,4.83,4.79,4.55,885379.38,0.26,5.74,4.846,6.009,7.017,682271.71,377185.24,253243.85
2018-11-09,4.56,4.62,4.53,4.52,607091.75,-0.14,-3.0,5.086,6.319,7.185,506592.44,298327.41,212365.77
2018-11-08,4.61,4.75,4.67,4.52,1420418.0,-0.18,-3.71,5.512,6.66,7.365,388498.89,243406.37,184487.38
2018-11-07,4.85,4.99,4.85,4.85,486197.44,-0.54,-10.02,6.066,6.992,7.54,133552.09,116999.86,119271.23
2018-11-06,5.39,5.39,5.39,5.39,12272.0,-0.6,-10.02,6.668,7.313,7.709,50373.0,77279.53,101218.15
2018-11-05,5.99,5.99,5.99,5.99,6983.0,-0.67,-10.06,7.172,7.579,7.857,72098.77,94024.16,110488.53
2018-11-02,6.66,6.66,6.66,6.66,16624.0,-0.74,-10.0,7.552,7.785,7.966,90062.37,115133.78,113906.89
2018-06-15,7.77,7.84,7.44,7.42,145684.0,-0.43,-5.46,7.808,7.91,8.044,98313.85,133182.78,124498.57
2018-06-14,7.84,7.95,7.86,7.84,70302.0,-0.05,-0.63,7.918,7.968,8.088,100447.64,125631.32,129839.29
2018-06-13,7.87,7.98,7.91,7.8,120900.86,0.01,0.13,7.958,7.997,8.1,104186.05,124750.13,130593.92
