date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/7/11,1.46,1.5,1.4,1.32,329521.53,-0.07,-4.76,1.394,1.266,1.35,234562.55,171937.4,165240.58
2018/7/10,1.58,1.62,1.47,1.46,382977.78,0,0,1.368,1.237,1.398,192461.75,165879.07,148767.85
2018/7/9,1.36,1.47,1.47,1.35,130426.87,0.13,9.7,1.304,1.202,1.455,136546.74,160523.22,129624.71
2018/7/6,1.29,1.35,1.34,1.28,136453.77,0.05,3.88,1.228,1.157,1.526,128505.66,229365.84,123110.97
2018/7/5,1.31,1.34,1.29,1.22,193432.8,0.02,1.57,1.176,1.136,1.62,127254.46,219967.76,116295.83
2018/7/4,1.16,1.27,1.27,1.16,119017.51,0.12,10.44,1.138,1.133,1.735,109312.26,212215.88,106632.49
2018/7/3,1.1,1.16,1.15,1.1,103402.75,0.06,5.5,1.106,1.146,1.87,139296.4,200423.13,100683.01
2018/7/2,1.07,1.1,1.09,1.06,90221.45,0.02,1.87,1.1,1.186,2.034,184499.7,190253.05,95513.33
2018/6/29,1.12,1.14,1.08,1.05,130197.77,-0.03,-2.7,1.086,1.249,2.225,330226.01,181631.51,91002.4
2018/6/28,1.09,1.14,1.1,1.08,103721.8,0,0,1.096,1.332,2.444,312681.06,168896.83,84492.87
2018/6/27,1.16,1.21,1.11,1.09,268938.22,-0.01,-0.89,1.128,1.434,2.692,315119.5,158543.75,79315.73
2018/6/26,1.03,1.12,1.12,1.03,329419.28,0.1,9.8,1.186,1.558,2.974,261549.86,131656.63,79854.23
2018/6/25,1.02,1.04,1.02,1.02,818853,-0.11,-9.73,1.272,1.707,3.25,196006.4,98726.2,71577.53
2018/6/22,1.13,1.13,1.13,1.13,42473,-0.13,-10.32,1.412,1.895,3.536,33037,16856.1,35996.75
2018/6/21,1.26,1.26,1.26,1.26,115914,-0.14,-10,1.568,2.104,3.822,25112.6,12623.9,41480.33
2018/6/20,1.4,1.4,1.4,1.4,1090,-0.15,-9.68,1.74,2.336,4.104,1968,1049.1,44199.07
2018/6/19,1.55,1.55,1.55,1.55,1702,-0.17,-9.88,1.93,2.594,4.383,1763.4,942.9,55446.73
