date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/7/11,1.42,1.55,1.47,1.33,147813.95,0.05,3.52,1.4,1.37,1.424,109746.52,81780.58,84571.32
2018/7/10,1.42,1.49,1.42,1.39,133653.56,0.01,0.71,1.396,1.356,1.463,93890.48,74883.73,77181.02
2018/7/9,1.33,1.45,1.41,1.33,99944.87,0.07,5.22,1.384,1.352,1.517,78603.92,74589.91,70498.49
2018/7/6,1.36,1.4,1.34,1.31,66400.68,-0.02,-1.47,1.36,1.34,1.585,66073.13,75186.39,65503.55
2018/7/5,1.45,1.46,1.36,1.33,100919.52,-0.08,-5.56,1.348,1.328,1.673,65303.74,85565.43,62186.82
2018/7/4,1.38,1.48,1.45,1.36,68533.78,0.09,6.62,1.34,1.313,1.776,53814.64,112266.58,57141.14
2018/7/3,1.29,1.37,1.36,1.29,57220.74,0.07,5.43,1.316,1.302,1.894,55876.98,105724.2,53715.2
2018/7/2,1.26,1.31,1.29,1.26,37290.94,0.01,0.78,1.32,1.315,2.038,70575.9,100081.43,50854.61
2018/6/29,1.31,1.34,1.28,1.24,62553.7,-0.03,-2.29,1.32,1.351,2.208,84299.64,96710.73,48990.77
2018/6/28,1.31,1.37,1.32,1.3,43474.03,-0.01,-0.75,1.308,1.406,2.405,105827.11,91696.36,45863.43
2018/6/27,1.37,1.4,1.33,1.32,78845.49,-0.05,-3.62,1.286,1.477,2.629,170718.52,87362.06,43689.98
2018/6/26,1.27,1.42,1.38,1.27,130715.35,0.09,6.98,1.288,1.569,2.885,155571.42,79478.31,53457.13
2018/6/25,1.23,1.31,1.29,1.2,105909.64,0.07,5.74,1.31,1.681,3.151,129586.95,66407.08,54580.31
2018/6/22,1.21,1.27,1.22,1.18,170191.06,0.01,0.83,1.382,1.83,3.406,109121.82,55820.71,55566.41
2018/6/21,1.21,1.38,1.21,1.21,367931.06,-0.13,-9.7,1.504,2.017,3.65,77565.61,38808.21,55022.1
2018/6/20,1.34,1.34,1.34,1.34,3110,-0.15,-10.07,1.668,2.239,3.91,4005.6,2015.7,41654.31
2018/6/19,1.49,1.49,1.49,1.49,793,-0.16,-9.7,1.85,2.486,4.175,3385.2,1706.2,45966.16
2018/6/15,1.65,1.65,1.65,1.65,3584,-0.18,-9.84,2.052,2.76,4.45,3227.2,1627.8,53361.88
2018/6/14,1.83,1.83,1.83,1.83,12410,-0.2,-9.85,2.278,3.065,4.707,2519.6,1270.8,59995.37
2018/6/13,2.03,2.03,2.03,2.03,131,-0.22,-9.78,2.53,3.404,4.942,50.8,30.5,64400.31
2018/6/12,2.25,2.25,2.25,2.25,8,-0.25,-10,2.81,3.781,5.159,25.8,17.9,69265.85
2018/6/11,2.5,2.5,2.5,2.5,3,-0.28,-10.07,3.122,4.2,5.367,27.2,27435.96,74052.48
2018/6/8,2.78,2.78,2.78,2.78,46,-0.31,-10.03,3.468,4.621,5.57,28.4,42753.54,79206.98
2018/6/7,3.09,3.09,3.09,3.09,66,-0.34,-9.91,3.852,4.982,5.754,22,55312.11,85016.74
2018/6/6,3.43,3.43,3.43,3.43,6,-0.38,-9.97,4.278,5.282,5.917,10.2,71235.99,90310.22
2018/6/5,3.81,3.81,3.81,3.81,15,-0.42,-9.93,4.752,5.58,6.066,10,81292.91,94810.23
2018/6/4,4.23,4.23,4.23,4.23,9,-0.47,-10,5.278,5.863,6.195,54844.71,90226.12,102043.71
2018/6/1,4.7,4.7,4.7,4.7,14,-0.52,-9.96,5.774,6.139,6.299,85478.67,105095.96,116075.55
2018/5/31,5.22,5.22,5.22,5.22,7,-0.58,-10,6.112,6.348,6.394,110602.22,118719.95,136019.2
2018/5/30,5.8,5.8,5.8,5.8,5,-0.64,-9.94,6.286,6.48,6.48,142461.78,128770.12,136195.85
2017/4/24,6.8,6.95,6.44,6.37,274188.56,-0.27,-4.02,6.408,6.536,6.556,162575.82,138513.8,137030.3
2017/4/21,6.6,6.71,6.71,6.44,153178.8,0.32,5.01,6.448,6.534,6.619,125607.53,120669,123783.72
2017/4/20,6.08,6.39,6.39,6.06,125631.72,0.3,4.93,6.504,6.518,6.689,124713.24,115660.43,116486.48
2017/4/19,6.36,6.51,6.09,6.09,159304.8,-0.32,-4.99,6.584,6.526,6.797,126837.68,114721.38,110553.99
2017/4/18,6.38,6.57,6.41,6.36,100575.23,-0.23,-3.46,6.674,6.551,6.942,115078.46,109384.45,110138.77
2017/4/17,6.89,6.89,6.64,6.64,89347.1,-0.35,-5.01,6.664,6.551,7.076,114451.78,108327.55,110486.5
2017/4/14,6.75,7.09,6.99,6.72,148707.36,0.2,2.95,6.62,6.527,7.182,115730.47,113861.31,110620.35
2017/4/13,6.6,6.87,6.79,6.6,136253.92,0.25,3.82,6.532,6.458,7.26,106607.61,127055.15,105519.63
2017/4/12,6.32,6.63,6.54,6.3,100508.71,0.18,2.83,6.468,6.439,7.347,102605.07,153318.44,102311.1
2017/4/11,6.43,6.46,6.36,6.24,97441.82,-0.06,-0.94,6.428,6.48,7.441,103690.44,143621.57,100700.57
2017/4/10,6.5,6.56,6.42,6.41,95740.53,-0.13,-1.99,6.438,6.576,7.549,102203.31,135546.79,100271.98
2017/4/7,6.46,6.62,6.55,6.41,103093.06,0.08,1.24,6.434,6.704,7.648,111992.14,126898.44,99731.58
2017/4/6,6.34,6.65,6.47,6.28,116241.23,0.13,2.05,6.384,6.86,7.75,147502.69,117312.53,98629.56
2017/4/5,6.38,6.4,6.34,6.25,105935.58,-0.07,-1.09,6.41,7.067,7.861,204031.82,106386.61,97722.21
2017/3/31,6.3,6.44,6.41,6.27,90006.15,0.01,0.16,6.532,7.332,7.966,183552.7,110893.1,95858.94
2017/3/30,6.3,6.51,6.4,6.3,144684.7,0.1,1.59,6.714,7.6,8.061,168890.27,112645.45,94626.54
2017/3/29,6.43,6.52,6.3,6.27,280645.78,-0.3,-4.54,6.974,7.836,8.155,141804.73,107379.4,91000.42
2017/3/28,6.6,6.75,6.6,6.6,398886.88,-0.35,-5.04,7.336,8.061,8.249,87122.38,83984.11,78563.91
2017/3/27,6.95,6.95,6.95,6.95,3540,-0.37,-5.05,7.724,8.255,8.326,8741.4,51303.75,60332.84
2017/3/24,7.32,7.32,7.32,7.32,16694,-0.38,-4.93,8.132,8.402,8.384,38233.49,57779.57,63030.08
