date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,3.82,3.82,3.82,3.82,5146,-0.2,-4.97,4.316,4.583,4.499,67481.72,64729.28,59323.45
2018/12/27,4.02,4.02,4.02,4.02,939,-0.21,-4.96,4.504,4.681,4.511,84321.63,68294.85,63827.7
2018/12/26,4.23,4.23,4.23,4.23,7122,-0.22,-4.94,4.676,4.753,4.523,97611.42,72771.45,69119.44
2018/3/8,4.65,4.88,4.83,4.64,201547.16,0.15,3.21,4.8,4.789,4.536,105062.55,76139.73,72909.06
2018/3/7,4.72,4.79,4.68,4.53,122654.45,-0.09,-1.89,4.804,4.755,4.525,79245.51,59268.55,64800.85
2018/3/6,4.88,4.93,4.76,4.68,89345.53,-0.11,-2.26,4.85,4.737,4.533,61976.83,51399.43,61233.68
2018/3/5,4.79,4.89,4.88,4.67,67387.98,0.04,0.83,4.858,4.704,4.549,52268.07,48752.11,58328.46
2018/3/2,4.83,4.95,4.85,4.81,44377.62,0,0,4.83,4.639,4.562,47931.48,47267.48,55813.52
2018/3/1,4.86,5.14,4.85,4.83,72461.97,-0.05,-1.02,4.778,4.571,4.578,47216.91,49372.86,54586
2018/2/28,4.8,4.94,4.91,4.73,36311.05,0.12,2.5,4.706,4.505,4.592,39291.59,48405.59,51833.62
2018/2/27,4.73,4.87,4.8,4.72,40801.74,0.05,1.05,4.624,4.414,4.603,40822.04,53917.63,51521.43
2018/2/26,4.55,4.8,4.74,4.55,45705.02,0.16,3.49,4.55,4.34,4.621,45236.16,59360.55,53294.05
2018/2/23,4.5,4.63,4.59,4.48,40804.75,0.11,2.46,4.448,4.293,4.651,46603.48,65467.42,52289.32
2018/2/22,4.5,4.54,4.49,4.42,32835.41,0,0,4.364,4.283,4.691,51528.8,69678.4,51865.65
2018/2/14,4.4,4.57,4.5,4.4,43963.26,0.07,1.58,4.304,4.294,4.737,57519.59,70333.16,51832.71
2018/2/13,4.25,4.44,4.43,4.24,62872.34,0.2,4.73,4.204,4.328,4.783,67013.21,71067.93,53258.65
2018/2/12,4.14,4.29,4.23,4.14,52541.62,0.04,0.95,4.13,4.393,4.822,73484.95,67904.81,51313.78
2018/2/9,4.1,4.25,4.17,4.04,65431.39,-0.02,-0.48,4.138,4.485,4.87,84331.37,64359.56,50452.76
2018/2/8,3.98,4.19,4.19,3.95,62789.33,0.2,5.01,4.202,4.584,4.925,87827.99,59799.14,48747.81
2018/2/7,4.1,4.15,4,3.86,91431.39,-0.06,-1.48,4.284,4.679,4.974,83146.72,55261.64,47716.12
2018/2/6,4.21,4.35,4.06,4.06,95231,-0.21,-4.92,4.452,4.791,5.039,75122.65,49125.24,45780.87
2018/2/5,4.27,4.43,4.27,4.27,106773.75,-0.22,-4.9,4.656,4.901,5.103,62324.67,47227.54,43025.94
2018/2/2,4.37,4.58,4.49,4.37,82914.48,-0.11,-2.39,4.832,5.008,5.154,44387.75,39111.22,39474.2
2018/2/1,4.8,4.85,4.6,4.6,39383,-0.24,-4.96,4.966,5.099,5.196,31770.29,34052.91,37817.45
2018/1/31,5.05,5.08,4.84,4.84,51311,-0.25,-4.91,5.074,5.18,5.231,27376.56,33332.27,38601.91
2018/1/30,5.17,5.21,5.08,5.04,31241.1,-0.07,-1.36,5.13,5.237,5.254,23127.84,35449.37,39003.56
2018/1/29,5.17,5.2,5.15,5.11,17089.16,-0.03,-0.58,5.146,5.251,5.258,32130.42,34722.74,44024.17
2018/1/26,5.14,5.19,5.16,5.12,19827.18,0.01,0.19,5.184,5.255,5.256,33834.69,36545.95,47074.53
2018/1/25,5.09,5.16,5.14,5.08,17414.37,0.01,0.2,5.232,5.265,5.242,36335.53,37696.48,47473.04
2018/1/24,5.13,5.19,5.12,5.08,30067.38,-0.04,-0.78,5.286,5.269,5.226,39287.97,40170.59,48434.87
2018/1/23,5.29,5.31,5.16,5.07,76254,-0.18,-3.37,5.344,5.287,5.21,47770.9,42436.5,48979.81
2018/1/22,5.43,5.43,5.34,5.32,25610.5,-0.06,-1.11,5.356,5.305,5.189,37315.07,38824.34,48314.07
2018/1/19,5.41,5.48,5.4,5.37,32331.39,-0.01,-0.18,5.326,5.3,5.171,39257.22,39837.19,50691.05
2018/1/18,5.37,5.47,5.41,5.36,32176.58,0,0,5.298,5.292,5.157,39057.43,41582,51714.2
2018/1/17,5.2,5.47,5.41,5.16,72482.04,0.19,3.64,5.252,5.282,5.13,41053.22,43871.55,52130.7
2018/1/16,5.18,5.23,5.22,5.13,23974.84,0.03,0.58,5.23,5.27,5.099,37102.09,42557.75,49620.8
2018/1/15,5.22,5.28,5.19,5.12,35321.25,-0.07,-1.33,5.254,5.265,5.079,40333.61,53325.59,51642.37
2018/1/12,5.2,5.27,5.26,5.12,31332.44,0.07,1.35,5.274,5.256,5.058,40417.16,57603.1,51759.79
2018/1/11,5.25,5.26,5.18,5.11,42155.51,-0.11,-2.08,5.286,5.218,5.036,44106.56,57249.6,52553.64
2018/1/10,5.36,5.38,5.3,5.17,52726.43,-0.04,-0.75,5.312,5.183,5.016,46689.88,56699.15,52097.12
2018/1/9,5.26,5.37,5.34,5.26,40132.43,0.05,0.94,5.31,5.133,4.988,48013.41,55523.13,51910.35
2018/1/8,5.33,5.37,5.29,5.24,35739,-0.04,-0.75,5.276,5.073,4.955,66317.57,57803.8,51838.83
2018/1/5,5.29,5.38,5.32,5.22,49779.43,0.02,0.38,5.238,5.041,4.922,74789.03,61544.92,52309.87
2018/1/4,5.24,5.42,5.31,5.22,55072.1,0.02,0.38,5.15,5.021,4.88,70392.64,61846.4,51258.98
2018/1/3,5.15,5.3,5.29,5.12,59344.1,0.12,2.32,5.054,4.977,4.836,66708.42,60389.84,51281.52
2018/1/2,5.25,5.36,5.17,5.15,131653.2,0.07,1.37,4.956,4.928,4.794,63032.85,56683.85,51291.97
2017/12/29,5.03,5.1,5.1,4.88,78096.34,0.24,4.94,4.87,4.892,4.769,49290.03,49959.15,47356.61
2017/12/28,4.8,4.89,4.88,4.77,27797.44,0.05,1.03,4.844,4.86,4.76,48300.8,45916.47,44586.74
2017/12/27,4.84,4.94,4.83,4.79,36651.01,0.04,0.83,4.892,4.853,4.757,53300.16,47857.67,44217.72
2017/12/26,4.74,4.87,4.8,4.7,40966.26,0.06,1.27,4.9,4.848,4.757,54071.27,47495.09,43542.96
2017/12/25,4.94,4.99,4.74,4.73,62939.1,-0.23,-4.63,4.9,4.842,4.76,50334.84,48297.56,42421.33
2017/12/22,5.05,5.07,4.97,4.9,73150.17,-0.15,-2.93,4.914,4.837,4.76,50628.26,45873.85,40636.11
2017/12/21,5.1,5.12,5.12,5.04,52794.26,0.24,4.92,4.876,4.803,4.753,43532.15,43074.83,38607.97
2017/12/20,4.82,4.95,4.87,4.78,40506.56,0.07,1.46,4.814,4.738,4.737,42415.18,40671.56,38680.62
2017/12/19,4.79,4.82,4.8,4.75,22284.12,-0.01,-0.21,4.796,4.694,4.746,40918.9,42173.2,39439.44
2017/12/18,4.95,4.95,4.81,4.74,64406.2,0.03,0.63,4.784,4.659,4.758,46260.28,45900.09,40520.88
2017/12/15,4.8,4.85,4.78,4.74,37669.6,-0.03,-0.62,4.76,4.646,4.778,41119.44,44754.07,39907.31
2017/12/14,4.79,4.93,4.81,4.76,47209.44,0.03,0.63,4.73,4.659,4.801,42617.52,43257.01,42569.43
2017/12/13,4.74,4.87,4.78,4.73,33025.15,0.04,0.84,4.662,4.661,4.836,38927.93,40577.76,45578.16
2017/12/12,4.7,4.87,4.74,4.69,48991,0.05,1.07,4.592,4.666,4.86,43427.5,39590.84,46870.8
2017/12/11,4.61,4.7,4.69,4.58,38702.02,0.06,1.3,4.534,4.677,4.896,45539.9,36545.09,46599.65
2017/12/8,4.47,4.69,4.63,4.47,45159.98,0.16,3.58,4.532,4.683,4.935,48388.69,35398.38,47470.98
2017/12/7,4.41,4.49,4.47,4.4,28761.51,0.04,0.9,4.588,4.703,4.984,43896.5,34141.11,47469.92
2017/12/6,4.45,4.49,4.43,4.34,55522.97,-0.02,-0.45,4.66,4.736,5.044,42227.6,36689.67,49925.38
2017/12/5,4.61,4.68,4.45,4.45,59553.01,-0.23,-4.92,4.74,4.798,5.101,35754.19,36705.68,50249.3
2017/12/4,4.88,4.89,4.68,4.66,52946,-0.23,-4.68,4.82,4.856,5.15,27550.29,35141.67,49261.5
2017/12/1,4.83,4.93,4.91,4.78,22699,0.08,1.66,4.834,4.91,5.185,22408.06,35060.56,48324.36
2017/11/30,4.83,4.91,4.83,4.76,20417,-0.01,-0.21,4.818,4.943,5.206,24385.73,41881.86,49084.81
2017/11/29,4.81,4.85,4.83,4.74,23155.93,-0.02,-0.41,4.812,5.011,5.226,31151.75,50578.56,49871.32
2017/11/28,4.78,4.87,4.85,4.77,18533.52,0.08,1.68,4.856,5.054,5.252,37657.16,54150.77,50528.04
2017/11/27,4.84,4.93,4.75,4.72,27234.84,-0.08,-1.66,4.892,5.114,5.278,42733.06,56654.22,50925.26
2017/11/24,4.79,4.87,4.83,4.68,32587.35,0.03,0.62,4.986,5.186,5.308,47713.06,59543.58,52077.88
2017/11/23,5.03,5.03,4.8,4.8,54247.1,-0.25,-4.95,5.068,5.265,5.339,59377.99,60798.74,52443.41
2017/11/22,5.07,5.12,5.05,4.87,55683,0,0,5.21,5.352,5.366,70005.37,63161.08,51536
2017/11/21,5.18,5.32,5.03,5.03,43913,-0.19,-3.64,5.252,5.404,5.379,70644.37,63792.93,50365.68
2017/11/20,5.2,5.26,5.22,4.99,52134.83,-0.03,-0.57,5.336,5.444,5.39,70575.37,63381.33,49852.37
