date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,1.4,1.41,1.34,1.32,2543000.5,-0.06,-4.29,1.326,1.346,1.467,1723664.84,1219530.74,1333667.29
2018-12-27,1.29,1.4,1.4,1.28,3092961.5,0.13,10.24,1.328,1.351,1.486,1351755.35,1052415.57,1262779.85
2018-12-26,1.29,1.29,1.27,1.27,876970.38,-0.02,-1.55,1.318,1.353,1.504,905828.25,885120.47,1178340.93
2018-12-25,1.32,1.33,1.29,1.25,1371113.25,-0.04,-3.01,1.338,1.369,1.528,851259.81,1015326.83,1208250.14
2018-12-24,1.34,1.35,1.33,1.32,734278.56,-0.02,-1.48,1.356,1.387,1.552,721729.24,1194847.18,1246320.23
2018-12-21,1.34,1.35,1.35,1.33,683453.06,0.0,0.0,1.366,1.404,1.578,715396.65,1161484.73,1413612.24
2018-12-20,1.36,1.37,1.35,1.33,863326.0,-0.02,-1.46,1.374,1.437,1.599,753075.79,1196881.48,1555019.51
2018-12-19,1.37,1.38,1.37,1.35,604128.19,-0.01,-0.72,1.388,1.476,1.612,864412.69,1251167.91,1577510.24
2018-12-18,1.38,1.39,1.38,1.36,723460.38,0.0,0.0,1.4,1.514,1.625,1179393.85,1323710.75,1621028.82
2018-12-17,1.38,1.39,1.38,1.36,702615.62,-0.01,-0.72,1.418,1.549,1.644,1667965.12,1382083.87,1650276.96
2018-12-14,1.41,1.42,1.39,1.38,871848.75,-0.03,-2.11,1.442,1.588,1.662,1607572.8,1447803.84,1665545.16
2018-12-13,1.42,1.44,1.42,1.39,1420010.5,-0.01,-0.7,1.5,1.621,1.681,1640687.17,1473144.14,1684436.46
2018-12-12,1.41,1.45,1.43,1.39,2179034.0,-0.04,-2.72,1.564,1.655,1.702,1637923.12,1471561.4,1660806.81
2018-12-11,1.35,1.54,1.47,1.35,3166316.75,-0.03,-2.0,1.628,1.687,1.722,1468027.65,1401173.45,1589653.23
2018-12-10,1.5,1.5,1.5,1.5,400654.0,-0.17,-10.18,1.68,1.717,1.741,1096202.62,1297793.27,1501652.86
2018-07-05,1.73,1.74,1.68,1.67,1037420.62,-0.07,-4.0,1.734,1.751,1.762,1288034.87,1665739.75,1527717.21
2018-07-04,1.75,1.78,1.74,1.72,1406190.25,-0.01,-0.57,1.742,1.76,1.773,1305601.1,1913157.54,1507329.88
2018-07-03,1.7,1.76,1.75,1.68,1329556.62,0.03,1.74,1.746,1.748,1.781,1305199.67,1903852.57,1491428.07
2018-07-02,1.76,1.78,1.73,1.71,1307191.62,-0.05,-2.81,1.746,1.735,1.789,1334319.25,1918346.9,1474872.52
2018-06-29,1.73,1.79,1.77,1.69,1359815.25,0.05,2.91,1.754,1.738,1.798,1499383.92,1918470.04,1536015.86
2018-06-28,1.75,1.76,1.72,1.71,1125251.75,-0.04,-2.27,1.768,1.736,1.814,2043444.62,1883286.49,1525889.69
2018-06-27,1.74,1.81,1.76,1.74,1404183.12,0.0,0.0,1.778,1.741,1.834,2520713.97,1895728.79,1502468.16
2018-06-26,1.72,1.76,1.75,1.69,1475154.5,-0.02,-1.13,1.75,1.749,1.857,2502505.47,1850052.23,1453884.65
2018-06-25,1.84,1.84,1.77,1.76,2132515.0,-0.07,-3.8,1.724,1.757,1.879,2502374.55,1778133.01,1429761.5
2018-06-22,1.75,1.86,1.84,1.71,4080118.75,0.07,3.96,1.722,1.765,1.905,2337556.15,1705512.45,1377614.1
2018-06-21,1.61,1.77,1.77,1.6,3511598.5,0.16,9.94,1.704,1.773,1.933,1723128.35,1389694.68,1256642.35
2018-06-20,1.61,1.66,1.62,1.59,1313140.62,0.0,0.0,1.704,1.786,1.959,1270743.6,1101502.23,1120373.55
2018-06-19,1.73,1.75,1.62,1.59,1474499.88,-0.14,-7.96,1.748,1.814,1.993,1197598.99,1079003.57,1093978.96
2018-06-15,1.75,1.79,1.76,1.73,1308423.0,0.01,0.57,1.79,1.842,2.03,1053891.47,1031398.15,1080578.81
2018-06-14,1.75,1.77,1.75,1.72,1007979.75,-0.01,-0.57,1.808,1.858,2.057,1073468.75,1153561.68,1062907.02
2018-06-13,1.83,1.83,1.77,1.75,1249674.75,-0.06,-3.28,1.842,1.892,2.083,1056261.0,1168492.89,1039005.61
2018-06-12,1.83,1.84,1.84,1.8,947417.56,0.02,1.1,1.868,1.927,2.109,932260.86,1109207.53,1013182.89
2018-06-11,1.82,1.84,1.83,1.81,755962.31,-0.01,-0.54,1.88,1.964,2.131,960408.15,1057717.08,994483.99
2018-06-08,1.9,1.91,1.85,1.82,1406309.38,-0.07,-3.65,1.894,2.0,2.154,1008904.83,1081389.98,1002995.45
2018-06-07,1.9,1.94,1.92,1.89,921941.0,0.02,1.05,1.908,2.045,2.178,1233654.6,1049715.74,979683.11
2018-06-06,1.9,1.91,1.9,1.88,629674.06,-0.01,-0.52,1.942,2.092,2.202,1280724.78,1123590.03,1004950.44
2018-06-05,1.9,1.92,1.9,1.88,1088154.0,0.0,0.0,1.986,2.132,2.225,1286154.19,1139244.87,1035933.66
2018-06-04,1.92,1.94,1.9,1.88,998445.69,-0.02,-1.04,2.048,2.172,2.25,1155026.01,1108954.36,1097339.67
2018-06-01,2.06,2.06,1.92,1.88,2530058.25,-0.17,-8.13,2.106,2.217,2.274,1153875.13,1129759.48,1189173.87
2018-05-31,2.13,2.14,2.09,2.05,1157291.88,-0.03,-1.42,2.182,2.255,2.297,865776.88,972252.37,1175159.07
2018-05-30,2.16,2.17,2.12,2.1,656821.12,-0.09,-4.07,2.242,2.273,2.3,966455.28,909518.33,1148210.72
2018-05-29,2.19,2.22,2.21,2.18,432513.09,0.02,0.91,2.278,2.29,2.302,992335.54,917158.26,1141337.4
2018-05-28,2.25,2.25,2.19,2.18,992691.31,-0.1,-4.37,2.296,2.298,2.299,1062882.71,931250.91,1150177.94
2018-05-25,2.35,2.36,2.3,2.28,1089567.0,-0.08,-3.36,2.328,2.307,2.295,1105643.83,924600.92,1128258.65
2018-05-24,2.32,2.39,2.39,2.28,1660683.88,0.09,3.91,2.328,2.31,2.288,1078727.87,909650.48,1097296.61
2018-05-23,2.3,2.34,2.3,2.28,786222.44,0.0,0.0,2.304,2.311,2.278,852581.38,886310.85,1052970.43
2018-05-22,2.33,2.34,2.3,2.28,785248.94,-0.05,-2.13,2.302,2.317,2.271,841980.98,932622.45,1062575.75
2018-05-21,2.31,2.36,2.35,2.27,1206496.88,0.05,2.17,2.3,2.328,2.266,799619.1,1085724.98,1059526.62
2018-05-18,2.23,2.32,2.3,2.18,954987.19,0.03,1.32,2.286,2.331,2.262,743558.01,1248588.27,1039394.71
2018-05-17,2.3,2.32,2.27,2.26,529951.44,-0.02,-0.87,2.292,2.338,2.259,740573.1,1378065.78,1032125.76
2018-05-16,2.27,2.34,2.29,2.26,733220.44,0.01,0.44,2.318,2.327,2.258,920040.31,1386903.11,1054386.37
2018-05-15,2.27,2.3,2.29,2.26,573439.56,0.02,0.88,2.332,2.314,2.258,1023263.92,1365516.54,1064776.99
2018-05-14,2.3,2.33,2.28,2.25,926191.44,-0.05,-2.15,2.356,2.3,2.261,1371830.86,1369104.96,1134384.98
2018-05-11,2.37,2.38,2.33,2.32,940062.62,-0.06,-2.51,2.376,2.283,2.264,1753618.52,1331916.37,1218477.14
2018-05-10,2.36,2.46,2.4,2.35,1427287.5,0.04,1.7,2.384,2.266,2.265,2015558.45,1284942.73,1413725.95
2018-05-09,2.37,2.4,2.36,2.34,1249338.5,-0.05,-2.08,2.336,2.244,2.267,1853765.9,1219630.02,1363573.63
2018-05-08,2.34,2.51,2.41,2.3,2316274.25,0.02,0.84,2.296,2.224,2.285,1707769.16,1192529.05,1323493.35
2018-05-07,2.4,2.48,2.38,2.37,2835129.75,0.01,0.42,2.244,2.203,2.316,1366379.06,1033328.27,1259673.35
2018-05-04,2.22,2.37,2.37,2.22,2249762.25,0.22,10.23,2.19,2.192,2.365,910214.22,830201.14,1126571.89
2018-05-03,2.14,2.17,2.16,2.1,618324.75,0.0,0.0,2.148,2.179,2.414,554327.02,686185.74,1026124.83
2018-05-02,2.15,2.19,2.16,2.14,519354.81,0.0,0.0,2.152,2.188,2.476,585494.13,721869.63,1003220.18
2018-04-27,2.13,2.16,2.15,2.11,609323.75,0.04,1.9,2.152,2.201,2.538,677288.94,764037.43,984417.59
2018-04-26,2.15,2.16,2.11,2.1,554305.56,-0.04,-1.86,2.162,2.222,2.604,700277.47,899665.0,960227.35
2018-04-25,2.16,2.16,2.16,2.14,470326.22,-0.02,-0.92,2.194,2.244,2.673,750188.06,1105037.9,938245.27
2018-04-24,2.16,2.19,2.18,2.14,774160.31,0.03,1.4,2.21,2.263,2.739,818044.46,1542509.18,922383.68
2018-04-23,2.2,2.22,2.16,2.13,978328.88,-0.05,-2.26,2.224,2.29,2.805,858245.13,1507517.24,892148.22
2018-04-20,2.26,2.26,2.2,2.19,724266.38,-0.08,-3.51,2.25,2.346,2.872,850785.91,1454457.66,847985.79
2018-04-19,2.24,2.29,2.27,2.21,803858.5,0.03,1.34,2.282,2.428,2.938,1099052.54,1486018.44,815623.12
2018-04-18,2.27,2.28,2.24,2.18,809608.25,-0.01,-0.44,2.294,2.537,3.0,1459887.74,1422942.64,781657.24
