date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,2.64,2.67,2.67,2.64,71.49,0.0,0.0,2.656,2.66,2.683,480.5,374.5,386.67
2018-12-27,2.65,2.67,2.67,2.63,564.0,0.0,0.0,2.65,2.66,2.681,507.4,410.35,426.58
2018-12-26,2.63,2.67,2.67,2.63,907.0,0.04,1.52,2.65,2.665,2.68,454.07,399.45,452.33
2018-12-25,2.62,2.63,2.63,2.6,436.0,-0.01,-0.38,2.65,2.669,2.684,300.67,325.09,462.63
2018-12-24,2.65,2.65,2.64,2.62,424.0,0.0,0.0,2.66,2.675,2.686,274.67,293.59,512.08
2018-12-21,2.65,2.66,2.64,2.62,206.0,-0.03,-1.12,2.664,2.681,2.688,268.51,266.49,525.58
2018-12-20,2.64,2.68,2.67,2.63,297.33,0.0,0.0,2.67,2.688,2.69,313.31,314.99,576.41
2018-12-19,2.65,2.67,2.67,2.65,140.0,-0.01,-0.37,2.68,2.688,2.693,344.84,291.81,593.94
2018-12-18,2.7,2.7,2.68,2.65,306.0,0.02,0.75,2.688,2.693,2.697,349.51,296.93,607.39
2018-12-17,2.65,2.67,2.66,2.65,393.2,-0.01,-0.38,2.69,2.699,2.7,312.51,304.96,696.54
2018-12-14,2.73,2.73,2.67,2.66,430.0,-0.05,-1.84,2.698,2.705,2.707,264.47,398.84,755.49
2018-12-13,2.71,2.73,2.72,2.66,455.0,0.01,0.37,2.706,2.701,2.716,316.67,442.8,894.49
2018-12-12,2.68,2.71,2.71,2.66,163.33,0.02,0.74,2.696,2.695,2.726,238.79,505.2,1115.31
2018-12-11,2.72,2.72,2.69,2.66,121.0,-0.01,-0.37,2.698,2.698,2.735,244.36,600.17,1577.68
2018-12-10,2.71,2.71,2.7,2.62,153.0,-0.01,-0.37,2.708,2.697,2.736,297.41,730.58,1852.45
2018-12-07,2.72,2.72,2.71,2.66,691.0,0.04,1.5,2.712,2.695,2.731,533.21,784.68,1933.4
2018-12-06,2.65,2.7,2.67,2.65,65.61,-0.05,-1.84,2.696,2.691,2.724,568.94,837.83,2020.73
2018-12-05,2.69,2.73,2.72,2.67,191.17,-0.02,-0.73,2.694,2.697,2.719,771.62,896.07,2043.55
2018-12-04,2.7,2.74,2.74,2.69,386.25,0.02,0.73,2.698,2.701,2.711,955.98,917.84,2045.64
2018-12-03,2.66,2.77,2.72,2.66,1332.0,0.09,3.42,2.686,2.701,2.702,1163.75,1088.12,2037.81
2018-11-30,2.66,2.66,2.63,2.61,869.67,-0.03,-1.13,2.678,2.708,2.695,1036.15,1112.15,2020.44
2018-11-29,2.74,2.74,2.66,2.65,1079.0,-0.08,-2.92,2.686,2.73,2.693,1106.72,1346.18,2047.37
2018-11-28,2.69,2.75,2.74,2.67,1113.0,0.06,2.24,2.7,2.757,2.687,1020.52,1725.42,2008.02
2018-11-27,2.7,2.75,2.68,2.68,1425.09,0.0,0.0,2.704,2.771,2.678,879.7,2555.2,1971.22
2018-11-26,2.75,2.75,2.68,2.68,694.0,0.01,0.38,2.716,2.775,2.671,1012.48,2974.32,1944.74
2018-11-23,2.7,2.71,2.67,2.67,1222.5,-0.06,-2.2,2.738,2.767,2.665,1188.15,3082.12,1921.27
2018-11-22,2.77,2.81,2.73,2.71,648.0,-0.03,-1.09,2.774,2.757,2.661,1585.64,3203.63,1893.7
2018-11-21,2.72,2.78,2.76,2.72,408.9,0.02,0.73,2.814,2.74,2.653,2430.33,3191.03,1876.9
2018-11-20,2.75,2.77,2.74,2.71,2089.0,-0.05,-1.79,2.838,2.72,2.643,4230.69,3173.44,1970.83
2018-11-19,2.85,2.85,2.79,2.75,1572.36,-0.06,-2.1,2.834,2.703,2.634,4936.16,2987.5,1949.09
2018-11-16,2.89,2.92,2.85,2.8,3209.96,-0.08,-2.73,2.796,2.682,2.624,4976.08,2928.73,2008.13
2018-11-15,2.85,2.96,2.93,2.83,4871.43,0.05,1.74,2.74,2.655,2.605,4821.61,2748.55,1911.05
2018-11-14,2.7,2.94,2.88,2.67,9410.71,0.16,5.88,2.666,2.617,2.579,3951.72,2290.61,1703.41
2018-11-13,2.63,2.81,2.72,2.59,5616.32,0.12,4.62,2.602,2.585,2.559,2116.18,1387.24,1289.86
2018-11-12,2.56,2.63,2.6,2.56,1772.0,0.03,1.17,2.572,2.567,2.544,1038.84,915.16,1124.14
2018-11-09,2.53,2.6,2.57,2.53,2437.58,0.01,0.39,2.568,2.563,2.544,881.37,760.43,1060.44
2018-11-08,2.56,2.58,2.56,2.56,522.0,0.0,0.0,2.57,2.564,2.55,675.49,583.77,956.54
2018-11-07,2.56,2.56,2.56,2.54,233.0,-0.01,-0.39,2.568,2.565,2.555,629.49,562.77,987.34
2018-11-06,2.54,2.57,2.57,2.53,229.64,-0.01,-0.39,2.568,2.566,2.561,658.29,768.22,1003.85
2018-11-05,2.59,2.59,2.58,2.52,984.64,0.0,0.0,2.562,2.565,2.566,791.48,910.69,998.71
2018-11-02,2.58,2.59,2.58,2.52,1408.18,0.03,1.18,2.558,2.565,2.57,639.48,1087.52,962.67
2018-11-01,2.51,2.57,2.55,2.51,292.0,-0.01,-0.39,2.558,2.555,2.577,492.05,1073.56,910.01
2018-10-31,2.5,2.57,2.56,2.5,377.0,0.02,0.79,2.562,2.541,2.582,496.05,1116.22,923.22
2018-10-30,2.48,2.56,2.54,2.44,895.57,-0.02,-0.78,2.564,2.533,2.586,878.15,1192.48,919.12
2018-10-29,2.57,2.57,2.56,2.51,224.67,-0.02,-0.78,2.568,2.52,2.591,1029.9,1333.12,952.83
2018-10-26,2.6,2.6,2.58,2.51,671.0,0.01,0.39,2.572,2.525,2.598,1535.56,1360.46,983.12
2018-10-25,2.52,2.57,2.57,2.52,312.0,0.0,0.0,2.552,2.535,2.604,1655.06,1329.31,957.77
