date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,7.64,7.72,7.56,7.5,65417.95,-0.03,-0.4,7.762,7.989,8.11,67622.56,94139.7,90078.03
2018/12/27,7.91,7.95,7.59,7.57,63726.61,-0.18,-2.32,7.826,8.045,8.138,78739.31,96189.81,90877.68
2018/12/26,7.88,7.95,7.77,7.75,46462.3,-0.13,-1.65,7.942,8.111,8.162,87981.41,96518.35,94797.38
2018/12/25,7.83,7.92,7.9,7.61,80810.06,-0.09,-1.13,8.068,8.153,8.196,105458.51,97811.67,98874.29
2018/12/24,7.88,8.03,7.99,7.81,81695.87,0.11,1.4,8.138,8.174,8.217,111109.5,95211.99,101760.04
2018/12/21,8.18,8.22,7.88,7.77,121001.71,-0.29,-3.55,8.216,8.173,8.224,120656.83,93845.61,106862.65
2018/12/20,8.39,8.39,8.17,8.12,109937.11,-0.23,-2.74,8.264,8.202,8.227,113640.31,86483.89,106776.12
2018/12/19,8.29,8.55,8.4,8.22,133847.78,0.15,1.82,8.28,8.199,8.229,105055.29,84405.99,104869.87
2018/12/18,8.31,8.39,8.25,8.12,109065.02,-0.13,-1.55,8.238,8.188,8.226,90164.84,79377.92,103259.24
2018/12/17,8,8.38,8.38,7.98,129432.54,0.26,3.2,8.21,8.212,8.231,79314.49,80504.33,105705.64
2018/12/14,8.29,8.38,8.12,8.08,85919.12,-0.13,-1.58,8.13,8.23,8.239,67034.39,86016.36,105192.21
2018/12/13,8.2,8.33,8.25,8.15,67012,0.06,0.73,8.14,8.231,8.265,59327.47,85565.55,112897.69
2018/12/12,8.15,8.28,8.19,8.14,59395.5,0.08,0.99,8.118,8.213,8.269,63756.7,93076.41,119845.09
2018/12/11,8.04,8.14,8.11,7.98,54813.28,0.13,1.63,8.138,8.239,8.28,68591,99936.9,126012.9
2018/12/10,8.16,8.18,7.98,7.96,68032.03,-0.19,-2.33,8.214,8.26,8.276,81694.17,108308.09,128972.81
2018/12/7,8.16,8.24,8.17,8.13,47384.56,0.03,0.37,8.33,8.274,8.267,104998.34,119879.69,134209.85
2018/12/6,8.29,8.36,8.14,8.13,89158.11,-0.15,-1.81,8.322,8.251,8.24,111803.62,127068.36,137397.21
2018/12/5,8.22,8.4,8.29,8.22,83567.01,-0.2,-2.36,8.308,8.259,8.217,122396.11,125333.75,139767
2018/12/4,8.5,8.65,8.49,8.39,120329.12,-0.07,-0.82,8.34,8.264,8.188,131282.81,127140.56,139879
2018/12/3,8.32,8.62,8.56,8.3,184552.88,0.43,5.29,8.306,8.25,8.149,134922.01,130906.95,141736.69
2018/11/30,8.1,8.16,8.13,7.91,81411,0.06,0.74,8.218,8.247,8.097,134761.04,124368.05,139116.56
2018/11/29,8.52,8.52,8.07,8.06,142120.56,-0.38,-4.5,8.18,8.298,8.057,142333.09,140229.83,142236.39
2018/11/28,8.38,8.49,8.45,8.21,128000.47,0.13,1.56,8.21,8.325,8.018,128271.38,146613.78,140756.17
2018/11/27,8.15,8.42,8.32,8.15,138525.12,0.2,2.46,8.188,8.321,7.957,122998.3,152088.89,140755.59
2018/11/26,7.99,8.45,8.12,7.83,183748.05,0.18,2.27,8.194,8.291,7.899,126891.9,149637.53,137563.76
2018/11/23,8.22,8.3,7.94,7.93,119271.23,-0.28,-3.41,8.276,8.259,7.85,113975.07,148540.02,132632.03
2018/11/22,8.36,8.41,8.22,8.22,71812.04,-0.12,-1.44,8.416,8.229,7.807,138126.58,147726.07,131495.71
2018/11/21,8.22,8.45,8.34,8.2,101635.08,-0.01,-0.12,8.44,8.175,7.755,164956.18,154200.25,131859.34
2018/11/20,8.45,8.75,8.35,8.25,157993.08,-0.18,-2.11,8.454,8.111,7.698,181179.48,152617.45,133205.78
2018/11/19,8.59,8.66,8.53,8.39,119163.91,-0.11,-1.27,8.388,8.048,7.65,172383.17,152566.42,136184.72
2018/11/16,8.33,8.78,8.64,8.28,240028.8,0.3,3.6,8.242,7.946,7.561,183104.97,153865.06,137848.56
2018/11/15,8.39,8.42,8.34,8.01,205960.05,-0.07,-0.83,8.042,7.816,7.461,157325.56,144242.94,130756.44
2018/11/13,7.9,8.51,8.41,7.9,182751.56,0.39,4.86,7.91,7.711,7.395,143444.31,134898.55,125837.4
2018/11/12,7.8,8.02,8.02,7.75,114011.51,0.22,2.82,7.768,7.593,7.324,124055.43,129422.29,121960.25
2018/11/9,7.64,7.94,7.8,7.63,172772.94,0.16,2.09,7.708,7.507,7.28,132749.68,125489.98,120998.25
2018/11/8,7.73,7.77,7.64,7.62,111131.72,-0.04,-0.52,7.65,7.44,7.254,124625.15,116724.03,119075.67
2018/11/7,7.7,7.83,7.68,7.61,136553.8,-0.02,-0.26,7.59,7.384,7.236,131160.33,115265.35,121830.16
2018/11/6,7.67,7.71,7.7,7.55,85807.17,-0.02,-0.26,7.512,7.334,7.248,126352.79,109518.44,119058.35
2018/11/5,7.53,7.74,7.72,7.49,157482.75,0.21,2.8,7.418,7.285,7.254,134789.14,113794.11,120976.54
2018/11/2,7.44,7.55,7.51,7.37,132150.31,0.17,2.32,7.306,7.252,7.264,118230.29,119803.02,120116.8
2018/11/1,7.3,7.56,7.34,7.3,143807.62,0.05,0.69,7.23,7.175,7.311,108822.92,121832.06,118230.45
2018/10/31,7.25,7.35,7.29,7.19,112516.11,0.06,0.83,7.178,7.105,7.364,99370.37,117269.93,117633.53
2018/10/30,7.16,7.32,7.23,7.01,127988.93,0.07,0.98,7.156,7.078,7.434,92684.09,116776.26,121107.46
2018/10/29,7.11,7.17,7.16,6.99,74688.46,0.03,0.42,7.152,7.055,7.512,92799.08,114498.21,124644.82
2018/10/26,7.15,7.3,7.13,7.05,85113.46,0.05,0.71,7.198,7.053,7.58,121375.75,116506.52,128605.5
2018/10/25,6.95,7.09,7.08,6.85,96544.87,-0.1,-1.39,7.12,7.068,7.639,134841.2,121427.32,129882.5
2018/10/24,7.2,7.3,7.18,7.1,79084.72,-0.03,-0.42,7.032,7.088,7.709,135169.49,128394.96,132713.42
2018/10/23,7.4,7.49,7.21,7.18,128563.9,-0.18,-2.44,7,7.162,7.771,140868.42,128598.26,135371.99
2018/10/22,6.82,7.4,7.39,6.82,217571.8,0.65,9.64,6.958,7.222,7.831,136197.34,128158.97,134528.44
2018/10/19,6.49,6.8,6.74,6.46,152440.73,0.1,1.51,6.908,7.276,7.887,111637.28,120430.59,135517.74
