date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,2.82,2.87,2.83,2.77,17861.0,0.05,1.8,2.862,2.917,2.951,15867.63,16503.47,23754.09
2018-12-27,2.9,2.91,2.78,2.78,15438.0,-0.08,-2.8,2.888,2.926,2.953,17051.03,16648.32,23759.44
2018-12-26,2.9,2.91,2.86,2.84,10965.15,-0.02,-0.69,2.934,2.946,2.956,16976.54,16853.17,23659.69
2018-12-25,2.94,2.96,2.88,2.81,18186.0,-0.08,-2.7,2.956,2.957,2.957,18175.45,22673.95,24302.68
2018-12-24,2.95,2.98,2.96,2.95,16888.01,0.0,0.0,2.974,2.982,2.954,17420.81,26905.21,24190.28
2018-12-21,2.99,3.01,2.96,2.94,23778.01,-0.05,-1.66,2.972,2.984,2.948,17139.31,27018.5,24256.55
2018-12-20,2.95,3.02,3.01,2.94,15065.52,0.04,1.35,2.964,2.989,2.942,16245.61,27380.5,24850.58
2018-12-19,2.98,3.01,2.97,2.95,16959.69,0.0,0.0,2.958,2.985,2.942,16729.79,28977.74,25547.25
2018-12-18,2.91,3.0,2.97,2.91,14412.8,0.02,0.68,2.958,2.986,2.942,27172.46,29946.83,26381.57
2018-12-17,2.9,2.95,2.95,2.86,15480.51,0.03,1.03,2.99,2.986,2.937,36389.6,30234.25,26704.58
2018-12-14,2.96,2.98,2.92,2.91,19309.51,-0.06,-2.01,2.996,2.984,2.934,36897.7,31004.7,27719.3
2018-12-13,2.94,2.98,2.98,2.94,17486.46,0.01,0.34,3.014,2.98,2.935,38515.39,30870.55,28227.47
2018-12-12,3.1,3.12,2.97,2.97,69173.0,-0.16,-5.11,3.012,2.965,2.932,41225.69,30466.2,28476.45
2018-12-11,3.0,3.13,3.13,3.0,60498.54,0.15,5.03,3.014,2.956,2.929,32721.21,25931.42,28723.73
2018-12-10,2.99,2.99,2.98,2.94,18021.0,-0.03,-1.0,2.982,2.926,2.923,24078.9,21475.36,28981.17
2018-12-07,2.98,3.04,3.01,2.95,27397.93,0.04,1.35,2.972,2.911,2.923,25111.7,21494.6,29810.83
2018-12-06,2.97,3.08,2.97,2.94,31038.0,-0.01,-0.34,2.946,2.895,2.914,23225.71,22320.65,29415.44
2018-12-05,2.92,2.98,2.98,2.89,26650.57,0.01,0.34,2.918,2.898,2.91,19706.71,22116.75,29713.11
2018-12-04,2.94,2.97,2.97,2.92,17287.0,0.04,1.36,2.898,2.897,2.902,19141.62,22816.3,29596.97
2018-12-03,2.92,2.97,2.93,2.87,23185.0,0.05,1.74,2.87,2.887,2.894,18871.82,23174.9,29727.55
2018-11-30,2.8,2.89,2.88,2.78,17968.0,0.05,1.77,2.85,2.883,2.887,17877.49,24433.9,30209.86
2018-11-29,2.88,2.92,2.83,2.81,13443.0,-0.05,-1.74,2.844,2.89,2.879,21415.59,25584.4,30546.06
2018-11-28,2.83,2.93,2.88,2.8,23825.12,0.05,1.77,2.878,2.899,2.868,24526.79,26486.7,30986.42
2018-11-27,2.86,2.87,2.83,2.82,15938.0,0.0,0.0,2.896,2.902,2.859,26490.97,31516.05,30770.53
2018-11-26,2.85,2.87,2.83,2.77,18213.34,-0.02,-0.7,2.904,2.92,2.85,27477.97,36486.98,30773.17
2018-11-23,2.98,3.0,2.85,2.85,35658.51,-0.15,-5.0,2.916,2.934,2.84,30990.3,38127.06,30703.33
2018-11-22,2.97,3.07,3.0,2.97,28999.0,0.03,1.01,2.936,2.933,2.829,29753.2,36510.22,29931.88
2018-11-21,2.85,2.98,2.97,2.85,33646.01,0.1,3.48,2.92,2.921,2.807,28446.61,37309.46,29345.93
2018-11-20,2.88,2.93,2.87,2.85,20873.0,-0.02,-0.69,2.908,2.907,2.786,36541.13,36377.64,28307.58
2018-11-19,2.92,2.93,2.89,2.85,35775.0,-0.06,-2.03,2.936,2.901,2.77,45495.98,36280.21,28392.82
2018-11-16,2.94,2.99,2.95,2.91,29473.0,0.03,1.03,2.952,2.891,2.754,45263.81,35985.82,28640.99
2018-11-15,2.88,2.94,2.92,2.88,22466.06,0.01,0.34,2.93,2.867,2.728,43267.23,35507.72,28537.86
2018-11-14,3.02,3.09,2.91,2.9,74118.58,-0.1,-3.32,2.922,2.837,2.705,46172.31,35486.13,28446.12
2018-11-13,2.96,3.12,3.01,2.93,65647.25,0.04,1.35,2.906,2.815,2.688,36214.15,30025.01,25255.49
2018-11-12,2.84,2.98,2.97,2.84,34614.14,0.13,4.58,2.866,2.779,2.665,27064.44,25059.37,22900.12
2018-11-09,2.88,2.9,2.84,2.84,19490.12,-0.04,-1.39,2.83,2.746,2.648,26707.84,23279.61,22347.04
2018-11-08,2.85,2.92,2.88,2.83,36991.44,0.05,1.77,2.804,2.725,2.641,27748.22,23353.54,23296.37
2018-11-07,2.8,2.86,2.83,2.77,24327.78,0.02,0.71,2.752,2.693,2.637,24799.95,21382.4,22706.05
2018-11-06,2.76,2.81,2.81,2.73,19898.72,0.02,0.72,2.724,2.665,2.644,23835.87,20237.52,22167.67
2018-11-05,2.7,2.85,2.79,2.7,32831.12,0.08,2.95,2.692,2.639,2.652,23054.3,20505.44,22671.29
2018-11-02,2.63,2.71,2.71,2.63,24692.03,0.09,3.44,2.662,2.616,2.655,19851.39,21296.15,21695.03
2018-11-01,2.69,2.7,2.62,2.6,22250.1,-0.07,-2.6,2.646,2.589,2.665,18958.87,21568.0,21096.88
2018-10-31,2.65,2.74,2.69,2.64,19507.36,0.04,1.51,2.634,2.572,2.678,17964.85,21406.1,20665.35
2018-10-30,2.64,2.66,2.65,2.63,15990.9,0.01,0.38,2.606,2.561,2.687,16639.17,20485.97,20411.74
2018-10-29,2.6,2.67,2.64,2.58,16816.54,0.01,0.38,2.586,2.551,2.697,17956.57,20740.88,20155.12
2018-10-26,2.58,2.66,2.63,2.54,20229.44,0.07,2.73,2.57,2.549,2.708,22740.91,21414.47,21803.85
2018-10-25,2.48,2.57,2.56,2.42,17280.02,0.01,0.39,2.532,2.556,2.721,24177.14,23239.2,21626.33
2018-10-24,2.55,2.57,2.55,2.52,12878.95,0.0,0.0,2.51,2.581,2.739,24847.35,24029.69,21259.53
2018-10-23,2.59,2.59,2.55,2.53,22577.91,-0.01,-0.39,2.516,2.622,2.757,24332.76,24097.83,21458.36
2018-10-22,2.53,2.56,2.56,2.52,40738.24,0.12,4.92,2.516,2.664,2.77,23525.18,24837.14,21421.37
2018-10-19,2.45,2.45,2.44,2.33,27410.56,-0.01,-0.41,2.528,2.694,2.789,20088.03,22093.92,20208.18
2018-10-18,2.58,2.58,2.45,2.45,20631.1,-0.13,-5.04,2.58,2.741,2.815,22301.25,20625.76,21325.47
2018-10-17,2.57,2.65,2.58,2.53,10306.0,0.03,1.18,2.652,2.784,2.849,23212.03,19924.6,20890.94
2018-10-16,2.62,2.67,2.55,2.52,18540.0,-0.07,-2.67,2.728,2.812,2.878,23862.9,20337.51,21164.39
2018-10-15,2.7,2.74,2.62,2.6,23552.5,-0.08,-2.96,2.812,2.842,2.909,26149.1,19569.36,21255.93
2018-10-12,2.81,2.81,2.7,2.67,38476.67,-0.11,-3.92,2.86,2.866,2.936,24099.8,22193.23,21086.96
2018-10-11,2.86,2.91,2.81,2.81,25185.0,-0.15,-5.07,2.902,2.886,2.959,18950.27,20013.47,20564.03
2018-10-10,2.95,2.97,2.96,2.91,13560.33,-0.01,-0.34,2.916,2.896,2.978,16637.17,18489.37,22598.82
2018-10-09,2.86,3.0,2.97,2.86,29971.01,0.11,3.85,2.896,2.891,2.987,16812.12,18818.88,25214.22
2018-10-08,2.88,2.89,2.86,2.82,13306.0,-0.05,-1.72,2.872,2.875,2.989,12989.62,18005.61,24682.37
2018-09-28,2.88,2.92,2.91,2.86,12729.0,0.03,1.04,2.872,2.883,2.994,20286.66,18322.45,24793.37
2018-09-27,2.86,2.9,2.88,2.86,13619.51,0.02,0.7,2.87,2.889,3.001,21076.66,22025.19,24970.18
2018-09-26,2.85,2.9,2.86,2.85,14435.1,0.01,0.35,2.876,2.914,3.008,20341.56,21857.29,25044.95
2018-09-25,2.87,2.88,2.85,2.84,10858.5,-0.01,-0.35,2.886,2.944,3.017,20825.64,21991.28,25356.05
2018-09-21,2.91,2.92,2.86,2.81,49791.19,-0.04,-1.38,2.878,2.975,3.027,23021.59,22942.5,26885.33
2018-09-20,2.94,2.94,2.9,2.88,16679.01,-0.01,-0.34,2.894,3.006,3.039,16358.24,19980.69,27053.87
2018-09-19,2.88,2.92,2.91,2.86,9944.0,0.0,0.0,2.908,3.031,3.044,22973.71,21114.59,27506.02
2018-09-18,2.8,2.92,2.91,2.8,16855.48,0.1,3.56,2.952,3.059,3.047,23373.01,26708.27,28328.82
2018-09-17,2.9,2.94,2.81,2.79,21838.29,-0.13,-4.42,3.002,3.083,3.049,23156.92,31609.56,29513.91
2018-09-14,2.93,3.0,2.94,2.9,16474.4,-0.03,-1.01,3.072,3.102,3.055,22863.4,31359.13,30781.0
2018-09-13,3.15,3.16,2.97,2.97,49756.4,-0.16,-5.11,3.118,3.104,3.048,23603.14,31264.29,30524.04
2018-08-29,3.15,3.16,3.13,3.12,11940.5,-0.03,-0.95,3.154,3.113,3.04,19255.46,27915.17,28994.67
2018-08-28,3.13,3.19,3.16,3.12,15775.0,0.0,0.0,3.166,3.101,3.027,30043.52,28232.62,29255.15
2018-08-27,3.17,3.18,3.16,3.11,20370.68,-0.01,-0.32,3.164,3.09,3.015,40062.2,28720.82,29524.07
2018-08-24,3.12,3.22,3.17,3.12,20173.1,0.02,0.64,3.132,3.078,2.999,39854.87,30828.17,29347.84
2018-08-23,3.14,3.22,3.15,3.11,28018.0,-0.04,-1.25,3.09,3.072,2.987,38925.45,34127.06,29872.79
2018-08-22,3.15,3.3,3.19,3.11,65880.81,0.04,1.27,3.072,3.057,2.973,36574.89,33897.46,29553.69
2018-08-21,3.0,3.15,3.15,2.97,65868.43,0.15,5.0,3.036,3.034,2.954,26421.72,29949.37,27138.36
2018-08-20,2.96,3.04,3.0,2.89,19334.0,0.04,1.35,3.016,3.014,2.938,17379.44,27418.26,25080.49
2018-08-17,3.09,3.09,2.96,2.96,15526.01,-0.1,-3.27,3.024,3.008,2.925,21801.46,30202.86,24642.84
2018-08-16,3.01,3.08,3.06,2.96,16265.18,0.05,1.66,3.054,2.992,2.913,29328.66,29783.79,24427.53
2018-08-15,3.05,3.09,3.01,3.01,15115.0,-0.04,-1.31,3.042,2.966,2.895,31220.02,30074.17,24210.32
2018-08-14,3.02,3.11,3.05,3.0,20657.0,0.01,0.33,3.032,2.952,2.882,33477.02,30277.67,24384.82
2018-08-13,3.05,3.11,3.04,2.95,41444.12,-0.07,-2.25,3.012,2.94,2.865,37457.08,30327.32,24714.2
2018-08-10,2.98,3.15,3.11,2.98,53162.0,0.11,3.67,2.992,2.919,2.848,38604.26,27867.51,23407.37
2018-08-09,2.96,3.01,3.0,2.94,25722.0,0.04,1.35,2.93,2.901,2.828,30238.92,25618.52,21266.24
2018-08-08,2.92,2.99,2.96,2.91,26400.0,0.01,0.34,2.89,2.888,2.813,28928.32,25209.92,20629.7
2018-08-07,2.92,2.97,2.95,2.89,40557.3,0.01,0.34,2.872,2.874,2.798,27078.32,24327.34,20470.15
2018-08-06,2.8,2.94,2.94,2.8,47180.0,0.14,5.0,2.868,2.861,2.789,23197.56,22742.73,19208.49
2018-08-03,2.78,2.82,2.8,2.78,11335.3,0.0,0.0,2.846,2.842,2.778,17130.76,19082.83,17425.49
2018-08-02,2.89,2.89,2.8,2.73,19169.0,-0.07,-2.44,2.872,2.834,2.772,20998.13,19071.28,18139.97
2018-08-01,2.94,2.96,2.87,2.85,17150.0,-0.06,-2.05,2.886,2.823,2.771,21491.53,18346.48,18262.09
2018-07-31,2.82,2.93,2.93,2.82,21153.5,0.1,3.53,2.876,2.811,2.774,21576.35,18491.98,17883.44
