date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,8.75,8.9,8.78,8.73,64297.86,0.08,0.92,8.94,9.084,9.61,84683.66,89511.82,102919.1
2018/12/27,9.02,9.09,8.7,8.7,77982.43,-0.2,-2.25,8.988,9.176,9.681,90184.2,98858.54,105774.16
2018/12/26,9.1,9.16,8.9,8.89,92706.02,-0.21,-2.31,9.074,9.29,9.755,95973.73,103291.19,108674.5
2018/12/25,9.12,9.24,9.11,8.86,100633.6,-0.1,-1.09,9.126,9.393,9.844,91817.57,102724.05,109894.99
2018/12/24,9.03,9.31,9.21,9,87798.39,0.19,2.11,9.168,9.477,9.919,91026.26,103828.34,113164.47
2018/12/21,9.12,9.14,9.02,8.88,91800.56,-0.11,-1.21,9.228,9.538,10.007,94339.99,105891.7,116148.65
2018/12/20,9.12,9.36,9.13,9.04,106930.09,-0.03,-0.33,9.364,9.643,10.101,107532.87,102914.87,120627.07
2018/12/19,9.36,9.41,9.16,9.13,71925.23,-0.16,-1.72,9.506,9.747,10.212,110608.66,105169.35,123341.7
2018/12/18,9.45,9.55,9.32,9.17,96677.01,-0.19,-2,9.66,9.884,10.325,113630.53,110998.75,134854.76
2018/12/17,9.64,9.68,9.51,9.35,104367.04,-0.19,-1.96,9.786,10.02,10.389,116630.42,110070.39,144578.61
2018/12/14,10.08,10.16,9.7,9.68,157765,-0.14,-1.42,9.848,10.135,10.492,117443.41,116326.38,147554.39
2018/12/13,9.94,10,9.84,9.69,122309,-0.09,-0.91,9.922,10.185,10.575,98296.86,112689.78,147015.38
2018/12/12,10.07,10.12,9.93,9.85,87034.62,-0.02,-0.2,9.988,10.219,10.653,99730.03,114057.8,147948.65
2018/12/11,9.84,10.12,9.95,9.77,111676.44,0.13,1.32,10.108,10.294,10.722,108366.96,117065.92,152648.04
2018/12/10,9.95,10.07,9.82,9.64,108432,-0.25,-2.48,10.254,10.36,10.809,103510.36,122500.6,164350.65
2018/12/7,10.18,10.25,10.07,10.01,62032.25,-0.1,-0.98,10.422,10.476,10.86,115209.34,126405.6,166321.77
2018/12/6,10.52,10.59,10.17,10.05,129474.86,-0.36,-3.42,10.448,10.559,10.891,127082.69,138339.26,172055.43
2018/12/5,10.5,10.7,10.53,10.33,130219.24,-0.15,-1.4,10.45,10.677,10.902,128385.56,141514.06,173149.93
2018/12/4,10.7,10.75,10.68,10.57,87393.44,0.02,0.19,10.48,10.766,10.891,125764.88,158710.78,177626.6
2018/12/3,10.45,10.84,10.66,10.35,166926.92,0.46,4.51,10.466,10.757,10.866,141490.85,179086.83,179163.01
2018/11/30,10.16,10.29,10.2,9.95,121399,0.02,0.2,10.53,10.848,10.841,137601.85,178782.41,180426.03
2018/11/29,10.8,10.89,10.18,10.14,135989.19,-0.5,-4.68,10.67,10.964,10.823,149595.83,181340.98,182629.02
2018/11/28,10.6,10.77,10.68,10.39,117115.86,0.07,0.66,10.904,11.086,10.792,154642.55,181839.5,183972.69
2018/11/27,11.18,11.2,10.61,10.36,166023.28,-0.37,-3.37,11.052,11.149,10.723,191656.68,188230.16,184012.22
2018/11/26,10.99,11.25,10.98,10.88,147481.92,0.08,0.73,11.048,11.257,10.655,216682.81,206200.69,183763.21
2018/11/23,11.47,11.61,10.9,10.9,181368.91,-0.45,-3.96,11.166,11.243,10.558,219962.97,206237.95,181555.13
2018/11/22,11.5,11.62,11.35,11.25,161222.8,-0.07,-0.61,11.258,11.222,10.465,213086.12,205771.6,177912.67
2018/11/21,10.47,11.5,11.42,10.47,302186.47,0.83,7.84,11.268,11.127,10.35,209036.45,204785.8,176271.96
2018/11/20,11.43,11.54,10.59,10.44,291153.94,-0.98,-8.47,11.246,11.015,10.242,184803.64,196542.41,166890.45
2018/11/19,11.47,11.69,11.57,11.24,163882.72,0.21,1.85,11.466,10.975,10.179,195718.57,179239.19,160540.32
2018/11/16,11.41,11.47,11.36,11.14,146984.66,-0.04,-0.35,11.32,10.833,10.07,192512.93,182069.65,161138.96
2018/11/15,11.31,11.46,11.4,11.1,140974.48,0.09,0.8,11.186,10.682,9.94,198457.08,183917.07,163637.61
2018/11/14,11.53,11.63,11.31,11.26,181022.41,-0.38,-3.25,10.986,10.497,9.792,200535.15,186105.87,167182.82
2018/11/13,10.68,11.86,11.69,10.61,345728.56,0.85,7.84,10.784,10.297,9.676,208281.19,179794.29,165157.58
2018/11/12,10.63,10.85,10.84,10.52,147854.53,0.15,1.4,10.484,10.052,9.526,162759.81,161325.73,156921.04
2018/11/9,10.34,10.84,10.69,10.29,176705.41,0.29,2.79,10.346,9.872,9.444,171626.36,156872.31,156161.22
2018/11/8,10.35,10.44,10.4,10.16,151364.84,0.1,0.97,10.178,9.707,9.379,169377.06,150053.74,157605.25
2018/11/7,10.25,10.72,10.3,10.2,219752.59,0.11,1.08,10.008,9.572,9.349,171676.58,147758.11,158349.65
2018/11/6,10.04,10.19,10.19,9.82,118121.67,0.04,0.39,9.81,9.469,9.378,151307.39,137238.48,151156.57
2018/11/5,9.91,10.36,10.15,9.81,192187.3,0.3,3.05,9.62,9.383,9.411,159891.65,141841.45,152060.25
2018/11/2,9.65,9.92,9.85,9.54,165458.89,0.3,3.14,9.398,9.307,9.46,142118.26,140208.27,150163.31
2018/11/1,9.44,9.68,9.55,9.31,162862.47,0.24,2.58,9.236,9.197,9.545,130730.42,143358.16,146061.97
2018/10/31,9.3,9.47,9.31,9.25,117906.61,0.07,0.76,9.136,9.086,9.641,123839.63,148259.78,143992.95
2018/10/30,9.2,9.48,9.24,8.95,161043,0.2,2.21,9.128,9.054,9.768,123169.57,150520.88,146653.17
2018/10/29,8.99,9.33,9.04,8.95,103320.35,0,0,9.146,9,9.893,123791.25,152516.34,147321.12
2018/10/26,9.09,9.33,9.04,8.99,108519.65,-0.01,-0.11,9.216,9.016,10.017,138298.28,155450.13,148963
2018/10/25,8.95,9.08,9.05,8.76,128408.55,-0.22,-2.37,9.158,9.051,10.14,155985.91,165156.76,151883.51
2018/10/24,9.33,9.41,9.27,9.09,114556.3,-0.06,-0.64,9.036,9.125,10.261,172679.93,168941.19,157853.94
2018/10/23,9.45,9.65,9.33,9.16,164151.38,-0.06,-0.64,8.98,9.286,10.339,177872.19,165074.67,158373.75
2018/10/22,9,9.55,9.39,8.9,175855.53,0.64,7.31,8.854,9.439,10.396,181241.44,162279.05,158337.94
2018/10/19,8.25,8.82,8.75,8.25,196957.77,0.31,3.67,8.816,9.613,10.435,172601.97,160118.34,163194.44
2018/10/18,9.02,9.04,8.44,8.27,211878.66,-0.55,-6.12,8.944,9.893,10.558,174327.62,148765.79,159954.06
2018/10/17,8.84,9.05,8.99,8.72,140517.62,0.29,3.33,9.214,10.196,10.692,165202.45,139726.13,155424.09
2018/10/16,9.11,9.32,8.7,8.56,180997.62,-0.5,-5.43,9.592,10.481,10.807,152277.14,142785.45,156896.6
2018/10/15,9.51,9.74,9.2,9.2,132658.2,-0.19,-2.02,10.024,10.786,10.925,143316.67,142125.89,155706.14
2018/10/12,9.7,9.8,9.39,8.93,205585.98,-0.4,-4.09,10.41,11.018,11.034,147634.71,142475.88,159513.83
2018/10/11,10.4,10.64,9.79,9.79,166252.81,-1.09,-10.02,10.842,11.229,11.112,123203.95,138610.25,157151.5
2018/10/10,10.88,11.12,10.88,10.81,75891.09,0.02,0.18,11.178,11.396,11.181,114249.8,146766.7,160533.7
2018/10/9,11.18,11.36,10.86,10.73,136195.25,-0.27,-2.43,11.37,11.392,11.195,133293.77,151672.83,166525.52
2018/10/8,11.75,11.93,11.13,11.13,154248.44,-0.42,-3.64,11.548,11.352,11.189,140935.12,154396.82,166248.13
2018/9/28,11.57,11.59,11.55,11.35,83432.18,0.08,0.7,11.626,11.257,11.168,137317.04,166270.53,165658.44
2018/9/27,11.7,11.73,11.47,11.4,121482.06,-0.37,-3.12,11.616,11.222,11.141,154016.55,171142.34,169215.4
2018/9/26,11.84,11.91,11.84,11.56,171110.91,0.09,0.77,11.614,11.188,11.131,179283.6,171122.06,174357.92
2018/9/25,11.48,11.9,11.75,11.35,174402,0.23,2,11.414,11.132,11.103,170051.88,171007.74,185884.46
2018/9/21,11.56,11.63,11.52,11.25,136158.05,0.02,0.17,11.156,11.064,11.062,167858.52,169286.39,189073.77
2018/9/20,11.5,11.74,11.5,11.36,166929.75,0.04,0.35,10.888,11.05,11.026,195224.01,176551.79,198755.86
2018/9/19,10.86,11.73,11.46,10.86,247817.28,0.62,5.72,10.828,10.994,10.98,188268.12,175692.74,198430.24
2018/9/18,10.48,10.89,10.84,10.44,124952.33,0.38,3.63,10.762,10.965,10.923,162960.53,174300.69,194883.84
2018/9/17,10.14,10.58,10.46,10.14,163435.2,0.28,2.75,10.85,10.997,10.916,171963.6,181378.22,200716.14
2018/9/14,11.26,11.26,10.18,10.18,272985.5,-1.02,-9.11,10.972,11.026,10.912,170714.26,178099.44,210237.91
2018/9/13,11.2,11.31,11.2,11.02,132150.3,0.07,0.63,11.212,11.078,10.954,157879.57,165046.36,209665.34
2018/9/12,11.2,11.31,11.13,11.01,121279.32,-0.15,-1.33,11.16,11.06,10.958,163117.36,167288.47,213711.54
2018/9/11,11.24,11.54,11.28,11.08,169967.66,0.21,1.9,11.168,11.074,10.967,185640.85,177593.79,221097.26
2018/9/10,11.36,11.44,11.07,11.02,157188.52,-0.31,-2.72,11.144,11.073,11.004,190792.83,200761.19,225927.82
2018/9/7,11.05,11.45,11.38,11.01,208812.06,0.44,4.02,11.08,11.06,11.059,185484.62,208861.15,236864.38
2018/9/6,11.14,11.23,10.94,10.85,158339.23,-0.23,-2.06,10.944,11.001,11.072,172213.14,220959.92,239973.13
2018/9/5,11.14,11.65,11.17,11.05,233896.77,0.01,0.09,10.96,10.966,11.109,171459.57,221167.73,248511.79
2018/9/4,10.74,11.37,11.16,10.73,195727.59,0.41,3.81,10.98,10.881,11.138,169546.72,215466.99,251188.93
2018/9/3,10.67,10.9,10.75,10.62,130647.45,0.05,0.47,11.002,10.835,11.232,210729.54,220054.07,253816.53
