date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,4.28,4.29,4.26,4.25,11168.8,0.01,0.23,4.276,4.313,4.414,13245.67,13385.07,17034.26
2018-12-27,4.32,4.34,4.25,4.24,13126.0,-0.03,-0.7,4.282,4.33,4.426,13498.91,13763.09,17425.43
2018-12-26,4.24,4.3,4.28,4.24,12414.58,0.02,0.47,4.298,4.355,4.437,13321.97,14471.9,17672.33
2018-12-25,4.31,4.31,4.26,4.22,18676.95,-0.07,-1.62,4.31,4.373,4.449,13570.42,14271.68,18260.91
2018-12-24,4.29,4.33,4.33,4.28,10842.02,0.04,0.93,4.336,4.392,4.46,13003.46,13478.09,18062.22
2018-12-21,4.33,4.33,4.29,4.28,12435.0,-0.04,-0.92,4.35,4.405,4.467,13524.46,14333.48,18496.81
2018-12-20,4.34,4.35,4.33,4.29,12241.31,-0.01,-0.23,4.378,4.424,4.477,14027.26,15720.1,20341.35
2018-12-19,4.39,4.4,4.34,4.33,13656.8,-0.05,-1.14,4.412,4.444,4.494,15621.82,16485.46,21067.32
2018-12-18,4.38,4.43,4.39,4.35,15842.19,-0.01,-0.23,4.436,4.47,4.508,14972.95,17113.09,21744.33
2018-12-17,4.42,4.44,4.4,4.38,13447.0,-0.03,-0.68,4.448,4.493,4.519,13952.72,17934.11,22902.57
2018-12-14,4.47,4.49,4.43,4.42,14949.0,-0.07,-1.56,4.46,4.514,4.536,15142.49,20683.45,24217.0
2018-12-13,4.48,4.53,4.5,4.44,20214.12,0.04,0.9,4.47,4.521,4.55,17412.94,21087.77,27101.2
2018-12-12,4.46,4.48,4.46,4.45,10412.44,0.01,0.23,4.476,4.518,4.559,17349.1,20872.76,28418.49
2018-12-11,4.46,4.47,4.45,4.42,10741.06,-0.01,-0.22,4.504,4.524,4.568,19253.23,22250.14,30449.92
2018-12-10,4.43,4.47,4.46,4.43,19395.83,-0.02,-0.45,4.538,4.527,4.58,21915.49,22646.34,35938.92
