date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,6.06,6.13,5.95,5.91,87370.53,-0.09,-1.49,6.294,6.443,6.631,139250.12,125987.75,117658.56
2018-12-27,6.46,6.49,6.04,6.04,113635.19,-0.31,-4.88,6.466,6.498,6.676,163249.08,125737.86,120220.96
2018-12-26,6.33,6.56,6.35,6.15,180314.23,-0.05,-0.78,6.574,6.566,6.706,159454.3,122805.52,120907.77
2018-12-25,6.66,6.66,6.4,6.17,154597.38,-0.33,-4.9,6.604,6.609,6.734,137889.21,111443.81,120815.33
2018-12-24,6.69,6.76,6.73,6.57,160333.27,-0.08,-1.18,6.618,6.641,6.75,127904.58,104462.01,120953.83
2018-12-21,6.53,6.82,6.81,6.32,207365.31,0.23,3.5,6.592,6.632,6.751,112725.39,95717.33,122069.36
2018-12-20,6.49,6.59,6.58,6.31,94661.3,0.08,1.23,6.53,6.635,6.755,88226.64,88133.16,125158.23
2018-12-19,6.48,6.59,6.5,6.46,72488.8,0.03,0.46,6.558,6.683,6.809,86156.74,97095.99,129146.58
2018-12-18,6.57,6.66,6.47,6.28,104674.23,-0.13,-1.97,6.614,6.714,6.883,84998.4,100058.14,135804.76
2018-12-17,6.51,6.69,6.6,6.48,84437.29,0.1,1.54,6.664,6.771,6.949,81019.43,100397.41,146408.23
2018-12-14,6.67,6.78,6.5,6.48,84871.6,-0.22,-3.27,6.672,6.819,7.007,78709.28,109329.36,158206.71
2018-12-13,6.8,6.84,6.72,6.6,84311.77,-0.06,-0.89,6.74,6.854,7.09,88039.68,114704.06,170364.46
2018-12-12,6.72,6.84,6.78,6.72,66697.13,0.06,0.89,6.808,6.845,7.15,108035.25,119010.01,186576.01
2018-12-11,6.68,6.85,6.72,6.64,84779.35,0.08,1.21,6.814,6.858,7.193,115117.87,130186.84,201022.64
2018-12-10,6.73,6.83,6.64,6.58,72886.55,-0.2,-2.92,6.878,6.859,7.222,119775.39,137445.65,209893.42
2018-12-07,7.06,7.07,6.84,6.76,131523.58,-0.22,-3.12,6.966,6.87,7.251,139949.44,148421.39,217991.13
2018-12-06,6.74,7.24,7.06,6.74,184289.62,0.25,3.67,6.968,6.875,7.264,141368.44,162183.3,222525.21
2018-12-05,6.85,6.93,6.81,6.79,102110.26,-0.23,-3.27,6.882,6.934,7.276,129984.78,161197.17,231702.15
2018-12-04,7.09,7.12,7.04,6.96,108066.94,-0.04,-0.56,6.902,7.051,7.293,145255.81,171551.38,243684.61
2018-12-03,7.0,7.23,7.08,6.91,173756.81,0.23,3.36,6.84,7.126,7.311,155115.9,192419.06,269439.75
2018-11-30,6.64,7.0,6.85,6.48,138618.56,0.22,3.32,6.774,7.195,7.321,156893.34,207084.06,284900.55
2018-11-29,6.92,6.97,6.63,6.58,127371.34,-0.28,-4.05,6.782,7.325,7.309,182998.16,226024.85,291976.0
2018-11-28,6.8,6.99,6.91,6.65,178465.41,0.18,2.67,6.986,7.454,7.296,192409.55,254142.01,295275.39
2018-11-27,6.8,6.85,6.73,6.55,157367.38,-0.02,-0.3,7.2,7.527,7.267,197846.94,271858.44,293805.47
2018-11-26,6.84,6.97,6.75,6.5,182644.0,-0.14,-2.03,7.412,7.585,7.251,229722.21,282341.19,293288.83
2018-11-23,7.52,7.6,6.89,6.89,269142.69,-0.76,-9.94,7.616,7.631,7.223,257274.78,287560.87,289286.88
2018-11-22,7.9,7.98,7.65,7.56,174428.27,-0.33,-4.13,7.868,7.652,7.199,269051.54,282867.12,284312.03
2018-11-21,7.63,8.08,7.98,7.61,205652.36,0.19,2.44,7.922,7.618,7.137,315874.47,302207.14,284802.58
2018-11-20,7.7,8.16,7.79,7.55,316743.75,0.02,0.26,7.854,7.534,7.064,345869.94,315817.84,288276.37
2018-11-19,8.05,8.05,7.77,7.63,320406.81,-0.38,-4.66,7.758,7.496,7.017,334960.17,346460.44,296553.6
2018-11-16,7.82,8.43,8.15,7.75,328026.53,0.23,2.9,7.646,7.446,6.951,317846.96,362717.04,300935.61
2018-11-15,7.56,8.18,7.92,7.5,408542.91,0.28,3.67,7.436,7.292,6.847,296682.69,357927.14,297457.21
2018-11-14,7.26,7.82,7.64,7.13,355629.72,0.33,4.51,7.314,7.137,6.76,288539.8,336408.76,296203.64
2018-11-13,7.06,7.38,7.31,7.01,262194.88,0.1,1.39,7.214,7.006,6.707,285765.74,315752.5,302139.53
2018-11-12,6.98,7.42,7.21,6.97,234840.77,0.11,1.55,7.234,6.917,6.64,357960.71,304236.46,312372.73
2018-11-09,7.23,7.25,7.1,7.03,222205.16,-0.21,-2.87,7.246,6.815,6.612,407587.13,291012.89,325081.41
2018-11-08,7.14,7.6,7.31,7.1,367828.47,0.17,2.38,7.148,6.746,6.559,419171.6,285756.95,331699.82
2018-11-07,7.18,7.36,7.14,7.0,341759.41,-0.27,-3.64,6.96,6.655,6.468,384277.72,267398.02,317803.53
2018-11-06,7.3,8.0,7.41,7.29,623169.75,0.14,1.93,6.798,6.594,6.36,345739.25,260734.91,302426.91
2018-11-05,6.6,7.27,7.27,6.52,482972.84,0.66,9.98,6.6,6.538,6.236,250512.21,246646.76,273946.48
2018-11-02,6.71,6.9,6.61,6.48,280127.53,0.24,3.77,6.384,6.455,6.13,174438.65,239154.19,251041.18
2018-11-01,6.36,6.53,6.37,6.3,193359.08,0.04,0.63,6.344,6.401,6.063,152342.29,236987.28,238678.76
2018-10-31,6.38,6.47,6.33,6.23,149067.06,-0.09,-1.4,6.35,6.382,6.004,150518.31,255998.52,231242.88
2018-10-30,6.21,6.55,6.42,6.14,147034.56,0.23,3.72,6.39,6.407,5.956,175730.56,288526.56,225422.48
2018-10-29,6.42,6.42,6.19,6.16,102605.02,-0.22,-3.43,6.476,6.363,5.902,242781.3,320508.99,219192.1
2018-10-26,6.4,6.65,6.41,6.28,169645.73,0.01,0.16,6.526,6.408,5.865,303869.72,359149.94,215449.61
2018-10-25,6.23,6.47,6.4,6.07,184239.19,-0.13,-1.99,6.458,6.371,5.812,321632.26,377642.69,208055.47
2018-10-24,6.6,6.74,6.53,6.46,275128.31,-0.32,-4.67,6.414,6.28,5.761,361478.74,368209.05,200647.44
2018-10-23,6.42,7.07,6.85,6.23,482288.25,0.41,6.37,6.424,6.126,5.703,401322.55,344118.92,188404.22
