date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,7.24,7.55,7.45,7.21,133208.25,0.2,2.76,7.28,7.094,6.914,149807.79,127621.95,115416.41
2018-12-27,7.4,7.56,7.25,7.21,146986.05,-0.14,-1.89,7.158,7.036,6.849,146204.26,122627.09,110664.7
2018-12-26,7.27,7.43,7.39,7.18,145561.2,0.16,2.21,7.088,7.018,6.789,133555.88,119938.73,105603.2
2018-12-25,7.03,7.43,7.23,6.92,223961.98,0.15,2.12,6.98,6.968,6.729,128626.7,112522.93,100783.73
2018-12-24,6.85,7.1,7.08,6.85,99321.46,0.24,3.51,6.944,6.939,6.674,106737.34,101687.19,92043.16
2018-12-21,6.97,7.14,6.84,6.79,115190.61,-0.06,-0.87,6.908,6.911,6.627,105436.1,107040.74,89683.98
2018-12-20,6.83,6.95,6.9,6.83,83744.14,0.05,0.73,6.914,6.89,6.597,99049.93,102471.53,87817.49
2018-12-19,6.95,6.99,6.85,6.75,120915.3,-0.2,-2.84,6.948,6.862,6.579,106321.57,105799.09,86771.86
2018-12-18,6.97,7.11,7.05,6.85,114515.19,0.15,2.17,6.956,6.839,6.564,96419.16,105144.13,84234.79
2018-12-17,6.91,7.07,6.9,6.89,92815.27,0.03,0.44,6.934,6.789,6.542,96637.04,105029.17,83686.5
2018-12-14,7.05,7.07,6.87,6.81,83259.74,-0.2,-2.83,6.914,6.733,6.531,108645.38,103210.87,84946.86
2018-12-13,6.93,7.1,7.07,6.89,120102.36,0.18,2.61,6.866,6.661,6.519,105893.13,98702.31,87490.97
2018-12-12,6.94,6.96,6.89,6.82,71403.24,-0.05,-0.72,6.776,6.559,6.493,105276.6,91267.67,84945.12
2018-12-11,6.79,6.95,6.94,6.75,115604.58,0.14,2.06,6.722,6.49,6.47,113869.1,89044.53,86979.44
2018-12-10,6.69,6.95,6.8,6.63,152856.98,0.17,2.56,6.644,6.408,6.441,113421.31,82399.12,85999.8
2018-12-07,6.72,6.75,6.63,6.6,69498.5,0.01,0.15,6.552,6.343,6.415,97776.36,72327.22,81295.78
2018-12-06,6.61,6.76,6.62,6.58,117019.72,0.0,0.0,6.456,6.304,6.391,91511.48,73163.45,80402.56
2018-12-05,6.45,6.74,6.62,6.42,114365.73,0.07,1.07,6.342,6.295,6.371,77258.74,67744.63,77726.43
2018-12-04,6.36,6.6,6.55,6.32,113365.61,0.21,3.31,6.258,6.289,6.354,64219.97,63325.46,75406.81
2018-12-03,6.27,6.37,6.34,6.23,74632.22,0.19,3.09,6.172,6.295,6.347,51376.94,62343.82,74672.56
2018-11-30,6.03,6.18,6.15,6.02,38174.14,0.1,1.65,6.134,6.329,6.343,46878.09,66682.85,74844.85
2018-11-29,6.24,6.26,6.05,6.05,45756.0,-0.15,-2.42,6.152,6.376,6.349,54815.41,76279.64,76238.66
2018-11-28,6.14,6.22,6.2,6.01,49171.86,0.08,1.31,6.248,6.426,6.351,58230.51,78622.57,76651.44
2018-11-27,6.17,6.2,6.12,6.08,49150.48,-0.03,-0.49,6.32,6.449,6.345,62430.95,84914.35,77360.55
2018-11-26,6.24,6.32,6.15,6.11,52137.96,-0.09,-1.44,6.418,6.473,6.342,73310.69,89600.48,78277.62
2018-11-23,6.57,6.57,6.24,6.24,77860.74,-0.29,-4.44,6.524,6.487,6.335,86487.62,90264.35,78839.69
2018-11-22,6.56,6.61,6.53,6.49,62831.53,-0.03,-0.46,6.6,6.477,6.327,97743.87,87641.66,78092.07
2018-11-21,6.59,6.64,6.56,6.51,70174.02,-0.05,-0.76,6.604,6.447,6.301,99014.63,87708.24,80867.82
2018-11-20,6.62,6.76,6.61,6.61,103549.22,-0.07,-1.05,6.578,6.418,6.28,107397.75,87488.17,79545.81
2018-11-19,6.57,6.8,6.68,6.56,118022.58,0.06,0.91,6.528,6.398,6.255,105890.26,87001.3,77342.01
2018-11-16,6.57,6.76,6.62,6.51,134142.02,0.07,1.07,6.45,6.357,6.231,94041.07,83006.85,75055.5
2018-11-15,6.4,6.58,6.55,6.4,69185.3,0.12,1.87,6.354,6.321,6.198,77539.45,76197.68,70878.33
