date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,10.25,10.67,10.37,10.13,109213.07,-0.03,-0.29,10.61,10.528,10.389,174668.68,165166.77,137852.24
2018-12-27,11.2,11.2,10.4,10.4,192067.48,-0.84,-7.47,10.668,10.466,10.399,192475.64,163479.88,138945.54
2018-12-26,10.5,11.67,11.24,10.4,282568.72,0.62,5.84,10.836,10.464,10.412,214502.74,155851.86,134630.27
2018-12-25,10.25,10.8,10.62,9.92,159009.81,0.2,1.92,10.632,10.377,10.405,180884.0,138907.4,128458.26
2018-12-24,10.6,10.72,10.42,10.2,130484.3,-0.24,-2.25,10.534,10.331,10.456,166865.64,129655.11,126411.23
2018-12-21,10.99,11.08,10.66,10.44,198247.91,-0.58,-5.16,10.446,10.306,10.51,155664.86,126501.5,125286.58
2018-12-20,10.1,11.24,11.24,10.06,302202.94,1.02,9.98,10.264,10.236,10.548,134484.12,112492.05,123499.22
2018-12-19,10.09,10.39,10.22,9.94,114475.02,0.09,0.89,10.092,10.112,10.601,97200.99,90593.15,116027.59
2018-12-18,10.0,10.2,10.13,9.79,88918.01,0.15,1.5,10.122,10.089,10.704,96930.8,96232.05,119044.28
2018-12-17,9.68,10.05,9.98,9.67,74480.41,0.23,2.36,10.128,10.174,10.807,92444.58,104076.34,127609.97
2018-12-14,10.34,10.36,9.75,9.68,92344.21,-0.63,-6.07,10.166,10.25,10.985,97338.15,110537.71,139244.48
2018-12-13,10.37,10.49,10.38,10.11,115787.28,0.01,0.1,10.208,10.331,11.187,90499.97,114411.2,158878.85
2018-12-12,10.22,10.39,10.37,10.07,113124.1,0.21,2.07,10.132,10.36,11.362,83985.32,113408.68,176444.85
2018-12-11,10.19,10.22,10.16,10.02,66486.88,-0.01,-0.1,10.056,10.433,11.475,95533.3,118009.12,192314.9
2018-12-10,9.97,10.2,10.17,9.82,98948.27,0.21,2.11,10.22,10.581,11.58,115708.1,123167.36,211462.03
2018-12-07,9.99,10.1,9.96,9.83,58153.34,-0.04,-0.4,10.334,10.714,11.687,123737.28,124071.65,225411.58
2018-12-06,10.13,10.18,10.0,9.93,83214.01,0.01,0.1,10.454,10.86,11.822,138322.42,134506.39,245542.88
2018-12-05,10.3,10.33,9.99,9.89,170864.0,-0.99,-9.02,10.588,11.09,11.897,142832.04,141462.03,247183.87
2018-12-04,10.74,11.17,10.98,10.68,167360.88,0.24,2.23,10.81,11.318,11.92,140484.94,141856.5,254772.27
2018-12-03,10.89,10.95,10.74,10.6,139094.17,0.18,1.71,10.942,11.439,11.846,130626.62,151143.61,248321.89
2018-11-30,10.67,10.8,10.56,10.2,131079.02,-0.11,-1.03,11.094,11.719,11.741,124406.02,167951.25,246361.43
2018-11-29,11.05,11.18,10.67,10.65,105762.15,-0.43,-3.87,11.266,12.042,11.605,130690.36,203346.5,242193.63
2018-11-28,11.51,11.51,11.1,10.52,159128.48,-0.54,-4.64,11.592,12.364,11.458,140092.02,239481.01,239095.58
2018-11-27,11.7,11.76,11.64,11.26,118069.3,0.14,1.22,11.826,12.517,11.284,143228.06,266620.68,232702.28
2018-11-26,11.6,11.75,11.5,11.25,107991.13,0.08,0.7,11.936,12.579,11.078,171660.59,299756.69,228340.64
2018-11-23,12.25,12.25,11.42,11.18,162500.73,-0.88,-7.15,12.344,12.66,10.872,211496.49,326751.51,224385.22
2018-11-22,12.27,12.53,12.3,11.91,152770.48,0.03,0.24,12.818,12.783,10.68,276002.63,356579.38,219062.38
2018-11-21,12.11,12.55,12.27,11.8,174808.67,0.08,0.66,13.136,12.703,10.437,338870.0,352905.71,212816.54
2018-11-20,13.02,13.11,12.19,12.19,260231.95,-1.35,-9.97,13.208,12.521,10.203,390013.3,367688.04,206251.87
2018-11-19,13.71,14.28,13.54,13.3,307170.62,-0.25,-1.81,13.222,12.252,9.968,427852.79,345500.17,195799.72
2018-11-16,13.03,14.96,13.79,13.03,485031.44,-0.1,-0.72,12.976,11.762,9.66,442006.54,324771.6,182293.3
2018-11-15,13.0,13.89,13.89,12.6,467107.31,1.26,9.98,12.748,11.168,9.325,437156.13,281040.77,159251.9
2018-11-14,11.73,13.2,12.63,11.31,430525.16,0.37,3.02,12.27,10.551,8.98,366941.42,238710.15,136960.58
2018-11-13,12.0,13.44,12.26,11.86,449429.44,-0.05,-0.41,11.834,10.05,8.713,345362.79,198783.88,117218.93
2018-11-12,12.0,12.44,12.31,11.75,377939.34,-0.34,-2.69,11.282,9.576,8.46,263147.54,156924.59,96565.7
2018-11-09,12.3,12.65,12.65,11.71,460779.41,1.15,10.0,10.548,9.083,8.23,207536.67,122018.92,78911.14
2018-11-08,10.5,11.5,11.5,10.5,116033.74,1.05,10.05,9.588,8.577,7.997,124925.41,81545.38,58246.02
2018-11-07,10.44,10.45,10.45,10.03,322632.03,0.95,10.0,8.832,8.17,7.838,110478.87,72727.37,55741.01
2018-11-06,9.5,9.5,9.5,9.5,38353.2,0.86,9.95,8.266,7.884,7.762,52204.97,44815.7,42263.71
2018-11-05,7.9,8.64,8.64,7.81,99884.95,0.79,10.06,7.87,7.683,7.739,50701.64,46099.27,45155.5
