date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/20,16.71,16.78,16.46,16.46,21604.96,-0.26,-1.55,17.15,17.16,17.157,37525.88,25590.63,21465.85
2018/12/19,17.29,17.3,16.72,16.71,28255.17,-0.68,-3.91,17.334,17.22,17.195,37068.56,25219.56,21126.35
2018/12/18,17.69,17.69,17.4,16.96,44923.34,-0.4,-2.25,17.426,17.279,17.226,33444.49,24339.46,20795.29
2018/12/17,17.42,17.98,17.8,17.27,63930.51,0.43,2.48,17.382,17.294,17.221,26401.82,21479.23,20472.87
2018/12/14,17.58,17.67,17.37,17.18,28915.43,-0.01,-0.06,17.208,17.262,17.236,15796.7,17759.93,20181.04
2018/12/13,17.17,17.48,17.38,17.17,19318.34,0.2,1.16,17.17,17.238,17.249,13655.37,15900.48,20862.85
2018/12/12,17.17,17.26,17.18,17.06,10134.83,0,0,17.106,17.2,17.252,13370.55,15221.24,21550.69
2018/12/11,16.86,17.18,17.18,16.86,9710.01,0.25,1.48,17.132,17.205,17.254,15234.42,15622.07,22682.18
2018/12/10,17.02,17.12,16.93,16.92,10904.89,-0.25,-1.46,17.206,17.174,17.263,16556.63,15865.77,23620.52
2018/12/7,17.16,17.38,17.18,17.06,18208.79,0.12,0.7,17.316,17.167,17.276,19723.15,16458.86,24061.8
2018/12/6,17.18,17.44,17.06,17.05,17894.24,-0.25,-1.44,17.306,17.154,17.261,18145.59,17341.07,24029.64
2018/12/5,17.18,17.61,17.31,17.12,19454.19,-0.24,-1.37,17.294,17.17,17.277,17071.92,17033.15,23825.61
2018/12/4,17.52,17.66,17.55,17.36,16321.02,0.07,0.4,17.278,17.173,17.287,16009.72,17251.13,23764.66
2018/12/3,17.48,17.69,17.48,17.33,26737.51,0.35,2.04,17.142,17.147,17.284,15174.91,19466.52,23781.52
2018/11/30,17,17.17,17.13,16.84,10321.01,0.13,0.77,17.018,17.21,17.294,13194.58,22602.16,23854.37
2018/11/29,17.29,17.33,17,16.8,12525.89,-0.23,-1.33,17.002,17.259,17.33,16536.55,25825.22,24825.66
2018/11/28,16.88,17.28,17.23,16.87,14143.16,0.36,2.13,17.046,17.303,17.355,16994.38,27880.15,25470.51
2018/11/27,16.86,17.06,16.87,16.86,12146.99,0.01,0.06,17.068,17.302,17.357,18492.54,29742.29,25725.01
2018/11/26,17.05,17.17,16.86,16.78,16835.84,-0.19,-1.11,17.152,17.351,17.368,23758.12,31375.28,25993.86
2018/11/23,17.25,17.43,17.05,16.9,27030.89,-0.17,-0.99,17.402,17.384,17.374,32009.74,31664.74,25830.72
2018/11/22,17.44,17.45,17.22,17.06,14815,-0.12,-0.69,17.516,17.368,17.384,35113.88,30718.2,25485.26
2018/11/21,17.4,17.54,17.34,17.15,21634,0.05,0.29,17.56,17.383,17.388,38765.92,30618.07,26299.78
2018/11/20,18,18,17.29,17.21,38474.86,-0.82,-4.53,17.536,17.4,17.404,40992.04,30278.19,26709.95
2018/11/19,17.62,18.13,18.11,17.5,58093.96,0.49,2.78,17.55,17.421,17.451,38992.44,28096.53,28145.7
2018/11/16,17.4,17.71,17.62,17.3,42551.6,0.18,1.03,17.366,17.377,17.52,31319.74,25106.58,28400.58
2018/11/15,17.22,17.44,17.44,17.02,33075.16,0.22,1.28,17.22,17.4,17.585,26322.52,23826.11,28285.36
2018/11/14,17.3,17.62,17.22,17.21,32764.6,-0.14,-0.81,17.206,17.406,17.591,22470.22,23060.88,28901.14
2018/11/13,17.01,17.49,17.36,16.82,28476.88,0.17,0.99,17.264,17.412,17.56,19564.34,21707.73,28011.67
2018/11/12,16.88,17.2,17.19,16.7,19730.46,0.3,1.78,17.292,17.385,17.516,17200.61,20612.44,27716.52
2018/11/9,17.29,17.29,16.89,16.89,17565.51,-0.48,-2.76,17.388,17.364,17.518,18893.42,19996.7,27761.52
2018/11/8,17.58,17.78,17.37,17.31,13813.63,-0.14,-0.8,17.58,17.399,17.521,21329.69,20252.32,28174.28
2018/11/7,17.5,17.88,17.51,17.36,18235.23,0.01,0.06,17.606,17.392,17.498,23651.54,21981.49,29181.53
2018/11/6,17.67,17.67,17.5,17.2,16658.23,-0.17,-0.96,17.56,17.408,17.558,23851.11,23141.71,29756.88
2018/11/5,17.75,17.93,17.67,17.54,28194.5,-0.18,-1.01,17.478,17.48,17.65,24024.27,28194.88,29823.08
2018/11/2,17.67,17.88,17.85,17.42,29746.86,0.35,2,17.34,17.663,17.752,21099.99,31694.58,30141.4
2018/11/1,17.41,17.65,17.5,17.3,25422.86,0.22,1.27,17.218,17.769,17.828,19174.95,32744.61,29761.92
2018/10/31,17.12,17.29,17.28,17.03,19233.11,0.19,1.11,17.178,17.776,17.921,20311.45,34741.41,31114.77
2018/10/30,17.13,17.35,17.09,16.99,17524,0.11,0.65,17.256,17.708,18.038,22432.32,34315.62,32908.69
2018/10/29,17.35,17.35,16.98,16.89,13573.1,-0.26,-1.51,17.482,17.647,18.197,32365.49,34820.6,34881.15
2018/10/26,17.39,17.64,17.24,17.15,20121.7,-0.06,-0.35,17.986,17.672,18.306,42289.18,35526.34,35869.11
2018/10/25,17,17.49,17.3,16.8,31105.34,-0.37,-2.09,18.32,17.642,18.409,46314.27,36096.24,37574.87
2018/10/24,17.85,18.29,17.67,17.18,29837.44,-0.55,-3.02,18.374,17.603,18.491,49171.36,36381.56,38100.95
2018/10/23,19.63,19.96,18.22,18,67189.85,-1.28,-6.56,18.16,17.708,18.519,46198.92,36372.05,37933.09
2018/10/22,19.4,19.78,19.5,18.54,63191.55,0.59,3.12,17.812,17.819,18.494,37275.72,31451.28,35263.56
2018/10/19,17.05,18.98,18.91,17.05,40247.15,1.34,7.63,17.358,17.84,18.404,28763.51,28588.21,33172.63
2018/10/18,16.61,17.87,17.57,16.61,45390.83,0.97,5.84,16.964,17.887,18.32,25878.21,26779.23,31820.31
2018/10/17,16.78,16.95,16.6,16.05,14975.24,0.12,0.73,16.832,18.065,18.304,23591.76,27488.14,30544.37
2018/10/16,16.96,17.3,16.48,16.09,22573.83,-0.75,-4.35,17.256,18.367,18.338,26545.17,31501.76,31274.58
2018/10/15,17.1,17.7,17.23,17.06,20630.5,0.29,1.71,17.826,18.747,18.402,25626.84,34941.7,31532.54
2018/10/12,16.51,17.08,16.94,15.55,25820.66,0.03,0.18,18.322,18.94,18.468,28412.92,36211.89,31353.22
2018/10/11,18.05,18.26,16.91,16.85,33958.57,-1.81,-9.67,18.81,19.175,18.554,27680.25,39053.5,30858.02
2018/10/10,18.9,18.99,18.72,18.16,29742.27,-0.61,-3.16,19.298,19.379,18.646,31384.52,39820.34,30013.53
2018/9/27,19.49,19.85,19.33,19.32,17982.21,-0.38,-1.93,19.478,19.329,18.659,36458.35,39494.14,29195.55
2018/9/26,19.38,19.87,19.71,19.34,34560.87,0.33,1.7,19.668,19.169,18.642,44256.55,39075.84,29315.02
2018/9/25,19.32,19.56,19.38,19.2,22157.34,0.03,0.15,19.558,18.968,18.625,44010.86,37757.04,28995.12
2018/9/21,19.35,19.59,19.35,18.9,52479.89,-0.27,-1.38,19.54,18.753,18.618,50426.74,36861.39,29453.45
2018/9/20,20.25,20.25,19.62,19.6,55111.42,-0.66,-3.25,19.46,18.543,18.59,48256.16,33600.6,27847.55
2018/9/19,19.2,20.56,20.28,19.12,56973.24,1.12,5.85,19.18,18.308,18.546,42529.93,31047.41,26150.42
2018/9/18,19.2,19.56,19.16,18.84,33332.39,-0.13,-0.67,18.67,18.056,18.466,33895.12,28123.38,25029.46
2018/9/17,18.9,19.67,19.29,18.15,54236.76,0.34,1.79,18.378,17.996,18.455,31503.23,26494.56,24933.81
2018/9/14,18.3,19.9,18.95,18.01,41626.99,0.73,4.01,17.966,17.932,18.427,23296.03,22662.55,24543.77
2018/9/13,17.85,18.32,18.22,17.85,26480.26,0.49,2.76,17.626,17.913,18.424,18945.04,20206.72,24734.41
2018/9/12,17.7,17.94,17.73,17.55,13799.2,0.03,0.17,17.436,17.988,18.487,19564.89,18896.95,26313.5
2018/9/11,17.34,17.92,17.7,17.15,21372.92,0.47,2.73,17.442,18.114,18.625,22351.64,19554.2,28779.91
2018/9/10,17.38,17.38,17.23,17.06,13200.78,-0.02,-0.12,17.614,18.282,18.826,21485.89,20233.2,32519.83
2018/9/7,17.3,17.52,17.25,16.95,19872.05,-0.02,-0.12,17.898,18.482,18.977,22029.07,22045.51,35850.27
2018/9/6,17.75,17.98,17.27,16.9,29579.49,-0.49,-2.76,18.2,18.637,19.089,21468.39,22094.5,37775.55
2018/9/5,18.42,18.48,17.76,17.7,27732.94,-0.8,-4.31,18.54,18.783,19.162,18229.02,21253.44,37983.76
2018/9/4,18.44,18.72,18.56,18.21,17044.2,-0.09,-0.48,18.786,18.875,19.189,16756.76,21935.54,38108.93
2018/9/3,18.76,18.76,18.65,18.16,15916.68,-0.11,-0.59,18.95,18.914,19.168,18980.51,23373.07,38660.96
2018/8/31,18.98,19.05,18.76,18.41,17068.63,-0.21,-1.11,19.066,18.921,19.11,22061.94,26424.99,38825.72
2018/8/30,19,19.34,18.97,18.92,13382.64,-0.02,-0.1,19.074,18.935,19.059,22720.6,29262.1,39143.52
2018/8/29,19.24,19.36,18.99,18.94,20371.63,-0.39,-2.01,19.026,18.986,18.997,24277.85,33730.05,40107.72
2018/8/28,19.23,19.54,19.38,19.11,28162.95,0.15,0.78,18.964,19.135,18.985,27114.33,38005.63,41003.25
2018/8/27,18.77,19.26,19.23,18.6,31323.84,0.43,2.29,18.878,19.37,18.955,27765.63,44806.47,42471.08
2018/8/24,18.69,18.88,18.8,18.48,20361.96,0.07,0.37,18.776,19.471,18.89,30788.05,49655.03,42422.51
2018/8/23,18.79,18.98,18.73,18.5,21168.89,0.05,0.27,18.796,19.541,18.886,35803.6,53456.61,43191.68
2018/8/22,19.04,19.43,18.68,18.68,34554.02,-0.27,-1.43,18.946,19.54,18.881,43182.25,54714.09,44087.3
2018/8/21,18.8,19.2,18.95,18.53,31419.42,0.23,1.23,19.306,19.502,18.87,48896.92,54282.31,44294.64
2018/8/20,18.77,19.29,18.72,18.06,46435.94,-0.18,-0.95,19.862,19.421,18.851,61847.31,53948.85,45771.67
2018/8/17,20.02,20.13,18.9,18.85,45439.73,-0.58,-2.98,20.166,19.299,18.795,68522.01,51226.45,45492.8
2018/8/16,20.45,20.45,19.48,19.27,58062.13,-1,-4.88,20.286,19.183,18.716,71109.62,49024.94,44946.53
2018/8/15,21.8,21.8,20.48,20.27,63127.4,-1.25,-5.75,20.134,19.007,18.612,66245.93,46485.39,44593.25
2018/8/14,20.56,21.8,21.73,20.2,96171.33,1.49,7.36,19.698,18.834,18.521,59667.69,44000.88,42768.88
2018/8/13,19.2,20.5,20.24,19.02,79809.47,0.74,3.79,18.98,18.539,18.389,46050.4,40135.69,39111.01
2018/8/10,18.67,19.5,19.5,18.43,58377.79,0.78,4.17,18.432,18.308,18.341,33930.89,35190,36876.33
2018/8/9,18.35,18.87,18.72,17.97,33743.64,0.42,2.29,18.08,18.231,18.316,26940.26,32926.75,36370.29
2018/8/8,18.17,18.74,18.3,18.07,30236.23,0.16,0.88,17.88,18.221,18.346,26724.84,33460.52,38005.51
2018/8/7,17.53,18.19,18.14,17.53,28084.85,0.64,3.66,17.97,18.238,18.397,28334.06,34306.96,39645.38
2018/8/6,17.83,17.87,17.5,17.26,19211.96,-0.24,-1.35,18.098,18.281,18.556,34220.98,37594.49,43119.91
2018/8/3,17.97,18.2,17.74,17.72,23424.61,0.02,0.11,18.184,18.291,18.888,36449.1,39759.15,43197.57
2018/8/2,18.5,18.68,17.72,17.35,32666.57,-1.03,-5.49,18.382,18.249,19.208,38913.25,40868.12,42753.62
2018/8/1,18.98,18.98,18.75,18.5,38282.31,-0.03,-0.16,18.562,18.216,19.537,40196.19,42701.12,41866.03
2018/7/31,17.9,19.07,18.78,17.77,57519.47,0.85,4.74,18.506,18.207,19.827,40279.86,41536.89,40963.55
2018/7/30,18.6,18.69,17.93,17.8,30352.53,-0.8,-4.27,18.464,18.239,20.126,40968,38086.33,39107.54
2018/7/27,18.42,18.94,18.73,18.41,35745.36,0.11,0.59,18.398,18.374,20.478,43069.19,38562.66,39168.2
2018/7/26,18.46,18.95,18.62,18.32,39081.29,0.15,0.81,18.116,18.401,20.772,42822.98,39813.82,38396.65
2018/7/25,18.21,18.72,18.47,18.21,38700.67,-0.1,-0.54,17.87,18.47,21.085,45206.06,42550.51,38266.86
2018/7/24,17.5,19.19,18.57,17.43,60960.15,0.97,5.51,17.908,18.555,21.427,42793.91,44983.8,38841.64
2018/7/23,17.32,17.75,17.6,17.32,40858.5,0.28,1.62,18.014,18.831,21.704,35204.66,48645.32,36898.53
2018/7/20,17.57,17.59,17.32,16.92,34514.31,-0.07,-0.4,18.35,19.485,22.044,34056.13,46635.99,35847.96
