date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/5/9,22.82,23.18,22.75,22.75,11053.37,-0.25,-1.09,22.766,23.398,23.924,6571.4,3674.98,2163.59
2018/5/8,23.25,23.4,23,22.91,9543,-0.35,-1.5,22.928,23.566,24.025,4458.28,2774.54,1616.53
2018/5/7,22.37,23.48,23.35,22.37,4350.32,1.03,4.62,23.128,23.636,24.111,2782.13,1880.34,1163.48
2018/5/4,22.45,22.6,22.32,21.5,2209.81,-0.09,-0.4,23.258,23.739,24.173,2035.58,1473.61,979.06
2018/5/3,23.56,23.56,22.41,22.18,5700.52,-1.15,-4.88,23.652,23.946,24.292,1703.99,1286.73,880.82
2018/5/2,23.95,23.99,23.56,23.1,487.77,-0.44,-1.83,24.03,24.147,24.412,778.56,774.59,612.04
2018/4/27,23.28,24.26,24,23.28,1162.24,0,0,24.204,24.238,24.455,1090.8,789.01,612.7
2018/4/26,24.08,24.28,24,23.69,617.58,-0.29,-1.19,24.144,24.305,24.456,978.56,723.89,566.94
2018/4/25,24.06,24.4,24.29,24.06,551.84,-0.01,-0.04,24.22,24.371,24.47,911.64,692.63,556.26
2018/4/24,24.43,24.49,24.3,24.02,1073.36,-0.13,-0.53,24.24,24.408,24.458,869.47,719.54,614.47
2018/4/23,23.95,24.5,24.43,23.1,2049,0.73,3.08,24.264,24.449,24.443,770.61,652.21,670.38
2018/4/20,24.2,24.3,23.7,23.68,601,-0.68,-2.79,24.272,24.484,24.465,487.21,458.51,599.93
2018/4/19,24.52,24.52,24.38,24.12,283,-0.01,-0.04,24.466,24.586,24.527,469.21,446.61,609.08
2018/4/18,24.47,24.47,24.39,24.1,341,-0.03,-0.12,24.522,24.606,24.569,473.61,484.51,613.08
2018/4/17,24.24,24.56,24.42,24.08,579.07,-0.05,-0.2,24.576,24.638,24.611,569.61,474.91,603.23
2018/4/16,24.74,24.74,24.47,24.2,632,-0.2,-0.81,24.634,24.676,24.655,533.8,449.5,605.17
2018/4/13,24.76,24.78,24.67,24.46,511,0.01,0.04,24.696,24.672,24.694,429.8,436.39,608.47
2018/4/12,24.54,24.69,24.66,24.42,305,0,0,24.706,24.607,24.724,424,409.99,588.75
2018/4/11,24.84,24.84,24.66,24.46,821,-0.05,-0.2,24.69,24.569,24.768,495.4,419.89,596.4
2018/4/10,24.79,24.79,24.71,24.55,400,-0.07,-0.28,24.7,24.507,24.819,380.2,509.39,622.16
2018/4/9,24.94,24.94,24.78,24.45,112,0.06,0.24,24.718,24.436,24.857,365.2,688.54,686.06
