date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,7.11,7.19,7.14,7.05,27926.75,0.04,0.56,7.248,7.358,7.578,35834.49,45357.27,79546.76
2018-12-27,7.38,7.38,7.1,7.1,38290.75,-0.15,-2.07,7.3,7.412,7.587,38021.18,52410.36,80960.58
2018-12-26,7.34,7.4,7.25,7.25,34132.22,-0.1,-1.36,7.348,7.503,7.597,38159.29,60180.11,82147.12
2018-12-25,7.32,7.35,7.35,7.09,50587.6,-0.05,-0.68,7.376,7.595,7.612,39807.68,74574.51,82699.12
2018-12-24,7.36,7.44,7.4,7.36,28235.11,0.0,0.0,7.406,7.676,7.62,46766.62,89297.19,82048.89
2018-12-21,7.31,7.4,7.4,7.27,38860.2,0.06,0.82,7.468,7.711,7.625,54880.05,96022.43,82347.61
2018-12-20,7.31,7.46,7.34,7.3,38981.3,-0.05,-0.68,7.524,7.751,7.632,66799.55,106246.47,84231.48
2018-12-19,7.51,7.57,7.39,7.37,42374.2,-0.11,-1.47,7.658,7.779,7.665,82200.93,110325.16,84830.21
2018-12-18,7.71,7.8,7.5,7.37,85382.28,-0.21,-2.72,7.814,7.796,7.701,109341.33,113351.55,87065.43
2018-12-17,7.61,7.86,7.71,7.61,68802.25,0.03,0.39,7.946,7.809,7.726,131827.77,110358.39,88768.33
2018-12-14,7.99,8.01,7.68,7.68,98457.7,-0.33,-4.12,7.954,7.797,7.763,137164.82,113736.26,93623.16
2018-12-13,8.1,8.15,8.01,7.94,115988.2,-0.16,-1.96,7.978,7.762,7.789,145693.4,109510.81,94690.29
2018-12-12,8.1,8.29,8.17,7.94,178076.22,0.01,0.12,7.9,7.69,7.794,138449.4,104114.14,94132.59
2018-12-11,7.75,8.25,8.16,7.73,197814.48,0.41,5.29,7.778,7.629,7.783,117361.76,90823.74,91132.07
2018-12-10,7.76,7.99,7.75,7.71,95487.5,-0.05,-0.64,7.672,7.563,7.776,88889.01,74800.58,89698.6
2018-12-07,7.57,7.98,7.8,7.55,141100.59,0.18,2.36,7.64,7.539,7.781,90307.7,68672.79,88717.15
2018-12-06,7.51,7.76,7.62,7.45,79768.2,0.06,0.79,7.546,7.513,7.777,73328.22,62216.49,84473.47
2018-12-05,7.45,7.75,7.56,7.42,72638.05,-0.07,-0.92,7.48,7.55,7.787,69778.88,59335.25,84767.23
2018-12-04,7.58,7.66,7.63,7.52,55450.7,0.04,0.53,7.48,7.605,7.798,64285.71,60779.31,84897.86
2018-12-03,7.46,7.75,7.59,7.45,102580.97,0.26,3.55,7.454,7.643,7.814,60712.15,67178.26,88021.79
2018-11-30,7.29,7.33,7.33,7.11,56203.16,0.04,0.55,7.438,7.729,7.823,47037.87,73510.06,87348.45
2018-11-29,7.57,7.71,7.29,7.27,62021.5,-0.27,-3.57,7.48,7.816,7.839,51104.77,79869.78,88647.26
2018-11-28,7.48,7.57,7.56,7.32,45172.24,0.06,0.8,7.62,7.897,7.848,48891.63,84151.04,89175.65
2018-11-27,7.56,7.6,7.5,7.47,37582.9,-0.01,-0.13,7.73,7.936,7.843,57272.9,91440.41,89557.74
2018-11-26,7.56,7.63,7.51,7.48,34209.55,-0.03,-0.4,7.832,7.989,7.837,73644.37,104596.61,90005.9
2018-11-23,8.0,8.02,7.54,7.51,76537.65,-0.45,-5.63,8.02,8.023,7.832,99982.25,108761.52,90184.73
2018-11-22,8.11,8.12,7.99,7.99,50955.8,-0.12,-1.48,8.152,8.04,7.832,108634.78,106730.45,89295.82
2018-11-21,7.9,8.27,8.11,7.86,87078.62,0.1,1.25,8.174,8.023,7.809,119410.45,110199.2,90699.47
2018-11-20,8.34,8.34,8.01,7.97,119440.22,-0.44,-5.21,8.142,7.99,7.791,125607.92,109016.41,91008.89
2018-11-19,8.19,8.53,8.45,8.12,165898.94,0.25,3.05,8.146,7.985,7.773,135548.86,108865.31,90332.42
2018-11-16,8.11,8.25,8.2,8.06,119800.34,0.1,1.24,8.026,7.916,7.735,117540.8,101186.84,87080.49
2018-11-15,7.93,8.18,8.1,7.93,104834.12,0.15,1.89,7.928,7.861,7.692,104826.12,97424.74,84302.22
2018-11-14,7.99,8.14,7.95,7.91,118065.96,-0.08,-1.0,7.872,7.798,7.651,100987.95,94200.27,83048.55
2018-11-13,7.74,8.3,8.03,7.72,169144.92,0.18,2.29,7.838,7.749,7.628,92424.9,87675.06,81150.93
2018-11-12,7.6,7.85,7.85,7.58,75858.66,0.14,1.82,7.824,7.685,7.596,82181.77,75415.18,75567.85
2018-11-09,7.88,7.89,7.71,7.69,56226.96,-0.11,-1.41,7.806,7.64,7.573,84832.87,71607.93,75079.22
2018-11-08,7.84,7.95,7.82,7.73,85643.24,0.04,0.51,7.794,7.623,7.558,90023.35,71861.18,78584.34
2018-11-07,7.84,7.98,7.78,7.77,75250.7,-0.18,-2.26,7.724,7.594,7.558,87412.59,71199.74,79542.26
2018-11-06,7.74,8.12,7.96,7.6,117929.29,0.2,2.58,7.66,7.591,7.604,82925.23,73001.38,77827.57
2018-11-05,7.65,7.88,7.76,7.61,89114.16,0.11,1.44,7.546,7.561,7.64,68648.6,71799.52,73809.6
2018-11-02,7.54,7.68,7.65,7.52,82179.35,0.18,2.41,7.474,7.554,7.684,58382.99,72974.15,72861.32
2018-11-01,7.49,7.68,7.47,7.45,72589.45,0.01,0.13,7.452,7.523,7.751,53699.01,71179.71,72201.56
2018-10-31,7.39,7.51,7.46,7.39,52813.88,0.07,0.95,7.464,7.503,7.822,54986.89,71896.84,73756.17
2018-10-30,7.4,7.47,7.39,7.22,46546.15,-0.01,-0.14,7.522,7.507,7.907,63077.53,74626.79,76323.03
2018-10-29,7.5,7.57,7.4,7.35,37786.12,-0.14,-1.86,7.576,7.507,7.996,74950.44,75720.52,85066.98
2018-10-26,7.57,7.74,7.54,7.5,58759.45,0.01,0.13,7.634,7.505,8.076,87565.31,78550.51,85188.98
2018-10-25,7.38,7.58,7.53,7.2,79028.84,-0.22,-2.84,7.594,7.493,8.148,88660.42,85307.51,84981.31
2018-10-24,7.59,7.94,7.75,7.52,93267.1,0.09,1.18,7.542,7.522,8.218,88806.79,87884.79,84756.11
2018-10-23,7.84,7.98,7.66,7.56,105910.71,-0.03,-0.39,7.492,7.616,8.279,86176.06,82653.76,85440.45
2018-10-22,7.42,7.75,7.69,7.35,100860.44,0.35,4.77,7.438,7.719,8.332,76490.59,75819.68,82176.34
2018-10-19,7.0,7.4,7.34,6.87,64234.99,0.07,0.96,7.376,7.814,8.384,69535.71,72748.5,79543.78
2018-10-18,7.3,7.78,7.27,7.15,79760.69,-0.23,-3.07,7.392,7.979,8.466,81954.6,73223.4,78628.36
2018-10-17,7.7,7.8,7.5,7.39,80113.45,0.11,1.49,7.502,8.14,8.548,86962.79,75615.51,76613.64
2018-10-16,7.38,7.49,7.39,7.15,57483.4,0.01,0.14,7.74,8.307,8.616,79131.46,78019.27,75276.5
2018-10-15,7.62,7.74,7.38,7.28,66086.0,-0.04,-0.54,8.0,8.485,8.699,75148.77,94413.45,75270.1
2018-10-12,7.82,7.82,7.42,7.04,126329.45,-0.4,-5.12,8.252,8.647,8.783,75961.29,91827.45,76480.96
2018-10-11,8.4,8.4,7.82,7.82,104801.65,-0.87,-10.01,8.566,8.802,8.878,64492.21,84655.12,78788.33
2018-10-10,8.71,8.81,8.69,8.55,40956.78,0.0,0.0,8.778,8.913,8.952,64268.23,81627.42,79996.88
2018-10-09,8.64,8.78,8.69,8.61,37569.95,0.05,0.58,8.874,8.942,8.969,76907.09,88227.15,83185.36
2018-10-08,8.8,8.85,8.64,8.59,70148.6,-0.35,-3.89,8.97,8.944,8.977,113678.13,88533.0,83824.01
2018-09-28,8.91,9.1,8.99,8.88,68984.05,0.11,1.24,9.042,8.954,8.985,107693.62,86339.06,83024.57
2018-09-27,9.17,9.2,8.88,8.88,103681.76,-0.29,-3.16,9.038,8.953,8.982,104818.03,84033.33,83263.05
