date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,6.09,6.43,6.28,6.03,145344.02,0.21,3.46,6.272,6.185,6.491,148278.09,122545.78,191471.02
2018/12/27,6.37,6.45,6.07,6.05,115802.53,-0.21,-3.34,6.252,6.186,6.504,146483.33,125437.82,190797.06
2018/12/26,6.36,6.51,6.28,6.27,134153.53,-0.16,-2.48,6.252,6.246,6.523,137215.16,127092.96,193942.37
2018/12/25,6.2,6.44,6.44,5.95,187227.77,0.15,2.38,6.194,6.284,6.54,126432.06,133325.66,197465.74
2018/12/24,6.18,6.45,6.29,6.1,158862.59,0.11,1.78,6.118,6.333,6.537,108958.1,132461.25,195133.32
2018/12/21,6.04,6.29,6.18,6.02,136370.23,0.11,1.81,6.098,6.39,6.543,96813.46,135901.23,198494.45
2018/12/20,5.95,6.1,6.07,5.95,69461.7,0.08,1.34,6.12,6.469,6.54,104392.32,144406.24,202902.17
2018/12/19,6.06,6.21,5.99,5.98,80238,-0.07,-1.16,6.24,6.575,6.566,116970.75,178889.3,207706.54
2018/12/18,6.09,6.21,6.06,6.01,99858,-0.13,-2.1,6.374,6.671,6.601,140219.26,208674.98,217212.53
2018/12/17,6.19,6.29,6.19,6.11,98139.39,-0.1,-1.59,6.548,6.736,6.618,155964.4,225058.2,220489.84
2018/12/14,6.67,6.67,6.29,6.28,174264.5,-0.38,-5.7,6.682,6.797,6.632,174988.99,260396.27,223854.46
2018/12/13,6.64,6.74,6.67,6.52,132353.84,0.01,0.15,6.818,6.822,6.65,184420.16,256156.29,225673.51
2018/12/12,6.88,6.95,6.66,6.61,196480.55,-0.27,-3.9,6.91,6.799,6.638,240807.85,260791.78,225701.11
2018/12/11,6.88,7.06,6.93,6.81,178583.73,0.07,1.02,6.968,6.796,6.627,277130.71,261605.83,224292.23
2018/12/10,6.91,7.11,6.86,6.72,193262.34,-0.11,-1.58,6.924,6.741,6.6,294151.99,257805.38,227591.24
2018/12/7,7.03,7.18,6.97,6.9,221420.36,-0.16,-2.24,6.912,6.696,6.569,345803.55,261087.67,227192.16
2018/12/6,6.81,7.28,7.13,6.76,414292.25,0.18,2.59,6.826,6.61,6.516,327892.41,261398.09,224063.53
2018/12/5,6.51,7.12,6.95,6.42,378094.88,0.24,3.58,6.688,6.556,6.456,280775.71,236523.78,211002.32
2018/12/4,6.71,6.77,6.71,6.55,263690.12,-0.09,-1.32,6.624,6.531,6.399,246080.95,225750.07,199287.26
2018/12/3,6.69,7.19,6.8,6.61,451520.16,0.26,3.98,6.558,6.5,6.353,221458.76,215921.47,191459.06
2018/11/30,6.51,6.54,6.54,6.13,131864.64,0.1,1.55,6.48,6.466,6.308,176371.78,187312.65,176016.52
2018/11/29,6.64,6.69,6.44,6.44,178708.73,-0.19,-2.87,6.394,6.477,6.271,194903.78,195190.74,176692.48
2018/11/28,6.48,6.68,6.63,6.34,204621.09,0.25,3.92,6.424,6.477,6.232,192271.85,190610.45,176358.66
2018/11/27,6.51,6.56,6.38,6.32,140579.2,-0.03,-0.47,6.438,6.457,6.179,205419.19,186978.62,170793.74
2018/11/26,6.1,6.58,6.41,6.07,226085.25,0.3,4.91,6.442,6.459,6.135,210384.18,197377.1,167450.51
2018/11/23,6.56,6.58,6.11,5.95,224524.61,-0.48,-7.28,6.452,6.441,6.086,198253.52,193296.65,160043.23
2018/11/22,6.63,6.77,6.59,6.49,165549.12,-0.11,-1.64,6.56,6.422,6.061,195477.71,186728.96,155124.48
2018/11/21,6.4,6.89,6.7,6.34,270357.75,0.3,4.69,6.53,6.355,6.012,188949.04,185480.87,154778.87
2018/11/20,6.38,6.72,6.4,6.36,165404.19,-0.06,-0.93,6.476,6.267,5.954,168538.05,172824.44,146603.59
2018/11/19,6.68,6.74,6.46,6.34,165431.91,-0.19,-2.86,6.476,6.205,5.915,184370.02,166996.64,147856.81
2018/11/16,6.42,6.78,6.65,6.41,210645.56,0.21,3.26,6.43,6.149,5.869,188339.78,164720.39,146564.49
2018/11/15,6.38,6.45,6.44,6.27,132905.81,0.01,0.16,6.284,6.064,5.801,177980.22,158194.23,140324.28
2018/11/14,6.33,6.54,6.43,6.28,168302.8,0.03,0.47,6.18,5.986,5.737,182012.69,162106.87,137291.34
2018/11/13,6.17,6.5,6.4,6.09,244564.02,0.17,2.73,6.058,5.9,5.688,177110.83,154608.86,133977.92
2018/11/12,5.92,6.23,6.23,5.87,185280.69,0.31,5.24,5.934,5.81,5.63,149623.25,137523.92,126081.9
2018/11/9,5.87,6.06,5.92,5.76,158847.77,0,0,5.868,5.73,5.589,141101.01,126789.8,121791.47
2018/11/8,5.88,6.04,5.92,5.85,153068.16,0.1,1.72,5.844,5.699,5.561,138408.23,123520.01,121327.48
2018/11/7,5.74,5.96,5.82,5.74,143793.52,0.04,0.69,5.792,5.669,5.547,142201.06,124076.88,120610.46
2018/11/6,5.85,5.87,5.78,5.65,107126.12,-0.12,-2.03,5.742,5.641,5.57,132106.89,120382.73,119142.78
2018/11/5,5.74,5.95,5.9,5.72,142669.47,0.1,1.72,5.686,5.625,5.6,125424.59,128716.99,117536.97
2018/11/2,5.7,5.85,5.8,5.66,145383.89,0.14,2.47,5.592,5.588,5.626,112478.6,128408.59,116712.64
2018/11/1,5.61,5.98,5.66,5.6,172032.3,0.09,1.62,5.554,5.537,5.681,108631.78,122454.34,113247.45
2018/10/31,5.49,5.65,5.57,5.47,93322.67,0.07,1.27,5.546,5.488,5.741,105952.7,112475.81,111920.34
2018/10/30,5.4,5.55,5.5,5.35,73714.63,0.07,1.29,5.54,5.475,5.818,108658.58,113346.97,114245.95
2018/10/29,5.54,5.61,5.43,5.35,77939.51,-0.18,-3.21,5.564,5.45,5.899,132009.39,114639.88,117374.72
2018/10/26,5.73,5.85,5.61,5.59,126149.79,-0.01,-0.18,5.584,5.448,5.99,144338.58,116793.13,126034.67
2018/10/25,5.29,5.75,5.62,5.19,158636.91,0.08,1.44,5.52,5.423,6.067,136276.9,119134.96,128407.19
2018/10/24,5.52,5.67,5.54,5.48,106852.04,-0.08,-1.42,5.43,5.425,6.142,118998.92,117144.05,132634.48
2018/10/23,5.55,6.08,5.62,5.46,190468.7,0.09,1.63,5.41,5.498,6.22,118035.36,117902.83,136944.55
2018/10/22,5.36,5.64,5.53,5.34,139585.48,0.24,4.54,5.336,5.575,6.284,97270.36,106356.94,132502.16
2018/10/19,5.08,5.32,5.29,4.91,85841.38,0.12,2.32,5.312,5.664,6.35,89247.68,105016.69,131103.34
2018/10/18,5.37,5.38,5.17,5.16,72247,-0.27,-4.96,5.326,5.824,6.437,101993.01,104040.56,135441.26
2018/10/17,5.36,5.52,5.44,5.13,102034.25,0.19,3.62,5.42,5.993,6.528,115289.18,111364.87,140473.44
2018/10/16,5.41,5.55,5.25,5.1,86643.71,-0.16,-2.96,5.586,6.161,6.599,117770.29,115144.93,142855.22
2018/10/15,5.37,5.59,5.41,5.34,99472.06,0.05,0.93,5.814,6.348,6.676,115443.52,120109.56,148706.9
2018/10/12,5.51,5.56,5.36,5.09,149568.05,-0.28,-4.96,6.016,6.532,6.765,120785.71,135276.21,159959.61
2018/10/11,5.95,6.03,5.64,5.64,138727.81,-0.63,-10.05,6.322,6.71,6.853,106088.11,137679.42,169756.75
2018/10/10,6.43,6.46,6.27,6.06,114439.81,-0.12,-1.88,6.566,6.858,6.913,107440.56,148124.91,170740.96
2018/10/9,6.47,6.55,6.39,6.35,75009.85,-0.03,-0.47,6.736,6.942,6.944,112519.58,155986.27,172599.02
2018/10/8,6.6,6.72,6.42,6.41,126183.01,-0.47,-6.82,6.882,6.993,6.962,124775.61,158647.38,175213.35
2018/9/28,6.89,6.96,6.89,6.85,76080.09,0.03,0.44,7.048,7.035,6.985,149766.72,157189.98,175775.14
2018/9/27,7.1,7.11,6.86,6.84,145490.02,-0.26,-3.65,7.098,7.05,6.983,169270.73,166841.96,182121.95
2018/9/26,7.07,7.24,7.12,7.05,139834.91,0,0,7.15,7.062,6.998,188809.26,169582.01,185559.8
2018/9/25,7.18,7.21,7.12,7.06,136290.02,-0.13,-1.79,7.148,7.036,6.993,199452.96,170565.5,185846.55
2018/9/21,7.18,7.35,7.25,7.12,251138.56,0.11,1.54,7.104,7.003,6.988,192519.15,177304.24,188004.25
2018/9/20,7.07,7.22,7.14,7.01,173600.12,0.02,0.28,7.022,6.998,6.969,164613.23,184643.02,183438.58
2018/9/19,7.05,7.3,7.12,7,243182.7,0.01,0.14,7.002,6.996,6.956,164413.2,201834.08,183596.27
2018/9/18,6.84,7.14,7.11,6.84,193053.38,0.21,3.04,6.974,6.968,6.936,150354.76,193357.02,180090.01
2018/9/17,6.83,6.94,6.9,6.68,101620.97,0.06,0.88,6.924,6.946,6.933,141678.04,189211.78,181662.74
2018/9/14,7.05,7.08,6.84,6.81,111609,-0.2,-2.84,6.902,6.93,6.947,162089.33,191779.32,186632.36
2018/9/13,7.05,7.09,7.04,6.81,172599.94,0.06,0.86,6.974,6.934,6.952,204672.8,194360.3,190152.86
2018/9/12,6.89,7.12,6.98,6.8,172890.52,0.12,1.75,6.99,6.916,6.946,239254.96,197401.94,189774.95
2018/9/11,6.75,7.03,6.86,6.73,149669.77,0.07,1.03,6.962,6.933,6.951,236359.28,201537.59,189562.67
2018/9/10,7.13,7.16,6.79,6.79,203677.41,-0.41,-5.69,6.968,6.95,6.969,236745.52,201127.6,196097.3
2018/9/7,6.98,7.34,7.2,6.98,324526.34,0.08,1.12,6.958,6.972,7.005,221469.3,198704.26,201295.43
2018/9/6,6.9,7.52,7.12,6.83,345510.78,0.28,4.09,6.894,6.94,7.016,184047.8,182234.15,210982.36
2018/9/5,6.87,7.06,6.84,6.81,158412.09,-0.05,-0.73,6.842,6.916,7.027,155548.92,165358.46,205501.37
2018/9/4,6.7,7,6.89,6.66,151601,0.15,2.23,6.904,6.903,7.018,166715.9,166822.99,206470.52
2018/9/3,6.82,6.82,6.74,6.57,127296.3,-0.14,-2.04,6.932,6.919,7.019,165509.68,174113.7,210336.99
2018/8/31,6.88,6.98,6.88,6.8,137418.81,0.02,0.29,6.986,6.963,7.018,175939.22,181485.41,215008.64
2018/8/30,7.19,7.3,6.86,6.81,203016.38,-0.29,-4.06,6.986,6.97,7.003,180420.5,185945.43,216029.14
2018/8/29,7.1,7.28,7.15,6.91,214247.02,0.12,1.71,6.99,6.976,7,175168,182147.96,221112.37
2018/8/28,7.1,7.2,7.03,6.96,145569.89,0.02,0.28,6.902,6.968,7.011,166930.08,177587.75,223690.18
2018/8/27,6.81,7.07,7.01,6.81,179443.98,0.13,1.89,6.906,6.987,7.024,182717.71,191067,225618.59
