date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,8.17,8.29,8.12,8.09,104869.93,-0.07,-0.85,8.388,8.553,8.868,123126.27,102941.33,147306.9
2018-12-27,8.51,8.55,8.19,8.19,140064.61,-0.16,-1.92,8.486,8.625,8.914,117849.62,108397.79,155189.0
2018-12-26,8.49,8.56,8.35,8.35,109917.96,-0.2,-2.34,8.58,8.714,8.959,106500.35,110635.05,163319.53
2018-12-25,8.64,8.64,8.55,8.28,173893.16,-0.18,-2.06,8.646,8.781,9.014,99113.26,114475.76,172043.1
2018-12-24,8.63,8.75,8.73,8.6,86885.7,0.12,1.39,8.696,8.842,9.048,82924.51,112408.31,173185.01
2018-12-21,8.61,8.67,8.61,8.57,78486.66,-0.05,-0.58,8.718,8.884,9.068,82756.39,115688.05,182664.8
2018-12-20,8.63,8.73,8.66,8.61,83318.29,-0.02,-0.23,8.764,8.937,9.106,98945.97,119725.91,201078.75
2018-12-19,8.84,8.85,8.68,8.66,72982.5,-0.12,-1.36,8.848,8.982,9.144,114769.75,133853.79,206127.44
2018-12-18,8.78,8.9,8.8,8.7,92949.38,-0.04,-0.45,8.916,9.051,9.181,129838.26,145598.56,214376.98
2018-12-17,8.79,8.88,8.84,8.69,86045.12,0.0,0.0,8.988,9.12,9.217,141892.11,160639.4,226675.6
2018-12-14,9.05,9.06,8.84,8.79,159434.55,-0.24,-2.64,9.05,9.182,9.256,148619.7,191672.46,237831.4
2018-12-13,9.04,9.14,9.08,8.9,162437.2,0.06,0.67,9.11,9.202,9.303,140505.86,201980.2,250321.16
2018-12-12,9.2,9.29,9.02,9.0,148325.03,-0.14,-1.53,9.116,9.204,9.337,152937.83,216004.0,268005.67
2018-12-11,9.18,9.26,9.16,9.07,153218.66,0.01,0.11,9.186,9.247,9.374,161358.86,229610.43,299359.61
2018-12-10,9.08,9.21,9.15,9.03,119683.08,0.01,0.11,9.252,9.253,9.381,179386.68,233961.7,313103.05
2018-12-07,9.2,9.28,9.14,9.11,118865.31,0.03,0.33,9.314,9.251,9.389,234725.22,249641.55,326251.15
2018-12-06,9.29,9.41,9.11,9.1,224597.06,-0.26,-2.77,9.294,9.274,9.382,263454.54,282431.58,329321.8
2018-12-05,9.23,9.47,9.37,9.19,190430.17,-0.12,-1.26,9.292,9.306,9.378,279070.17,278401.08,333129.64
2018-12-04,9.45,9.57,9.49,9.38,243357.77,0.03,0.32,9.308,9.311,9.362,297862.01,283155.4,338156.64
2018-12-03,9.32,9.55,9.46,9.2,396375.78,0.42,4.65,9.254,9.313,9.343,288536.73,292711.8,336789.4
