date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,7.18,7.26,7.19,7.12,48378.67,0.01,0.14,7.184,7.176,7.012,59273.85,77514.86,77080.92
2018-12-27,7.15,7.26,7.18,7.15,87635.07,0.09,1.27,7.168,7.157,6.989,62784.93,89474.67,77077.14
2018-12-26,7.15,7.25,7.09,7.07,48850.93,-0.09,-1.25,7.162,7.149,6.964,58896.04,94824.73,75245.72
2018-12-25,7.24,7.25,7.18,7.03,55232.66,-0.1,-1.37,7.164,7.129,6.952,63809.44,97027.66,75768.18
2018-12-24,7.12,7.29,7.28,7.11,56271.93,0.17,2.39,7.172,7.089,6.933,77086.19,98448.47,75671.6
2018-12-21,7.1,7.21,7.11,7.04,65934.07,-0.04,-0.56,7.168,7.026,6.913,95755.86,98597.31,74498.27
2018-12-20,7.14,7.23,7.15,7.07,68190.63,0.05,0.7,7.146,6.994,6.903,116164.4,97066.64,73751.87
2018-12-19,7.18,7.29,7.1,7.07,73417.91,-0.12,-1.66,7.136,6.952,6.905,130753.41,94458.11,73176.56
2018-12-18,7.18,7.27,7.22,6.97,121616.42,-0.04,-0.55,7.094,6.921,6.914,130245.88,91255.68,72726.5
2018-12-17,7.04,7.28,7.26,7.01,149620.28,0.26,3.71,7.006,6.885,6.919,119810.75,84969.68,71245.8
2018-12-14,7.08,7.15,7.0,7.0,167976.77,-0.1,-1.41,6.884,6.847,6.935,101438.75,76646.98,70150.04
2018-12-13,6.9,7.15,7.1,6.86,141135.66,0.21,3.05,6.842,6.82,6.945,77968.87,64679.61,65645.77
2018-12-12,6.79,6.92,6.89,6.79,70880.28,0.11,1.62,6.768,6.778,6.945,58162.8,55666.72,61504.71
2018-12-11,6.68,6.83,6.78,6.65,69440.74,0.13,1.96,6.748,6.774,6.956,52265.47,54508.7,60828.02
2018-12-10,6.73,6.73,6.65,6.64,57760.32,-0.14,-2.06,6.764,6.776,6.973,50128.62,52894.73,62323.22
2018-12-07,6.72,6.83,6.79,6.71,50627.36,0.06,0.89,6.81,6.799,6.997,51855.2,50399.24,65688.79
2018-12-06,6.79,6.79,6.73,6.66,42105.32,-0.06,-0.88,6.798,6.812,7.007,51390.35,50437.09,70662.73
2018-12-05,6.79,6.85,6.79,6.74,41393.61,-0.07,-1.02,6.788,6.857,7.01,53170.63,51895.0,70513.66
2018-12-04,6.83,6.89,6.86,6.78,58756.48,-0.02,-0.29,6.8,6.907,7.008,56751.92,54197.32,70865.64
2018-12-03,6.83,6.89,6.88,6.77,66393.24,0.15,2.23,6.788,6.952,7.006,55660.85,57521.92,70751.27
2018-11-30,6.7,6.76,6.73,6.57,48303.12,0.05,0.75,6.788,7.022,7.005,48943.28,63653.09,70680.29
2018-11-29,6.89,6.98,6.68,6.68,51006.71,-0.17,-2.48,6.826,7.069,7.017,49483.83,66611.93,72256.18
2018-11-28,6.84,6.91,6.85,6.78,59300.07,0.05,0.73,6.926,7.112,7.03,50619.38,67342.71,77275.17
2018-11-27,6.9,6.98,6.8,6.76,53301.1,-0.08,-1.16,7.014,7.137,7.024,51642.72,67147.35,77783.53
2018-11-26,6.92,7.03,6.88,6.85,32805.38,-0.04,-0.58,7.116,7.17,7.025,59382.99,71751.72,77999.21
2018-11-23,7.24,7.24,6.92,6.88,51005.9,-0.26,-3.62,7.256,7.194,7.018,78362.91,80978.34,78829.42
2018-11-22,7.3,7.33,7.18,7.09,56684.43,-0.11,-1.51,7.312,7.202,7.013,83740.02,90888.37,79583.63
2018-11-21,7.21,7.48,7.29,7.2,64416.78,-0.02,-0.27,7.298,7.162,6.993,84066.05,89132.32,79193.67
2018-11-20,7.52,7.67,7.31,7.3,92002.44,-0.27,-3.56,7.26,7.108,6.954,82651.97,87533.95,77588.88
2018-11-19,7.17,7.58,7.58,7.11,127705.0,0.38,5.28,7.224,7.059,6.911,84120.45,83980.63,75126.67
2018-11-16,7.13,7.31,7.2,7.1,77891.46,0.09,1.27,7.132,6.988,6.862,83593.76,77707.49,71698.55
2018-11-15,7.09,7.13,7.11,7.02,58314.55,0.01,0.14,7.092,6.964,6.818,98036.72,77900.43,70572.88
2018-11-14,7.12,7.21,7.1,7.08,57346.42,-0.03,-0.42,7.026,6.947,6.773,94198.59,87207.62,69654.06
2018-11-13,7.01,7.21,7.13,7.01,99344.8,0.01,0.14,6.956,6.911,6.73,92415.93,88419.72,69203.65
2018-11-12,6.93,7.14,7.12,6.91,125071.57,0.12,1.71,6.894,6.88,6.68,83840.81,84246.71,66825.39
2018-11-09,6.87,7.35,7.0,6.85,150106.27,0.22,3.25,6.844,6.841,6.638,71821.21,76680.5,63201.08
2018-11-08,6.79,6.84,6.78,6.75,39123.89,0.03,0.44,6.836,6.823,6.605,57764.14,68278.89,59392.57
2018-11-07,6.82,6.84,6.75,6.73,48433.12,-0.07,-1.03,6.868,6.823,6.583,80216.65,69255.03,60021.39
2018-11-06,6.86,6.88,6.82,6.77,56469.19,-0.05,-0.73,6.866,6.8,6.59,84423.51,67643.81,59635.4
2018-11-05,6.96,6.96,6.87,6.8,64973.58,-0.09,-1.29,6.866,6.763,6.591,84652.61,66272.71,60380.49
2018-11-02,6.94,7.09,6.96,6.85,79820.92,0.02,0.29,6.838,6.736,6.598,81539.78,65689.61,60996.35
2018-11-01,6.76,7.01,6.94,6.76,151386.44,0.2,2.97,6.81,6.672,6.61,78793.64,63245.33,59456.64
2018-10-31,6.84,6.86,6.74,6.67,69467.4,-0.08,-1.17,6.778,6.598,6.624,58293.4,52100.5,55310.4
2018-10-30,6.73,6.93,6.82,6.64,57614.73,0.09,1.34,6.734,6.548,6.647,50864.12,49987.59,55468.74
2018-10-29,6.79,6.82,6.73,6.67,49409.43,-0.09,-1.32,6.66,6.48,6.67,47892.81,49404.07,55140.28
2018-10-26,6.7,7.06,6.82,6.65,66090.21,0.04,0.59,6.634,6.434,6.702,49839.43,49721.66,56504.72
2018-10-25,6.44,6.8,6.78,6.36,48885.25,0.26,3.99,6.534,6.386,6.72,47697.02,50506.25,55892.38
2018-10-24,6.5,6.63,6.52,6.41,32320.99,0.07,1.08,6.418,6.343,6.74,45907.6,50787.76,57099.35
2018-10-23,6.58,6.63,6.45,6.43,42758.17,-0.15,-2.27,6.362,6.379,6.766,49111.06,51626.98,58082.86
2018-10-22,6.5,6.67,6.6,6.36,59142.54,0.28,4.43,6.3,6.418,6.786,50915.32,54488.27,57789.09
2018-10-19,6.09,6.38,6.32,6.06,55378.14,0.12,1.94,6.234,6.46,6.805,49603.88,56303.09,56833.13
2018-10-18,6.18,6.33,6.2,6.16,39938.14,-0.04,-0.64,6.238,6.547,6.836,53315.49,55667.95,55883.95
2018-10-17,6.17,6.3,6.24,6.12,48338.29,0.1,1.63,6.268,6.65,6.868,55667.92,58520.3,55693.43
2018-10-16,6.26,6.37,6.14,6.01,51779.51,-0.13,-2.07,6.396,6.746,6.894,54142.9,60949.88,55747.1
2018-10-15,6.32,6.53,6.27,6.23,52585.32,-0.07,-1.1,6.536,6.859,6.938,58061.22,60876.49,56057.21
2018-10-12,6.42,6.48,6.34,6.22,73936.19,-0.01,-0.16,6.686,6.969,6.97,63002.3,63287.78,55577.89
2018-10-11,6.6,6.79,6.35,6.32,51700.28,-0.53,-7.7,6.856,7.054,6.999,58020.4,61278.5,53970.67
2018-10-10,6.83,6.93,6.88,6.81,40713.22,0.04,0.58,7.032,7.136,7.031,61372.68,63410.93,55681.04
2018-10-09,7.02,7.11,6.84,6.8,71371.11,-0.18,-2.56,7.096,7.152,7.034,67756.86,64538.74,56861.72
2018-10-08,7.16,7.19,7.02,7.02,77290.69,-0.17,-2.36,7.182,7.153,7.033,63691.76,61089.9,57197.84
2018-09-28,7.16,7.29,7.19,7.16,49026.71,-0.04,-0.55,7.252,7.149,7.02,63573.26,57363.18,57412.48
2018-09-27,7.28,7.36,7.23,7.2,68461.65,0.03,0.42,7.252,7.124,6.996,64536.59,56099.96,58801.6
2018-09-26,7.27,7.32,7.2,7.16,72634.15,-0.07,-0.96,7.24,7.085,6.97,65449.19,52866.56,57339.2
2018-09-25,7.34,7.34,7.27,7.22,51045.6,-0.1,-1.36,7.208,7.042,6.948,61320.62,50544.32,55806.36
2018-09-21,7.23,7.45,7.37,7.16,76698.19,0.18,2.5,7.124,7.017,6.923,58488.04,51237.93,56942.98
2018-09-20,7.2,7.25,7.19,7.15,53843.38,0.02,0.28,7.046,6.97,6.891,51153.09,47868.0,54145.74
2018-09-19,7.04,7.28,7.17,6.98,73024.63,0.13,1.85,6.996,6.944,6.866,47663.33,46662.84,52861.17
2018-09-18,6.83,7.07,7.04,6.83,51991.3,0.19,2.77,6.93,6.925,6.846,40283.92,47951.14,50366.43
2018-09-17,7.04,7.04,6.85,6.79,36882.72,-0.13,-1.86,6.876,6.915,6.833,39768.03,49184.7,49080.03
2018-09-14,6.93,7.01,6.98,6.91,40023.42,0.04,0.58,6.91,6.912,6.827,43987.82,53305.77,48366.93
2018-09-13,6.84,6.97,6.94,6.81,36394.57,0.1,1.46,6.894,6.891,6.813,44582.9,57461.79,47512.13
2018-09-12,6.76,6.88,6.84,6.75,36127.6,0.07,1.03,6.892,6.867,6.805,45662.35,61503.23,46848.86
2018-09-11,6.98,7.05,6.77,6.72,49411.82,-0.25,-3.56,6.92,6.855,6.8,55618.36,61811.85,46219.51
2018-09-10,6.9,7.08,7.02,6.86,57981.69,0.12,1.74,6.954,6.853,6.804,58601.37,61068.4,45167.31
2018-09-07,6.88,6.98,6.9,6.87,42998.82,-0.03,-0.43,6.914,6.829,6.799,62623.72,62648.03,43629.56
2018-09-06,6.98,7.04,6.93,6.9,41791.8,-0.05,-0.72,6.888,6.811,6.8,70340.67,60423.49,43088.27
2018-09-05,6.95,7.08,6.98,6.87,85907.68,0.04,0.58,6.842,6.788,6.799,77344.12,59059.5,42833.77
2018-09-04,6.82,6.97,6.94,6.8,64326.85,0.12,1.76,6.79,6.767,6.789,68005.34,52781.72,39840.62
2018-09-03,6.77,6.85,6.82,6.61,78093.46,0.05,0.74,6.752,6.751,6.78,63535.43,48975.37,38539.67
2018-08-31,6.68,6.79,6.77,6.59,81583.58,0.07,1.04,6.744,6.741,6.767,62672.34,43428.09,36710.48
2018-08-30,6.74,6.81,6.7,6.67,76809.04,-0.02,-0.3,6.734,6.734,6.763,50506.3,37562.47,34040.41
2018-08-29,6.75,6.78,6.72,6.68,39213.76,-0.03,-0.44,6.734,6.742,6.764,40774.87,32194.48,33205.54
2018-08-28,6.78,6.79,6.75,6.72,41977.3,-0.03,-0.44,6.744,6.745,6.78,37558.1,30627.16,34428.63
2018-08-27,6.69,6.82,6.78,6.69,73778.01,0.06,0.89,6.75,6.755,6.804,34415.31,29266.23,36243.81
2018-08-24,6.7,6.74,6.72,6.65,20753.4,0.02,0.3,6.738,6.768,6.814,24183.84,24611.09,34710.77
2018-08-23,6.73,6.81,6.7,6.65,28151.87,-0.07,-1.03,6.734,6.788,6.826,24618.63,25753.05,35514.2
2018-08-22,6.79,6.83,6.77,6.73,23129.91,-0.01,-0.15,6.75,6.809,6.837,23614.1,26608.05,37228.87
2018-08-21,6.71,6.83,6.78,6.71,26263.35,0.06,0.89,6.746,6.81,6.841,23696.22,26899.52,38518.08
2018-08-20,6.68,6.76,6.72,6.64,22620.67,0.02,0.3,6.76,6.809,6.848,24117.15,28103.96,41074.15
2018-08-17,6.8,6.86,6.7,6.69,22927.34,-0.09,-1.32,6.798,6.793,6.848,25038.35,29992.87,43252.84
2018-08-16,6.78,6.89,6.78,6.7,23129.21,0.03,0.44,6.842,6.791,6.845,26887.48,30518.36,44163.46
2018-08-15,6.84,6.92,6.75,6.71,23540.54,-0.11,-1.6,6.868,6.785,6.834,29602.0,34216.59,44323.94
2018-08-14,6.88,6.94,6.85,6.81,28368.0,-0.06,-0.87,6.874,6.814,6.823,30102.82,38230.1,44485.13
2018-08-13,6.81,6.96,6.91,6.78,27226.64,-0.02,-0.29,6.858,6.852,6.811,32090.78,43221.4,44822.97
2018-08-10,6.92,7.1,6.92,6.87,32173.01,0.0,0.0,6.788,6.859,6.798,34947.39,44810.45,44882.94
2018-08-09,6.72,6.96,6.91,6.72,36701.79,0.12,1.77,6.74,6.863,6.787,34149.23,45275.34,45197.35
2018-08-08,6.74,6.85,6.78,6.71,26044.64,0.01,0.15,6.702,6.864,6.776,38831.19,47849.7,46649.7
2018-08-07,6.58,6.78,6.77,6.58,38307.8,0.23,3.52,6.754,6.872,6.762,46357.39,50136.64,46824.38
2018-08-06,6.73,6.74,6.56,6.47,41509.69,-0.12,-1.8,6.846,6.887,6.755,54352.02,54044.33,46705.38
