date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,21.08,21.51,21.25,20.88,41889.46,0.15,0.71,21.162,20.855,21.637,43088.21,49981.28,59927.77
2018-12-27,21.49,21.6,21.1,21.01,31143.46,-0.2,-0.94,20.98,20.825,21.659,45750.78,60392.31,60624.04
2018-12-26,21.18,21.5,21.3,21.16,32325.84,0.08,0.38,20.886,20.986,21.641,47025.63,62689.75,60691.7
2018-12-25,20.98,21.35,21.22,20.79,59064.02,0.28,1.34,20.7,21.078,21.636,47376.98,66005.61,60400.59
2018-12-24,20.5,21.21,20.94,20.28,51018.27,0.6,2.95,20.612,21.256,21.628,45271.7,65995.87,58667.63
2018-12-21,20.67,20.7,20.34,19.9,55202.33,-0.29,-1.41,20.548,21.389,21.629,56874.34,67247.03,58223.85
2018-12-20,20.37,20.79,20.63,20.13,37517.69,0.26,1.28,20.67,21.633,21.673,75033.84,67188.9,57666.83
2018-12-19,20.83,20.9,20.37,20.3,34082.58,-0.41,-1.97,21.086,21.827,21.747,78353.88,69602.35,57985.79
2018-12-18,20.68,21.07,20.78,20.33,48537.61,0.16,0.78,21.456,22.074,21.819,84634.24,72160.63,59630.04
2018-12-17,20.7,21.39,20.62,20.22,109031.5,-0.33,-1.57,21.9,22.258,21.858,86720.04,74058.29,58787.74
2018-12-14,22.73,22.73,20.95,20.72,145999.81,-1.76,-7.75,22.23,22.418,21.928,77619.72,69874.26,55124.5
2018-12-13,22.3,23.0,22.71,22.14,54117.88,0.49,2.21,22.596,22.493,21.974,59343.97,60855.76,50021.01
2018-12-12,23.0,23.0,22.22,22.18,65484.4,-0.78,-3.39,22.568,22.295,21.947,60850.83,58693.65,49686.26
2018-12-11,22.45,23.0,23.0,22.07,58966.63,0.73,3.28,22.692,22.193,21.943,59687.01,54795.57,48551.43
2018-12-10,22.63,23.02,22.27,21.99,63529.88,-0.51,-2.24,22.616,22.0,21.902,61396.54,51339.4,49526.76
2018-12-07,22.65,23.0,22.78,22.1,54621.04,0.21,0.93,22.606,21.868,21.888,62128.79,49200.68,50045.05
2018-12-06,22.73,23.2,22.57,22.34,61652.18,-0.27,-1.18,22.39,21.712,21.794,62367.56,48144.75,50137.99
2018-12-05,22.42,23.14,22.84,22.4,59665.32,0.22,0.97,22.022,21.666,21.734,56536.48,46369.23,48967.31
2018-12-04,22.15,22.92,22.62,22.1,67514.3,0.4,1.8,21.694,21.563,21.671,49904.12,47099.45,48525.99
2018-12-03,22.23,22.47,22.22,21.83,67191.11,0.52,2.4,21.384,21.458,21.605,41282.25,43517.19,46731.98
2018-11-30,20.87,21.85,21.7,20.77,55814.89,0.97,4.68,21.13,21.438,21.567,36272.57,40374.75,45485.07
