date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,8.65,8.88,8.68,8.41,34015.88,-0.02,-0.23,8.786,8.846,9.254,41167.91,55477.06,58611.74
2018-12-27,8.84,8.94,8.7,8.65,45726.17,0.04,0.46,8.784,8.913,9.255,43313.66,55523.89,58495.3
2018-12-26,8.97,8.97,8.66,8.62,30933.88,-0.22,-2.48,8.808,9.01,9.244,45834.38,54186.19,57779.66
2018-12-25,8.92,9.03,8.88,8.68,44224.62,-0.13,-1.44,8.852,9.114,9.256,53219.05,53953.49,57904.74
2018-12-24,8.7,9.06,9.01,8.55,50939.0,0.34,3.92,8.928,9.208,9.248,66084.26,53202.82,56937.44
2018-12-21,9.03,9.07,8.67,8.51,44744.65,-0.15,-1.7,8.906,9.27,9.229,69786.2,54998.2,55992.77
2018-12-20,8.63,9.03,8.82,8.63,58329.73,-0.06,-0.68,9.042,9.346,9.222,67734.11,57566.19,56632.24
2018-12-19,9.56,9.66,8.88,8.88,67857.23,-0.38,-4.1,9.212,9.431,9.224,62537.99,57853.75,55025.1
2018-12-18,9.03,9.62,9.26,8.97,108550.68,0.36,4.04,9.376,9.539,9.228,54687.93,62512.46,53764.44
2018-12-17,9.21,9.49,8.9,8.73,69448.73,-0.45,-4.81,9.488,9.613,9.206,40321.37,59899.6,50369.22
2018-12-14,9.6,9.66,9.35,9.31,34484.16,-0.32,-3.31,9.634,9.662,9.216,40210.2,61746.43,49558.02
2018-12-13,9.6,9.85,9.67,9.6,32349.17,-0.03,-0.31,9.65,9.597,9.194,47398.27,61466.72,51165.55
2018-12-12,9.84,9.9,9.7,9.55,28606.92,-0.12,-1.22,9.65,9.477,9.156,53169.51,61373.13,52555.83
2018-12-11,9.6,9.89,9.82,9.6,36717.88,0.19,1.97,9.702,9.398,9.107,70336.99,61856.0,55411.79
2018-12-10,9.43,10.02,9.63,9.43,68892.89,0.2,2.12,9.738,9.287,9.047,79477.82,60672.06,57312.32
2018-12-07,9.67,9.97,9.43,9.3,70424.5,-0.24,-2.48,9.69,9.187,8.976,83282.65,56987.33,55737.67
2018-12-06,9.96,10.05,9.67,9.56,61205.34,-0.29,-2.91,9.544,9.098,8.904,75535.17,55698.3,54285.64
2018-12-05,9.85,10.53,9.96,9.66,114444.36,-0.04,-0.4,9.304,9.016,8.817,69576.76,52196.44,54168.75
2018-12-04,9.4,10.01,10.0,9.26,82422.01,0.61,6.5,9.094,8.916,8.72,53375.01,45016.42,51283.21
2018-12-03,9.0,9.44,9.39,8.88,87917.03,0.69,7.93,8.836,8.799,8.635,41866.31,40838.84,49435.6
2018-11-30,8.47,8.77,8.7,8.41,31687.09,0.23,2.71,8.684,8.77,8.571,30692.01,37369.62,49919.29
2018-11-29,8.96,9.03,8.47,8.4,31413.31,-0.44,-4.94,8.652,8.791,8.538,35861.43,40864.38,54793.68
2018-11-28,8.83,8.93,8.91,8.55,33435.59,0.2,2.3,8.728,8.834,8.491,34816.13,43738.52,60417.05
2018-11-27,8.78,8.78,8.71,8.59,24878.51,0.08,0.93,8.738,8.815,8.406,36657.84,48967.59,64789.67
2018-11-26,8.56,8.77,8.63,8.48,32045.57,0.09,1.05,8.762,8.807,8.309,39811.37,53952.57,65484.67
2018-11-23,8.85,8.95,8.54,8.44,57534.16,-0.31,-3.5,8.856,8.764,8.213,44047.23,54488.01,65166.96
2018-11-22,8.94,9.1,8.85,8.79,26186.8,-0.11,-1.23,8.93,8.709,8.123,45867.34,52872.99,64600.93
2018-11-21,8.65,9.04,8.96,8.51,42644.14,0.13,1.47,8.94,8.618,8.022,52660.91,56141.06,66786.36
2018-11-20,8.96,9.13,8.83,8.73,40646.18,-0.27,-2.97,8.892,8.524,7.908,61277.34,57550.0,67811.5
