date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,4.84,4.87,4.76,4.7,17434.0,-0.08,-1.65,4.824,4.874,5.055,18833.34,21504.52,39818.6
2018-12-27,4.89,5.06,4.84,4.83,26981.14,-0.02,-0.41,4.84,4.909,5.075,18522.3,23297.45,45927.69
2018-12-26,4.83,4.89,4.86,4.77,14957.23,0.05,1.04,4.854,4.946,5.101,17702.7,24158.08,53864.57
2018-12-25,4.85,4.86,4.81,4.68,20563.39,-0.04,-0.82,4.85,4.983,5.101,21431.25,25705.17,56758.46
2018-12-24,4.84,4.9,4.85,4.81,14230.94,0.01,0.21,4.888,5.03,5.109,21487.88,28010.25,59419.1
2018-12-21,4.87,4.9,4.84,4.8,15878.78,-0.07,-1.43,4.924,5.063,5.12,24175.7,29238.26,63430.44
2018-12-20,4.86,4.93,4.91,4.79,22883.14,0.07,1.45,4.978,5.1,5.149,28072.61,30466.57,71749.2
2018-12-19,5.0,5.0,4.84,4.83,33600.0,-0.16,-3.2,5.038,5.132,5.193,30613.47,34035.7,77287.83
2018-12-18,5.04,5.08,5.0,4.93,20846.56,-0.03,-0.6,5.116,5.186,5.215,29979.09,41407.9,78395.13
2018-12-17,5.06,5.14,5.03,4.93,27670.0,-0.08,-1.57,5.172,5.213,5.216,34532.61,49338.04,78350.05
2018-12-14,5.2,5.23,5.11,5.05,35363.36,-0.1,-1.92,5.202,5.235,5.211,34300.82,58132.68,77887.7
2018-12-13,5.24,5.28,5.21,5.18,35587.41,-0.02,-0.38,5.222,5.24,5.2,32860.53,68557.92,77033.88
2018-12-12,5.28,5.28,5.23,5.18,30428.12,-0.05,-0.95,5.226,5.255,5.18,37457.93,83571.06,76113.24
2018-12-11,5.2,5.36,5.28,5.19,43614.15,0.1,1.93,5.256,5.219,5.158,52836.71,87811.74,75647.11
2018-12-10,5.15,5.24,5.18,5.12,26511.05,-0.03,-0.58,5.254,5.188,5.14,64143.46,90827.95,74374.69
2018-12-07,5.23,5.28,5.21,5.18,28161.9,-0.02,-0.38,5.268,5.177,5.129,81964.55,97622.62,74047.44
2018-12-06,5.3,5.34,5.23,5.18,58574.45,-0.15,-2.79,5.258,5.197,5.118,104255.31,113031.83,73726.55
2018-12-05,5.1,5.47,5.38,5.05,107321.98,0.11,2.09,5.284,5.254,5.109,129684.18,120539.96,72072.97
2018-12-04,5.23,5.31,5.27,5.12,100147.93,0.02,0.38,5.182,5.243,5.092,122786.78,115382.37,68761.97
2018-12-03,5.45,5.45,5.25,5.18,115616.48,0.09,1.74,5.122,5.218,5.069,117512.43,107362.07,65863.99
2018-11-30,5.25,5.45,5.16,5.1,139615.69,-0.2,-3.73,5.086,5.186,5.045,113280.7,97642.72,62512.51
2018-11-29,4.88,5.36,5.36,4.85,185718.8,0.49,10.06,5.136,5.159,5.041,121808.36,85509.84,56971.52
2018-11-28,4.95,4.96,4.87,4.79,72835.01,-0.1,-2.01,5.224,5.104,5.037,111395.74,68655.42,50315.13
2018-11-27,5.0,5.13,4.97,4.88,73776.16,-0.1,-1.97,5.304,5.096,5.064,107977.96,63482.48,48822.62
2018-11-26,5.4,5.5,5.07,4.98,94457.84,-0.34,-6.29,5.314,5.092,5.081,97211.71,57921.44,48175.57
2018-11-23,5.8,5.92,5.41,5.3,182253.98,-0.39,-6.72,5.286,5.08,5.081,82004.74,50472.25,45355.83
