date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,3.82,3.93,3.93,3.82,84182.26,0.13,3.42,3.936,4.025,4.116,76106.69,87811.02,90442.64
2018-12-27,3.96,3.98,3.8,3.79,106054.06,-0.1,-2.56,3.96,4.058,4.125,76232.71,88904.53,89135.62
2018-12-26,3.97,3.99,3.9,3.9,49486.7,-0.05,-1.27,4.018,4.117,4.137,76217.96,94813.43,89648.33
2018-12-25,4.02,4.1,3.95,3.91,74641.75,-0.15,-3.66,4.074,4.146,4.15,88984.74,96359.33,91880.8
2018-12-24,4.02,4.13,4.1,4.01,66168.69,0.05,1.24,4.098,4.168,4.154,94988.68,94198.0,91260.32
2018-12-21,4.11,4.14,4.05,4.0,84812.35,-0.04,-0.98,4.114,4.167,4.152,99515.34,98387.6,91950.61
2018-12-20,4.17,4.22,4.09,4.06,105980.33,-0.09,-2.15,4.156,4.175,4.149,101576.36,97214.76,93922.33
2018-12-19,4.12,4.29,4.18,4.12,113320.56,0.11,2.7,4.216,4.189,4.152,113408.89,96898.82,93683.5
2018-12-18,4.23,4.24,4.07,4.07,104661.47,-0.11,-2.63,4.218,4.189,4.156,103733.93,92695.77,97735.57
2018-12-17,4.29,4.3,4.18,4.16,88802.01,-0.08,-1.88,4.238,4.207,4.157,93407.32,91143.99,98971.99
2018-12-14,4.35,4.44,4.26,4.26,95117.41,-0.13,-2.96,4.22,4.207,4.165,97259.86,93074.27,99400.36
2018-12-13,4.25,4.41,4.39,4.21,165143.0,0.2,4.77,4.194,4.192,4.163,92853.17,89366.71,99314.98
2018-12-12,4.2,4.27,4.19,4.16,64945.75,0.02,0.48,4.162,4.157,4.153,80388.75,84483.24,95172.1
2018-12-11,4.09,4.19,4.17,4.08,53028.43,0.08,1.96,4.16,4.153,4.15,81657.61,87402.28,96905.6
2018-12-10,4.12,4.15,4.09,4.02,108064.72,-0.04,-0.97,4.176,4.14,4.149,88880.67,88322.63,99653.36
2018-12-07,4.2,4.2,4.13,4.12,73083.95,-0.1,-2.36,4.194,4.136,4.151,88888.68,85513.61,100110.0
2018-12-06,4.2,4.25,4.23,4.17,102820.88,0.05,1.2,4.19,4.123,4.147,85880.25,90629.91,104358.99
2018-12-05,4.19,4.25,4.18,4.16,71290.09,-0.07,-1.65,4.152,4.114,4.132,88577.73,90468.19,103050.36
2018-12-04,4.16,4.27,4.25,4.16,89143.69,0.07,1.68,4.146,4.122,4.119,93146.94,102775.37,103268.93
2018-12-03,4.15,4.26,4.18,4.13,108104.79,0.07,1.7,4.104,4.107,4.105,87764.59,106800.0,104608.41
2018-11-30,4.05,4.11,4.11,4.02,58041.8,0.07,1.73,4.078,4.122,4.089,82138.55,105726.45,104847.86
2018-11-29,4.15,4.19,4.04,4.03,116308.27,-0.11,-2.65,4.056,4.134,4.076,95379.56,109263.24,108751.87
2018-11-28,4.04,4.2,4.15,3.97,94136.15,0.11,2.72,4.076,4.149,4.063,92358.65,105860.96,110867.92
2018-11-27,4.1,4.1,4.04,4.0,62231.96,-0.01,-0.25,4.098,4.147,4.043,112403.8,106408.93,112819.97
2018-11-26,4.02,4.09,4.05,4.01,79974.56,0.05,1.25,4.11,4.158,4.025,125835.4,110984.09,118342.58
2018-11-23,4.14,4.18,4.0,3.97,124246.86,-0.14,-3.38,4.166,4.166,4.001,129314.35,114706.38,122033.7
2018-11-22,4.29,4.3,4.14,4.11,101203.74,-0.12,-2.82,4.212,4.171,3.979,123146.93,118088.08,125171.61
2018-11-21,4.05,4.27,4.26,4.05,194361.88,0.16,3.9,4.222,4.149,3.944,119363.27,115632.53,125846.74
2018-11-20,4.31,4.36,4.1,4.1,129389.95,-0.23,-5.31,4.196,4.116,3.897,100414.06,103762.49,119495.23
2018-11-19,4.25,4.34,4.33,4.23,97369.34,0.1,2.36,4.206,4.102,3.855,96132.78,102416.82,116231.17
2018-11-16,4.17,4.27,4.23,4.14,93409.73,0.04,0.95,4.166,4.056,3.805,100098.41,103969.27,116349.86
2018-11-15,4.14,4.2,4.19,4.13,82285.44,0.06,1.45,4.13,4.017,3.752,113029.23,108240.5,114873.3
2018-11-14,4.16,4.25,4.13,4.12,99615.86,-0.02,-0.48,4.076,3.976,3.698,111901.79,115874.88,113799.88
2018-11-13,4.06,4.17,4.15,4.06,107983.54,0.02,0.48,4.036,3.939,3.65,107110.92,119231.02,111186.78
2018-11-12,4.1,4.18,4.13,4.03,117197.46,0.08,1.98,3.998,3.891,3.598,108700.86,125701.08,109894.68
2018-11-09,3.94,4.13,4.05,3.93,158063.84,0.13,3.32,3.946,3.835,3.551,107840.13,129361.01,107524.55
2018-11-08,3.98,3.99,3.92,3.92,76648.26,-0.01,-0.25,3.904,3.787,3.512,103451.77,132255.15,104727.27
2018-11-07,3.95,3.97,3.93,3.89,75661.48,-0.03,-0.76,3.876,3.739,3.481,119847.97,136060.96,106821.7
2018-11-06,3.88,3.97,3.96,3.85,115933.28,0.09,2.33,3.842,3.677,3.468,131351.12,135227.97,105594.58
2018-11-05,3.83,3.92,3.87,3.79,112893.79,0.03,0.78,3.784,3.608,3.454,142701.29,130045.52,102085.11
2018-11-02,3.84,3.89,3.84,3.8,136122.05,0.06,1.59,3.724,3.553,3.444,150881.9,128730.45,99398.12
2018-11-01,3.76,3.86,3.78,3.74,158629.27,0.02,0.53,3.67,3.487,3.442,161058.53,121506.1,94966.68
2018-10-31,3.68,3.78,3.76,3.64,133177.2,0.09,2.45,3.602,3.42,3.441,152273.94,111724.88,90214.8
2018-10-30,3.59,3.72,3.67,3.52,172684.16,0.1,2.8,3.512,3.36,3.444,139104.83,103142.55,86214.94
