date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,5.2,5.32,5.16,5.13,78868,0,0,5.248,5.408,5.754,111214.96,105609,203401.76
2018/12/27,5.34,5.39,5.16,5.15,107212.02,-0.12,-2.27,5.32,5.442,5.789,111530.83,114126.14,210332.34
2018/12/26,5.3,5.48,5.28,5.24,123561.5,0.09,1.73,5.42,5.508,5.798,115556.3,120183.47,213337.94
2018/12/25,5.35,5.38,5.19,5.01,153689.91,-0.26,-4.77,5.466,5.568,5.802,108955.07,134160.5,212424.78
2018/12/24,5.46,5.51,5.45,5.36,92743.36,-0.07,-1.27,5.546,5.62,5.799,99028.71,136488.85,206708.29
2018/12/21,5.64,5.64,5.52,5.47,80447.35,-0.14,-2.47,5.568,5.639,5.78,100003.04,147776.85,204521.76
2018/12/20,5.43,5.67,5.66,5.43,127339.36,0.15,2.72,5.564,5.674,5.755,116721.44,173862.3,205452.88
2018/12/19,5.6,5.61,5.51,5.4,90555.35,-0.08,-1.43,5.596,5.725,5.75,124810.64,211715.1,204543.89
2018/12/18,5.5,5.63,5.59,5.46,104058.13,0.03,0.54,5.67,5.86,5.745,159365.94,279548.99,203337.43
2018/12/17,5.42,5.59,5.56,5.39,97615.03,0.06,1.09,5.694,6.011,5.731,173948.99,308277.41,201928.66
2018/12/14,5.76,5.81,5.5,5.45,164039.34,-0.32,-5.5,5.71,6.1,5.728,195550.66,301194.51,201702.2
2018/12/13,5.88,5.88,5.82,5.68,167785.36,-0.06,-1.02,5.784,6.136,5.729,231003.16,306538.55,198261.54
2018/12/12,5.72,5.97,5.88,5.65,263331.84,0.17,2.98,5.854,6.087,5.719,298619.56,306492.42,196778.12
2018/12/11,5.68,5.74,5.71,5.58,176973.38,0.07,1.24,6.05,6.036,5.706,399732.03,290689.07,195372.86
2018/12/10,5.7,5.88,5.64,5.53,205623.38,-0.23,-3.92,6.328,5.977,5.714,442605.83,276927.73,196745.73
2018/12/7,6.06,6.24,5.87,5.75,341301.84,-0.3,-4.86,6.49,5.921,5.698,406838.36,261266.66,193413.94
2018/12/6,6.17,6.6,6.17,6.17,505867.38,-0.69,-10.06,6.488,5.836,5.66,382073.94,237043.45,179961.52
2018/12/5,7.08,7.7,6.86,6.85,768894.19,-0.24,-3.38,6.32,5.774,5.598,314365.27,197372.68,158968.94
2018/12/4,7.1,7.1,7.1,7.01,391342.38,0.65,10.08,6.022,5.63,5.497,181646.1,127125.87,123639.65
2018/12/3,6.45,6.45,6.45,6.45,26786,0.59,10.07,5.626,5.451,5.386,111249.62,95579.9,106972.54
2018/11/30,5.3,5.86,5.86,5.2,217479.77,0.53,9.94,5.352,5.356,5.308,115694.97,102209.9,109551.62
2018/11/29,5.43,5.75,5.33,5.33,167324.02,-0.04,-0.74,5.184,5.322,5.256,92012.96,89984.52,103345.06
2018/11/28,5.1,5.57,5.37,5.1,105298.32,0.25,4.88,5.228,5.351,5.223,80380.09,87063.83,98155.94
2018/11/27,5.13,5.17,5.12,5.06,39360,0.04,0.79,5.238,5.376,5.191,72605.65,100056.65,96170.98
2018/11/26,5,5.13,5.08,4.98,49012.74,0.06,1.2,5.276,5.45,5.163,79910.18,116563.73,97151.14
2018/11/23,5.49,5.49,5.02,5,99069.73,-0.53,-9.55,5.36,5.475,5.133,88724.83,125561.21,97590.38
2018/11/22,5.39,5.62,5.55,5.32,109159.68,0.13,2.4,5.46,5.483,5.117,87956.08,122879.59,96721.85
2018/11/21,5.21,5.45,5.42,5.19,66426.09,0.11,2.07,5.474,5.422,5.07,93747.56,120565.19,94142.31
2018/11/20,5.48,5.52,5.31,5.26,75882.66,-0.19,-3.46,5.514,5.364,5.025,127507.65,120153.42,93515.57
2018/11/19,5.57,5.57,5.5,5.41,93085.97,-0.02,-0.36,5.624,5.32,4.983,153217.29,118365.18,93305.62
2018/11/16,5.55,5.63,5.52,5.5,95226,-0.1,-1.78,5.59,5.26,4.93,162397.59,116893.35,91579.05
2018/11/15,5.51,5.66,5.62,5.49,138117.06,0,0,5.506,5.19,4.864,157803.1,116705.59,89568.31
2018/11/14,5.97,6.03,5.62,5.6,235226.56,-0.24,-4.1,5.37,5.095,4.791,147382.82,109248.06,84665.03
2018/11/13,5.24,5.86,5.86,5.2,204430.84,0.53,9.94,5.214,5.005,4.728,112799.19,92285.32,74339.55
2018/11/12,5.13,5.45,5.33,5.01,138987.48,0.23,4.51,5.016,4.876,4.653,83513.07,77738.56,66631.54
2018/11/9,4.92,5.1,5.1,4.87,72253.54,0.16,3.24,4.93,4.791,4.608,71389.11,69619.56,61292.39
2018/11/8,4.88,5.07,4.94,4.88,86015.7,0.1,2.07,4.874,4.75,4.576,75608.09,70564.12,60478.08
2018/11/7,4.92,4.98,4.84,4.84,62308.37,-0.03,-0.62,4.82,4.718,4.561,71113.29,67719.43,59641.66
2018/11/6,4.92,4.96,4.87,4.69,58000.24,-0.03,-0.61,4.796,4.686,4.578,71771.45,66877.73,57610.93
2018/11/5,4.84,5.02,4.9,4.8,78367.71,0.08,1.66,4.736,4.645,4.592,71964.05,68246.06,57015.74
2018/11/2,4.72,4.86,4.82,4.71,93348.42,0.15,3.21,4.652,4.599,4.603,67850,66264.75,55269.21
2018/11/1,4.69,4.78,4.67,4.64,63541.69,-0.05,-1.06,4.626,4.537,4.624,65520.15,62431.02,52011.66
