date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,8.17,8.31,7.84,7.65,264681.81,-0.34,-4.16,8.176,8.384,8.198,356054.13,360166.23,355193.1
2018/12/27,8.8,8.86,8.18,8.16,290939.44,-0.51,-5.87,8.262,8.4,8.142,350728.41,361761.09,347855.57
2018/12/26,8.51,8.99,8.69,8.27,475788.81,0.22,2.6,8.312,8.441,8.064,356059.89,373045.65,340066.94
2018/12/25,7.55,8.47,8.47,7.35,407175.44,0.77,10,8.304,8.439,7.982,334852.51,383542.28,323135.53
2018/12/24,8.06,8.18,7.7,7.45,341685.16,-0.57,-6.89,8.372,8.545,7.92,360123.67,388620.27,310976.81
2018/12/21,8.46,8.68,8.27,8.22,238053.2,-0.16,-1.9,8.592,8.641,7.885,364278.33,398877.96,300478.61
2018/12/20,8.84,8.84,8.43,8.21,317596.84,-0.22,-2.54,8.538,8.601,7.825,372793.78,425405.78,297452.6
2018/12/19,8.66,9.18,8.65,8.64,369751.91,-0.16,-1.82,8.57,8.525,7.791,390031.4,432872.72,288850.47
2018/12/18,9,9.49,8.81,8.61,533531.25,0.01,0.11,8.574,8.357,7.754,432232.04,408332.34,280428.13
2018/12/17,7.89,8.8,8.8,7.89,362458.44,0.8,10,8.718,8.192,7.696,417116.87,373350.04,268727.39
2018/12/14,8.42,8.46,8,7.9,280630.44,-0.59,-6.87,8.69,8.012,7.681,433477.58,350219.96,263585.62
2018/12/13,8.52,8.86,8.59,8.23,403784.97,-0.08,-0.92,8.664,7.883,7.712,478017.78,333950.04,269671.26
2018/12/12,9.91,10.2,8.67,8.6,580755.12,-0.86,-9.02,8.48,7.687,7.698,475714.04,307088.23,262951.9
2018/12/11,8.76,9.53,9.53,8.45,457955.38,0.87,10.05,8.14,7.524,7.671,384432.64,262728.79,252776.9
2018/12/10,7.73,8.66,8.66,7.6,444262,0.79,10.04,7.666,7.295,7.634,329583.21,233333.35,254330.68
2018/12/7,7.75,8.35,7.87,7.42,503331.44,0.2,2.61,7.334,7.128,7.623,266962.34,202079.27,253164.28
2018/12/6,7.07,7.67,7.67,7.07,392266.25,0.7,10.04,7.102,7.048,7.649,189882.31,169499.42,253873.63
2018/12/5,6.91,7.06,6.97,6.77,124348.11,-0.19,-2.65,6.894,7.056,7.716,138462.42,144828.22,265065.35
2018/12/4,7,7.29,7.16,6.95,183708.23,0.16,2.29,6.908,7.151,7.815,141024.94,152523.92,283064.39
2018/12/3,6.98,7.02,7,6.76,131157.69,0.29,4.32,6.924,7.2,7.864,137083.5,164104.74,297906.69
2018/11/30,6.72,6.88,6.71,6.53,117931.25,0.08,1.21,6.922,7.349,7.933,137196.2,176951.27,322809.3
2018/11/29,7.16,7.18,6.63,6.52,135166.8,-0.41,-5.82,6.994,7.54,7.992,149116.54,205392.48,346534.45
2018/11/28,7.35,7.38,7.04,6.95,137160.72,-0.2,-2.76,7.218,7.708,8.018,151194.03,218815.58,364081.1
2018/11/27,7.18,7.48,7.24,7.09,164001.02,0.25,3.58,7.394,7.818,7.992,164022.9,242825.02,365393.76
2018/11/26,6.88,7.2,6.99,6.69,131721.23,-0.08,-1.13,7.476,7.972,7.926,191125.98,275328.01,365543.06
2018/11/23,7.9,7.99,7.07,7,177532.92,-0.68,-8.77,7.776,8.118,7.845,216706.34,304249.29,366090.74
2018/11/22,8.07,8.15,7.75,7.72,145554.27,-0.17,-2.15,8.086,8.249,7.777,261668.41,338247.84,368564.36
2018/11/21,7.5,7.92,7.92,7.31,201305.08,0.27,3.53,8.198,8.375,7.69,286437.13,385302.49,369407.74
2018/11/20,8.35,8.44,7.65,7.64,299516.41,-0.84,-9.89,8.242,8.478,7.599,321627.13,413604.85,371881.77
2018/11/19,8.19,8.52,8.49,8.19,259623.02,-0.13,-1.51,8.468,8.527,7.523,359530.04,431708.64,372341.19
2018/11/16,8.39,8.83,8.62,8.18,402343.28,0.31,3.73,8.46,8.517,7.393,391792.24,468667.33,368045.88
2018/11/15,8.19,8.39,8.31,7.86,269397.84,0.17,2.09,8.412,8.443,7.239,414827.26,487676.42,354391.09
2018/11/14,8.49,8.64,8.14,8.01,377255.09,-0.64,-7.29,8.552,8.328,7.104,484167.84,509346.61,349064.32
2018/11/13,8.18,9.22,8.78,8.1,489030.97,0.33,3.9,8.714,8.165,7.009,505582.57,487962.51,337207.32
2018/11/12,8.14,8.79,8.45,7.95,420934,0.07,0.83,8.586,7.879,6.889,503887.24,455758.1,323085.9
2018/11/9,8.39,8.93,8.38,8.11,517518.41,-0.63,-6.99,8.574,7.572,6.779,545542.43,427932.19,312761.31
2018/11/8,9.46,9.85,9.01,8.96,616100.75,0.06,0.67,8.474,7.305,6.66,560525.58,398880.89,298440.65
2018/11/7,8,8.95,8.95,8,484328.72,0.81,9.95,8.104,7.005,6.536,534525.38,353513,273684.61
2018/11/6,7.98,8.34,8.14,7.65,480554.31,-0.25,-2.98,7.616,6.72,6.452,470342.44,330158.68,256355.9
2018/11/5,7.76,8.67,8.39,7.58,629209.94,0.51,6.47,7.172,6.519,6.418,407628.97,312973.74,240679.45
2018/11/2,7.42,7.88,7.88,7.18,592434.19,0.72,10.06,6.57,6.268,6.375,310321.96,267424.43,218828.37
2018/11/1,6.51,7.16,7.16,6.2,486099.75,0.65,9.98,6.136,6.034,6.381,237236.19,221105.76,200903.28
2018/10/31,6.33,6.51,6.51,6.21,163414.02,0.59,9.97,5.906,5.88,6.414,172500.61,188782.04,192413.53
2018/10/30,5.2,5.92,5.92,5.2,166986.95,0.54,10.04,5.824,5.853,6.512,189974.92,186452.14,205134.81
2018/10/29,5.64,5.7,5.38,5.33,142674.89,-0.33,-5.78,5.866,5.899,6.633,218318.51,190413.7,217995.37
2018/10/26,5.65,5.97,5.71,5.59,227005.36,-0.3,-4.99,5.966,5.986,6.757,224526.89,197590.42,232256.54
2018/10/25,5.74,6.08,6.01,5.71,162421.83,-0.09,-1.48,5.932,6.015,6.854,204975.32,198000.41,246957.07
2018/10/24,6.01,6.39,6.1,5.81,250785.59,-0.03,-0.49,5.854,6.067,6.928,205063.46,193856.23,266540.75
2018/10/23,5.87,6.47,6.13,5.8,308704.88,0.25,4.25,5.882,6.183,7.013,182929.36,182553.12,254331.57
2018/10/22,5.7,5.99,5.88,5.63,173716.81,0.34,6.14,5.932,6.316,7.14,162508.9,168385.16,239000.68
2018/10/19,5.35,5.63,5.54,5.21,129247.5,-0.08,-1.42,6.006,6.481,7.327,170653.95,170232.31,230406.89
2018/10/18,6.24,6.24,5.62,5.62,162862.52,-0.62,-9.94,6.098,6.728,7.585,191025.5,180700.8,223964.11
2018/10/17,6.37,6.41,6.24,6.12,140115.08,-0.14,-2.19,6.28,6.947,7.899,182649.01,196045.03,216019.04
2018/10/16,6.23,6.52,6.38,6.12,206602.58,0.13,2.08,6.484,7.17,8.247,182176.88,223817.47,209220.03
2018/10/15,6.1,6.55,6.25,6,214442.09,0.25,4.17,6.7,7.367,8.662,174261.42,245577.04,198893.4
2018/10/12,6.06,6.27,6,5.88,231105.23,-0.53,-8.12,6.956,7.528,9.166,169810.66,266922.66,190335.5
2018/10/11,6.92,6.93,6.53,6.53,120980.05,-0.73,-10.05,7.358,7.692,9.666,170376.09,295913.73,180942.96
2018/10/10,7.47,7.53,7.26,7.11,137754.44,-0.2,-2.68,7.614,7.788,10.139,209441.04,339225.27,177842.5
2018/10/9,7.6,7.74,7.46,7.25,167025.31,-0.07,-0.93,7.856,7.842,10.589,265458.06,326110.03,172418.67
2018/10/8,7.79,7.95,7.53,7.31,192188.28,-0.48,-5.99,8.034,7.963,11.024,316892.66,309616.19,166703.69
2018/9/28,7.86,8.48,8.01,7.85,233932.38,0.2,2.56,8.1,8.173,11.47,364034.66,290581.47,159610.43
2018/9/27,8.4,8.49,7.81,7.73,316304.81,-0.66,-7.79,8.026,8.442,11.914,421451.37,267227.43,151017.24
2018/9/26,8.15,8.79,8.47,8.08,417839.53,0.12,1.44,7.962,8.85,12.358,469009.49,235993.05,137876.96
