date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,7.69,7.69,7.62,7.5,46952.75,0.12,1.6,7.808,7.835,8.176,76621.54,69783.7,87413.83
2018/12/27,8.05,8.05,7.5,7.5,75809.25,-0.46,-5.78,7.838,7.872,8.238,76893.19,77281.55,99069.98
2018/12/26,8.14,8.23,7.96,7.9,59815.53,-0.11,-1.36,7.906,7.984,8.28,73145.64,78821.6,107355.72
2018/12/25,7.77,8.1,8.07,7.73,98351.14,0.18,2.28,7.874,8.043,8.305,74500.73,77615.54,116293.77
2018/12/24,7.66,8.04,7.89,7.47,102179.01,0.12,1.54,7.85,8.085,8.286,66635.98,76231.63,114742.45
2018/12/21,7.78,7.88,7.77,7.68,48311,-0.07,-0.89,7.862,8.165,8.279,62945.87,77235.43,112610.2
2018/12/20,7.83,7.89,7.84,7.75,57071.51,0.04,0.51,7.906,8.238,8.274,77669.92,82516.23,117149.24
2018/12/19,7.96,8.06,7.8,7.8,66591,-0.15,-1.89,8.062,8.285,8.281,84497.55,86884.98,118543.25
2018/12/18,7.94,8.05,7.95,7.84,59027.39,0,0,8.212,8.354,8.291,80730.35,90176.53,122016.87
2018/12/17,8,8.06,7.95,7.82,83728.44,-0.04,-0.5,8.32,8.426,8.296,85827.27,97328.8,127548.75
2018/12/14,8.5,8.57,7.99,7.99,121931.24,-0.63,-7.31,8.468,8.517,8.321,91524.99,105043.95,130785.56
2018/12/13,8.54,8.75,8.62,8.46,91209.69,0.07,0.82,8.57,8.603,8.346,87362.54,120858.4,132137.53
2018/12/12,8.51,8.62,8.55,8.45,47755,0.06,0.71,8.508,8.576,8.346,89272.4,135889.85,134239.91
2018/12/11,8.74,8.75,8.49,8.41,84512,-0.2,-2.3,8.496,8.567,8.357,99622.72,154971.99,138472.64
2018/12/10,8.55,8.75,8.69,8.38,112217,0.19,2.23,8.532,8.487,8.367,108830.32,153253.28,141995.67
2018/12/7,8.51,8.8,8.5,8.46,101119,0.19,2.29,8.566,8.392,8.366,118562.92,147984.98,146392.57
2018/12/6,8.44,8.59,8.31,8.3,100759,-0.18,-2.12,8.636,8.31,8.381,154354.27,151782.25,152760.68
2018/12/5,8.42,8.69,8.49,8.41,99506.58,-0.18,-2.08,8.644,8.277,8.434,182507.29,150201.53,154561.78
2018/12/4,8.83,8.88,8.67,8.51,130550,-0.19,-2.14,8.638,8.227,8.485,210321.27,153857.21,162245.11
2018/12/3,9,9.25,8.86,8.71,160880,0.01,0.11,8.442,8.166,8.514,197676.24,157768.7,162722.48
2018/11/30,8.29,8.99,8.85,8.21,280075.75,0.5,5.99,8.218,8.125,8.526,177407.04,156527.17,166574.02
2018/11/29,8.46,8.8,8.35,8.32,241524.14,-0.11,-1.3,7.984,8.089,8.53,149210.23,143416.66,163730.82
2018/11/28,7.76,8.46,8.46,7.76,238576.45,0.77,10.01,7.91,8.115,8.518,117895.76,132589.97,160718.87
2018/11/27,7.76,7.82,7.69,7.62,67324.88,-0.05,-0.65,7.816,8.147,8.512,97393.15,121973.29,158157.75
2018/11/26,7.7,7.78,7.74,7.58,59534,0.06,0.78,7.89,8.247,8.518,117861.16,130738.06,160643.15
2018/11/23,8.05,8.05,7.68,7.58,139091.67,-0.3,-3.76,8.032,8.339,8.519,135647.29,144800.16,169745.53
2018/11/22,8.08,8.12,7.98,7.96,84951.81,-0.01,-0.12,8.194,8.452,8.537,137623.1,153739.1,178182.67
2018/11/21,7.99,8.13,7.99,7.9,136063.39,-0.07,-0.87,8.32,8.591,8.516,147284.18,158922.04,186215.52
2018/11/20,8.41,8.51,8.06,8.01,169664.92,-0.39,-4.62,8.478,8.742,8.467,146553.44,170633.01,186084.28
2018/11/19,8.6,8.62,8.45,8.28,148464.67,-0.04,-0.47,8.604,8.861,8.402,143614.96,167676.26,183265.38
2018/11/16,8.7,8.77,8.49,8.45,148970.69,-0.12,-1.39,8.646,8.926,8.311,153953.03,176620.87,186068.71
2018/11/15,8.7,8.86,8.61,8.56,133257.25,-0.17,-1.94,8.71,8.97,8.191,169855.11,184044.97,181746.5
2018/11/14,8.68,8.83,8.78,8.58,132409.66,0.09,1.04,8.862,8.921,8.056,170559.89,188847.76,177588.34
2018/11/13,8.71,8.85,8.69,8.62,154972.52,0.03,0.35,9.006,8.876,7.92,194712.59,194342.2,176549.63
2018/11/12,8.92,8.99,8.66,8.48,200155.05,-0.15,-1.7,9.118,8.788,7.778,191737.57,190548.24,171661.16
2018/11/9,9.18,9.32,8.81,8.71,228481.08,-0.56,-5.98,9.206,8.699,7.64,199288.71,194690.9,166279.38
2018/11/8,9.4,9.8,9.37,9.32,136781.16,-0.13,-1.37,9.23,8.621,7.496,198234.83,202626.24,158699.66
2018/11/7,9.38,9.88,9.5,8.91,253173.12,0.25,2.7,8.98,8.44,7.314,207135.63,213509.01,155669.13
