date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,5.48,5.75,5.66,5.38,158835.91,0.22,4.04,5.434,5.321,5.158,190282.6,172436.6,203504.95
2018-12-27,5.33,5.52,5.44,5.28,304771.31,0.14,2.64,5.352,5.27,5.116,183853.85,173431.36,205667.73
2018-12-26,5.39,5.39,5.3,5.28,133785.0,-0.09,-1.67,5.314,5.244,5.08,154047.2,163309.94,198486.71
2018-12-25,5.36,5.45,5.39,5.26,200989.08,0.01,0.19,5.29,5.222,5.05,145861.6,168302.76,195146.32
2018-12-24,5.24,5.4,5.38,5.21,153031.7,0.13,2.48,5.252,5.19,5.015,156100.42,177268.76,189839.9
2018-12-21,5.21,5.31,5.25,5.2,126692.14,0.0,0.0,5.208,5.143,4.979,154590.6,173619.65,186321.91
2018-12-20,5.2,5.25,5.25,5.13,155738.08,0.07,1.35,5.188,5.114,4.949,163008.86,176034.62,186550.34
2018-12-19,5.2,5.2,5.18,5.14,92857.0,-0.02,-0.39,5.174,5.08,4.927,172572.67,185339.57,185468.27
2018-12-18,5.15,5.21,5.2,5.07,252183.2,0.04,0.78,5.154,5.053,4.912,190743.91,204916.09,187106.27
2018-12-17,5.15,5.17,5.16,5.09,145482.59,0.01,0.19,5.128,5.024,4.898,198437.09,215922.75,182123.33
2018-12-14,5.17,5.22,5.15,5.12,168783.45,-0.03,-0.58,5.078,4.995,4.892,192648.7,234573.3,180829.3
2018-12-13,5.09,5.19,5.18,5.05,203557.11,0.1,1.97,5.04,4.961,4.889,189060.37,237904.1,179157.15
2018-12-12,5.05,5.15,5.08,5.04,183713.2,0.01,0.2,4.986,4.916,4.882,198106.47,233663.48,175600.6
2018-12-11,4.9,5.08,5.07,4.9,290649.09,0.16,3.26,4.952,4.877,4.879,219088.26,221989.89,171792.27
2018-12-10,4.93,4.96,4.91,4.87,116540.66,-0.05,-1.01,4.92,4.839,4.875,233408.42,202411.04,166299.57
2018-12-07,4.94,4.99,4.96,4.88,150841.81,0.05,1.02,4.912,4.814,4.872,276497.89,199024.17,167447.1
2018-12-06,4.9,4.93,4.91,4.85,248787.59,0.0,0.0,4.882,4.784,4.86,286747.82,197066.07,162358.18
2018-12-05,4.84,4.96,4.91,4.81,288622.16,0.0,0.0,4.846,4.774,4.853,269220.49,185596.97,154091.94
2018-12-04,4.83,4.95,4.91,4.81,362249.88,0.04,0.82,4.802,4.771,4.845,224891.53,169296.46,145140.35
2018-12-03,4.86,4.88,4.87,4.77,331988.03,0.06,1.25,4.758,4.771,4.836,171413.65,148323.9,129360.79
2018-11-30,4.68,4.85,4.81,4.67,202091.45,0.08,1.69,4.716,4.788,4.83,121550.44,127085.31,116283.23
2018-11-29,4.73,4.78,4.73,4.62,161150.94,0.04,0.85,4.686,4.816,4.825,107384.32,120410.21,112955.11
2018-11-28,4.71,4.73,4.69,4.63,66977.33,0.0,0.0,4.702,4.848,4.824,101973.45,117537.73,111486.95
2018-11-27,4.68,4.76,4.69,4.66,94860.51,0.03,0.64,4.74,4.881,4.822,113701.39,121594.64,112296.14
2018-11-26,4.68,4.72,4.66,4.61,82671.96,0.0,0.0,4.784,4.911,4.816,125234.14,130188.1,110252.96
2018-11-23,4.84,4.85,4.66,4.66,131260.84,-0.15,-3.12,4.86,4.929,4.811,132620.18,135870.03,108645.54
2018-11-22,4.91,4.91,4.81,4.8,134096.59,-0.07,-1.43,4.946,4.936,4.808,133436.1,127650.29,104552.97
2018-11-21,4.86,4.98,4.88,4.83,125617.06,-0.03,-0.61,4.994,4.932,4.796,133102.0,122586.91,100260.75
2018-11-20,5.01,5.07,4.91,4.85,152524.25,-0.13,-2.58,5.022,4.919,4.782,129487.9,120984.23,96305.44
2018-11-19,5.12,5.17,5.04,5.01,119602.16,-0.05,-0.98,5.038,4.901,4.767,135142.06,110397.69,92204.94
2018-11-16,5.03,5.13,5.09,5.01,135340.44,0.04,0.79,4.998,4.871,4.752,139119.89,105481.15,92868.74
2018-11-15,4.99,5.1,5.05,4.96,132426.11,0.03,0.6,4.926,4.834,4.726,121864.49,105500.01,90124.43
2018-11-14,4.97,5.12,5.02,4.97,107546.52,0.03,0.6,4.87,4.799,4.703,112071.82,105436.18,87572.5
2018-11-13,4.79,5.0,4.99,4.77,180795.09,0.15,3.1,4.816,4.762,4.683,112480.57,102997.64,87581.08
2018-11-12,4.73,4.85,4.84,4.69,139491.27,0.11,2.33,4.764,4.72,4.662,85653.31,90317.83,86165.84
2018-11-09,4.76,4.76,4.73,4.7,49063.45,-0.04,-0.84,4.744,4.692,4.651,71842.41,81421.05,83828.52
2018-11-08,4.77,4.86,4.77,4.72,83462.77,0.02,0.42,4.742,4.679,4.653,89135.52,81455.65,88309.73
2018-11-07,4.71,4.85,4.75,4.69,109590.28,0.02,0.42,4.728,4.66,4.649,98800.55,77934.6,91236.15
2018-11-06,4.7,4.73,4.73,4.66,46658.76,-0.01,-0.21,4.708,4.645,4.664,93514.72,71626.64,88387.13
