date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,8.25,8.27,8.09,8.02,40363.41,-0.13,-1.58,8.364,8.607,8.432,53391.02,77248.99,61666.99
2018/12/27,8.38,8.47,8.22,8.21,52110.88,-0.01,-0.12,8.506,8.652,8.425,56201.74,84282.84,61421.53
2018/12/26,8.54,8.56,8.23,8.2,49656.59,-0.34,-3.97,8.632,8.669,8.403,61283.48,83258.21,60560.94
2018/12/25,8.6,8.6,8.57,8.15,74635.82,-0.14,-1.61,8.714,8.683,8.389,65949.2,83345.18,59465.59
2018/12/24,8.72,8.85,8.71,8.6,50188.4,-0.09,-1.02,8.792,8.652,8.356,71653.74,79077.47,56711.38
2018/12/21,8.74,8.94,8.8,8.68,54417,-0.05,-0.56,8.85,8.583,8.313,101106.97,76763.93,55246.41
2018/12/20,8.6,8.89,8.85,8.55,77519.58,0.21,2.43,8.798,8.519,8.267,112363.93,74465.8,54856.64
2018/12/19,8.89,8.94,8.64,8.62,72985.2,-0.32,-3.57,8.706,8.461,8.237,105232.94,72613.83,52280.43
2018/12/18,8.9,8.98,8.96,8.72,103158.51,-0.04,-0.44,8.652,8.413,8.219,100741.16,68400.41,50508.54
2018/12/17,8.48,9.28,9,8.45,197454.55,0.46,5.39,8.512,8.339,8.182,86501.2,61605.27,48405.29
2018/12/14,8.37,8.65,8.54,8.32,110701.83,0.15,1.79,8.316,8.256,8.159,52420.89,46084.99,42574.42
2018/12/13,8.37,8.42,8.39,8.25,41864.59,0.02,0.24,8.24,8.197,8.143,36567.67,38560.22,39161.85
2018/12/12,8.28,8.41,8.37,8.22,50526.3,0.11,1.33,8.216,8.137,8.134,39994.73,37863.68,39299.1
2018/12/11,8.05,8.27,8.26,8.01,31958.73,0.24,2.99,8.174,8.095,8.12,36059.67,35585.99,39266.33
2018/12/10,8.14,8.18,8.02,8,27053,-0.14,-1.72,8.166,8.059,8.115,36709.34,34345.3,40319.22
