date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,6.96,7.05,6.92,6.86,92021.4,0.04,0.58,6.994,7.009,7.131,140080.56,133107.75,162007.19
2018/12/27,7.2,7.23,6.88,6.87,170459.52,-0.36,-4.97,6.998,7.015,7.15,146146.51,137963.18,168094.9
2018/12/26,7.02,7.35,7.24,6.92,230356.78,0.22,3.13,7.052,7.045,7.183,148670.99,135177.97,174078.83
2018/12/25,6.8,7.07,7.02,6.73,142238.06,0.11,1.59,6.996,7.025,7.195,121936.37,123589.9,173148.4
2018/12/24,6.88,6.95,6.91,6.83,65327.06,-0.03,-0.43,7.002,7.023,7.232,113945.35,120176.89,179558.02
2018/12/21,7.07,7.1,6.94,6.88,122351.13,-0.21,-2.94,7.024,7.037,7.262,126134.93,128313.42,189104.45
2018/12/20,6.91,7.23,7.15,6.91,183081.92,0.19,2.73,7.032,7.061,7.285,129779.85,130102.08,200468.72
2018/12/19,7.01,7.08,6.96,6.9,96683.66,-0.09,-1.28,7.038,7.076,7.325,121684.96,134440.13,208377.35
2018/12/18,6.97,7.1,7.05,6.88,102282.98,0.03,0.43,7.054,7.147,7.391,125243.44,166233.36,234953.17
2018/12/17,6.87,7.13,7.02,6.86,126274.95,0.04,0.57,7.044,7.208,7.421,126408.43,179101.44,254586.47
2018/12/14,7.15,7.15,6.98,6.73,140575.75,-0.2,-2.79,7.05,7.252,7.489,130491.91,190906.63,288526.12
2018/12/13,7.14,7.24,7.18,7.04,142607.44,0.14,1.99,7.09,7.285,7.571,130424.31,198226.62,317974.43
2018/12/12,7.04,7.09,7.04,6.93,114476.07,0.04,0.57,7.114,7.32,7.604,147195.3,212979.69,323163.43
2018/12/11,7,7.09,7,6.94,108107.95,-0.05,-0.71,7.24,7.365,7.609,207223.28,222706.89,337019.37
2018/12/10,7.11,7.17,7.05,6.87,146692.36,-0.13,-1.81,7.372,7.44,7.606,231794.44,238939.15,348351.73
2018/12/7,7.37,7.37,7.18,7.13,140237.72,-0.12,-1.64,7.454,7.486,7.598,251321.34,249895.47,351712.32
2018/12/6,7.2,7.48,7.3,7.18,226462.42,-0.37,-4.82,7.48,7.509,7.582,266028.92,270835.37,360183.12
2018/12/5,8.01,8.38,7.67,7.64,414615.97,0.01,0.13,7.526,7.573,7.558,278764.08,282314.57,364691.72
2018/12/4,7.44,7.75,7.66,7.41,230963.72,0.2,2.68,7.49,7.634,7.519,238190.5,303672.98,366788.67
2018/12/3,7.5,7.8,7.46,7.42,244326.88,0.15,2.05,7.508,7.633,7.498,246083.86,330071.51,378068.6
2018/11/30,7.38,7.44,7.31,7.08,213775.62,-0.22,-2.92,7.518,7.726,7.455,248469.6,386145.62,380811.87
2018/11/29,7.52,7.78,7.53,7.48,290138.19,0.04,0.53,7.538,7.857,7.389,275641.82,437722.25,373073.54
2018/11/28,7.59,7.63,7.49,7.34,211748.08,-0.26,-3.35,7.62,7.888,7.307,285865.07,433347.17,360815.83
2018/11/27,7.63,7.78,7.75,7.3,270430.53,0.24,3.2,7.778,7.852,7.225,369155.47,451331.84,351757.44
2018/11/26,7.37,7.77,7.51,7.37,256255.56,0.1,1.35,7.758,7.771,7.13,414059.16,457764.32,339937.12
2018/11/23,7.7,7.75,7.41,7.15,349636.72,-0.53,-6.67,7.934,7.71,7.048,523821.64,453529.17,328694.22
2018/11/22,8.1,8.13,7.94,7.88,341254.47,-0.34,-4.11,8.176,7.655,6.974,599802.68,449530.87,314161.68
2018/11/21,7.65,8.37,8.28,7.65,628200.06,0.63,8.23,8.156,7.542,6.869,580829.27,447068.87,300463.57
2018/11/20,7.97,8.05,7.65,7.59,494949,-0.74,-8.82,7.926,7.403,6.734,533508.22,429904.36,270171.55
2018/11/19,8.6,8.8,8.39,8.13,805067.94,-0.23,-2.67,7.784,7.363,6.631,501469.47,426065.7,247038.22
2018/11/16,8.55,8.62,8.62,8.13,729541.94,0.78,9.95,7.486,7.183,6.492,383236.69,375478.12,208867.96
2018/11/15,7.33,7.84,7.84,7.2,246387.41,0.71,9.96,7.134,6.92,6.331,299259.05,308424.82,173985.16
2018/11/14,6.83,7.35,7.13,6.76,391594.81,0.19,2.74,6.928,6.726,6.203,313308.48,288284.48,164073.14
2018/11/13,6.75,7.27,6.94,6.72,334755.25,0.04,0.58,6.88,6.598,6.131,326300.49,252183.04,145712.29
2018/11/12,6.68,6.97,6.9,6.68,213904.05,0.04,0.58,6.942,6.489,6.063,350661.92,222109.93,130422.39
