date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,4.36,4.39,4.31,4.3,90970.91,0.01,0.23,4.404,4.499,4.649,112859.09,112605.88,137322.9
2018/12/27,4.52,4.53,4.3,4.3,109099.9,-0.14,-3.15,4.444,4.528,4.672,116448.14,118462.78,140559.61
2018/12/26,4.39,4.49,4.44,4.37,106224.9,0.04,0.91,4.504,4.58,4.692,116990.82,119353.34,145179.95
2018/12/25,4.53,4.54,4.4,4.23,185424.41,-0.17,-3.72,4.528,4.612,4.714,115772.92,117016.76,150463.38
2018/12/24,4.51,4.58,4.57,4.5,72575.32,0.06,1.33,4.576,4.642,4.74,100691.19,106455.83,156405.22
2018/12/21,4.57,4.6,4.51,4.48,108916.17,-0.09,-1.96,4.594,4.655,4.751,112352.68,109196.16,163819.02
2018/12/20,4.56,4.64,4.6,4.53,111813.29,0.04,0.88,4.612,4.682,4.765,120477.41,106408.6,181397.6
2018/12/19,4.66,4.66,4.56,4.55,100135.43,-0.08,-1.72,4.656,4.699,4.792,121715.85,114385.5,193364.48
2018/12/18,4.65,4.69,4.64,4.56,110015.75,-0.02,-0.43,4.696,4.736,4.819,118260.6,129203.28,213347.55
2018/12/17,4.61,4.69,4.66,4.52,130882.76,0.06,1.3,4.708,4.774,4.843,112220.47,149194.74,244041.44
2018/12/14,4.82,4.84,4.6,4.58,149539.84,-0.22,-4.56,4.716,4.799,4.879,106039.64,162039.92,284215.2
2018/12/13,4.8,4.86,4.82,4.73,118005.49,0.06,1.26,4.752,4.816,4.925,92339.78,162656.44,339435.77
2018/12/12,4.74,4.79,4.76,4.71,82859.18,0.06,1.28,4.742,4.803,4.935,107055.14,171006.57,371042
2018/12/11,4.7,4.75,4.7,4.66,79815.09,0,0,4.776,4.815,4.925,140145.95,183909.99,379051.79
2018/12/10,4.78,4.78,4.7,4.65,99978.61,-0.08,-1.67,4.84,4.837,4.918,186169.02,206354.62,388036.11
2018/12/7,4.78,4.86,4.78,4.76,81040.55,0.01,0.21,4.882,4.847,4.905,218040.21,218441.88,391924.63
2018/12/6,4.88,4.89,4.77,4.75,191582.28,-0.16,-3.25,4.88,4.848,4.881,232973.1,256386.6,395322.74
2018/12/5,4.88,4.97,4.93,4.8,248313.2,-0.09,-1.79,4.864,4.885,4.857,234958,272343.46,392417.69
2018/12/4,4.93,5.05,5.02,4.89,309930.44,0.11,2.24,4.854,4.902,4.826,227674.03,297491.83,393154.87
2018/12/3,4.93,4.99,4.91,4.85,259334.56,0.14,2.94,4.834,4.911,4.795,226540.21,338888.13,396232.79
2018/11/30,4.72,4.79,4.77,4.58,155705.02,0.08,1.71,4.812,4.958,4.764,218843.56,406390.48,396356.73
2018/11/29,4.92,4.96,4.69,4.69,201506.77,-0.19,-3.89,4.816,5.033,4.733,279800.1,516215.09,395983.23
2018/11/28,4.9,4.9,4.88,4.74,211893.34,-0.04,-0.81,4.906,5.066,4.7,309728.93,571077.43,392349.15
2018/11/27,4.85,4.97,4.92,4.84,304261.38,0.12,2.5,4.95,5.034,4.657,367309.64,574193.6,386536.81
2018/11/26,4.84,4.9,4.8,4.75,220851.3,0.01,0.21,4.988,4.998,4.61,451236.05,569717.6,376582.91
2018/11/23,5.05,5.07,4.79,4.74,460487.72,-0.35,-6.81,5.104,4.963,4.569,593937.4,565407.37,370165.41
2018/11/22,5.15,5.2,5.14,5,351150.91,0.04,0.78,5.25,4.913,4.531,752630.08,534258.87,355693.95
2018/11/21,5.06,5.23,5.1,5.04,499796.88,-0.01,-0.2,5.226,4.828,4.472,832425.94,512491.91,343017.43
2018/11/20,5.27,5.35,5.11,5.02,723893.44,-0.27,-5.02,5.118,4.749,4.415,781077.56,488817.9,322416.31
2018/11/19,5.67,5.67,5.38,5.33,934358.06,-0.14,-2.54,5.008,4.679,4.355,688199.15,453577.46,291694.49
2018/11/16,5,5.52,5.52,4.87,1253951.12,0.5,9.96,4.822,4.57,4.285,536877.33,386322.99,254730.58
2018/11/15,4.6,5.02,5.02,4.59,750130.19,0.46,10.09,4.576,4.432,4.197,315887.66,275751.36,197717.05
2018/11/14,4.55,4.68,4.56,4.5,243054.98,0,0,4.43,4.333,4.127,192557.89,213620.86,165800.47
2018/11/13,4.4,4.63,4.56,4.37,259501.42,0.11,2.47,4.38,4.279,4.085,196558.24,198880.03,162081.45
2018/11/12,4.29,4.45,4.45,4.26,177748.95,0.16,3.73,4.35,4.222,4.038,218955.76,183448.22,161891.64
2018/11/9,4.27,4.36,4.29,4.27,149002.77,0,0,4.318,4.174,4.005,235768.64,174923.45,159222.56
2018/11/8,4.35,4.37,4.29,4.26,133481.31,-0.02,-0.46,4.288,4.149,3.987,235615.06,177129.03,163159.16
2018/11/7,4.37,4.45,4.31,4.3,263056.75,-0.1,-2.27,4.236,4.116,3.975,234683.83,173542.95,168315.34
2018/11/6,4.37,4.48,4.41,4.24,371489,0.12,2.8,4.178,4.08,3.985,201201.82,156014.72,157735.03
2018/11/5,4.15,4.3,4.29,4.11,261813.36,0.15,3.62,4.094,4.031,3.991,147940.68,129811.53,142486.23
2018/11/2,4.1,4.15,4.14,4.09,148234.88,0.11,2.73,4.03,4,4.001,114078.26,123138.18,134171.45
2018/11/1,4.05,4.1,4.03,4,128825.16,0.01,0.25,4.01,3.961,4.026,118643,119682.73,130540.69
2018/10/31,4,4.07,4.02,4,95646.69,0.03,0.75,3.996,3.92,4.054,112402.07,117980.09,128927.9
2018/10/30,3.92,4.05,3.99,3.91,105183.33,0.02,0.5,3.982,3.891,4.088,110827.63,125282.86,131871.56
2018/10/29,4.04,4.08,3.97,3.96,92501.25,-0.07,-1.73,3.968,3.854,4.127,111682.38,140335.06,132755.58
2018/10/26,3.96,4.17,4.04,3.96,171058.56,0.08,2.02,3.97,3.835,4.164,132198.1,143521.66,133896.26
2018/10/25,3.86,3.97,3.96,3.78,97620.54,0.01,0.25,3.912,3.824,4.196,120722.47,149189.29,133084.82
2018/10/24,3.92,3.99,3.95,3.89,87774.47,0.03,0.77,3.844,3.834,4.229,123558.1,163087.72,132893.82
2018/10/23,3.96,4.01,3.92,3.88,109457.08,-0.06,-1.51,3.8,3.89,4.259,139738.1,159455.35,132103.03
2018/10/22,3.77,4.02,3.98,3.77,195079.86,0.23,6.13,3.74,3.95,4.289,168987.74,155160.93,129547.89
2018/10/19,3.59,3.8,3.75,3.54,113680.4,0.13,3.59,3.7,4.002,4.32,154845.22,145204.72,124401.98
2018/10/18,3.72,3.72,3.62,3.6,111798.7,-0.11,-2.95,3.736,4.091,4.361,177656.1,141398.64,121934.72
2018/10/17,3.65,3.73,3.73,3.6,168674.44,0.11,3.04,3.824,4.188,4.406,202617.34,139875.72,118732.35
2018/10/16,3.83,3.86,3.62,3.51,255705.28,-0.16,-4.23,3.98,4.284,4.446,179172.59,138460.26,113313.15
2018/10/15,3.96,4.01,3.78,3.78,124367.29,-0.15,-3.82,4.16,4.399,4.489,141334.13,125176.1,104937.8
2018/10/12,3.95,4.04,3.93,3.73,227734.81,-0.13,-3.2,4.304,4.492,4.529,135564.22,124270.86,103206.63
2018/10/11,4.35,4.39,4.06,4.06,236604.88,-0.45,-9.98,4.446,4.567,4.56,105141.18,116980.34,94809.48
2018/10/10,4.52,4.55,4.51,4.48,51450.71,-0.01,-0.22,4.552,4.623,4.586,77134.1,102699.91,86705.31
2018/10/9,4.5,4.56,4.52,4.48,66512.97,0.02,0.44,4.588,4.628,4.593,97747.92,104750.71,88260.13
2018/10/8,4.59,4.59,4.5,4.48,95517.75,-0.14,-3.02,4.638,4.628,4.596,109018.06,103934.84,88023.86
2018/9/28,4.6,4.65,4.64,4.59,75619.61,0.05,1.09,4.68,4.638,4.602,112977.49,103599.24,86043.44
2018/9/27,4.7,4.7,4.59,4.58,96569.45,-0.1,-2.13,4.688,4.631,4.601,128819.5,102470.8,85762.3
2018/9/26,4.71,4.75,4.69,4.63,154519.84,-0.08,-1.68,4.694,4.624,4.606,128265.72,97588.97,83639.56
2018/9/25,4.68,4.77,4.77,4.64,122863.64,0.06,1.27,4.668,4.607,4.606,111753.5,88166.05,79050.42
2018/9/21,4.68,4.73,4.71,4.61,115314.92,0.03,0.64,4.618,4.579,4.603,98851.62,84699.51,76044.74
2018/9/20,4.62,4.8,4.68,4.59,154829.66,0.06,1.3,4.596,4.566,4.598,94220.99,82142.4,72751.61
2018/9/19,4.56,4.64,4.62,4.51,93800.55,0.06,1.32,4.574,4.553,4.597,76122.11,72638.62,67629.64
2018/9/18,4.5,4.57,4.56,4.46,71958.75,0.04,0.89,4.554,4.549,4.598,66912.22,70710.71,65415.57
2018/9/17,4.59,4.59,4.52,4.49,58354.22,-0.08,-1.74,4.546,4.557,4.604,64578.59,71769.55,64167.56
2018/9/14,4.56,4.62,4.6,4.56,92161.76,0.03,0.66,4.54,4.564,4.61,70547.41,72112.88,64363.26
2018/9/13,4.57,4.58,4.57,4.52,64335.25,0.05,1.11,4.536,4.566,4.608,70063.81,68487.63,63107.67
2018/9/12,4.53,4.55,4.52,4.49,47751.13,0,0,4.532,4.571,4.614,69155.14,69053.79,62177.71
2018/9/11,4.5,4.55,4.52,4.47,60290.57,0.03,0.67,4.544,4.587,4.623,74509.2,69690.15,63037.37
2018/9/10,4.59,4.62,4.49,4.48,88198.32,-0.09,-1.97,4.568,4.605,4.638,78960.51,69934.8,63290.11
2018/9/7,4.58,4.65,4.58,4.55,89743.79,0.03,0.66,4.588,4.626,4.655,73678.36,67389.98,62635.7
2018/9/6,4.58,4.61,4.55,4.53,59791.87,-0.03,-0.66,4.596,4.63,4.667,66911.45,63360.82,61652
2018/9/5,4.63,4.64,4.58,4.53,74521.45,-0.06,-1.29,4.61,4.641,4.68,68952.44,62620.65,63843.01
2018/9/4,4.6,4.66,4.64,4.59,82547.14,0.05,1.09,4.63,4.647,4.686,64871.11,60120.42,63695.5
2018/9/3,4.64,4.64,4.59,4.55,61787.55,-0.03,-0.65,4.642,4.65,4.69,60909.08,56565.56,63640.85
2018/8/31,4.62,4.68,4.62,4.61,55909.26,0,0,4.664,4.655,4.69,61101.59,56613.64,64209.33
2018/8/30,4.71,4.71,4.62,4.61,69996.82,-0.06,-1.28,4.664,4.65,4.694,59810.19,57727.71,64844.2
2018/8/29,4.71,4.72,4.68,4.64,54114.77,-0.02,-0.43,4.672,4.656,4.7,56288.85,55301.63,67571.85
2018/8/28,4.69,4.73,4.7,4.67,62737.01,0,0,4.664,4.659,4.713,55369.73,56384.59,69457.43
2018/8/27,4.63,4.71,4.7,4.63,62750.09,0.08,1.73,4.658,4.671,4.729,52222.04,56645.41,69139.94
2018/8/24,4.64,4.65,4.62,4.6,49452.25,-0.04,-0.86,4.646,4.683,4.743,52125.7,57881.43,70688.82
2018/8/23,4.63,4.68,4.66,4.6,52390.15,0.02,0.43,4.636,4.704,4.765,55645.24,59943.19,72553.53
2018/8/22,4.64,4.7,4.64,4.59,49519.16,-0.03,-0.64,4.64,4.718,4.789,54314.4,65065.38,76282.89
2018/8/21,4.66,4.7,4.67,4.61,46998.57,0.03,0.65,4.654,4.724,4.813,57399.45,67270.58,79337.16
