date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-04-27,3.73,3.92,3.92,3.73,229174.08,0.19,5.09,3.956,4.073,4.174,192274.7,150515.09,156464.21
2018-04-26,3.93,3.95,3.73,3.72,171422.59,-0.17,-4.36,3.976,4.102,4.179,171537.29,135570.06,151162.31
2018-04-25,3.84,4.02,3.9,3.84,169482.2,-0.11,-2.74,4.06,4.152,4.2,152551.92,127666.29,155041.54
2018-04-24,4.23,4.32,4.01,4.01,318276.81,-0.21,-4.98,4.124,4.186,4.212,141710.35,122915.45,154600.03
2018-04-23,4.22,4.22,4.22,4.17,73017.83,0.2,4.97,4.196,4.211,4.209,109977.52,106067.52,143683.29
2018-04-04,4.15,4.19,4.02,3.97,125487.0,-0.13,-3.13,4.19,4.237,4.194,108755.47,111860.09,145266.7
2018-04-03,4.15,4.21,4.15,4.13,76495.76,-0.07,-1.66,4.228,4.268,4.191,99602.84,119927.11,143845.57
2018-04-02,4.27,4.32,4.22,4.2,115274.33,-0.15,-3.43,4.244,4.301,4.184,102780.66,146659.79,145037.39
2018-03-30,4.21,4.4,4.37,4.16,159612.69,0.18,4.3,4.248,4.313,4.172,104120.56,149857.68,145290.71
2018-03-29,4.19,4.23,4.19,4.14,66907.58,-0.02,-0.47,4.226,4.289,4.159,102157.52,157701.17,144523.98
2018-03-28,4.13,4.28,4.21,4.11,79723.82,-0.02,-0.47,4.284,4.275,4.154,114964.72,162413.33,154468.09
2018-03-27,4.24,4.33,4.23,4.22,92384.9,-0.01,-0.24,4.308,4.256,4.154,140251.38,166754.55,164960.97
2018-03-26,4.1,4.27,4.24,4.05,121973.81,-0.02,-0.47,4.358,4.248,4.164,190538.91,182416.78,160841.12
2018-03-23,4.36,4.44,4.26,4.26,149797.5,-0.22,-4.91,4.378,4.238,4.163,195594.8,186284.61,155098.08
2018-03-22,4.33,4.5,4.48,4.3,130943.55,0.15,3.46,4.352,4.206,4.151,213244.81,181299.05,148571.36
2018-03-21,4.4,4.53,4.33,4.32,206157.12,-0.15,-3.35,4.266,4.15,4.119,209861.95,178673.3,150440.66
2018-03-20,4.34,4.56,4.48,4.31,343822.56,0.14,3.23,4.204,4.113,4.1,193257.72,167764.03,152506.94
2018-03-19,4.32,4.34,4.34,4.22,147253.27,0.21,5.08,4.138,4.066,4.077,174294.65,143414.99,143978.77
