date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,28.96,29.88,29.46,28.4,29495.83,0.39,1.34,29.042,28.91,29.242,34710.59,35132.95,35375.44
2018-12-27,29.53,29.6,29.07,28.9,36760.17,-0.09,-0.31,28.73,28.946,29.183,36511.8,35903.12,34889.21
2018-12-26,29.0,29.65,29.16,28.73,31066.13,0.3,1.04,28.616,29.089,29.131,37628.37,37428.99,34427.89
2018-12-25,28.62,29.43,28.86,28.06,41872.44,0.2,0.7,28.448,29.163,29.079,37152.46,37156.5,34536.64
2018-12-24,27.99,28.69,28.66,27.98,34358.4,0.76,2.72,28.542,29.215,29.027,34460.77,35013.8,34188.74
2018-12-21,28.73,28.9,27.9,27.58,38501.85,-0.6,-2.1,28.778,29.309,28.973,35555.31,35625.08,35100.43
2018-12-20,28.32,29.08,28.5,28.21,42343.04,0.18,0.64,29.162,29.376,28.983,35294.43,33486.26,35003.99
2018-12-19,29.33,29.68,28.32,28.1,28686.56,-1.01,-3.44,29.562,29.426,28.971,37229.61,33140.33,34210.25
2018-12-18,29.35,29.98,29.33,29.23,28413.99,-0.51,-1.71,29.878,29.559,28.999,37160.54,33306.18,35345.63
2018-12-17,29.53,30.16,29.84,28.85,39831.11,0.02,0.07,29.888,29.589,28.978,35566.84,33180.06,36757.86
2018-12-14,30.5,30.65,29.82,29.5,37197.46,-0.68,-2.23,29.84,29.574,28.922,35694.84,35617.93,37764.56
2018-12-13,29.88,30.85,30.5,29.69,52018.91,0.6,2.01,29.59,29.419,28.846,31678.09,33875.31,39650.65
2018-12-12,29.37,30.1,29.9,29.18,28341.22,0.52,1.77,29.29,29.172,28.698,29051.06,31426.8,38249.94
2018-12-11,29.69,29.69,29.38,29.1,20445.48,-0.22,-0.74,29.24,28.995,28.588,29451.83,31916.78,38574.38
2018-12-10,28.43,29.85,29.6,28.43,40471.13,1.03,3.6,29.29,28.839,28.528,30793.28,33363.68,40664.22
2018-12-07,28.94,29.17,28.57,28.3,17113.7,-0.43,-1.48,29.308,28.637,28.394,35541.02,34575.79,42814.99
2018-12-06,29.35,29.85,29.0,28.66,38883.75,-0.65,-2.19,29.248,28.59,28.299,36072.53,36521.71,44867.22
2018-12-05,29.11,29.95,29.65,28.85,30345.09,0.02,0.07,29.054,28.515,28.182,33802.54,35280.17,46898.77
2018-12-04,29.3,29.84,29.63,29.1,27152.71,-0.06,-0.2,28.75,28.439,28.04,34381.73,37385.08,51607.96
2018-12-03,29.29,30.0,29.69,28.5,64209.84,1.42,5.02,28.388,28.366,27.831,35934.09,40335.67,54524.85
2018-11-30,27.8,28.39,28.27,27.77,19771.24,0.24,0.86,27.966,28.269,27.63,33610.56,39911.19,55882.65
2018-11-29,28.36,28.93,28.03,28.0,27533.84,-0.1,-0.35,27.932,28.272,27.535,36970.9,45425.99,60714.54
2018-11-28,28.18,28.18,28.13,27.42,33241.04,0.31,1.11,27.976,28.223,27.41,36757.8,45073.08,66159.05
2018-11-27,27.62,28.0,27.82,27.33,34914.48,0.24,0.87,28.128,28.18,27.239,40388.42,45231.97,71564.57
2018-11-26,28.1,28.1,27.58,27.26,52592.2,-0.52,-1.85,28.344,28.217,27.031,44737.25,47964.76,82796.06
2018-11-23,28.25,28.7,28.1,27.86,36572.95,-0.15,-0.53,28.572,28.15,26.764,46211.82,51054.19,91835.75
2018-11-22,28.89,28.97,28.25,28.1,26468.32,-0.64,-2.21,28.612,28.008,26.594,53881.08,53212.73,98765.71
2018-11-21,28.45,29.23,28.89,27.81,51394.13,-0.01,-0.04,28.47,27.849,26.546,53388.37,58517.37,104028.22
2018-11-20,28.82,29.28,28.9,28.32,56658.64,0.18,0.63,28.232,27.64,26.511,50075.53,65830.85,106472.43
2018-11-19,28.8,29.15,28.72,27.68,59965.08,0.42,1.48,28.09,27.296,26.525,51192.27,68714.03,111356.82
2018-11-16,27.88,29.17,28.3,27.7,74919.22,0.76,2.76,27.728,26.99,26.598,55896.55,71854.11,114000.06
2018-11-15,27.35,27.9,27.54,27.35,24004.76,-0.16,-0.58,27.404,26.798,26.633,52544.38,76003.1,114471.86
