date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/12/28,4.9,4.92,4.88,4.85,39811.39,0.01,0.2,4.94,5.029,5.159,50017.52,68410.58,110817.22
2018/12/27,5.01,5.05,4.87,4.86,60910.06,-0.08,-1.62,4.96,5.061,5.166,58790.25,73280.58,113075.52
2018/12/26,4.99,5.03,4.95,4.93,43269.82,-0.01,-0.2,5.008,5.109,5.179,60448.33,81776.34,113938.3
2018/12/25,4.95,4.99,4.96,4.86,62361.49,-0.08,-1.59,5.042,5.143,5.185,76039.81,87921.78,115517.15
2018/12/24,4.95,5.04,5.04,4.95,43734.82,0.06,1.21,5.074,5.176,5.191,83228.84,91686.23,115856.89
2018/12/21,5.07,5.09,4.98,4.94,83675.05,-0.13,-2.54,5.118,5.192,5.194,86803.64,98242.68,119544.37
2018/12/20,5.2,5.2,5.11,5.06,69200.49,-0.01,-0.2,5.162,5.23,5.208,87770.9,99623.54,120383.7
2018/12/19,5.14,5.25,5.12,5.12,121227.2,0,0,5.21,5.256,5.219,103104.34,116501.68,124109.79
2018/12/18,5.23,5.27,5.12,5.05,98306.62,-0.14,-2.66,5.244,5.296,5.228,99803.76,150541.41,127053.63
2018/12/17,5.21,5.26,5.26,5.15,61608.83,0.06,1.15,5.278,5.308,5.249,100143.63,154067.95,137022.32
2018/12/14,5.32,5.34,5.2,5.18,88511.38,-0.15,-2.8,5.266,5.288,5.25,109681.72,153223.86,145604.29
2018/12/13,5.31,5.42,5.35,5.24,145867.67,0.06,1.13,5.298,5.271,5.248,111476.18,152870.47,147211.06
2018/12/12,5.3,5.4,5.29,5.26,104724.28,0,0,5.302,5.248,5.233,129899.02,146100.26,148748.31
2018/12/11,5.22,5.31,5.29,5.19,100005.99,0.09,1.73,5.348,5.227,5.223,201279.06,143112.52,152984.42
2018/12/10,5.37,5.37,5.2,5.17,109299.3,-0.16,-2.98,5.338,5.206,5.207,207992.27,140027.55,152666.38
2018/12/7,5.3,5.42,5.36,5.27,97483.66,-0.01,-0.19,5.31,5.195,5.188,196766,140846.06,151315.49
2018/12/6,5.42,5.55,5.37,5.34,237981.88,-0.15,-2.72,5.244,5.186,5.166,194264.76,141143.87,151377.8
