date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017/8/18,7.26,7.44,7.35,7.19,594806.5,0.01,0.14,7.318,7.479,7.779,543643.08,667009.81,1098205.87
2017/8/17,7.28,7.35,7.34,7.25,449676.91,0.05,0.69,7.29,7.515,7.817,610282,697220.93,1176181.37
2017/8/16,7.35,7.37,7.29,7.22,474620.72,-0.06,-0.82,7.378,7.573,7.854,681400.52,731081.9,1276162.87
2017/8/15,7.27,7.52,7.35,7.27,666145,0.09,1.24,7.454,7.635,7.874,700456.67,812834.55,1372499.66
2017/8/14,7.2,7.32,7.26,7.19,532966.25,0.05,0.69,7.552,7.718,7.885,738905.44,898763.61,1466986.74
2017/8/11,7.7,7.73,7.21,7.15,928001.12,-0.57,-7.33,7.64,7.829,7.868,790376.54,989864.07,1503163.97
2017/8/10,7.65,7.83,7.78,7.54,805269.5,0.11,1.43,7.74,7.93,7.847,784159.85,1039929.35,1476535.84
2017/8/9,7.79,7.85,7.67,7.66,569901.5,-0.17,-2.17,7.768,7.998,7.797,780763.27,1192624.4,1455272.86
2017/8/8,7.72,7.85,7.84,7.61,858388.81,0.14,1.82,7.816,8.021,7.747,925212.42,1264931.46,1447612.9
2017/8/7,7.69,7.75,7.7,7.54,790321.75,-0.01,-0.13,7.884,8.045,7.701,1058621.79,1340674.13,1424682.05
2017/8/4,7.94,7.98,7.71,7.71,896917.69,-0.21,-2.65,8.018,8.078,7.665,1189351.61,1529401.93,1407996.76
2017/8/3,7.87,8.12,7.92,7.84,788286.62,0.01,0.13,8.12,8.118,7.624,1295698.85,1655141.81,1375579.73
2017/8/2,8.11,8.24,7.91,7.9,1292147.25,-0.27,-3.3,8.228,8.134,7.571,1604485.53,1821243.85,1355870.23
2017/8/1,8.3,8.62,8.18,8.16,1525435.62,-0.19,-2.27,8.226,8.113,7.52,1604650.5,1932164.78,1310445.31
2017/7/31,8.24,8.48,8.37,8.07,1443970.88,0.15,1.82,8.206,8.052,7.45,1622726.48,2035209.86,1253771.87
2017/7/28,8.34,8.52,8.22,8.16,1428653.88,-0.24,-2.84,8.138,7.907,7.377,1869452.25,2016463.88,1194174.52
2017/7/27,7.8,8.49,8.46,7.76,2332220,0.56,7.09,8.116,7.764,7.313,2014584.77,1913142.33,1142972.02
2017/7/26,8,8.08,7.9,7.82,1292972.12,-0.18,-2.23,8.04,7.595,7.234,2038002.17,1717921.32,1048304.08
2017/7/25,7.98,8.09,8.08,7.78,1615815.5,0.05,0.62,8,7.473,7.183,2259679.05,1630294.35,1008387.72
2017/7/24,8.14,8.74,8.03,8,2677599.75,-0.08,-0.99,7.898,7.357,7.131,2447693.25,1508689.97,958085.95
2017/7/21,7.97,8.38,8.11,7.91,2154316.5,0.03,0.37,7.676,7.251,7.077,2163475.5,1286591.59,877549.82
2017/7/20,7.71,8.31,8.08,7.55,2449307,0.38,4.93,7.412,7.13,7.007,1811699.88,1096017.65,786489.65
2017/7/19,7.48,7.81,7.7,7.42,2401356.5,0.13,1.72,7.15,7.008,6.934,1397840.46,890496.62,687317.45
2017/7/18,6.82,7.61,7.57,6.82,2555886.5,0.65,9.39,6.946,6.926,6.877,1000909.64,688725.84,579523.96
2017/7/17,6.81,7.18,6.92,6.53,1256511,0.13,1.92,6.816,6.847,6.82,569686.69,472333.87,456564.12
2017/7/14,6.75,6.85,6.79,6.74,395438.41,0.02,0.29,6.826,6.846,6.797,409707.67,371885.16,398740.83
2017/7/13,6.66,6.79,6.77,6.62,380009.88,0.09,1.35,6.848,6.862,6.779,380335.41,372801.72,383765.14
2017/7/12,6.74,6.78,6.68,6.57,416702.41,-0.04,-0.59,6.866,6.872,6.762,383152.78,378686.85,370758.74
2017/7/11,6.95,7.05,6.92,6.9,399771.75,-0.05,-0.72,6.906,6.892,6.749,376542.04,386481.09,356632.14
2017/7/10,6.86,7.03,6.97,6.85,456615.91,0.07,1.01,6.878,6.905,6.727,374981.04,407481.92,343194.87
2017/7/7,6.82,6.91,6.9,6.79,248577.12,0.04,0.58,6.866,6.903,6.701,334062.65,468508.05,327583.72
2017/7/6,6.85,6.94,6.86,6.79,394096.69,-0.02,-0.29,6.876,6.883,6.681,365268.03,476961.66,322504.62
2017/7/5,6.76,6.9,6.88,6.76,383648.75,0.1,1.48,6.878,6.86,6.663,374220.92,484138.29,309252.32
2017/7/4,6.92,6.92,6.78,6.78,391966.75,-0.13,-1.88,6.878,6.827,6.645,396420.13,470322.08,297001.79
2017/7/3,6.99,6.99,6.91,6.88,252023.95,-0.04,-0.58,6.932,6.793,6.628,439982.8,440794.37,281855.99
2017/6/30,6.83,6.99,6.95,6.8,404604,0.08,1.16,6.94,6.748,6.604,602953.46,425596.51,273417.25
2017/6/29,6.89,6.93,6.87,6.79,438861.16,-0.01,-0.14,6.89,6.696,6.578,588655.29,394728.55,259988.78
2017/6/28,7,7.02,6.88,6.88,494644.81,-0.17,-2.41,6.842,6.652,6.555,594055.66,362830.63,246670.54
2017/6/27,6.98,7.09,7.05,6.92,609780.06,0.1,1.44,6.776,6.606,6.535,544224.03,326783.18,235233.7
2017/6/26,6.76,7.24,6.95,6.76,1066877.25,0.25,3.73,6.654,6.549,6.501,441605.94,278907.83,213679.89
2017/6/23,6.6,6.74,6.7,6.59,333113.19,0.07,1.06,6.556,6.498,6.471,248239.55,186659.39,172453.1
2017/6/22,6.55,6.75,6.63,6.54,465862.97,0.08,1.22,6.502,6.479,6.447,200801.81,168047.58,164027.89
2017/6/21,6.48,6.58,6.55,6.46,245486.69,0.11,1.71,6.462,6.466,6.427,131605.6,134366.35,152050.8
2017/6/20,6.46,6.48,6.44,6.43,96689.58,-0.02,-0.31,6.436,6.462,6.409,109342.33,123681.5,146575.87
2017/6/19,6.44,6.46,6.46,6.42,100045.34,0.03,0.47,6.444,6.463,6.397,116209.72,122917.61,147146.15
2017/6/16,6.41,6.45,6.43,6.41,95924.45,0,0,6.44,6.46,6.385,125079.22,121237.99,148928.09
2017/6/15,6.43,6.45,6.43,6.39,119881.96,0.01,0.16,6.456,6.46,6.379,135293.35,125249.01,152527.92
2017/6/14,6.48,6.49,6.42,6.4,134170.34,-0.06,-0.93,6.47,6.457,6.374,137127.09,130510.45,155323.2
2017/6/13,6.43,6.5,6.48,6.42,131026.52,0.04,0.62,6.488,6.464,6.368,138020.67,143684.21,155017.59
2017/6/12,6.5,6.56,6.44,6.44,144392.84,-0.07,-1.07,6.482,6.453,6.362,129625.5,148451.95,158453.3
2017/6/9,6.48,6.58,6.51,6.48,146995.09,0.01,0.15,6.48,6.443,6.352,117396.76,158246.81,165432.59
2017/6/8,6.5,6.55,6.5,6.47,129050.66,-0.01,-0.15,6.464,6.415,6.342,115204.67,160008.19,166105.55
2017/6/7,6.47,6.52,6.51,6.43,138638.22,0.06,0.93,6.444,6.388,6.334,123893.82,169735.26,166385.15
2017/6/6,6.43,6.47,6.45,6.39,89050.67,0.02,0.31,6.44,6.356,6.325,149347.75,169470.23,167852.3
2017/6/5,6.42,6.49,6.43,6.41,83249.16,0,0,6.424,6.331,6.328,167278.4,171374.7,170152.41
2017/6/2,6.39,6.45,6.43,6.33,136034.62,0.03,0.47,6.406,6.31,6.332,199096.87,176618.2,173459.04
2017/6/1,6.47,6.48,6.4,6.38,172496.41,-0.09,-1.39,6.366,6.297,6.34,204811.72,179806.83,173540.49
2017/5/31,6.43,6.51,6.49,6.42,265907.88,0.12,1.88,6.332,6.291,6.349,215576.71,180135.96,172458.95
2017/5/26,6.31,6.4,6.37,6.3,178703.92,0.03,0.47,6.272,6.272,6.356,189592.71,166350.97,164655.2
2017/5/25,6.23,6.37,6.34,6.21,242341.5,0.11,1.77,6.238,6.27,6.368,175471,168454.65,166397.23
2017/5/24,6.19,6.25,6.23,6.15,164608.88,0,0,6.214,6.261,6.383,154139.52,172618.37,164614.66
2017/5/23,6.17,6.26,6.23,6.14,226321.36,0.04,0.65,6.228,6.269,6.4,154801.94,172202.9,164328.2
2017/5/22,6.19,6.24,6.19,6.14,135987.91,-0.01,-0.16,6.25,6.279,6.416,144695.2,163035.04,166031.84
2017/5/19,6.23,6.25,6.2,6.18,108095.35,-0.02,-0.32,6.272,6.294,6.446,143109.22,166234.38,169226.52
2017/5/18,6.28,6.29,6.22,6.21,135684.12,-0.08,-1.27,6.302,6.324,6.474,161438.3,168930.12,172527.03
2017/5/17,6.32,6.37,6.3,6.28,167920.94,-0.04,-0.63,6.308,6.354,6.501,191097.22,170299.88,176602.91
2017/5/16,6.3,6.36,6.34,6.19,175787.69,0.04,0.64,6.31,6.382,6.523,189603.86,167274.16,176023.77
2017/5/15,6.32,6.36,6.3,6.25,128057.99,-0.05,-0.79,6.308,6.407,6.544,181374.88,164781.95,179781.11
2017/5/12,6.2,6.37,6.35,6.13,199740.77,0.1,1.6,6.316,6.44,6.572,189359.53,162959.44,190019.61
2017/5/11,6.28,6.3,6.25,6.1,283978.69,-0.06,-0.95,6.346,6.465,6.602,176421.93,164339.81,199701.65
2017/5/10,6.35,6.41,6.31,6.3,160454.16,-0.02,-0.32,6.4,6.505,6.634,149502.54,156610.95,199081.79
2017/5/9,6.33,6.39,6.33,6.31,134642.81,-0.01,-0.16,6.454,6.53,6.666,144944.46,156453.5,210944.31
2017/5/8,6.5,6.53,6.34,6.34,167981.23,-0.16,-2.46,6.506,6.553,6.694,148189.02,169028.63,221394.47
2017/5/5,6.52,6.59,6.5,6.5,135052.75,-0.02,-0.31,6.564,6.597,6.718,136559.35,172218.66,223629.26
2017/5/4,6.52,6.61,6.52,6.51,149381.73,-0.06,-0.91,6.584,6.624,6.736,152257.69,176123.95,229173.39
2017/5/3,6.59,6.62,6.58,6.56,137663.78,-0.01,-0.15,6.61,6.648,6.753,163719.36,182905.94,239597.52
2017/5/2,6.62,6.66,6.59,6.57,150865.62,-0.04,-0.6,6.606,6.663,6.755,167962.54,184773.37,240047.39
2017/4/28,6.59,6.63,6.63,6.56,109832.89,0.03,0.46,6.6,6.681,6.757,189868.24,194780.26,246893.5
2017/4/27,6.67,6.68,6.6,6.5,213544.41,-0.05,-0.75,6.63,6.704,6.766,207877.97,217079.77,250243.28
2017/4/26,6.66,6.71,6.65,6.62,206690.12,0.09,1.37,6.664,6.739,6.775,199990.22,235063.48,249634.7
2017/4/25,6.56,6.63,6.56,6.55,158879.66,0,0,6.686,6.763,6.787,202092.52,241552.63,256105.09
2017/4/24,6.78,6.79,6.56,6.55,260394.12,-0.22,-3.25,6.72,6.802,6.799,201584.21,265435.12,261760.37
2017/4/21,6.76,6.82,6.78,6.71,199881.55,0.01,0.15,6.762,6.834,6.809,199692.27,273760.31,258849.18
2017/4/20,6.73,6.82,6.77,6.73,174105.64,0.01,0.15,6.778,6.838,6.808,226281.56,275039.85,265730.93
2017/4/19,6.71,6.78,6.76,6.65,217201.64,0.03,0.45,6.814,6.848,6.813,270136.75,282222.84,267997.4
2017/4/18,6.77,6.82,6.73,6.72,156338.09,-0.04,-0.59,6.84,6.857,6.817,281012.73,296289.1,270624.66
2017/4/17,6.85,6.86,6.77,6.71,250934.45,-0.09,-1.31,6.884,6.847,6.824,329286.04,295321.4,286671.28
2017/4/14,6.93,7.04,6.86,6.85,332828,-0.09,-1.29,6.906,6.832,6.835,347828.35,299006.75,302669.71
2017/4/13,6.86,7.05,6.95,6.84,393381.56,0.06,0.87,6.898,6.827,6.844,323798.14,283406.78,342820.96
2017/4/12,6.95,6.95,6.89,6.88,271581.56,-0.06,-0.86,6.882,6.81,6.831,294308.92,264205.92,342049.33
2017/4/11,6.87,6.98,6.95,6.77,397704.62,0.07,1.02,6.874,6.81,6.822,311565.46,270657.56,349215.33
2017/4/10,6.83,6.92,6.88,6.74,343646.03,0.06,0.88,6.81,6.796,6.8,261356.76,258085.62,335045.41
2017/4/7,6.89,6.89,6.82,6.81,212676.92,-0.05,-0.73,6.758,6.783,6.781,250185.15,243938.05,330134.32
2017/4/6,6.9,6.93,6.87,6.81,245935.48,0.02,0.29,6.756,6.777,6.77,243015.43,256422.01,328989.18
2017/4/5,6.71,6.92,6.85,6.71,357864.25,0.22,3.32,6.738,6.778,6.758,234102.92,253771.96,326534.11
2017/3/31,6.64,6.69,6.63,6.63,146661.11,0.01,0.15,6.746,6.776,6.748,229749.65,244960.23,320928.03
2017/3/30,6.8,6.81,6.62,6.62,287787.97,-0.19,-2.79,6.782,6.801,6.747,254814.48,278021.16,327446.9
2017/3/29,6.79,6.88,6.81,6.77,176828.34,0.03,0.44,6.808,6.838,6.751,237690.96,306332.68,348961.38
2017/3/28,6.88,6.91,6.78,6.77,201372.95,-0.11,-1.6,6.798,6.861,6.738,269828.58,402235.15,348390.8
2017/3/27,6.81,6.94,6.89,6.78,336097.88,0.08,1.18,6.818,6.852,6.726,273440.99,419892.73,345908.14
2017/3/24,6.76,6.82,6.81,6.7,271985.25,0.06,0.89,6.806,6.833,6.705,260170.81,427773.1,335640.9
2017/3/23,6.76,6.8,6.75,6.7,202170.36,-0.01,-0.15,6.82,6.804,6.692,301227.85,412005.2,328908.54
2017/3/22,6.86,6.88,6.76,6.71,337516.47,-0.12,-1.74,6.868,6.778,6.681,374974.4,416330.6,326600.15
2017/3/21,6.85,6.92,6.88,6.81,219434.98,0.05,0.73,6.924,6.763,6.671,534641.71,401556.36,319088.65
2017/3/20,6.83,6.94,6.83,6.81,269746.97,-0.05,-0.73,6.886,6.738,6.655,566344.47,399296.26,316199.01
2017/3/17,7.02,7.06,6.88,6.86,477270.47,-0.11,-1.57,6.86,6.72,6.641,595375.39,396895.84,314042.61
2017/3/16,7.05,7.08,6.99,6.95,570903.12,-0.05,-0.71,6.788,6.693,6.619,522782.55,376872.64,297775.29
2017/3/15,6.72,7.15,7.04,6.7,1135853,0.35,5.23,6.688,6.663,6.594,457686.79,391590.08,276159.69
2017/3/14,6.77,6.82,6.69,6.67,377948.81,-0.01,-0.15,6.602,6.614,6.564,268471.01,294546.45,227382.37
2017/3/13,6.52,6.75,6.7,6.44,414901.56,0.18,2.76,6.59,6.599,6.554,232248.05,271923.56,215843.36
2017/3/10,6.49,6.54,6.52,6.49,114306.27,0.03,0.46,6.58,6.577,6.545,198416.28,243508.7,202644.42
2017/3/9,6.6,6.6,6.49,6.48,245424.31,-0.12,-1.81,6.598,6.58,6.545,230962.74,245811.87,208484.93
2017/3/8,6.62,6.66,6.61,6.58,189774.12,-0.02,-0.3,6.638,6.584,6.545,325493.37,236869.7,207758.7
