Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.37,1.42,1.42,1.42,1.42,1.367,1.42,1.411,1.303,1.311
R01D,1.29,1.1,1.106,1.2,1.08,1.16,1.109,1.077,0.954,1.391
R01D,1.19,1.265,1.45,1.45,1.26,1.211,1.302,1.332,1.311,1.311
R01D,1.35,1.32,1.33,1.5,1.32,0,1.326,1.326,1.29,1.15
R01D,1.4,1.4,1.419,1.44,1.4,1.405,1.419,1.394,1.286,1.194
R01D,1.35,1.35,1.32,1.35,1.32,1.343,1.321,1.399,1.301,1.309
R01D,1.28,1.24,1.28,1.35,1.23,1.264,1.253,1.211,1.133,1.09
R01D,1.22,1.192,1.21,1.52,1.19,1.208,1.238,1.221,1.163,1.05
R01D,1.31,1.35,1.33,1.35,1.33,1.338,1.332,1.306,1.272,1.131
R01D,2.02,2.1,2.12,2.12,2.1,2.013,2.116,1.74,1.776,1.603
R01D,1,0.98,1.1,1.15,0.9,1.007,1.086,0.841,0.839,1.583
R01D,0.81,0.82,0.92,0.92,0.8,0.815,0.826,1.584,2.12,2.242
R01D,2.16,2.34,2.4,3,2.12,2.128,2.401,1.791,1.766,1.616
R01D,1.14,1.15,1.098,1.15,1.098,1.14,1.119,1.01,0.928,1.337
R01D,1.2,1.22,1.2,1.22,1.17,1.2,1.181,1.314,1.301,1.301
R01D,1.67,1.89,1.9,2.2,1.88,0,1.922,1.722,1.707,1.505
R01D,1.38,1.38,1.37,1.4,1.34,1.382,1.374,1.286,1.262,1.115
R01D,1.5,1.36,1.79,1.79,1.31,1.398,1.432,1.033,0.936,1.462
R01D,1.45,1.47,1.47,1.49,1.45,0,1.475,1.858,1.632,1.411
R01D,0.81,0.81,0.81,0.81,0.81,0,0.81,0.828,1.4,2.019
R01D,1.39,1.36,1.38,1.4,1.36,1.367,1.365,1.185,1.196,1.054
R01D,1.42,1.369,1.64,1.64,1.31,1.399,1.394,1.225,1.045,1.219
R01D,1.25,1.24,1.22,1.28,1.19,1.208,1.208,1.217,1.163,1.055
