date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-28,4.05,4.05,4.0,3.96,11025.0,0.0,0.0,4.024,4.064,4.139,22290.45,22181.38,28472.88
2018-12-27,4.08,4.13,4.0,3.99,20068.01,-0.05,-1.24,4.04,4.083,4.152,23673.22,23441.78,31341.99
2018-12-26,4.01,4.07,4.05,4.01,16696.23,0.04,1.0,4.06,4.105,4.162,22311.22,23489.93,34255.24
2018-12-25,4.02,4.04,4.01,3.95,42554.0,-0.05,-1.23,4.07,4.117,4.172,24342.94,23937.04,38228.01
2018-12-24,4.07,4.09,4.06,4.05,21109.0,-0.02,-0.49,4.09,4.135,4.177,21772.3,22064.3,38362.91
2018-12-21,4.11,4.11,4.08,4.06,17938.88,-0.02,-0.49,4.104,4.15,4.18,22072.3,22735.15,39670.74
2018-12-20,4.09,4.12,4.1,4.07,13258.0,0.0,0.0,4.126,4.161,4.179,23210.33,24109.44,42227.14
2018-12-19,4.16,4.18,4.1,4.07,26854.83,-0.01,-0.24,4.15,4.171,4.183,24668.63,26628.84,45894.67
2018-12-18,4.16,4.17,4.11,4.09,29700.8,-0.02,-0.48,4.164,4.183,4.181,23531.13,28370.48,46850.9
2018-12-17,4.19,4.19,4.13,4.09,22609.0,-0.06,-1.43,4.18,4.2,4.176,22356.3,29560.41,48493.8
2018-12-14,4.23,4.24,4.19,4.18,23629.0,-0.03,-0.71,4.196,4.214,4.174,23397.99,34764.38,50476.6
2018-12-13,4.2,4.24,4.22,4.18,20549.52,0.05,1.2,4.196,4.221,4.167,25008.56,39242.2,52821.1
2018-12-12,4.22,4.22,4.17,4.16,21167.35,-0.02,-0.48,4.192,4.219,4.157,28589.05,45020.55,55071.37
2018-12-11,4.25,4.25,4.19,4.17,23826.61,-0.02,-0.47,4.202,4.227,4.145,33209.83,52518.98,58681.05
2018-12-10,4.19,4.24,4.21,4.15,27817.49,0.02,0.48,4.22,4.219,4.13,36764.53,54661.52,61637.23
2018-12-07,4.19,4.26,4.19,4.14,31681.81,-0.01,-0.24,4.232,4.21,4.11,46130.76,56606.32,63240.5
2018-12-06,4.23,4.29,4.2,4.2,38452.0,-0.02,-0.47,4.246,4.196,4.086,53475.85,60344.84,63066.71
2018-12-05,4.18,4.27,4.22,4.13,44271.24,-0.06,-1.4,4.246,4.194,4.064,61452.05,65160.49,62564.01
2018-12-04,4.24,4.3,4.28,4.22,41600.11,0.01,0.23,4.252,4.178,4.041,71828.13,65331.32,62355.05
2018-12-03,4.3,4.43,4.27,4.27,74648.62,0.01,0.23,4.218,4.151,4.017,72558.51,67427.19,62830.37
2018-11-30,4.15,4.28,4.26,4.15,68407.29,0.06,1.43,4.188,4.134,3.993,67081.89,66188.83,61755.84
2018-11-29,4.3,4.33,4.2,4.19,78333.0,-0.05,-1.18,4.146,4.113,3.969,67213.83,66399.99,60850.36
2018-11-28,4.1,4.26,4.25,4.05,96151.65,0.14,3.41,4.142,4.094,3.945,68868.94,65122.19,59259.59
2018-11-27,4.17,4.17,4.11,4.08,45252.01,-0.01,-0.24,4.104,4.063,3.919,58834.51,64843.12,56404.7
2018-11-26,4.08,4.13,4.12,4.02,47265.5,0.07,1.73,4.084,4.041,3.899,62295.87,68612.93,55750.8
2018-11-23,4.12,4.18,4.05,4.03,69067.0,-0.13,-3.11,4.08,4.01,3.876,65295.77,69874.68,54708.52
2018-11-22,4.09,4.26,4.18,4.09,86608.52,0.12,2.96,4.08,3.976,3.862,65586.14,65788.58,52766.25
2018-11-21,4.01,4.06,4.06,3.92,45979.51,0.05,1.25,4.046,3.934,3.838,61375.44,59967.53,49534.37
2018-11-20,4.05,4.1,4.01,3.99,62558.81,-0.09,-2.19,4.022,3.904,3.819,70851.74,59378.78,48922.81
2018-11-19,4.07,4.1,4.1,4.01,62265.0,0.05,1.24,3.998,3.882,3.801,74930.0,58233.55,47106.59
2018-11-16,3.99,4.09,4.05,3.98,70518.86,0.04,1.0,3.94,3.851,3.781,74453.6,57322.85,46545.52
2018-11-15,3.96,4.02,4.01,3.92,65555.01,0.07,1.78,3.872,3.825,3.758,65991.03,55300.74,44344.66
2018-11-14,3.89,4.0,3.94,3.86,93361.01,0.05,1.28,3.822,3.796,3.736,58559.62,53396.98,42587.21
2018-11-13,3.78,3.92,3.89,3.76,82950.11,0.08,2.1,3.786,3.775,3.722,47905.82,47966.27,39267.01
2018-11-12,3.71,3.82,3.81,3.71,59883.0,0.1,2.69,3.766,3.756,3.71,41537.1,42888.66,36470.26
2018-11-09,3.76,3.78,3.71,3.71,28206.0,-0.05,-1.33,3.762,3.741,3.706,40192.1,39542.36,34557.11
2018-11-08,3.78,3.8,3.76,3.76,28398.0,0.0,0.0,3.778,3.747,3.709,44610.44,39743.91,34799.24
2018-11-07,3.81,3.83,3.76,3.76,40092.0,-0.03,-0.79,3.77,3.742,3.708,48234.34,39101.21,36632.36
2018-11-06,3.78,3.86,3.79,3.77,51106.5,0.0,0.0,3.764,3.734,3.722,48026.72,38466.84,36171.65
2018-11-05,3.77,3.84,3.79,3.77,53158.0,0.0,0.0,3.746,3.719,3.734,44240.22,35979.62,35321.59
2018-11-02,3.75,3.8,3.79,3.72,50297.72,0.07,1.88,3.72,3.711,3.743,38892.62,35768.19,34646.44
2018-11-01,3.74,3.78,3.72,3.71,46517.5,-0.01,-0.27,3.716,3.69,3.752,34877.38,33388.59,33508.48
2018-10-31,3.7,3.74,3.73,3.69,39053.9,0.03,0.81,3.714,3.675,3.762,29968.08,31777.44,33501.45
2018-10-30,3.66,3.74,3.7,3.66,32174.0,0.04,1.09,3.704,3.668,3.776,28906.96,30567.75,34131.95
2018-10-29,3.76,3.76,3.66,3.66,26420.0,-0.11,-2.92,3.692,3.664,3.789,27719.02,30051.85,33384.4
2018-10-26,3.71,3.78,3.77,3.71,30221.51,0.06,1.62,3.702,3.671,3.805,32643.75,29571.85,33590.65
2018-10-25,3.63,3.71,3.71,3.56,21971.0,0.03,0.81,3.664,3.671,3.814,31899.8,29854.57,33730.72
2018-10-24,3.66,3.74,3.68,3.64,33748.3,0.04,1.1,3.636,3.673,3.829,33586.8,34163.52,34923.77
2018-10-23,3.72,3.72,3.64,3.63,26234.3,-0.07,-1.89,3.632,3.71,3.844,32228.54,33876.46,35844.06
2018-10-22,3.6,3.75,3.71,3.6,51043.63,0.13,3.63,3.636,3.749,3.863,32384.68,34663.55,38152.19
2018-10-19,3.55,3.65,3.58,3.36,26501.76,0.01,0.28,3.64,3.775,3.877,26499.95,33524.69,41173.91
2018-10-18,3.68,3.69,3.57,3.54,30406.0,-0.09,-2.46,3.678,3.813,3.893,27809.33,33628.37,41726.86
2018-10-17,3.7,3.75,3.66,3.62,26957.0,0.0,0.0,3.71,3.848,3.905,34740.23,35225.47,40792.16
2018-10-16,3.74,3.77,3.66,3.63,27015.0,-0.07,-1.88,3.788,3.883,3.912,35524.37,37696.14,39959.69
2018-10-15,3.78,3.79,3.73,3.73,21620.0,-0.04,-1.06,3.862,3.913,3.92,36942.43,36716.94,39680.35
2018-10-12,3.76,3.78,3.77,3.62,33048.67,0.04,1.07,3.91,3.938,3.925,40549.43,37609.44,39207.75
2018-10-11,3.99,3.99,3.73,3.71,65060.49,-0.32,-7.9,3.948,3.956,3.928,39447.4,37606.88,38261.22
2018-10-10,4.03,4.07,4.05,4.0,30877.7,0.02,0.5,3.986,3.984,3.935,35710.7,35684.03,35700.39
2018-10-09,3.97,4.05,4.03,3.96,34105.29,0.06,1.51,3.978,3.977,3.929,39867.91,37811.66,34669.33
2018-10-08,3.95,4.02,3.97,3.92,39655.0,0.01,0.25,3.964,3.976,3.922,36491.46,41640.83,33581.12
2018-09-28,3.96,3.99,3.96,3.93,27538.51,0.04,1.02,3.966,3.979,3.92,34669.46,48823.13,31948.62
2018-09-27,4.03,4.06,3.92,3.9,46377.0,-0.09,-2.24,3.964,3.972,3.918,35766.35,49825.36,31101.74
2018-09-26,3.96,4.07,4.01,3.96,51663.77,0.05,1.26,3.982,3.961,3.921,35657.35,46358.86,29190.59
2018-09-25,3.96,3.99,3.96,3.95,17223.0,-0.02,-0.5,3.976,3.941,3.919,35755.4,42223.23,27485.6
2018-09-21,3.98,4.0,3.98,3.96,30545.0,0.03,0.76,3.988,3.926,3.921,46790.2,42643.76,27442.15
2018-09-20,4.0,4.02,3.95,3.95,33023.0,-0.06,-1.5,3.992,3.912,3.92,62976.8,40806.06,26426.3
2018-09-19,3.98,4.07,4.01,3.96,45832.0,0.03,0.75,3.98,3.9,3.921,63884.36,38915.56,25636.14
2018-09-18,4.0,4.04,3.98,3.95,52154.0,-0.04,-0.99,3.94,3.885,3.918,57060.36,35716.76,24428.22
2018-09-17,3.93,4.08,4.02,3.91,72397.0,0.02,0.5,3.906,3.88,3.92,48691.05,31527.01,23513.84
2018-09-14,3.88,4.28,4.0,3.83,111478.0,0.11,2.83,3.864,3.868,3.917,38497.31,25521.41,21522.55
2018-09-13,3.83,3.91,3.89,3.81,37560.81,0.08,2.1,3.832,3.86,3.911,18635.31,15074.11,16801.75
2018-09-12,3.83,3.86,3.81,3.81,11712.0,0.0,0.0,3.82,3.864,3.915,13946.75,12378.13,15830.35
2018-09-11,3.8,3.84,3.81,3.79,10307.46,0.0,0.0,3.83,3.88,3.925,14373.15,12022.33,16083.7
2018-09-10,3.84,3.88,3.81,3.8,21428.3,-0.03,-0.78,3.854,3.897,3.937,14362.96,12747.98,16291.68
2018-09-07,3.82,3.89,3.84,3.82,12168.0,0.01,0.26,3.872,3.915,3.948,12545.5,12240.55,16408.96
2018-09-06,3.84,3.9,3.83,3.83,14118.0,-0.03,-0.78,3.888,3.927,3.961,11512.9,12046.55,17095.96
2018-09-05,3.93,3.93,3.86,3.86,13844.0,-0.07,-1.78,3.908,3.941,3.976,10809.5,12356.72,18451.33
2018-09-04,3.89,3.93,3.93,3.88,10256.5,0.03,0.77,3.93,3.951,3.99,9671.5,13139.68,20576.18
2018-09-03,3.91,3.92,3.9,3.88,12341.0,-0.02,-0.51,3.94,3.96,3.998,11133.0,15500.66,21850.6
2018-08-31,3.92,3.94,3.92,3.9,7005.0,-0.01,-0.25,3.958,3.966,4.004,11935.6,17523.7,22019.96
2018-08-30,3.96,3.97,3.93,3.92,10601.0,-0.04,-1.01,3.966,3.962,4.009,12580.2,18529.4,22452.31
2018-08-29,3.96,3.97,3.97,3.94,8154.0,-0.01,-0.25,3.974,3.965,4.014,13903.93,19282.57,23467.06
2018-08-28,4.0,4.0,3.98,3.95,17564.0,-0.01,-0.25,3.972,3.969,4.022,16607.86,20145.07,24430.36
2018-08-27,3.98,4.01,3.99,3.95,16354.02,0.03,0.76,3.98,3.976,4.031,19868.33,19835.39,24908.76
2018-08-24,3.97,3.99,3.96,3.94,10228.0,-0.01,-0.25,3.974,3.981,4.039,23111.8,20577.37,25402.36
2018-08-23,3.95,3.97,3.97,3.9,17219.63,0.01,0.25,3.958,3.995,4.05,24478.6,22145.36,27719.61
2018-08-22,3.99,4.04,3.96,3.94,21673.65,-0.06,-1.49,3.956,4.011,4.058,24661.21,24545.95,29365.03
2018-08-21,4.0,4.03,4.02,3.93,33866.33,0.06,1.51,3.966,4.029,4.064,23682.28,28012.68,30072.56
2018-08-20,3.89,4.05,3.96,3.87,32571.39,0.07,1.8,3.972,4.036,4.066,19802.45,28200.53,30715.82
2018-08-17,3.99,3.99,3.88,3.88,17062.0,-0.08,-2.02,3.988,4.041,4.069,18042.95,26516.22,30452.78
2018-08-16,3.99,4.0,3.96,3.95,18132.7,-0.04,-1.0,4.032,4.055,4.077,19812.12,26375.22,30670.68
2018-08-15,4.02,4.06,4.01,4.0,16779.0,-0.04,-0.99,4.066,4.063,4.079,24430.68,27651.55,30765.95
2018-08-14,4.02,4.07,4.05,4.02,14467.17,0.01,0.25,4.092,4.074,4.079,32343.08,28715.65,30812.6
2018-08-13,4.08,4.08,4.04,4.01,23773.86,-0.06,-1.46,4.1,4.086,4.077,36598.6,29982.14,30456.39
2018-08-10,4.11,4.13,4.1,4.09,25907.86,-0.03,-0.73,4.094,4.097,4.076,34989.49,30227.35,29606.1
2018-08-09,4.08,4.14,4.13,4.06,41225.5,0.0,0.0,4.078,4.105,4.073,32938.32,33293.87,28958.35
2018-08-08,4.08,4.16,4.14,4.04,56341.0,0.05,1.22,4.06,4.104,4.067,30872.42,34184.12,28267.54
2018-08-07,4.01,4.09,4.09,3.99,35744.8,0.08,2.0,4.056,4.098,4.06,25088.22,32132.43,28035.14
2018-08-06,3.99,4.03,4.01,3.97,15728.31,-0.01,-0.25,4.072,4.096,4.057,23365.67,33231.12,27179.34
2018-08-03,4.01,4.03,4.02,3.99,15652.0,0.0,0.0,4.1,4.097,4.058,25465.21,34389.35,28018.21
