Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.06,1.1,1.11,1.15,1,1.048,1.101,1.202,1.228,1.048
R01D,0.81,0.81,0.81,0.82,0.8,0.817,0.809,0.844,1.469,2.02
R01D,1.11,1.06,1.07,1.07,1.06,1.107,1.064,1.236,1.27,1.27
R01D,1.15,1.15,1.15,1.22,1.13,1.15,1.152,1.205,1.101,1.098
R01D,1.34,1.32,1.34,1.34,1.32,1.339,1.337,1.334,1.314,1.308
R01D,1.61,1.54,1.58,1.61,1.5,1.607,1.551,1.661,1.765,1.527
R01D,1.62,1.58,1.59,1.65,1.56,0,1.588,1.647,1.753,1.512
R01D,0.96,0.96,1,1.35,0.96,0,1.007,0.835,0.838,1.586
R01D,1.18,1.16,1.18,1.18,1.148,1.166,1.156,1.217,1.211,1.027
R01D,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.63,1.688,1.427
R01D,1.5,1.48,1.5,1.58,1.35,1.497,1.496,1.864,1.649,1.429
R01D,0.83,0.829,0.82,0.91,0.81,0.835,0.834,1.166,1.86,2.164
R01D,1.46,1.19,1.48,1.7,1.13,1.135,1.227,1.153,0.992,1.276
R01D,0.82,0.83,0.83,0.83,0.83,0.82,0.83,0.819,0.862,1.692
R01D,1.38,1.36,1.5,1.56,1.35,1.381,1.385,1.202,1.212,1.07
R01D,1.31,1.293,1.31,1.31,1.29,1.31,1.307,1.381,1.305,1.309
R01D,1.93,1.94,3.2,3.8,1.94,1.951,2.187,1.725,1.775,1.563
R01D,1.37,1.35,1.33,1.85,1.31,1.372,1.335,1.344,1.288,1.166
R01D,1.18,1.165,1.18,1.2,1.15,0,1.166,1.22,1.211,1.027
R01D,1.182,1.15,1.43,1.43,1.15,1.189,1.177,1.242,1.105,1.139
R01D,1.95,1.96,1.85,1.96,1.83,1.755,1.861,1.407,1.34,1.331
R01D,0.83,0.83,0.83,1.05,0.82,0.831,0.834,0.828,0.846,1.658
R01D,1.38,1.35,1.37,1.37,1.348,0,1.364,1.311,1.314,1.306
R01D,1.05,1.03,1.05,1.23,1.029,1.051,1.04,1.18,1.22,1.054
R01D,1.15,1.15,1.14,1.3,1.14,0,1.157,1.226,1.115,1.116
R01D,1.85,1.71,1.71,1.71,1.71,1.85,1.71,1.675,1.635,1.387
R01D,0.9,0.89,0.88,0.89,0.88,0.896,0.88,1.496,2.066,2.217
R01D,1.2,1.18,1.2,1.55,1.15,1.197,1.197,1.255,1.206,1.031
R01D,0.82,0.815,0.81,0.85,0.8,0,0.815,1.599,2.133,2.249
R01D,1.24,1.15,1.152,1.152,1.15,1.186,1.151,1.186,1.041,1.124
R01D,0.95,0.96,0.96,1.31,0.96,0.95,0.964,0.825,0.836,1.616
R01D,1.52,1.53,1.55,1.585,1.4,1.514,1.54,1.863,1.633,1.438
R01D,1.25,1.22,1.22,1.22,1.22,0,1.22,1.25,1.25,1.25
R01D,1.5,2.05,2.05,2.05,2.05,0,2.05,1.729,1.617,1.357
R01D,2.18,2.143,2.15,2.2,2.14,2.178,2.151,1.816,1.596,1.452
R01D,2.04,2.01,2.03,2.03,2.01,0,2.026,1.754,1.771,1.613
R01D,3.27,4.8,4.52,5.59,0,0,4.131,1.893,1.806,1.664
R01D,1.57,1.55,1.64,1.88,1.55,1.548,1.639,1.833,1.624,1.432
R01D,2.03,2.362,2.2,2.362,2.2,2.076,2.332,1.852,1.652,1.487
R01D,1.55,1.62,1.62,1.65,1.6,0,1.618,1.687,1.785,1.552
R01D,0.81,0.81,0.81,0.91,0.81,0.821,0.822,0.835,1.314,1.966
R01D,2.4,1.96,1.98,2.2,1.85,1.949,1.97,1.567,1.435,1.31
R01D,1.2,1.1,1.1,1.3,1.09,0,1.121,1.137,0.988,1.318
R01D,0.82,0.84,0.84,0.85,0.79,0.823,0.835,1.104,1.823,2.141
R01D,1.47,1.47,1.47,1.533,1.4,0,1.492,1.877,1.646,1.427
R01D,0.82,0.83,0.82,0.92,0.81,0,0.822,0.828,0.867,1.706
R01D,0.96,0.96,0.96,1.3,0.96,0.964,0.965,0.828,0.836,1.607
R01D,0.91,0.9,0.9,0.93,0.88,0.907,0.898,1.833,2.235,2.28
R01D,1.2,1.157,1.18,1.18,1.157,1.195,1.167,1.312,1.295,1.295
R01D,1.6,1.17,1.2,1.28,1.15,0,1.187,1.253,1.22,1.034
R01D,0.828,0.8,0.82,0.83,0.8,0.828,0.822,1.159,1.851,2.155
R01D,1.45,1.433,1.43,1.46,1.4,1.437,1.438,1.252,1.228,1.091
R01D,1.44,1.44,1.54,1.54,1.38,1.442,1.444,1.271,1.245,1.106
R01D,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.874,0.855,1.491
R01D,2.28,2.17,2.19,2.23,2.17,0,2.189,1.793,1.575,1.444
R01D,0.81,0.81,0.81,0.81,0.8,0.809,0.81,0.825,1.235,1.924
R01D,1.27,1.43,1.4,1.43,1.3,1.297,1.321,1.198,1.022,1.258
R01D,1.71,1.71,1.718,1.718,1.71,1.782,1.716,1.643,1.657,1.41
R01D,1.106,1.15,1.1,2.56,1,1.109,1.112,1.083,0.956,1.384
R01D,0.82,0.82,0.82,0.9,0.82,0.829,0.831,0.827,0.881,1.733
R01D,1.5,1.48,1.5,1.78,1.4,1.491,1.497,1.865,1.638,1.431
R01D,1.205,1.2,1.2,1.2,1.2,1.205,1.2,1.183,1.066,1.048
R01D,1.19,1.2,1.2,1.2,1.2,0,1.2,1.312,1.302,1.302
R01D,1.65,1.67,1.7,2,1.64,1.629,1.695,1.776,1.683,1.493
R01D,2.25,2.3,2.33,2.5,1.78,2.257,2.323,1.685,1.516,1.369
R01D,1.46,1.21,1.22,1.31,1.21,1.228,1.22,1.212,1.148,1.076
R01D,1.43,1.15,1.4,1.4,1.15,1.394,1.165,1.329,1.329,1.329
R01D,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.818,0.914,1.759
R01D,1.88,2,1.99,2.02,1.91,1.888,1.996,1.715,1.753,1.58
R01D,1.32,1.3,1.32,1.4,1.29,1.314,1.313,1.36,1.289,1.174
R01D,1.5,1.48,1.5,1.65,1.48,1.512,1.509,0.965,0.9,1.503
R01D,1.49,1.5,1.49,1.5,1.47,1.486,1.487,1.866,1.659,1.46
R01D,1.62,1.58,1.61,1.648,1.58,0,1.614,1.665,1.772,1.535
R01D,1.55,1.53,1.55,1.6,1.53,1.548,1.549,1.679,1.778,1.548
R01D,1.55,2.3,2.3,2.3,2.3,0,2.3,1.419,1.277,1.17
R01D,1.4,1.3,1.27,1.4,1.27,1.29,1.302,1.321,1.321,1.321
R01D,1.2,1.1,1.1,1.3,1.1,1.119,1.113,0.886,0.861,1.548
R01D,1.31,1.29,1.31,1.32,1.28,1.294,1.294,1.359,1.27,1.166
R01D,1.3,1.27,1.27,1.4,1.27,1.291,1.296,1.257,1.072,1.185
R01D,1.71,1.71,1.642,1.71,1.62,1.708,1.641,1.786,1.664,1.471
R01D,1.8,1.952,1.96,2.1,1.94,0,1.967,1.691,1.775,1.545
R01D,1.1,1.09,1.09,1.24,0.85,1.012,1.082,1.12,0.979,1.34
R01D,2.74,1.7,1.76,1.76,1.7,0,1.747,1.545,1.423,1.378
R01D,1.19,1.18,1.58,1.58,1.17,0,1.193,1.237,1.19,1.018
R01D,1.195,1.2,1.2,1.2,1.2,0,1.2,1.191,1.094,1.028
R01D,1.3,1.3,1.3,1.32,1.29,1.302,1.302,1.375,1.27,1.173
R01D,2.238,2.24,2.23,2.25,2.2,2.243,2.236,1.716,1.769,1.573
R01D,2.27,2.32,2.26,2.32,2.23,2.251,2.251,1.674,1.507,1.415
R01D,2.29,2.27,2.28,2.35,2,2.304,2.267,1.767,1.56,1.394
R01D,1.59,1.55,1.55,1.6,1.51,0,1.552,1.679,1.782,1.543
R01D,0.82,0.95,0.82,0.95,0.82,0.83,0.84,0.828,1.002,1.827
R01D,0.81,0.81,0.81,0.815,0.8,0.809,0.809,0.826,1.25,1.932
R01D,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.371,1.304,1.309
R01D,1.1,1.1,1.1,1.15,1.08,1.086,1.102,0.847,0.842,1.575
R01D,2.9,1.43,1.53,1.53,1.43,1.473,1.47,1.266,1.297,1.294
R01D,0.82,0.815,0.81,1,0.81,0,0.822,0.95,1.718,2.109
R01D,2.63,2.62,3.27,3.4,2.62,2.602,3.241,1.854,1.797,1.652
R01D,1.14,1.09,1.1,1.13,1.08,1.135,1.099,1.265,1.279,1.279
R01D,1.35,1.33,1.33,1.35,1.27,0,1.326,1.002,0.913,1.458
R01D,1.1,1.33,1.33,1.33,1.33,0,1.33,0.913,0.87,1.408
