Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.27,1.27,1.27,1.32,1.26,1.276,1.273,1.24,1.058,1.174
R01D,1.67,1.65,1.65,2.01,1.65,1.805,1.746,1.724,1.712,1.507
R01D,1.28,1.15,1.25,1.25,1.15,1.22,1.19,1.188,1.021,1.167
R01D,1.7,1.66,1.66,1.75,1.66,1.675,1.666,1.758,1.674,1.48
R01D,1.03,1.03,1.05,1.05,1.02,1.033,1.034,1.174,1.209,1.039
R01D,0.94,0.83,0.83,0.93,0.81,0,0.841,0.829,1.101,1.88
R01D,1.21,1.2,1.2,1.2,1.2,1.209,1.2,1.322,1.318,1.318
R01D,0.91,0.8,0.9,0.9,0.8,0.92,0.875,1.531,2.092,2.231
R01D,2.37,2.73,2.73,2.73,2.73,2.367,2.73,1.57,1.338,1.201
R01D,2.31,2.29,2.31,2.32,2.1,0,2.286,1.701,1.512,1.361
R01D,2.26,2.35,2.32,2.35,2.3,2.251,2.306,1.693,1.519,1.42
R01D,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.057,0.947,1.306
R01D,2.3,2.5,2.29,2.5,2.27,2.298,2.299,1.758,1.557,1.435
R01D,1.5,1.55,1.55,1.58,1.54,0,1.551,1.383,1.303,1.217
R01D,2.18,2.22,2.22,2.5,2,0,2.224,1.626,1.468,1.335
R01D,1.4,1.43,1.49,1.6,1.4,0,1.483,1.858,1.641,1.426
R01D,1.98,1.97,2.18,2.25,1.85,1.97,2.157,1.582,1.442,1.317
R01D,1.64,2.1,2.08,2.5,1.95,0,2.068,1.822,1.629,1.44
R01D,0.81,0.81,0.81,0.988,0.8,0.82,0.819,0.908,1.661,2.089
R01D,1.473,1.48,1.5,1.55,1.46,1.472,1.482,1.844,1.634,1.412
R01D,1.5,1.48,1.5,1.55,1.4,0,1.497,1.872,1.636,1.434
R01D,1.45,1.45,1.44,1.45,1.44,1.45,1.448,1.836,1.595,1.331
R01D,2.45,2.6,2.76,3.6,2.6,2.363,2.737,1.47,1.372,1.265
R01D,1.5,1.53,1.47,1.55,1.47,1.529,1.525,1.66,1.759,1.529
R01D,1.7,1.66,1.66,1.76,1.6,1.695,1.682,1.774,1.686,1.496
R01D,1.34,1.31,1.33,1.33,1.31,0,1.327,1.337,1.311,1.308
R01D,0.9,0.9,0.87,0.9,0.87,0.875,0.882,1.504,2.076,2.226
R01D,0.91,0.91,0.904,0.91,0.85,0.914,0.903,1.865,2.237,2.278
R01D,0.89,0.84,0.83,0.85,0.8,0,0.837,1.718,2.185,2.261
R01D,1.32,1.3,1.32,1.34,1.3,1.321,1.319,1.405,1.3,1.31
R01D,1.46,1.6,1.36,1.6,1.145,1.205,1.164,1.222,1.116,1.11
R01D,1.47,1.24,1.28,1.28,1.24,1.45,1.279,1.328,1.328,1.328
R01D,1.07,1.033,1.033,1.033,1.03,0,1.031,1.225,1.267,1.267
R01D,1.27,1.27,1.23,1.31,1.23,0,1.264,1.248,1.074,1.149
R01D,1.62,1.6,1.62,1.62,1.5,1.596,1.592,1.64,1.745,1.508
R01D,1.14,1.13,1.14,1.15,1.129,1.129,1.135,1.268,1.282,1.282
R01D,1.38,1.35,1.37,1.65,1.34,0,1.361,1.314,1.285,1.14
R01D,1.42,1.71,1.7,1.72,1.55,0,1.702,1.236,1.051,1.181
R01D,0.94,0.824,0.94,0.94,0.81,0.833,0.827,1.358,2.001,2.211
R01D,1.1,1.058,1.063,1.22,0.9,0,1.06,1.108,0.972,1.381
R01D,1.1,1.15,1.09,1.15,1.08,0,1.104,1.122,0.975,1.307
R01D,1.1,1.1,1.2,1.29,1.09,1.108,1.119,0.88,0.859,1.556
R01D,2.14,1.325,1.5,1.52,1.3,1.364,1.398,1.022,0.93,1.469
R01D,2.15,2.3,2.27,2.55,2.15,2.203,2.357,1.437,1.362,1.266
R01D,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.325,1.227,1.128
R01D,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.836,0.841,1.541
R01D,1.35,1.32,1.322,1.322,1.32,0,1.321,1.324,1.319,1.307
R01D,1.57,1.63,1.63,1.702,1.52,1.566,1.652,1.853,1.637,1.448
R01D,1.69,1.1,1.54,1.54,1.094,1.584,1.458,1.279,1.279,1.279
R01D,0.91,0.82,0.816,0.918,0.81,0,0.827,0.865,1.58,2.062
R01D,1.036,1.2,1.45,1.45,1.19,0,1.236,1.201,1.26,1.26
R01D,1.98,1.98,1.98,2.02,1.97,0,1.98,1.789,1.66,1.463
R01D,0.819,0.82,0.82,0.9,0.81,0.82,0.82,0.817,0.853,1.691
R01D,0.82,0.82,0.82,0.92,0.8,0,0.83,0.831,1.169,1.898
R01D,1.33,1.32,1.31,1.33,1.3,0,1.317,1.337,1.273,1.156
R01D,1.34,1.32,1.32,1.34,1.302,1.318,1.323,1.313,1.273,1.136
R01D,1.6,1.605,1.605,1.605,1.605,0,1.605,1.636,1.704,1.431
R01D,1.3,1.3,1.32,1.32,1.28,1.307,1.302,1.345,1.273,1.159
R01D,1.24,1.22,1.24,1.3,1.21,0,1.233,1.249,1.191,1.032
R01D,1.67,1.1,1.54,1.54,1.09,1.199,1.172,1.15,0.995,1.303
R01D,2.9,1.49,1.48,1.522,1.4,1.885,1.459,1.264,1.241,1.103
R01D,1.15,1.15,1.15,1.18,1.14,1.156,1.154,1.219,1.094,1.121
R01D,0.81,0.822,0.8,0.83,0.8,0.82,0.815,0.821,1.146,1.882
R01D,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.818,0.927,1.779
R01D,1.05,1.19,1.21,1.37,1.04,0,1.203,1.179,1.211,1.057
R01D,1.5,1.48,1.48,1.5,1.45,1.482,1.478,1.845,1.635,1.413
R01D,0.84,0.82,0.82,0.83,0.79,0.836,0.825,1.049,1.78,2.126
R01D,1.71,1.782,1.782,1.782,1.782,2.04,1.782,1.639,1.655,1.406
R01D,1.51,1.53,1.51,1.7,1.5,1.519,1.515,1.384,1.311,1.223
R01D,2.1,2,2.01,2.1,1.6,2.099,2.018,1.726,1.758,1.589
R01D,0.99,1,1,1.15,0.85,1.014,1,1.11,0.975,1.372
R01D,1.76,1.8,1.75,2.2,1.75,1.756,1.83,1.697,1.785,1.555
R01D,1.69,1.67,1.64,1.68,1.5,1.682,1.653,1.825,1.598,1.404
R01D,0.83,0.83,0.83,0.9,0.82,0.83,0.842,0.819,0.836,1.64
R01D,1.293,1.29,1.292,1.292,1.29,0,1.291,1.295,1.225,1.118
R01D,1.13,1.17,1.16,1.2,1.13,1.186,1.167,1.059,0.944,1.413
R01D,2.58,2.1,2,2.1,1.9,2.543,1.996,1.838,1.662,1.472
R01D,4.52,5.5,4.62,5.5,2,3.997,4.583,1.949,1.832,1.678
R01D,0.834,0.839,0.83,0.93,0.83,0.842,0.84,1.273,1.933,2.191
R01D,4.62,4.7,4.75,5,4.67,4.583,4.757,2.012,1.857,1.696
R01D,1.5,1.45,1.47,1.54,1.45,1.501,1.471,1.865,1.645,1.459
R01D,2.14,2.35,2.38,2.6,2.34,2.133,2.403,1.81,1.784,1.635
R01D,0.81,0.81,0.81,0.82,0.8,0.81,0.81,0.84,1.426,2.007
R01D,0.84,0.84,0.84,0.87,0.8,0.839,0.84,1.266,1.924,2.182
R01D,1.45,1.416,1.43,1.43,1.39,1.431,1.415,1.276,1.253,1.106
R01D,1.52,1.54,1.57,1.57,1.45,1.522,1.548,1.838,1.623,1.429
R01D,1.475,1.48,1.48,1.48,1.48,1.475,1.48,1.769,1.61,1.338
R01D,1.52,1.52,1.54,1.57,1.52,1.51,1.54,1.862,1.638,1.471
R01D,1.4,1.38,1.39,1.39,1.37,1.391,1.382,1.301,1.314,1.304
R01D,1.18,1.122,1.14,1.15,1.12,0,1.133,1.274,1.285,1.285
R01D,1.2,1.171,1.2,1.21,1.17,1.2,1.183,1.315,1.298,1.298
R01D,1.47,1.45,1.45,1.47,1.43,1.478,1.449,1.846,1.624,1.41
R01D,1.23,1.205,1.22,1.28,1.18,1.224,1.214,1.253,1.195,1.032
R01D,1.84,1.84,1.9,1.9,1.83,1.838,1.843,1.544,1.419,1.299
R01D,1.57,1.55,1.65,1.65,1.55,1.566,1.559,1.407,1.329,1.325
R01D,1.38,1,1,1,1,1.233,1,1.21,1.21,1.21
R01D,0.84,0.835,0.84,0.84,0.8,0,0.836,1.054,1.79,2.132
R01D,0.95,0.96,0.96,0.96,0.96,0.95,0.96,0.831,0.84,1.557
R01D,1.49,1.55,1.5,1.55,1.47,1.482,1.496,1.862,1.656,1.46
R01D,0.81,0.81,0.81,0.87,0.81,0,0.819,0.834,1.228,1.924
