Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.799,1.618,1.335
R01D,1.51,1.5,1.5,1.54,1.5,1.508,1.501,1.38,1.299,1.211
R01D,1.83,1.94,1.98,2.015,1.94,0,1.983,1.711,1.795,1.564
R01D,1.54,1.54,1.57,1.602,1.54,1.536,1.566,1.858,1.635,1.445
R01D,1.74,1.9,1.8,1.91,1.8,1.736,1.806,1.678,1.766,1.54
R01D,1.48,1.4,1.182,1.4,1.18,0,1.197,1.331,1.331,1.331
R01D,1.58,1.54,1.55,1.6,1.5,1.551,1.545,1.663,1.767,1.529
R01D,2,2,2.02,2.058,2,2.008,2.027,1.753,1.757,1.601
R01D,1.215,1.205,1.21,1.21,1.2,1.214,1.209,1.321,1.32,1.32
R01D,1.62,1.37,1.3,1.37,1.3,0,1.324,1.041,0.933,1.429
R01D,0.82,0.82,0.82,0.84,0.8,0.829,0.821,0.817,0.993,1.816
R01D,1.77,1.74,1.77,1.8,1.733,0,1.753,1.657,1.742,1.527
R01D,1.42,1.6,1.7,2.2,1.5,1.433,1.632,1.218,1.215,1.08
R01D,1.79,1.32,1.62,1.62,1.3,1.432,1.375,1.044,0.942,1.455
R01D,1.32,1.32,1.317,1.35,1.3,1.319,1.319,1.319,1.272,1.141
R01D,1.35,1.25,1.2,1.45,1.2,1.421,1.256,0.997,0.915,1.486
R01D,1.18,1.15,1.15,1.2,1.145,1.183,1.156,1.225,1.09,1.127
R01D,0.82,0.82,0.94,0.94,0.81,0.828,0.836,0.831,1.14,1.886
R01D,0.84,0.85,0.84,0.95,0.84,0.851,0.856,0.833,1.199,1.912
R01D,1.46,1.451,1.45,1.451,1.45,0,1.45,1.755,1.544,1.327
R01D,1.24,1.211,1.211,1.211,1.211,0,1.211,1.182,1.061,1.056
R01D,1.05,1.058,1.058,1.058,1.058,0,1.058,1.198,1.188,1.029
R01D,1.18,1.2,1.18,1.28,1.15,1.176,1.177,1.249,1.221,1.036
R01D,2.78,2.77,2.75,2.87,2.45,2.793,2.753,1.531,1.417,1.3
R01D,2.02,1.69,1.71,1.75,1.64,0,1.686,1.837,1.612,1.456
R01D,1.5,1.48,1.5,1.58,1.4,1.492,1.487,1.852,1.634,1.427
R01D,1.38,1.36,1.36,1.4,1.35,1.365,1.363,1.189,1.197,1.057
R01D,0.83,0.84,0.8,0.84,0.8,0.837,0.828,1.701,2.171,2.254
R01D,1.18,1.16,1.18,1.21,1.16,1.167,1.179,1.31,1.293,1.293
R01D,1.55,1.71,1.76,2,1.7,0,1.746,1.386,1.319,1.232
R01D,2.16,1.71,1.71,1.71,1.71,0,1.71,1.742,1.517,1.32
R01D,2.03,2.5,2.2,3.4,2.03,2.075,2.367,1.85,1.648,1.46
R01D,0.82,0.822,0.822,0.822,0.822,0,0.822,0.819,1.021,1.887
R01D,1.31,1.292,1.31,1.31,1.292,1.31,1.31,1.376,1.305,1.309
R01D,1.97,2,2,2.1,1.8,1.967,1.997,1.577,1.45,1.326
R01D,1.552,1.55,1.57,1.57,1.55,1.565,1.566,1.404,1.325,1.324
R01D,1.32,1.3,1.32,1.7,1.29,0,1.31,1.403,1.288,1.197
R01D,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.818,0.941,1.788
R01D,1.68,1.73,1.76,1.78,1.73,1.677,1.757,1.692,1.783,1.555
R01D,2.9,2.86,2.78,3,2.4,2.767,2.793,1.506,1.402,1.29
R01D,1.39,1.37,1.39,1.46,1.36,1.381,1.374,1.308,1.281,1.133
