Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.47,1.47,1.4,1.55,1.35,1.492,1.489,1.869,1.647,1.428
R01D,1.71,2.04,2.04,2.04,2.04,0,2.04,1.632,1.652,1.402
R01D,1.98,1.98,1.98,2.03,1.98,0,1.989,1.808,1.677,1.498
R01D,2.18,2.14,2.15,2.2,1.85,2.163,2.138,1.807,1.591,1.41
R01D,0.836,0.85,0.844,0.85,0.8,0.833,0.843,0.824,1.19,1.901
R01D,1.32,1.5,1.32,1.5,1.3,1.311,1.31,1.401,1.287,1.193
R01D,1.159,1.16,1.18,1.2,1.14,1.162,1.159,1.227,1.207,1.025
R01D,1.79,1.75,1.84,1.9,1.73,1.783,1.746,1.7,1.7,1.495
R01D,1.36,1.36,1.36,1.4,1.356,0,1.362,1.192,1.195,1.061
R01D,1.5,1.16,1.33,1.33,1.12,1.456,1.188,1.338,1.338,1.338
R01D,1.238,1.24,1.24,1.24,1.24,1.236,1.24,1.18,1.059,1.077
R01D,1.85,1.71,1.72,1.75,1.687,1.861,1.721,1.808,1.679,1.503
R01D,1.317,1.31,1.33,1.33,1.29,0,1.311,1.322,1.271,1.145
R01D,1.43,1.43,1.43,1.46,1.43,1.434,1.438,1.287,1.31,1.301
R01D,1.64,1.72,1.7,1.75,1.7,0,1.709,1.253,1.065,1.193
R01D,0.8,0.83,0.83,0.83,0.83,0.8,0.83,1.492,1.935,2.238
R01D,2.15,2.3,2.3,2.6,2.2,2.16,2.389,1.441,1.362,1.343
R01D,1.66,1.64,1.66,1.698,1.64,1.662,1.666,1.65,1.749,1.528
R01D,1.19,1.17,1.16,1.2,1.16,0,1.169,1.236,1.204,1.022
R01D,0.8,0.82,0.81,0.91,0.81,0.819,0.819,0.854,1.524,2.042
R01D,2.02,2.1,2.16,2.4,2.1,0,2.128,1.776,1.759,1.612
R01D,1.74,2.13,2.13,2.13,2.13,0,2.13,1.704,1.717,1.505
R01D,1.72,1.64,1.64,1.85,1.64,1.721,1.659,1.804,1.682,1.506
R01D,2.31,2.28,2.3,2.3,2.28,2.283,2.298,1.73,1.542,1.43
R01D,1.45,1.25,1.246,1.4,1.15,1.411,1.241,0.985,0.904,1.475
R01D,1.58,1.58,1.57,1.6,1.52,1.58,1.569,1.657,1.756,1.524
R01D,2,1.92,1.93,1.96,1.9,2.004,1.931,1.725,1.798,1.57
R01D,0.82,0.82,0.82,0.83,0.81,0.819,0.82,0.816,0.908,1.763
R01D,1.18,1.15,1.68,1.68,1.14,1.173,1.191,1.229,1.229,1.041
R01D,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.311,1.227,1.121
R01D,0.83,0.8,0.82,0.92,0.8,0.841,0.827,0.829,1.086,1.873
