Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.4,1.55,1.5,1.55,1.35,1.489,1.497,1.862,1.648,1.428
R01D,1.62,1.65,1.68,1.68,1.65,1.618,1.677,1.687,1.784,1.553
R01D,1.66,1.729,1.74,1.9,1.7,1.658,1.736,1.672,1.764,1.537
R01D,1.36,1.36,1.37,1.37,1.353,1.357,1.367,1.41,1.301,1.31
R01D,2.12,2.04,2.04,2.05,2,2.116,2.031,1.747,1.778,1.607
R01D,1.2,1.35,1.4,1.7,1.3,1.256,1.399,1.008,0.919,1.48
R01D,1.37,1.365,1.365,1.365,1.365,1.37,1.365,1.198,1.194,1.046
R01D,1.1,1,1.48,1.48,0.9,0,1.05,1.112,0.978,1.35
R01D,1.53,1.5,1.51,1.54,1.49,1.507,1.508,1.377,1.297,1.208
R01D,1.15,1.14,1.22,1.29,1.124,1.152,1.227,1.203,1.105,1.093
R01D,1.27,1.195,1.22,1.22,1.195,1.27,1.219,1.325,1.316,1.316
R01D,1.39,1.36,1.38,1.56,1.36,1.383,1.381,1.199,1.212,1.068
R01D,1.19,1.38,1.36,1.47,1.34,0,1.374,0.913,0.871,1.503
R01D,0.83,0.85,0.85,0.85,0.85,0.83,0.85,0.821,0.84,1.602
R01D,1.1,1.14,1.1,1.14,1.01,0,1.071,1.093,0.959,1.37
R01D,1.55,1.53,1.55,1.6,1.53,1.545,1.545,1.664,1.769,1.531
R01D,1.14,1.18,1.2,1.3,1.15,1.157,1.207,1.168,1.004,1.287
R01D,1.64,1.63,1.77,1.9,1.63,1.778,1.734,1.708,1.699,1.491
R01D,1.49,1.45,1.47,1.6,1.4,0,1.461,1.845,1.625,1.426
R01D,0.82,0.82,0.82,0.84,0.8,0,0.816,1.59,2.122,2.24
R01D,0.838,0.82,0.82,0.82,0.82,0,0.82,1.087,1.721,2.137
R01D,1.66,1.64,1.66,1.74,1.6,1.662,1.661,1.647,1.743,1.515
R01D,1.17,1.175,1.172,1.175,1.171,1.17,1.172,1.215,1.165,1.015
R01D,1.62,1.65,1.68,1.82,1.6,1.618,1.672,1.685,1.783,1.549
R01D,0.83,0.822,0.82,0.822,0.8,0.821,0.816,0.817,1.021,1.832
R01D,1.37,1.314,1.33,1.45,1.314,1.371,1.338,1.344,1.31,1.309
R01D,1.33,1.32,1.34,1.34,1.32,0,1.336,1.352,1.311,1.309
R01D,1.55,1.55,1.55,1.55,1.55,0,1.55,1.658,1.718,1.467
R01D,1.49,1.42,1.45,1.5,1.4,0,1.443,0.965,0.895,1.482
R01D,1.57,1.63,1.63,1.7,1.63,1.569,1.66,1.854,1.641,1.476
R01D,1.172,1.17,1.169,1.17,1.169,0,1.169,1.214,1.176,1.017
R01D,1.262,1.254,1.254,1.254,1.254,1.261,1.254,1.205,1.109,1.027
R01D,1.419,1.43,1.39,1.44,1.39,1.419,1.417,1.394,1.288,1.197
R01D,1.53,1.26,1.54,1.54,1.26,0,1.44,1.33,1.33,1.33
R01D,1.25,1.14,1.23,1.23,1.14,0,1.176,1.187,1.036,1.124
R01D,1.145,1.14,1.14,1.19,1.12,0,1.143,1.209,1.1,1.104
R01D,1.25,1.22,1.24,1.3,1.22,0,1.239,1.321,1.308,1.308
R01D,1.47,1.26,1.264,1.3,1.25,0,1.267,1.175,1.004,1.255
R01D,1.165,1.162,1.16,1.162,1.16,1.165,1.161,1.211,1.18,1.02
R01D,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.74,1.6,1.345
R01D,1.23,1.21,1.22,1.24,1.19,1.215,1.202,1.236,1.18,1.02
R01D,2.3,2.4,2.29,2.68,2.1,2.287,2.304,1.75,1.553,1.388
R01D,2.6,1.7,1.75,1.95,1.7,0,1.713,1.529,1.407,1.291
R01D,1.27,1.27,1.27,1.32,1.23,1.273,1.273,1.245,1.067,1.161
R01D,1.96,1.98,1.98,2,1.85,1.967,1.982,1.697,1.777,1.547
R01D,0.83,0.83,0.92,0.92,0.82,0.84,0.828,0.828,0.852,1.685
R01D,1.5,1.55,1.53,1.554,1.51,1.531,1.528,1.645,1.753,1.513
R01D,2.2,2.3,2.26,2.6,2.13,2.164,2.302,1.427,1.347,1.25
R01D,1.64,1.75,1.78,2,1.75,1.899,1.778,1.708,1.699,1.49
R01D,0.83,0.84,0.84,0.84,0.84,0,0.84,1.37,1.859,2.215
R01D,0.89,0.92,0.91,0.92,0.89,0.92,0.914,1.884,2.25,2.284
R01D,1.54,1.59,1.59,1.59,1.59,0,1.59,1.655,1.722,1.451
R01D,2.03,2,2.02,2.05,2,2.026,2.016,1.764,1.773,1.616
R01D,1.32,1.34,1.36,1.75,1.33,1.31,1.354,1.406,1.289,1.198
R01D,2.01,2.01,2.01,2.038,1.9,0,2.014,1.734,1.752,1.595
R01D,1.5,1.5,1.52,1.52,1.5,1.495,1.515,1.863,1.639,1.465
R01D,1.69,1.7,1.66,1.8,1.6,1.691,1.662,1.648,1.74,1.513
R01D,1.42,1.618,1.44,1.618,1.4,1.412,1.425,1.408,1.301,1.21
R01D,1.3,1.3,1.3,1.32,1.28,1.302,1.301,1.38,1.271,1.176
R01D,1.18,1.15,1.18,1.18,1.15,1.178,1.178,1.277,1.287,1.287
