Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,0.81,0.81,0.81,0.91,0.8,0,0.825,0.844,1.4,2.011
R01D,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.31,1.227,1.126
R01D,2.17,2.17,2.18,2.19,2.1,2.171,2.153,1.782,1.566,1.388
R01D,1.75,1.94,1.98,2.1,1.94,0,1.981,1.709,1.794,1.561
R01D,2.38,2.5,2.63,2.7,2.5,2.403,2.602,1.826,1.788,1.642
R01D,0.82,0.82,0.82,0.83,0.8,0,0.819,0.816,0.922,1.768
R01D,1.2,1.23,1.4,1.4,1.15,1.22,1.207,1.255,1.098,1.15
R01D,1.09,1.14,1.15,1.24,1.1,0,1.149,0.881,0.855,1.526
R01D,0.81,0.85,0.836,0.85,0.8,0.809,0.833,0.825,1.204,1.908
R01D,0.92,0.83,0.83,0.9,0.82,0,0.831,0.828,0.849,1.662
R01D,0.83,0.83,0.82,0.84,0.82,0.834,0.828,1.644,2.155,2.251
R01D,1.34,1.36,1.42,1.42,1.36,1.337,1.39,1.204,1.261,1.261
R01D,1.36,1.36,1.39,1.39,1.36,1.36,1.376,1.211,1.263,1.263
R01D,2.02,2,2.02,2.048,1.98,2.027,2.007,1.76,1.76,1.605
R01D,1.21,1.32,1.32,1.32,1.32,1.21,1.32,1.185,1.186,1.035
R01D,1.34,1.32,1.33,1.75,1.3,0,1.315,1.338,1.287,1.16
R01D,1.248,1.235,1.238,1.238,1.235,1.245,1.236,1.178,1.055,1.086
R01D,1.47,1.475,1.475,1.475,1.475,1.47,1.475,1.783,1.614,1.337
R01D,1.77,1.32,1.42,1.58,1.32,1.498,1.476,1.299,1.299,1.299
R01D,0.82,0.82,0.822,0.93,0.81,0.829,0.834,0.827,0.917,1.774
R01D,1.22,1.213,1.215,1.215,1.213,1.232,1.214,1.321,1.322,1.322
R01D,1.14,1.14,1.15,1.19,1.126,1.143,1.15,1.208,1.101,1.104
R01D,1.55,1.59,1.61,1.75,1.57,0,1.613,1.672,1.779,1.535
R01D,1.48,1.5,1.5,1.5,1.5,1.48,1.5,1.751,1.603,1.343
R01D,2.02,2.02,2.04,2.04,2.02,2.016,2.036,1.772,1.776,1.62
R01D,1.31,1.29,1.31,1.32,1.28,1.294,1.294,1.364,1.27,1.168
R01D,0.81,0.81,0.82,0.91,0.8,0.812,0.811,0.837,1.385,1.995
R01D,1.5,1.45,1.45,1.62,1.44,0,1.461,0.977,0.906,1.493
R01D,2.14,2.03,1.98,2.04,1.85,2.121,1.972,1.811,1.585,1.398
R01D,1.605,1.54,1.54,1.54,1.54,0,1.54,1.638,1.719,1.435
R01D,0.96,1.1,1.1,1.1,1.1,0,1.1,0.849,0.84,1.503
R01D,1.4,1.2,1.182,1.4,1.179,0,1.189,1.244,1.104,1.139
R01D,1.37,1.35,1.362,1.6,1.35,1.361,1.371,1.406,1.293,1.203
R01D,1.169,1.165,1.165,1.165,1.165,1.169,1.165,1.212,1.176,1.019
R01D,2.25,2.25,2.27,2.27,2.24,2.235,2.251,1.655,1.496,1.41
R01D,1.1,1.05,1.08,1.09,1.02,0,1.055,1.193,1.215,1.034
R01D,1.51,1.51,1.52,1.57,1.5,1.515,1.509,1.386,1.314,1.226
R01D,0.809,0.81,0.81,0.812,0.8,0,0.809,0.826,1.285,1.946
R01D,1.648,1.624,1.624,1.624,1.624,1.648,1.624,1.626,1.683,1.423
R01D,1.54,1.2,1.48,1.48,1.2,1.374,1.383,1.334,1.334,1.334
R01D,1.26,1.25,1.25,1.3,1.22,1.255,1.244,1.23,1.168,1.024
R01D,1.7,1.28,1.27,1.3,1.25,0,1.276,1.239,1.056,1.174
R01D,1.25,1.28,1.26,1.363,1.25,0,1.275,1.19,1.017,1.266
R01D,1.15,1.12,1.14,1.22,1.1,1.139,1.132,1.225,1.23,1.043
R01D,0.81,0.81,0.82,0.91,0.8,0,0.828,0.895,1.643,2.084
R01D,1.063,0.98,0.99,1.4,0.9,1.06,1.014,1.106,0.974,1.38
R01D,1.322,1.34,1.34,1.34,1.32,1.321,1.337,1.327,1.32,1.307
R01D,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.471,1.914,2.227
R01D,1.3,1.108,1.11,1.27,1.108,1.182,1.148,1.269,1.269,1.269
R01D,1.4,1.35,1.37,1.46,1.35,0,1.37,0.925,0.881,1.513
R01D,1.218,1.203,1.203,1.203,1.203,0,1.203,1.216,1.135,1.016
R01D,1.85,2.17,2.17,2.17,2.17,0,2.17,1.641,1.409,1.263
R01D,1.14,1.19,1.14,1.49,1.1,1.132,1.141,1.224,1.23,1.045
R01D,0.92,0.91,0.91,0.93,0.89,0.914,0.907,1.877,2.248,2.287
R01D,1.55,1.74,1.74,1.74,1.74,0,1.74,1.676,1.718,1.475
R01D,0.81,0.81,0.81,0.82,0.8,0.81,0.809,0.829,1.326,1.963
R01D,0.81,0.815,0.81,0.82,0.79,0.808,0.81,0.836,1.374,1.978
R01D,0.94,0.91,0.83,0.91,0.82,0,0.835,1.173,1.87,2.17
R01D,0.83,0.83,0.83,1,0.827,0.836,0.834,1.677,2.169,2.256
R01D,1.18,1.26,1.25,1.26,1.25,1.19,1.254,1.262,1.262,1.262
R01D,1.32,1.3,1.32,1.37,1.3,1.308,1.306,1.39,1.285,1.188
R01D,2,2.15,2.2,2.4,1.86,1.906,2.164,1.409,1.336,1.242
R01D,1.3,1.42,1.42,1.42,1.42,0,1.42,1.336,1.237,1.141
R01D,1.191,1.19,1.22,1.23,1.173,1.196,1.196,1.202,1.147,1.043
R01D,1.47,1.52,1.5,1.52,1.48,1.474,1.498,1.859,1.636,1.458
R01D,1.35,1.4,1.38,1.59,1.36,1.345,1.399,1.187,1.211,1.061
R01D,1.33,1.32,1.32,1.35,1.3,1.315,1.308,1.341,1.286,1.161
R01D,0.82,0.82,0.82,1.8,0.8,0.816,0.829,0.817,1.007,1.825
R01D,1.31,1.42,1.55,1.8,1.1,1.328,1.318,1.062,0.951,1.44
R01D,1.62,1.54,1.59,1.62,1.53,1.59,1.582,1.653,1.759,1.52
R01D,2.2,2.22,2.25,2.25,2.22,0,2.235,1.643,1.485,1.405
R01D,1.53,1.51,1.51,1.684,1.5,1.511,1.519,1.408,1.309,1.22
R01D,0.82,0.822,0.81,0.83,0.8,0,0.82,0.821,1.161,1.887
R01D,1.47,1.47,1.48,1.49,1.45,1.471,1.472,1.847,1.637,1.415
R01D,2.29,2.26,2.28,2.28,2.25,2.299,2.276,1.776,1.564,1.44
R01D,1.5,1.488,1.5,1.55,1.48,1.496,1.498,1.863,1.658,1.46
R01D,1.22,1.2,1.198,1.24,1.19,1.214,1.201,1.198,1.133,1.058
R01D,1.1,1.1,1.15,1.2,1.09,1.121,1.121,1.136,0.989,1.317
R01D,1.61,1.6,1.6,1.605,1.59,1.612,1.6,1.674,1.776,1.545
