Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,0.838,0.84,0.828,0.85,0.79,0,0.828,1.165,1.861,2.161
R01D,1.1,1.1,1.1,1.1,1.1,0,1.1,0.968,0.911,1.36
R01D,1.31,1.36,1.36,1.36,1.36,0,1.36,1.25,1.223,1.102
R01D,0.82,0.82,0.819,0.85,0.81,0,0.82,0.816,0.888,1.742
R01D,1.44,1.37,1.37,1.37,1.37,0,1.37,1.216,1.217,1.084
R01D,1.2,1.1,1.1,1.29,1.09,0,1.104,0.87,0.855,1.565
R01D,1.365,1.37,1.37,1.37,1.37,1.365,1.37,1.203,1.197,1.051
R01D,1.45,1.5,1.47,1.51,1.4,1.449,1.479,1.839,1.615,1.41
R01D,0.81,0.815,0.81,0.91,0.805,0,0.812,0.839,1.391,2.001
R01D,1.46,1.152,1.36,1.36,1.152,1.449,1.328,1.324,1.324,1.324
R01D,2.5,1.98,1.85,2.02,1.5,0,1.939,1.239,1.22,1.085
R01D,1.33,1.31,1.42,1.42,1.31,1.32,1.342,1.208,1.031,1.208
R01D,1.362,1.4,1.4,1.4,1.4,1.371,1.4,1.406,1.295,1.206
R01D,1.1,1.09,1.09,1.16,1.09,1.102,1.101,0.874,0.852,1.538
R01D,0.81,0.9,0.81,0.91,0.809,0.821,0.822,0.834,1.243,1.934
R01D,0.8,0.827,0.82,0.83,0.79,0.827,0.826,1.635,2.144,2.242
R01D,1.54,1.8,1.11,1.8,1.09,0,1.114,1.161,1.001,1.288
R01D,1.45,1.45,1.35,1.6,1.33,1.461,1.421,0.989,0.911,1.492
R01D,1.18,1.16,1.18,1.18,1.16,1.179,1.168,1.303,1.291,1.291
R01D,1.3,1.37,1.62,1.62,1.3,1.319,1.332,1.027,0.928,1.443
R01D,1.031,1.036,1.036,1.036,1.036,0,1.036,1.185,1.183,1.029
R01D,1.51,1.51,1.53,1.54,1.45,1.513,1.507,1.397,1.294,1.204
R01D,1.99,1.99,2.1,2.129,1.99,1.996,2.099,1.72,1.757,1.584
R01D,2.2,2.23,2.26,3,2.23,2.173,2.263,1.741,1.792,1.584
R01D,1.45,1.45,1.45,1.47,1.43,1.448,1.448,1.854,1.63,1.41
R01D,1.64,1.31,1.35,1.52,1.31,1.222,1.345,1.183,1.212,1.059
R01D,1.16,1.165,1.165,1.165,1.165,1.161,1.165,1.21,1.183,1.022
R01D,1.21,1.2,1.23,1.5,1.19,1.199,1.217,1.166,1.195,1.045
R01D,1.38,1.36,1.8,1.8,1.35,0,1.379,1.191,1.209,1.063
R01D,1.1,0.98,1,1.06,0.93,1.071,1.004,1.091,0.961,1.368
R01D,1.55,1.54,1.52,1.6,1.49,0,1.512,1.868,1.633,1.442
R01D,0.82,0.82,0.82,0.88,0.81,0.831,0.828,0.827,0.874,1.723
R01D,0.84,0.83,0.83,0.83,0.83,0,0.83,1.189,1.785,2.17
R01D,1.196,1.195,1.195,1.195,1.195,1.195,1.195,1.19,1.088,1.043
R01D,1.3,1.18,1.28,1.28,1.18,0,1.22,1.188,1.017,1.167
R01D,2.15,2.02,2.02,2.02,2.01,2.151,2.019,1.83,1.605,1.455
R01D,1.5,1.36,1.36,1.56,1.36,0,1.395,1.206,1.208,1.074
R01D,1.43,1.38,1.4,1.54,1.38,0,1.388,1.301,1.276,1.129
R01D,0.82,0.81,0.81,0.81,0.81,0.82,0.81,0.902,1.624,2.093
R01D,1.099,1.14,1.14,1.14,1.1,1.099,1.137,1.265,1.265,1.265
R01D,1.65,1.78,1.95,1.95,1.71,0,1.755,1.398,1.334,1.328
R01D,1.65,1.66,1.7,1.73,1.66,1.643,1.7,1.778,1.689,1.51
R01D,1,1.05,1.1,1.17,1,1,1.025,1.113,0.977,1.364
R01D,1.36,1.34,1.36,1.42,1.33,1.349,1.345,1.321,1.289,1.143
R01D,1.42,1.41,1.42,1.45,1.407,0,1.421,1.414,1.306,1.312
R01D,0.82,0.82,0.82,1,0.8,0.83,0.828,0.831,1.155,1.893
R01D,0.817,0.815,0.81,0.83,0.81,0.818,0.818,0.871,1.596,2.063
