Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,2.32,2.29,2.31,2.31,2.28,0,2.283,1.719,1.53,1.425
R01D,0.82,0.82,0.821,0.88,0.82,0.828,0.827,0.827,0.945,1.792
R01D,1.44,1.22,1.47,1.47,1.21,0,1.237,1.212,1.13,1.094
R01D,1.54,1.45,1.48,1.76,1.44,1.446,1.47,1.28,1.251,1.112
R01D,1.26,1.23,1.32,1.4,1.18,1.275,1.253,1.265,1.09,1.161
R01D,0.81,0.8,0.81,0.812,0.8,0.809,0.809,0.826,1.268,1.94
R01D,1.55,1.55,1.55,1.6,1.535,1.552,1.558,1.393,1.313,1.226
R01D,0.81,0.81,0.94,1,0.81,0.825,0.84,0.843,1.395,2.005
R01D,2.56,1.98,1.98,2,1.9,2.537,1.981,1.822,1.65,1.457
R01D,1.16,1.16,1.42,1.42,1.12,0,1.176,1.07,0.948,1.4
R01D,1.155,1.17,1.159,1.2,1.15,1.157,1.162,1.231,1.205,1.024
R01D,1.65,2,1.8,2.13,1.7,1.746,1.806,1.725,1.713,1.509
R01D,2.01,2.16,2.2,2.2,2.16,0,2.165,1.62,1.475,1.4
R01D,2.01,2,2,2.05,1.98,2.014,2.008,1.744,1.755,1.597
R01D,2.23,1.84,1.88,1.99,1.42,0,1.888,1.714,1.75,1.578
R01D,1.365,1.352,1.34,1.352,1.32,0,1.348,1.296,1.268,1.125
R01D,0.81,0.82,0.82,0.82,0.82,0,0.82,0.88,1.593,2.085
R01D,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.361,1.311,1.309
R01D,1.61,1.54,1.56,1.6,1.54,1.614,1.559,1.663,1.769,1.536
R01D,2.18,2.14,2.14,2.15,1.95,2.153,2.121,1.798,1.577,1.394
R01D,0.82,0.82,0.82,0.84,0.81,0.821,0.821,0.817,0.88,1.732
R01D,1.39,1.37,1.38,1.38,1.36,1.376,1.368,1.215,1.265,1.265
R01D,1.51,1.5,1.51,1.57,1.5,1.508,1.515,1.391,1.312,1.317
