Symbol,PreClosePrice,OpenPrice,ClosePrice,HighPrice,LowPrice,PreAvgInterest,AvgPriceInterest,MovingAvgInterest3M,MovingAvgInterest6M,MovingAvgInterest12M
R01D,1.21,1.19,1.22,1.4,1.18,1.196,1.198,1.209,1.152,1.033
R01D,1.2,1.18,1.2,1.28,1.15,1.197,1.187,1.255,1.209,1.032
R01D,1.49,1.48,1.5,1.52,1.48,1.497,1.503,0.94,0.884,1.498
R01D,0.82,0.82,0.82,0.82,0.82,0,0.82,0.818,0.943,1.797
R01D,1.49,1.52,1.5,1.55,1.48,1.487,1.5,1.866,1.658,1.461
R01D,2.9,2,1.98,2,1.98,0,1.988,1.257,1.292,1.291
R01D,2.3,2.36,2.37,2.37,2.36,0,2.367,1.487,1.303,1.182
R01D,0.82,0.82,0.82,0.82,0.82,0,0.82,0.818,0.988,1.846
R01D,2.6,1.67,1.67,1.7,1.66,0,1.67,1.633,1.728,1.497
R01D,0.806,0.85,0.81,0.92,0.79,0.822,0.82,0.922,1.68,2.094
R01D,0.81,0.81,0.8,0.83,0.8,0.809,0.81,0.902,1.651,2.079
R01D,1.36,1.36,1.39,1.4,1.36,1.364,1.367,1.18,1.195,1.051
R01D,2.79,2.75,2.78,2.78,2.75,2.834,2.759,1.511,1.403,1.367
R01D,2.31,2.28,2.3,2.33,2.2,2.292,2.287,1.722,1.538,1.382
R01D,1.71,1.65,1.65,1.65,1.65,1.71,1.65,1.762,1.535,1.324
R01D,1.33,1.34,1.34,1.41,1.32,1.326,1.328,1.33,1.29,1.151
R01D,1.254,1.241,1.241,1.241,1.241,1.254,1.241,1.208,1.116,1.025
R01D,1.276,1.28,1.58,1.58,1.28,1.277,1.486,1.27,1.27,1.27
R01D,1.6,1.58,1.59,1.63,1.551,1.601,1.585,1.674,1.774,1.539
R01D,1.11,1.13,1.14,1.46,1.1,1.114,1.157,1.161,1.002,1.288
R01D,1.56,1.14,1.1,1.15,1.07,1.112,1.104,1.111,0.969,1.321
R01D,3.2,2.14,2.238,2.53,2.14,2.187,2.243,1.723,1.774,1.568
R01D,1.34,1.34,1.35,1.38,1.33,1.339,1.35,1.391,1.276,1.186
R01D,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.818,0.985,1.836
R01D,0.94,0.83,0.83,0.85,0.79,0.819,0.829,1.32,1.972,2.195
R01D,1.27,1.27,1.53,1.53,1.27,1.302,1.519,1.327,1.327,1.327
R01D,1.99,1.85,1.85,1.85,1.85,0,1.85,1.674,1.633,1.381
R01D,1.22,1.215,1.22,1.24,1.2,1.222,1.214,1.198,1.132,1.063
R01D,1.77,1.45,1.61,1.61,1.45,0,1.498,1.293,1.293,1.293
R01D,1.85,2.15,2.15,2.35,2.1,1.861,2.16,1.422,1.35,1.336
R01D,2.26,2.27,2.15,2.35,1.9,2.263,2.25,1.735,1.786,1.588
R01D,1.49,1.448,1.45,1.54,1.4,1.483,1.457,1.861,1.643,1.426
R01D,1.59,1.54,1.56,1.56,1.54,0,1.548,1.681,1.783,1.547
R01D,1.76,1.8,1.83,1.85,1.8,1.757,1.819,1.699,1.786,1.558
R01D,1.88,1.9,2.15,2.55,1.9,1.914,2.203,1.419,1.35,1.258
R01D,0.91,0.81,0.81,0.91,0.81,0.825,0.821,0.836,1.335,1.973
